id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,assist,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,keyPass,qualifier/10/value,qualifier/12/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/13/value
2480089719,1,34,16,0,0,6lzy9iiqoysvtdsgx719fng9n,1,0,0,2022-10-31T18:14:36.224Z,2022-10-31T19:10:20Z,3887029973,197,2828,3886949165,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",3886949157,30,"68hoounwudpjrr2wmovkyvswk, a7vlgirln231n3dqjhb72o0es, 4gso82x236c4xe0eovfr50sfd, 2zkaf848fjcdhuii8783pkm7e, 3z9bdfblis9tl3e1uo7e72h62, 5hkkwzs8wgjj94vfe922nvthw, b8ixf31bdyfqqcwoy4ulai73e, 9nix5y8xcj34ps62r34udtqwa, 80i3boeh7f1ghu4ka7r66izje, alfx6xxo38q6hmydbcr0rw67e, dlgqk5qe96gaxeq8vu4dozyms, cxu054j55uj2s3p34rqfthch6, 6m0pdqqontm1tfxayxku0kv3e, 31v89l4k38v1wpisz7xhkq38, 7d8a2cp7xza48arxctlpqrvh0, 13k94iyejsdn4e51jx32rb23u, ed0pwegj0n6iwb6oa52obcsgk",3886949163,130,4,3886949169,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3886949167,194,b8ixf31bdyfqqcwoy4ulai73e,3886949161,59,"1, 2, 5, 6, 3, 4, 8, 10, 9, 7, 11, 16, 17, 18, 15, 19, 12",3886949159,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480091387,1,34,16,0,0,bk5ltsueqmeng29eovd8m2tml,1,0,0,2022-10-31T18:19:02.450Z,2022-10-31T19:02:11Z,3886958531,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3887032909,194,1l34qvjvar8qec3kbrg4rew2d,3886958527,59,"1, 13, 25, 10, 6, 4, 37, 8, 9, 23, 19, 3, 5, 7, 11, 14, 16, 18, 21, 22, 24, 27, 44",3886958529,130,8,3887030061,197,17008,3886958525,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3886958533,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3886958523,30,"etvamcwttnlg4sfxfulgzm7yt, e42jh6bbwn4aybdnysonrvutx, ewnmiv6ew1d5cnuul715x4dzp, 75o7fx1uwk6pavxbnqqx28y51, 8cox96ikk1k4c24f0y5ef45x, 7isjog4r71ahzypnhq3ki9xp1, 57kp9bepwqf9u7fuu8fgvi9rd, 1l34qvjvar8qec3kbrg4rew2d, 5i0e7e59vav8ynqzt7qrvitt6, 47autoxmcbr5z7o6d8998esph, b9apqidquztaojf6e3my6v7bp, 9hz7j1p4f0d2hxyz2bdkbyk0l, daz1m0r5u8f0085jv25bdnoid, bw7s1zgz97p8szhn4shwkx2w9, 88csh50wwpanzfdvu7ia3x1ih, amasl6wz90pv9kkbx3kihj7bp, 9najgqcaamqj0qtiicuq9hey, 35uvcvkv4nd0jbsov3xosjsut, ckx9rplhgmncmcxs0a1z7n6qd, bhn0paq89a5keakgitoyn2hw4, 8dnmp33ergo6zwzb6ubiyvl6, eimwdeabp96ttxf8zywuiu8ve, 1g092dgjsahqacxxzf5f20wh6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480103757,2,32,1,0,0,6lzy9iiqoysvtdsgx719fng9n,1,0,0,2022-10-31T19:01:51.003Z,2022-10-31T19:01:54Z,3887032489,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480103753,2,32,1,0,0,bk5ltsueqmeng29eovd8m2tml,1,0,0,2022-10-31T19:01:51.003Z,2022-10-31T19:01:51Z,3887032485,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480103769,3,1,1,0,0,bk5ltsueqmeng29eovd8m2tml,1,50.1,49.8,2022-10-31T19:01:51.103Z,2022-10-31T19:01:54Z,3887032563,279,S,3887032557,141,36.2,3887032559,212,27.8,3887032561,213,3.5,3887032555,140,25.1,3887032553,56,Back,,,,,,,57kp9bepwqf9u7fuu8fgvi9rd,N. Doodeman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480103779,4,1,1,0,3,bk5ltsueqmeng29eovd8m2tml,0,26.9,37.3,2022-10-31T19:01:54.144Z,2022-10-31T19:01:56Z,3887032613,141,77.1,3887032617,213,0.6,3887032607,155,,3887032615,212,47.6,3887032609,56,Center,3887032611,140,64.2,3887032619,1,,,,,8cox96ikk1k4c24f0y5ef45x,W. Dammers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480103789,3,49,1,0,6,6lzy9iiqoysvtdsgx719fng9n,1,41,13.1,2022-10-31T19:01:57.945Z,2022-10-31T19:01:58Z,,,,,,,,,,,,,,,,,,,,,,,,,alfx6xxo38q6hmydbcr0rw67e,S. Hansen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480103801,4,1,1,0,7,6lzy9iiqoysvtdsgx719fng9n,1,45.6,13,2022-10-31T19:01:58.680Z,2022-10-31T19:02:00Z,3887032687,141,15.4,3887032685,140,49.6,3887032683,56,Back,3887032689,212,4.5,3887032691,213,0.4,,,,,,,,,,alfx6xxo38q6hmydbcr0rw67e,S. Hansen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480103803,5,1,1,0,9,6lzy9iiqoysvtdsgx719fng9n,0,49.6,15.4,2022-10-31T19:02:00.272Z,2022-10-31T19:02:01Z,3887032695,56,Back,3887032701,212,6.2,3887032697,140,49.7,3887032699,141,24.5,3887032703,213,1.6,,,,,,,,,,9nix5y8xcj34ps62r34udtqwa,K. Hlynsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480103805,5,8,1,0,10,bk5ltsueqmeng29eovd8m2tml,1,45.8,63.2,2022-10-31T19:02:01.024Z,2022-10-31T19:02:01Z,3887032705,56,Back,,,,,,,,,,,,,,,,,,,,,,75o7fx1uwk6pavxbnqqx28y51,M. Verreth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
