id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/10/value,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/13/value,qualifier/14/value,assist,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/18/value
2529860167,1,34,16,0,0,b94pf87be9ojdgnrs5mst80un,1,0,0,2023-04-07T17:18:19.234Z,2023-04-07T18:00:23Z,4170260529,130,4,4170260531,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4170260525,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4170260533,194,2psxvq4l1g9fzgt00cfks96fp,4170260523,30,"2psxvq4l1g9fzgt00cfks96fp, 2pzdedlktluxyj6sq2cd19e51, 1icurh5jrnw1e6jdgqxjnhdnu, egmubn4rsudpbk05qfv2qlvit, 94h1esmbnvlcvdeq9ohs11boq, zihddqvp0sjni8stcio8bgmh, 8im7pgnph2au11blma5pewe09, 9s22h996z2zpktwsx96cnz40k, 63ox7kqo9rl36cvk4joqh9soa, 42lgdybjew0zrd18mmwwcpbhm, 45rrtsz9hmxxqasj8jgi3g0oa, 3hax3hy9n2wyp1ovvhd6zdk6i, cyquj9h6hjwbyp0b68b149qfo, 2gfp8pe55n7oa0mcu5ygi54a, 6qjbfua7nynaxrs5t8tygedp1, ewcd2lz99d7klo9sh24zt8nl6, 98wf7lrkbzi5f1l26hyxbph7u, 3mcj3wypzq3lno1ehc0vif1sl, 4ks7mvr9terrodhjx8pg9qtt6, 9rzd3uofuq9ck2n5ihs576z56, 11ngumxajbizagbzpm5kompxx, 1xblfsj8ec5jp17vnhibrk2jt",4170260535,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4170347979,197,2844,4170260527,59,"1, 2, 30, 22, 28, 3, 9, 27, 25, 10, 19, 5, 6, 7, 11, 14, 15, 18, 21, 23, 29, 33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529861725,1,34,16,0,0,bqm1bnp1bh2apyudlz1o1whr3,1,0,0,2023-04-07T17:23:51.916Z,2023-04-07T18:06:22Z,4170269201,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4170351977,197,8970,4170269199,130,8,4170269197,59,"12, 6, 21, 11, 2, 4, 7, 31, 10, 16, 27, 40, 1, 3, 5, 9, 15, 17, 22, 24, 28, 30",4170269205,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4170269203,194,7d9x6ojih9obktxl3fnrjskk4,4170269195,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4170269193,30,"rgspixypiwxuenf1yaukrrop, 3y42dpjrp17dr2gzktbrmudbd, eke044f5xni8gdztggk6x4a1h, 6clycir6laxvycsr4yjh9iwa1, axbyqn4r430cilb6lbnzpbuvo, 7d9x6ojih9obktxl3fnrjskk4, 2kdavfzjymb8uhgjj3c97e2uh, 88m6s6m8ep0p3fropim4ttcoa, 2072f0p9ful9u577gdvo89yw9, 2gwigr63tgo2jw460msz2qgwk, 2qauglcsvubya2tlxn44fx46i, d2cynimupgko6ekp78iv3kxlg, eog43l8hrs7pbza9bmwu0p2sq, 90rgtmdx8g43vz2pvp0hxotwq, gmu8p51rp6bjzs0bss5jupzo, 3usiruyhxf6p9lkiz5qeytze2, er8v2eo4vlak5ftjetqhinfv8, e4k6t8tld877pq2s0e1vo5p4a, 1dljhkcvmodqq9u1w8iv145m2, 1b409f4dv852le376vbcjdmhg, 966zp0zv6513cnn3q2t6xvtyi, 50ecz4x9j0zfudh34l7f2ecr8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529877639,2,32,1,0,0,b94pf87be9ojdgnrs5mst80un,1,0,0,2023-04-07T18:03:07.792Z,2023-04-07T18:03:10Z,4170357065,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529877629,2,32,1,0,0,bqm1bnp1bh2apyudlz1o1whr3,1,0,0,2023-04-07T18:03:07.792Z,2023-04-07T18:03:07Z,4170357025,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529877693,3,1,1,0,1,bqm1bnp1bh2apyudlz1o1whr3,1,50.1,50.1,2023-04-07T18:03:08.892Z,2023-04-07T18:05:00Z,4170357377,213,3.2,4170357375,212,23.4,4170357373,141,46.7,4170357369,56,Back,4170357379,279,S,4170357371,140,27.9,,,,,,,2gwigr63tgo2jw460msz2qgwk,J. Steuckers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529877749,4,1,1,0,4,bqm1bnp1bh2apyudlz1o1whr3,0,26.6,51.9,2023-04-07T18:03:12.044Z,2023-04-07T18:06:29Z,4170357673,141,18.4,4170357681,213,5.8,4170357669,56,Right,4170357677,212,48.1,4170357685,1,,4170357671,140,66.9,4170357667,155,,,,,7d9x6ojih9obktxl3fnrjskk4,M. Waem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529877761,3,44,1,0,7,b94pf87be9ojdgnrs5mst80un,1,33.6,78,2023-04-07T18:03:15.203Z,2023-04-07T18:03:16Z,4170357751,285,,4170357821,233,5,4170357749,56,Back,,,,,,,,,,,,,,,,egmubn4rsudpbk05qfv2qlvit,E. Lieftink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529877759,5,44,1,0,7,bqm1bnp1bh2apyudlz1o1whr3,0,66.4,22,2023-04-07T18:03:15.204Z,2023-04-07T18:03:17Z,4170357743,286,,4170357741,56,Center,4170357881,233,3,,,,,,,,,,,,,,,,88m6s6m8ep0p3fropim4ttcoa,M. Kleinen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529877769,4,8,1,0,8,b94pf87be9ojdgnrs5mst80un,1,33.9,74.4,2023-04-07T18:03:15.834Z,2023-04-07T18:03:17Z,4170357887,15,,4170357795,56,Back,,,,,,,,,,,,,,,,,,,egmubn4rsudpbk05qfv2qlvit,E. Lieftink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529877813,6,1,1,0,10,bqm1bnp1bh2apyudlz1o1whr3,1,45.2,18.2,2023-04-07T18:03:18.363Z,2023-04-07T18:03:19Z,4170358047,3,,4170358051,140,50.9,4170358057,213,5.4,4170358049,56,Right,4170358055,212,10.0,4170358053,141,6.5,,,,,,,axbyqn4r430cilb6lbnzpbuvo,R. Van Helden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
