id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/13/value,qualifier/8/value,assist,qualifier/9/value,qualifier/10/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId
2454481199,1,34,16,0,0,b94pf87be9ojdgnrs5mst80un,1,0,0,2022-09-02T17:21:49.985Z,2022-09-02T18:12:21Z,3750887537,130,13,3750887539,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3750887531,30,"2psxvq4l1g9fzgt00cfks96fp, 2pzdedlktluxyj6sq2cd19e51, 5517jd2zp30rsts1hwz6p71uc, 2rlckdzkm4d6dsqwutkvhm95h, 8hjakiipmhtwr07v6h0d414gl, zihddqvp0sjni8stcio8bgmh, 6qjbfua7nynaxrs5t8tygedp1, egmubn4rsudpbk05qfv2qlvit, 48wvdjjo0z1j2bac42n9t5jv9, 8im7pgnph2au11blma5pewe09, 63ox7kqo9rl36cvk4joqh9soa, 11ngumxajbizagbzpm5kompxx, 3hax3hy9n2wyp1ovvhd6zdk6i, cyquj9h6hjwbyp0b68b149qfo, 2gfp8pe55n7oa0mcu5ygi54a, 42lgdybjew0zrd18mmwwcpbhm, ewcd2lz99d7klo9sh24zt8nl6, 98wf7lrkbzi5f1l26hyxbph7u, 45rrtsz9hmxxqasj8jgi3g0oa, 4ks7mvr9terrodhjx8pg9qtt6, 9rzd3uofuq9ck2n5ihs576z56, 1xblfsj8ec5jp17vnhibrk2jt",3750887541,194,2rlckdzkm4d6dsqwutkvhm95h,3750887535,59,"1, 2, 17, 4, 20, 3, 11, 22, 8, 9, 25, 29, 5, 6, 7, 10, 14, 15, 19, 21, 23, 33",3750887545,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3750887533,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3750887543,197,2844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454483787,1,34,16,0,0,1fttb31hnskynpku8qd09yhm8,1,0,0,2022-09-02T17:29:26.455Z,2022-09-02T19:57:25Z,3750902433,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3750902439,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3750902427,59,"26, 20, 23, 28, 4, 22, 24, 6, 34, 14, 5, 40, 3, 7, 9, 10, 11, 1, 36, 37, 39, 46, 18",3750902517,194,6ylzm57bvpufg3cenadtv7qhh,3750902425,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3750902423,30,"9vu68zcajmrqmkkchmpdrebu2, dolfy51fw3jycb0cfhoecbo16, 124bbojic7k5medlvgvxmcm39, d1dq7upxtawnps3wljz6wf9jo, 6ylzm57bvpufg3cenadtv7qhh, 9jofs3271wn4cwlkj9hfay7vu, 3hgvz4if17suodevp5jubb8fe, ab8p14hbfeph28j3ig36nzob9, 4qcx1ql4jxov8vncghnqud5d6, dmtsvsqvdoqqtmrset0uz0and, c46xp363o8m76eswzfmlsel4a, evz953s9rvki1w9c3hsljss7p, cx3fqj7odbuc6i0kppcie4jmy, ebnm8xj9pggemio5qay9pcc0l, bs14utcyx2am6s46cuv52nf56, ccmmsnrfn58gwi1petlp08f3e, bdtti3sckhcppilsisgu7well, 6q72mpmc478hlf4f7ths9ez56, 5b7rnpnnllz8qdc6fx2c5mzje, 63h1tm6at6eqbicao9ro3y8h6, 14csdlb8p0tnj6zqrs148ct1w, a59aos4xq3vklv2joqa09axre, a49001euf7xwpx5wodembjbo5",3750902437,197,2358,3750902429,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454497855,2,32,1,0,0,1fttb31hnskynpku8qd09yhm8,1,0,0,2022-09-02T18:02:14.060Z,2022-09-02T18:02:14Z,3750976229,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454497861,2,32,1,0,0,b94pf87be9ojdgnrs5mst80un,1,0,0,2022-09-02T18:02:14.060Z,2022-09-02T18:02:19Z,3750976237,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454497929,3,1,1,0,0,1fttb31hnskynpku8qd09yhm8,1,50.2,50,2022-09-02T18:02:14.160Z,2022-09-02T18:02:20Z,3750976609,213,3.5,3750976597,56,Back,3750976601,141,37.4,3750976605,212,23.5,3750976599,140,29.4,3750976611,279,S,,,,,,,dmtsvsqvdoqqtmrset0uz0and,Pascu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454497963,4,1,1,0,4,1fttb31hnskynpku8qd09yhm8,1,32.5,41.6,2022-09-02T18:02:18.192Z,2022-09-02T18:02:22Z,3750976771,213,0.6,3750976763,56,Left,3750976765,140,79.6,3750976773,1,,3750976761,155,,3750976769,212,60.9,3750976767,141,93.8,,,,6ylzm57bvpufg3cenadtv7qhh,D. van Bruggen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454497967,5,44,1,0,7,1fttb31hnskynpku8qd09yhm8,1,71.9,81.4,2022-09-02T18:02:22.024Z,2022-09-02T18:02:24Z,3750976789,286,,3750976787,56,Left,3750976909,233,3,,,,,,,,,,,,,,,,c46xp363o8m76eswzfmlsel4a,T. Poll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454497975,3,44,1,0,7,b94pf87be9ojdgnrs5mst80un,0,28.1,18.6,2022-09-02T18:02:22.025Z,2022-09-02T18:02:24Z,3750976825,285,,3750976927,233,5,3750976823,56,Back,,,,,,,,,,,,,,,,2pzdedlktluxyj6sq2cd19e51,B. van Vlerken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454498017,6,1,1,0,8,1fttb31hnskynpku8qd09yhm8,0,77.3,90.5,2022-09-02T18:02:22.448Z,2022-09-02T18:02:25Z,3750977047,212,25.3,3750977045,141,89.0,3750977043,140,100.0,3750977049,213,6.2,3750977039,3,,3750977041,56,Left,,,,,,,c46xp363o8m76eswzfmlsel4a,T. Poll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454498037,4,56,1,0,12,b94pf87be9ojdgnrs5mst80un,1,0,0,2022-09-02T18:02:26.607Z,2022-09-02T18:02:26Z,3750977129,56,Back,,,,,,,,,,,,,,,,,,,,,,zihddqvp0sjni8stcio8bgmh,F. Van Den Eynden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
