id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,keyPass,qualifier/8/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/10/value,qualifier/11/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,assist,qualifier/16/value
2468406361,1,34,16,0,0,1fttb31hnskynpku8qd09yhm8,1,0,0,2022-10-07T17:03:52.638Z,2022-10-07T18:01:43Z,3824935931,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3824935929,194,6ylzm57bvpufg3cenadtv7qhh,3824935927,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3824935919,30,"6q72mpmc478hlf4f7ths9ez56, dolfy51fw3jycb0cfhoecbo16, 124bbojic7k5medlvgvxmcm39, a49001euf7xwpx5wodembjbo5, 6ylzm57bvpufg3cenadtv7qhh, 9jofs3271wn4cwlkj9hfay7vu, 5b7rnpnnllz8qdc6fx2c5mzje, dmtsvsqvdoqqtmrset0uz0and, bs14utcyx2am6s46cuv52nf56, ccmmsnrfn58gwi1petlp08f3e, d1dq7upxtawnps3wljz6wf9jo, by3kwghn611jkt84pmjcd5xjo, cx3fqj7odbuc6i0kppcie4jmy, c46xp363o8m76eswzfmlsel4a, ab8p14hbfeph28j3ig36nzob9, ebnm8xj9pggemio5qay9pcc0l, bdtti3sckhcppilsisgu7well, 2c8alz6gmphvy6aqpgykva0yy, f1as17wqpj44gihtvw936lofd, 14csdlb8p0tnj6zqrs148ct1w, a59aos4xq3vklv2joqa09axre, evz953s9rvki1w9c3hsljss7p",3824935923,59,"1, 20, 23, 18, 4, 22, 36, 14, 9, 10, 28, 26, 3, 5, 6, 7, 11, 19, 21, 39, 46, 40",3824935921,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3824935925,130,23,3825090731,197,17169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468408695,1,34,16,0,0,ch82doz9w9t1sw9ae3a4ffh0j,1,0,0,2022-10-07T17:07:53.679Z,2022-10-07T18:04:43Z,3824947815,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3824947809,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3824947811,59,"1, 10, 5, 14, 3, 2, 8, 6, 9, 7, 11, 23, 21, 17, 18, 16, 15, 24, 31, 20, 12",3824947813,130,13,3824947807,30,"c1krps0yssh477m8umrruiqjt, 28o7vv0jud22hmg4h649yozqh, asvxbmdd5j5tlz2fo1jpcrrx0, 1kuswan9lk455u02x1ff389re, c6i4usq34m3389rtbqptahrai, 9wo8twcbs1jnqzdy0c6y8adey, 1s6yn52hlqtmmz4lerscf457u, ed5sclhs7op7a2mdvetub4dwq, 4lsj3yc6adimhltkab6tzfj84, c3akpx5mnexpkslo0sqqezsru, 5nhideyjwp2347ryi1n9wfq50, ah3d8xugrx3pqaqxcmg06iyok, 2n5747kdxok0ifg5o37336plg, enyk37znns1ie2djrh4y3uck4, c2d9oidweb7cj1g39jwuugro4, deb7ysp5fwiouttlarstuxgyc, ealh7n21gctxxw5ol3l3yxzze, 55nra47i364xh4jpkmo93rzai, et56bifus2obkmtcwzhqpzxn8, dodkgckgbecal0vivr1jf0hzo, cvobl9pqqtj7hrgtu28grvdre",3824947817,194,ed5sclhs7op7a2mdvetub4dwq,3825089981,197,2842,3824947819,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468436693,2,32,1,0,0,ch82doz9w9t1sw9ae3a4ffh0j,1,0,0,2022-10-07T18:03:27.153Z,2022-10-07T18:03:27Z,3825097007,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468436709,2,32,1,0,0,1fttb31hnskynpku8qd09yhm8,1,0,0,2022-10-07T18:03:27.153Z,2022-10-07T18:03:30Z,3825097077,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468436715,3,1,1,0,0,1fttb31hnskynpku8qd09yhm8,1,50.1,49.7,2022-10-07T18:03:27.391Z,2022-10-07T18:08:36Z,3825097095,56,Back,3825097105,212,14.5,3825097101,141,54.2,3825097109,213,2.9,3825097111,279,S,3825097097,140,36.6,,,,,,,dmtsvsqvdoqqtmrset0uz0and,Pascu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468436783,4,1,1,0,3,1fttb31hnskynpku8qd09yhm8,0,24.9,59.1,2022-10-07T18:03:31.021Z,2022-10-07T18:08:32Z,3825097467,1,,3825097457,56,Center,3825097459,140,73.5,3825097465,213,5.9,3825097463,212,54.1,3825097461,141,32.7,3825097455,155,,,,,9jofs3271wn4cwlkj9hfay7vu,T. Barbet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468436819,3,1,1,0,5,ch82doz9w9t1sw9ae3a4ffh0j,1,24.3,64.6,2022-10-07T18:03:33.064Z,2022-10-07T18:03:36Z,3825097677,212,13.4,3825097679,213,5.9,3825097669,3,,3825097675,141,57.5,3825097671,56,Back,3825097673,140,36.2,,,,,,,1kuswan9lk455u02x1ff389re,C. Mamengi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468436829,4,44,1,0,8,ch82doz9w9t1sw9ae3a4ffh0j,1,38.9,55.9,2022-10-07T18:03:36.086Z,2022-10-07T18:03:38Z,3825097957,233,5,3825097725,56,Back,3825097727,285,,,,,,,,,,,,,,,,,28o7vv0jud22hmg4h649yozqh,T. Booth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468436859,5,44,1,0,8,1fttb31hnskynpku8qd09yhm8,0,61.1,44.1,2022-10-07T18:03:36.087Z,2022-10-07T18:03:39Z,3825097889,286,,3825097887,56,Center,3825098043,233,4,,,,,,,,,,,,,,,,d1dq7upxtawnps3wljz6wf9jo,S. Resink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468436845,5,1,1,0,9,ch82doz9w9t1sw9ae3a4ffh0j,1,36.2,57.5,2022-10-07T18:03:36.806Z,2022-10-07T18:03:37Z,3825097795,3,,3825097799,140,19.0,3825097797,56,Back,3825097803,212,18.7,3825097801,141,64.8,3825097805,213,2.9,,,,,,,28o7vv0jud22hmg4h649yozqh,T. Booth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
