id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/9/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,assist
2468408457,1,34,16,0,0,2xlnfgrl6r18ftv38unwp7h4s,1,0,0,2022-10-07T17:07:35.585Z,2022-10-07T18:05:49Z,3824946601,194,4iurx3g3hajlatv5gcxsqwm7e,3824946597,130,4,3825088955,197,2830,3824946593,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3824946589,30,"4u12cln8rmtkwlu5q36ypjl2i, d9ewnngnsfc0s4hcs282hayhg, 7b0vbfxlv3uiozb19fcj2vsyy, d785q9rpqlyuyswv8f9fx4cno, e1islmeew98wa2ge0dicloay2, 4iurx3g3hajlatv5gcxsqwm7e, cvbasfoccmz0tijnkxyf57n8q, cla6c6izphee9prb80c15baei, 8npu0cbqjrhwv5km1w29kh016, 8tukt8jsmzkblxxs5w85x4dii, ix6hcbfujuw3mgefzpsnp2zu, 2x0hbry9gpcq5cbujdee5u904, wlltloe6hbe8hin3hix0366s, 47yvsnwrehtn4mwsjcqk4ewyy, 8mkrj5bnkyhx8kutc4656cy96, a7eyujeyux7nj68ifa7nnndas, amz65a6dp1pwwql1dkonktfys, 3bepi58wwope38a478y7jwlxw, 1jr23fmrmezgiaq7k63pro07o, eola3wwbcxl6yeigrj16a3otm",3824946595,59,"1, 2, 5, 10, 3, 4, 8, 6, 9, 7, 11, 14, 18, 22, 20, 15, 23, 19, 21, 16",3824946603,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3824946599,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468411237,1,34,16,0,0,zjawy6qdzk3y69v5pa3zl2cb,1,0,0,2022-10-07T17:11:58.812Z,2022-10-07T18:05:40Z,3824960999,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3824960995,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3824960989,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3824960991,59,"1, 16, 27, 5, 4, 3, 12, 21, 9, 19, 10, 11, 2, 8, 14, 18, 20, 25, 28, 29",3824960987,30,"8l31bne12p5cp51o46h92zjrp, 88vryegnhss2q5xz8aoj2phey, da3d2iu2j4yb7q1ag063mu44q, 46oot98163lb6atyes4j0mup5, 1qqqigufis9zdf4mdqt6mgfl5, 476jyuzjm08o0d5g3t4nh1cyd, a49duk4f5m5zmyvwht0ikal05, m10ml783dkbr4i0fpb06cm3t, c78t1bgro2lh7gvw8rwi6p239, 7o8auo4uu5mzh7f4a44ucdf8q, 2pva2d9if0phol0efqnur68a2, 5t2yht2zjn4g7otqpaer3ia22, ag4gnhbvomc0q9ohvkyroftas, 9tmi00hx820vuwghg30jhzidx, e7vke1zwf6w6xvxtsi2b8f9m2, 9jx0oun9o3zqncgu9axt2qxka, 53c63f5ekinmj6bquc3rbsbxm, ajt9gf8zqsc3m6z4kof5m99ii, 9fb368ot1vtjx63e4l4y0ss9g, adp5a6klr2nygqjmdd1ekc8kq",3824960993,130,13,3825091853,197,16428,3824960997,194,c78t1bgro2lh7gvw8rwi6p239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468435981,2,32,1,0,0,2xlnfgrl6r18ftv38unwp7h4s,1,0,0,2022-10-07T18:02:23.403Z,2022-10-07T18:02:26Z,3825093153,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468435965,2,32,1,0,0,zjawy6qdzk3y69v5pa3zl2cb,1,0,0,2022-10-07T18:02:23.403Z,2022-10-07T18:02:23Z,3825093089,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468436021,3,1,1,0,1,zjawy6qdzk3y69v5pa3zl2cb,1,50,50,2022-10-07T18:02:24.503Z,2022-10-07T19:03:08Z,3825093375,141,64.8,3825093379,213,2.5,3825093381,279,S,3825093371,56,Back,3825093373,140,35.8,3825093377,212,18.0,,,,,,,c78t1bgro2lh7gvw8rwi6p239,G. Plet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468436037,4,1,1,0,4,zjawy6qdzk3y69v5pa3zl2cb,1,38.1,60.8,2022-10-07T18:02:28.240Z,2022-10-07T18:10:05Z,3825093455,56,Back,3825093463,213,4.4,3825093459,141,24.6,3825093461,212,25.6,3825093457,140,31.3,,,,,,,,,,a49duk4f5m5zmyvwht0ikal05,T. Overtoom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468436051,5,1,1,0,6,zjawy6qdzk3y69v5pa3zl2cb,1,29.7,25.8,2022-10-07T18:02:29.672Z,2022-10-07T18:21:28Z,3825093531,56,Back,3825093537,212,15.4,3825093535,141,47.3,3825093539,213,1.9,3825093533,140,25.2,,,,,,,,,,476jyuzjm08o0d5g3t4nh1cyd,M. Apau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468436097,6,1,1,0,9,zjawy6qdzk3y69v5pa3zl2cb,1,23.8,32.4,2022-10-07T18:02:32.672Z,2022-10-07T18:02:36Z,3825093739,140,3.5,3825093745,213,2.7,3825093741,141,46.7,3825093743,212,23.4,3825093737,56,Back,,,,,,,,,,1qqqigufis9zdf4mdqt6mgfl5,Ö. Aktaş,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468436123,7,1,1,0,12,zjawy6qdzk3y69v5pa3zl2cb,1,4.8,46,2022-10-07T18:02:35.952Z,2022-10-07T18:02:40Z,3825093929,140,43.5,3825093933,212,45.6,3825093925,157,,3825093927,56,Back,3825093931,141,76.4,3825093935,213,0.5,3825093939,1,,,,,8l31bne12p5cp51o46h92zjrp,R. Koeman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468436129,8,61,1,0,16,zjawy6qdzk3y69v5pa3zl2cb,0,43.5,76.3,2022-10-07T18:02:40.383Z,2022-10-07T18:02:40Z,3825093969,56,Back,,,,,,,,,,,,,,,,,,,,,,2pva2d9if0phol0efqnur68a2,C. Giousis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
