id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,assist,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/11/value,keyPass,qualifier/14/value,qualifier/8/value,qualifier/13/value,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2498891195,1,34,16,0,0,dnzj0iv5qtaemm9kthh9pos8q,1,0,0,2023-01-20T18:03:21.121Z,2023-01-20T20:26:31Z,3985926415,194,dh3ksith5iat573zuhdhv91w5,3985926409,59,"1, 2, 12, 19, 15, 4, 6, 8, 28, 17, 7, 3, 9, 11, 13, 14, 16, 20, 21, 23, 30, 39",3985926417,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3986002889,197,2848,3985926407,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3985926413,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3985926405,30,"alzgg0nxnnex3nkzr6lgmt1ey, dcdvet7azx1a59xm2ke7qi2cq, 4zow18ykkg1gvw40r7jsrzkl, 8uw9w30592omb8acpnssgdlh, 7cetznpb0tnu6kdz7bvm8gyxh, 1jn9jog8ou8uxnmypneksizxm, au91rqig6uyyi1zdmlxydk38q, dh3ksith5iat573zuhdhv91w5, 1mroid71v9bwpx0iaospei9gq, f1as17wqpj44gihtvw936lofd, 6dpxvfpnaua6y4gevop02qc8a, cexuwvet4xiruf1jitkjjp7qi, 5c5quyl7qxptstbge87w2eqqx, b61yiz3lait78xmlbyzr2vd62, e3zr4wfalu47lvzrhpgjnb2tw, ejj9an3jqm0fpcbo5esfkljis, 4z8o35izc3gx6i2bt4mcs1fjd, 5dppoogob8jwl8n3884uqm4iy, 5ffbqf6o50173uqvaefnce4gk, 5chl0qcvbbkd0yeogurw1fz6x, 9tj2yr6ep9hsignf7cjn7wnl6, b950jt347chmq9whlkgl6fxpm",3985926411,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498892873,1,34,16,0,0,59t7flioj4w4mpwnrwbm0m8ck,1,0,0,2023-01-20T18:09:15.134Z,2023-01-20T21:46:14Z,3985934879,194,89plvrt8pzppcclh4axvii0ru,3985934871,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3985934877,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3985934875,130,12,3985934881,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3985934869,30,"8jml2tgzk1am30cy4gkgx0wd1, bdb33nwcpd2jufn9ggtl7gvzd, f48jetdaq8dttcdo11mugaxnt, d5g7rl9a83vu3cyyzvu5yveqy, 4mhahoh3a6rir882ug9hdb5nu, 9urh0cy0a8ni61fuxmiqosnis, 89plvrt8pzppcclh4axvii0ru, 6nd0ifv6ljza9nauxcpejqzft, 2an4s7uuqa9a6sl7vutznc7o5, emaf4mjxn2255qlcn1pcxn36x, 4nkd85hpwiiqtieuslhcrc2ga, 4j9ug0ng9dhx6xwhdwx6fafx0, 36u3tovqdi3885wk3139wczfu, 41es2x265ddlzqjqa6wb9vey2, 5v3sd56kh9pmvzk6wczhs9o4q, 3xza88l7s8dlki9kleqwz2puy, 4shkxwb3ujuajna3gdg34cxjp, cg6es3riwivh8kbgtmi72q0ut, ea51n4frv2z8lr3snexhv2ay, 8gkh6rsfo2tsrsiirv05bm1yi",3985934873,59,"1, 2, 27, 3, 24, 23, 6, 10, 9, 19, 32, 8, 12, 14, 17, 18, 21, 22, 26, 36",3986002981,197,490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498905779,2,32,1,0,0,59t7flioj4w4mpwnrwbm0m8ck,1,0,0,2023-01-20T18:59:54.538Z,2023-01-20T18:59:56Z,3986005525,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498905773,2,32,1,0,0,dnzj0iv5qtaemm9kthh9pos8q,1,0,0,2023-01-20T18:59:54.538Z,2023-01-20T18:59:54Z,3986005499,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498905783,3,1,1,0,0,dnzj0iv5qtaemm9kthh9pos8q,1,50,50,2023-01-20T18:59:55.120Z,2023-01-20T18:59:57Z,3986005543,141,43.6,3986005541,140,30.3,3986005549,279,S,3986005539,56,Back,3986005547,213,3.3,3986005545,212,21.1,,,,,,,f1as17wqpj44gihtvw936lofd,B. van Hoeven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498905793,4,1,1,0,2,dnzj0iv5qtaemm9kthh9pos8q,0,30.3,43.6,2023-01-20T18:59:56.806Z,2023-01-20T19:11:42Z,3986005591,213,1.0,3986005583,56,Back,3986005585,140,39.8,3986005593,1,,3986005587,141,64.2,3986005581,157,,3986005589,212,17.2,,,,7cetznpb0tnu6kdz7bvm8gyxh,L. Piqué,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498905811,3,43,1,0,3,59t7flioj4w4mpwnrwbm0m8ck,1,0,0,2023-01-20T18:59:57.858Z,2023-01-20T19:49:10Z,3986005675,56,Center,3986134727,144,61,,,,,,,,,,,,,,,,,,,89plvrt8pzppcclh4axvii0ru,A. Plat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498905835,5,1,1,0,4,59t7flioj4w4mpwnrwbm0m8ck,1,61.3,36.1,2023-01-20T18:59:58.753Z,2023-01-20T19:49:18Z,3986005797,56,Center,3986005803,212,11.4,3986005799,140,69.7,3986005805,213,0.7,3986005801,141,46.8,,,,,,,,,,emaf4mjxn2255qlcn1pcxn36x,J. Herrmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498905823,4,49,1,0,5,59t7flioj4w4mpwnrwbm0m8ck,1,73.9,33.9,2023-01-20T18:59:59.969Z,2023-01-20T19:49:33Z,,,,,,,,,,,,,,,,,,,,,,,,,2an4s7uuqa9a6sl7vutznc7o5,J. van der Sande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498905875,6,1,1,0,6,59t7flioj4w4mpwnrwbm0m8ck,1,72.7,48.7,2023-01-20T19:00:00.625Z,2023-01-25T14:40:27Z,3986005993,141,36.1,3986008489,22,,3986005989,56,Center,3986008485,210,16,3986008487,154,,3986005991,140,87.7,3986005995,212,17.9,3986005997,213,5.8,2an4s7uuqa9a6sl7vutznc7o5,J. van der Sande,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498905877,7,16,1,0,8,59t7flioj4w4mpwnrwbm0m8ck,1,88.6,38.9,2023-01-20T19:00:02.538Z,2023-01-25T14:40:28Z,3986007239,230,95.1,3986007229,102,54.5,3986007233,103,5.1,3986006761,20,,3986006767,374,2023-01-20 19:00:01.689,3986006763,17,,3986007241,231,46.0,3986007237,328,,emaf4mjxn2255qlcn1pcxn36x,J. Herrmann,,3986007221,154,3986006771,375,00:07.151,3986006007,56,Center,3986007211,76,3986007235,214,3986006003,22,3986007217,29,3986007225,55,6,,,,,,,,,,,,,,,,,,
2498906127,5,1,1,0,54,dnzj0iv5qtaemm9kthh9pos8q,1,49.4,49.9,2023-01-20T19:00:48.663Z,2023-01-20T19:50:34Z,3986007309,56,Back,3986007313,141,35.5,3986007317,213,3.5,3986007315,212,26.4,3986007311,140,26.1,3986007319,279,G,,,,,,,f1as17wqpj44gihtvw936lofd,B. van Hoeven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
