id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/13/value,qualifier/15/value,qualifier/14/value,qualifier/16/value,assist
2459278663,1,34,16,0,0,dvmw7d6jb38qvv7e6ziwu0vyr,1,0,0,2022-09-12T17:06:21.154Z,2022-09-12T17:57:22Z,3776378343,130,13,3776378339,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3776378341,59,"1, 33, 7, 5, 4, 3, 23, 8, 10, 25, 20, 2, 9, 12, 21, 19, 22, 27, 28, 31, 32, 45, 99",3776378349,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3776378347,194,eu901b75l2ly5p48jdw6kwmad,3776455197,197,13165,3776378337,30,"3oduk9niyqml47z7wramkxhw5, 7hsyytjjg6zw5knvav9xybbh1, bnkzwpd607re6s01oa77wcodm, ak5exy1iztbo0mqloqdwiag6i, 9e70uun80bdi4hedu45mo5vxl, eu901b75l2ly5p48jdw6kwmad, 8o2hk1hy097osczjijmq4bsh5, 3j368501ogr8mt2jdb7mby8h6, ar47jfq139xyic4pvdhefduga, c3j7ddqg0yzporam6gieibgiy, dej8tywq0npvbm25sfgtqur1m, d4z4gdds9hajylsy2hh5b78q, db32f79l8p19q2g45g885t7xm, 2v12tmspdosmwic2h6itfz0x6, 47wgrchutkdy62665jc79dy0a, 6mn57wdtnexqlumwsg8qyil90, 5f8ajd8cgyvmmdzr0lzi1gtii, 1r67co8q0ktlqe5209xm6sxec, bitv8dp51g02iyf6o3elxnoix, byfk0abaxu0ha7w01vpmreb1m, coxuin3vr6nkynlvcsvzphjl6, 3v2grfhuisr456ibcvqjfx4yy, 97p6b1r72br3soq4k7fpjnrl6",3776378345,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459282637,1,34,16,0,0,1fttb31hnskynpku8qd09yhm8,1,0,0,2022-09-12T17:19:02.179Z,2022-09-12T18:06:39Z,3776400615,130,2,3776400621,194,6ylzm57bvpufg3cenadtv7qhh,3776400609,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3776400623,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3776456531,197,16350,3776400619,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3776400611,59,"1, 20, 22, 28, 3, 4, 14, 18, 10, 9, 5, 40, 6, 7, 11, 21, 23, 26, 34, 36, 38, 39, 46",3776400607,30,"6q72mpmc478hlf4f7ths9ez56, dolfy51fw3jycb0cfhoecbo16, 9jofs3271wn4cwlkj9hfay7vu, d1dq7upxtawnps3wljz6wf9jo, cx3fqj7odbuc6i0kppcie4jmy, 6ylzm57bvpufg3cenadtv7qhh, dmtsvsqvdoqqtmrset0uz0and, a49001euf7xwpx5wodembjbo5, ccmmsnrfn58gwi1petlp08f3e, bs14utcyx2am6s46cuv52nf56, c46xp363o8m76eswzfmlsel4a, evz953s9rvki1w9c3hsljss7p, ab8p14hbfeph28j3ig36nzob9, ebnm8xj9pggemio5qay9pcc0l, bdtti3sckhcppilsisgu7well, f1as17wqpj44gihtvw936lofd, 124bbojic7k5medlvgvxmcm39, 9vu68zcajmrqmkkchmpdrebu2, 4qcx1ql4jxov8vncghnqud5d6, 5b7rnpnnllz8qdc6fx2c5mzje, 9o41me3111mj3zl4lxqqhvod0, 14csdlb8p0tnj6zqrs148ct1w, a59aos4xq3vklv2joqa09axre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459292593,2,32,1,0,0,dvmw7d6jb38qvv7e6ziwu0vyr,1,0,0,2022-09-12T18:02:13.060Z,2022-09-12T18:02:13Z,3776458709,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459292607,2,32,1,0,0,1fttb31hnskynpku8qd09yhm8,1,0,0,2022-09-12T18:02:13.060Z,2022-09-12T18:02:14Z,3776458763,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459292627,3,1,1,0,0,dvmw7d6jb38qvv7e6ziwu0vyr,1,49.9,50.3,2022-09-12T18:02:13.160Z,2022-09-12T18:02:18Z,3776458865,56,Back,3776458871,212,25.6,3776458873,213,3.1,3776458867,140,25.5,3776458869,141,50.7,3776458875,279,S,,,,,,,ar47jfq139xyic4pvdhefduga,N. Bannis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459292631,4,1,1,0,5,dvmw7d6jb38qvv7e6ziwu0vyr,1,35.4,51.9,2022-09-12T18:02:18.649Z,2022-09-12T18:02:21Z,3776458895,141,74.0,3776458897,212,15.9,3776458899,213,1.2,3776458891,56,Back,3776458893,140,40.4,,,,,,,,,,9e70uun80bdi4hedu45mo5vxl,M. Peijnenburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459292647,5,1,1,0,8,dvmw7d6jb38qvv7e6ziwu0vyr,1,40.1,72.6,2022-09-12T18:02:21.208Z,2022-09-12T18:02:25Z,3776458997,212,11.4,3776458993,140,29.4,3776458995,141,69.5,3776458999,213,3.3,3776458991,56,Back,,,,,,,,,,3j368501ogr8mt2jdb7mby8h6,S. van Doorm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459292665,6,1,1,0,11,dvmw7d6jb38qvv7e6ziwu0vyr,1,29.7,73.4,2022-09-12T18:02:24.953Z,2022-09-12T18:02:27Z,3776459083,213,0.7,3776459077,140,41.1,3776459081,212,15.1,3776459079,141,86.9,3776459075,56,Back,,,,,,,,,,ak5exy1iztbo0mqloqdwiag6i,P. Bogaers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459292695,7,1,1,0,13,dvmw7d6jb38qvv7e6ziwu0vyr,1,41.4,83.1,2022-09-12T18:02:27.017Z,2022-09-12T18:02:30Z,3776459225,212,14.8,3776459219,56,Back,3776459227,213,3.8,3776459221,140,29.9,3776459223,141,70.4,,,,,,,,,,3j368501ogr8mt2jdb7mby8h6,S. van Doorm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459292713,8,1,1,0,17,dvmw7d6jb38qvv7e6ziwu0vyr,1,34,65.1,2022-09-12T18:02:30.105Z,2022-09-12T18:02:34Z,3776459321,140,32.2,3776459323,141,36.1,3776459319,56,Back,3776459325,212,19.8,3776459327,213,4.6,,,,,,,,,,ak5exy1iztbo0mqloqdwiag6i,P. Bogaers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
