id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,keyPass,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/16/value,qualifier/13/value,assist
2486368373,1,34,16,0,0,ch82doz9w9t1sw9ae3a4ffh0j,1,0,0,2022-11-17T16:31:16.342Z,2022-11-17T17:44:15Z,3919751349,194,55nra47i364xh4jpkmo93rzai,3919751341,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3919751343,59,"1, 2, 5, 6, 3, 14, 11, 8, 10, 7, 9, 23, 17, 21, 16, 15, 31, 19, 24, 12",3919751345,130,8,3919751347,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3919787917,197,16352,3919751339,30,"790v7fu7f2s40e160mlrb6dt6, 84isfq4ix06ebaf7a7jcvd9wq, ealh7n21gctxxw5ol3l3yxzze, c2d9oidweb7cj1g39jwuugro4, c6i4usq34m3389rtbqptahrai, 55nra47i364xh4jpkmo93rzai, 5nhideyjwp2347ryi1n9wfq50, 1s1c0w7we8oouklrwshie0iz8, dodkgckgbecal0vivr1jf0hzo, c3akpx5mnexpkslo0sqqezsru, 2n5747kdxok0ifg5o37336plg, ah3d8xugrx3pqaqxcmg06iyok, 8r3k1iuul274c0ha0vy90jys, enyk37znns1ie2djrh4y3uck4, deb7ysp5fwiouttlarstuxgyc, asvxbmdd5j5tlz2fo1jpcrrx0, 4xw53nccs5e36es4045pnuvis, 4lsj3yc6adimhltkab6tzfj84, 1kuswan9lk455u02x1ff389re, cvobl9pqqtj7hrgtu28grvdre",3919751351,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486369853,1,34,16,0,0,2xlnfgrl6r18ftv38unwp7h4s,1,0,0,2022-11-17T17:00:30.638Z,2022-11-17T17:47:30Z,3919760493,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3919760495,59,"1, 2, 5, 6, 3, 4, 7, 8, 9, 10, 11, 22, 15, 18, 17, 14, 23, 19, 21, 16",3919760497,130,8,3919760501,194,4iurx3g3hajlatv5gcxsqwm7e,3919787865,197,2830,3919760503,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3919760499,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3919760491,30,"4u12cln8rmtkwlu5q36ypjl2i, 47yvsnwrehtn4mwsjcqk4ewyy, 7b0vbfxlv3uiozb19fcj2vsyy, cla6c6izphee9prb80c15baei, e1islmeew98wa2ge0dicloay2, 4iurx3g3hajlatv5gcxsqwm7e, 7uwe0kxpzg271d8ocms7l2kno, cvbasfoccmz0tijnkxyf57n8q, 2x8ywg6gxd17rqfo5a3iharfu, d785q9rpqlyuyswv8f9fx4cno, 8tukt8jsmzkblxxs5w85x4dii, 2x0hbry9gpcq5cbujdee5u904, wlltloe6hbe8hin3hix0366s, ch4mwwdzqiksjm5kfda3f3klw, ix6hcbfujuw3mgefzpsnp2zu, 8mkrj5bnkyhx8kutc4656cy96, amz65a6dp1pwwql1dkonktfys, 8npu0cbqjrhwv5km1w29kh016, 1jr23fmrmezgiaq7k63pro07o, eola3wwbcxl6yeigrj16a3otm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486374879,2,32,1,0,0,2xlnfgrl6r18ftv38unwp7h4s,1,0,0,2022-11-17T17:46:23.553Z,2022-11-17T17:46:26Z,3919789747,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486374877,2,32,1,0,0,ch82doz9w9t1sw9ae3a4ffh0j,1,0,0,2022-11-17T17:46:23.553Z,2022-11-17T17:46:23Z,3919789743,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486374887,3,1,1,0,0,ch82doz9w9t1sw9ae3a4ffh0j,1,50.1,50.3,2022-11-17T17:46:23.788Z,2022-11-17T17:46:27Z,3919789811,141,59.9,3919789819,279,S,3919789807,56,Back,3919789809,140,31.1,3919789813,212,21.0,3919789815,213,2.8,,,,,,,dodkgckgbecal0vivr1jf0hzo,M. Rijks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486374897,4,1,1,0,3,ch82doz9w9t1sw9ae3a4ffh0j,1,30.5,57.6,2022-11-17T17:46:27.382Z,2022-11-17T17:46:30Z,3919789861,56,Back,3919789869,213,4.5,3919789867,212,19.9,3919789863,140,25.6,3919789865,141,29.4,,,,,,,,,,55nra47i364xh4jpkmo93rzai,R. Akmum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486374907,5,1,1,0,6,ch82doz9w9t1sw9ae3a4ffh0j,0,27.4,29.8,2022-11-17T17:46:30.390Z,2022-11-17T17:46:32Z,3919789927,155,,3919789931,140,69.1,3919789939,1,,3919789937,213,0.4,3919789935,212,48.2,3919789933,141,59.6,3919789929,56,Center,,,,c6i4usq34m3389rtbqptahrai,R. Meissen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486374911,3,1,1,0,10,2xlnfgrl6r18ftv38unwp7h4s,0,26,25.8,2022-11-17T17:46:34.126Z,2022-11-17T17:46:35Z,3919789961,3,,3919789969,212,20.8,3919789967,141,15.8,3919789965,140,44.7,3919789963,56,Back,3919789971,213,5.9,,,,,,,47yvsnwrehtn4mwsjcqk4ewyy,D. Arts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486374915,6,1,1,0,13,ch82doz9w9t1sw9ae3a4ffh0j,1,54.9,73.6,2022-11-17T17:46:36.774Z,2022-11-17T17:46:38Z,3919790015,141,69.3,3919790013,140,55.3,3919790017,212,3.0,3919790019,213,4.9,3919790011,56,Center,,,,,,,,,,ealh7n21gctxxw5ol3l3yxzze,Y. Leliendal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486374919,7,1,1,0,14,ch82doz9w9t1sw9ae3a4ffh0j,1,55.3,69.3,2022-11-17T17:46:38.198Z,2022-11-17T17:46:43Z,3919790061,56,Back,3919790069,213,3.1,3919790067,212,19.0,3919790063,140,37.3,3919790065,141,71.4,,,,,,,,,,c2d9oidweb7cj1g39jwuugro4,O. van Eldik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486374927,8,1,1,0,19,ch82doz9w9t1sw9ae3a4ffh0j,1,39.2,70.3,2022-11-17T17:46:43.205Z,2022-11-17T17:46:48Z,3919790103,56,Left,3919790105,140,58.0,3919790107,141,95.6,3919790111,213,0.7,3919790109,212,26.2,,,,,,,,,,55nra47i364xh4jpkmo93rzai,R. Akmum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486374935,9,1,1,0,24,ch82doz9w9t1sw9ae3a4ffh0j,1,54.4,92.3,2022-11-17T17:46:48.181Z,2022-11-17T17:46:57Z,3919790177,141,52.7,3919790183,1,,3919790175,140,37.1,3919790173,56,Back,3919790181,213,4.1,3919790179,212,32.5,,,,,,,ealh7n21gctxxw5ol3l3yxzze,Y. Leliendal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
