id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,assist,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/14/value,qualifier/15/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId
2502458147,1,34,16,0,0,xcevba75jfkrg4s6tl89zl3y,1,0,0,2023-01-30T18:17:05.504Z,2023-01-30T19:00:25Z,4004613775,197,2125,4004573245,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4004573239,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4004573237,30,"cf70r39m2wgbijtw0co5t6yfp, 8eribncmewk65x40tn7pvqymt, 3yq9brnhlfinrzrfbzcv99nmd, 440ry78r7c0ntspgph192c0r9, abgzge9xy445z8rdwa2mcapqt, 969cpy2geokwer9gjapk7zj3e, 5curv1gquatwkxsin86fghvkk, 7b4jmfu1ejoeci2zmvwuejnys, cipmd3k2nfv0ddic0l8go14gl, cglskkkycbja9rjybhui9hdrd, ds0hd4ezvb5rw6l95rhbxtq1g, 62ft9dfhds3wn0dv650d4gkph, 78t5clx87mnpzn7c5ynoa37x1, 7flz5rsy2e31gbd8udiqg14gl, 11sxalz1nikiipmp7bxvz33rp, 1j33nixshgkkdwjjnuafknahh, 1chxk7d4i11x2f16igblexgyc, 3h7rkufywz6c2aye1l5b0ihp0, 96j7klvrblmkwsprx0wk81b10, 1n0syrrxf9x7neh3tn19sc89h, es1ohgwfiwq5f9mx2887zul90, g16sstb2lz1ru2hsba2ml6ju",4004573243,130,8,4004573249,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4004573247,194,440ry78r7c0ntspgph192c0r9,4004573241,59,"1, 27, 28, 10, 22, 20, 14, 23, 35, 24, 33, 4, 5, 6, 9, 11, 16, 17, 18, 21, 31, 32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502458621,1,34,16,0,0,ch82doz9w9t1sw9ae3a4ffh0j,1,0,0,2023-01-30T18:20:31.908Z,2023-01-30T19:00:24Z,4004613765,197,2842,4004576379,130,8,4004576377,59,"1, 2, 5, 6, 3, 14, 11, 8, 10, 7, 9, 16, 12, 18, 17, 15, 24, 19, 22, 31, 21",4004576383,194,ed5sclhs7op7a2mdvetub4dwq,4004576381,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4004576373,30,"c1krps0yssh477m8umrruiqjt, cvobl9pqqtj7hrgtu28grvdre, ealh7n21gctxxw5ol3l3yxzze, ed5sclhs7op7a2mdvetub4dwq, 9wo8twcbs1jnqzdy0c6y8adey, 1kuswan9lk455u02x1ff389re, 5nhideyjwp2347ryi1n9wfq50, 1s6yn52hlqtmmz4lerscf457u, dodkgckgbecal0vivr1jf0hzo, c3akpx5mnexpkslo0sqqezsru, 8r3k1iuul274c0ha0vy90jys, deb7ysp5fwiouttlarstuxgyc, 84isfq4ix06ebaf7a7jcvd9wq, c2d9oidweb7cj1g39jwuugro4, enyk37znns1ie2djrh4y3uck4, asvxbmdd5j5tlz2fo1jpcrrx0, ah3d8xugrx3pqaqxcmg06iyok, 4lsj3yc6adimhltkab6tzfj84, 5q6qsh7qw0f9y754i3ylqfl04, 4xw53nccs5e36es4045pnuvis, 81lcssd0e5g5rerdpyjlrkkyc",4004576375,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4004576385,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502466359,2,32,1,0,0,xcevba75jfkrg4s6tl89zl3y,1,0,0,2023-01-30T19:03:10.117Z,2023-01-30T19:03:11Z,4004616683,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502466353,2,32,1,0,0,ch82doz9w9t1sw9ae3a4ffh0j,1,0,0,2023-01-30T19:03:10.117Z,2023-01-30T19:03:10Z,4004616673,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502466375,3,1,1,0,0,ch82doz9w9t1sw9ae3a4ffh0j,1,50.1,49.9,2023-01-30T19:03:10.217Z,2023-01-30T19:03:13Z,4004616751,279,S,4004616747,212,13.1,4004616741,56,Back,4004616749,213,3.4,4004616743,140,38.2,4004616745,141,44.3,,,,,,,c3akpx5mnexpkslo0sqqezsru,E. Reijnders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502466409,4,1,1,0,3,ch82doz9w9t1sw9ae3a4ffh0j,1,38.2,44.3,2023-01-30T19:03:13.516Z,2023-01-30T19:03:20Z,4004616945,213,0.8,4004616937,56,Left,4004616939,140,66.8,4004616935,155,,4004616943,212,45.2,4004616941,141,93.9,4004616947,1,,,,,ed5sclhs7op7a2mdvetub4dwq,Y. Ikeshita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502467155,26,50,1,0,7,ch82doz9w9t1sw9ae3a4ffh0j,1,70.6,96,2023-01-30T19:03:17.300Z,2023-01-30T20:05:44Z,4004620669,233,3,4004620569,286,,4004620567,56,Left,,,,,,,,,,,,,,,,8r3k1iuul274c0ha0vy90jys,A. Oehlers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502466401,3,7,1,0,7,xcevba75jfkrg4s6tl89zl3y,0,29.4,4,2023-01-30T19:03:17.301Z,2023-01-30T19:05:42Z,4004616893,56,Back,4004620657,233,26,4004616895,285,,,,,,,,,,,,,,,,,8eribncmewk65x40tn7pvqymt,R. Schouten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502466419,5,1,1,0,10,ch82doz9w9t1sw9ae3a4ffh0j,0,41.9,78.1,2023-01-30T19:03:20.332Z,2023-01-30T19:03:21Z,4004616991,141,58.7,4004616993,212,15.4,4004616995,213,5.3,4004616987,56,Back,4004616989,140,49.5,4004616985,3,,,,,,,,1kuswan9lk455u02x1ff389re,C. Mamengi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502466421,4,1,1,0,11,xcevba75jfkrg4s6tl89zl3y,0,62.2,49.4,2023-01-30T19:03:21.509Z,2023-01-30T19:03:24Z,4004617023,213,5.6,4004617021,212,13.2,4004617015,56,Center,4004617019,141,37.7,4004617017,140,72.2,4004617013,3,,,,,,,,ds0hd4ezvb5rw6l95rhbxtq1g,B. Önal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
