id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/11/value,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/12/value,assist,qualifier/13/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2456356213,1,34,16,0,0,dac758ef858jbq7pcb3gfwite,1,0,0,2022-09-05T17:28:40.156Z,2022-09-05T18:00:41Z,3760920977,197,487,3760851827,130,8,3760851831,194,ip62fljz9ng6sil4krcq8dm1,3760851821,30,"dmsmbn9a1qucwf100o3v77nbp, armxucjqaulvwfxyufovg3je1, e8si4ph9te020gpicg3k2k3u2, f2snk84xy67ergwrwoblgt2ad, akfbttkeqfd8pzhe93ra674kp, ip62fljz9ng6sil4krcq8dm1, 6zxcmzp7w6esj54g05tvk7ai1, arrbpgnwbguhyumc8c1u4jsut, azt0ll196snbxy38eqw7mtln9, bzf3k4wvqvx1tl1mx960wjv85, 6p6sdikmka45csxfw0i0q0l3p, 1o51op6w576yo6t585wkwistm, bmbzc4jvazdiuddsbnceyauei, g0s22zvneqmryewunetlsbje, sbxnlkg50itbqkpuh8wnwk45, 5r73kuy4vdv1epvmzrhb6nskq, 1jeb7li66vn913oub7t7l7x79, we5jzu2ad4z3wxaerwe6sdex, 2sxmpaw4khmgyym320oiwu3u, awokzor2tv5ro47ea34at1gx5, 80dk8iv6p0202z10qcqy8bfca, 96m6s1ty8x9cyiev84z6z6n84",3760851829,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3760851823,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3760851833,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3760851825,59,"1, 19, 12, 17, 4, 21, 20, 18, 33, 10, 29, 2, 8, 14, 15, 22, 23, 26, 27, 28, 32, 38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456357945,1,34,16,0,0,6lzy9iiqoysvtdsgx719fng9n,1,0,0,2022-09-05T17:33:10.702Z,2022-09-05T18:00:40Z,3760920959,197,2828,3760861683,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3760861665,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3760861675,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3760861669,59,"1, 2, 5, 8, 3, 4, 7, 6, 9, 10, 11, 19, 20, 22, 17, 15, 16, 23, 18, 21, 12, 24",3760861673,130,8,3760861663,30,"68hoounwudpjrr2wmovkyvswk, 2zkaf848fjcdhuii8783pkm7e, 47l204bkq2qqjhtazusr0019m, 9nix5y8xcj34ps62r34udtqwa, 3z9bdfblis9tl3e1uo7e72h62, 4gso82x236c4xe0eovfr50sfd, 2x44f29a52v8kpkkjsuiiywdm, b8ixf31bdyfqqcwoy4ulai73e, 6w6ewzxircqxk6dsrs1rvc8ru, 80i3boeh7f1ghu4ka7r66izje, alfx6xxo38q6hmydbcr0rw67e, cxu054j55uj2s3p34rqfthch6, 6m0pdqqontm1tfxayxku0kv3e, f593mnttzie8gicqlig2zvzvu, 5hkkwzs8wgjj94vfe922nvthw, 7d8a2cp7xza48arxctlpqrvh0, a7vlgirln231n3dqjhb72o0es, 13k94iyejsdn4e51jx32rb23u, 9pox9siobczxr9fv3fvvx3h1w, baghnvel8qsn5k9s79jiyldnu, ed0pwegj0n6iwb6oa52obcsgk, cz1z8lwylayy1u7ixprtnubu2",3760861679,194,b8ixf31bdyfqqcwoy4ulai73e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456368663,2,32,1,0,0,dac758ef858jbq7pcb3gfwite,1,0,0,2022-09-05T18:02:59.311Z,2022-09-05T18:02:59Z,3760924995,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456368675,2,32,1,0,0,6lzy9iiqoysvtdsgx719fng9n,1,0,0,2022-09-05T18:02:59.311Z,2022-09-05T18:03:01Z,3760925069,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456368701,3,1,1,0,0,dac758ef858jbq7pcb3gfwite,1,49.9,50,2022-09-05T18:02:59.411Z,2022-09-05T18:03:05Z,3760925183,56,Back,3760925189,141,53.3,3760925193,212,21.0,3760925187,140,30.0,3760925201,279,S,3760925197,213,3.0,,,,,,,azt0ll196snbxy38eqw7mtln9,S. Armenteros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456368725,4,1,1,0,6,dac758ef858jbq7pcb3gfwite,1,43.4,52.2,2022-09-05T18:03:05.476Z,2022-09-05T18:03:09Z,3760925345,140,52.0,3760925349,141,40.9,3760925343,56,Center,3760925357,213,5.6,3760925353,212,11.9,,,,,,,,,,arrbpgnwbguhyumc8c1u4jsut,M. Vejinović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456368733,5,1,1,0,10,dac758ef858jbq7pcb3gfwite,1,51.3,42.1,2022-09-05T18:03:09.476Z,2022-09-05T18:03:10Z,3760925397,212,26.7,3760925391,56,Back,3760925393,140,25.9,3760925399,213,3.1,3760925395,141,44.2,,,,,,,,,,6zxcmzp7w6esj54g05tvk7ai1,K. Lunding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456368757,6,1,1,0,11,dac758ef858jbq7pcb3gfwite,1,25.9,44.2,2022-09-05T18:03:10.484Z,2022-09-05T18:03:15Z,3760925561,213,1.5,3760925557,141,60.9,3760925551,3,,3760925559,212,11.4,3760925553,56,Back,3760925555,140,26.6,,,,,,,akfbttkeqfd8pzhe93ra674kp,S. Sonnenberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456368777,7,1,1,0,15,dac758ef858jbq7pcb3gfwite,1,30.3,62.9,2022-09-05T18:03:14.868Z,2022-09-05T18:03:18Z,3760925739,212,46.8,3760925733,56,Center,3760925741,213,6.0,3760925735,140,73.5,3760925737,141,45.8,3760925743,1,,3760925731,155,,,,,ip62fljz9ng6sil4krcq8dm1,J. Hoogma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456368793,8,1,1,0,18,dac758ef858jbq7pcb3gfwite,0,73.5,45.8,2022-09-05T18:03:18.099Z,2022-09-05T18:03:23Z,3760925839,3,,3760925841,56,Center,3760925845,141,66.0,3760925847,212,15.5,3760925843,140,80.4,3760925849,213,1.1,,,,,,,f2snk84xy67ergwrwoblgt2ad,T. Bruns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
