id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/9/value,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,assist,qualifier/13/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/14/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId
2485834575,1,34,16,0,0,ch82doz9w9t1sw9ae3a4ffh0j,1,0,0,2022-11-14T18:12:50.946Z,2022-11-14T19:04:29Z,3916988523,30,"c1krps0yssh477m8umrruiqjt, 84isfq4ix06ebaf7a7jcvd9wq, ealh7n21gctxxw5ol3l3yxzze, ed5sclhs7op7a2mdvetub4dwq, c6i4usq34m3389rtbqptahrai, 1kuswan9lk455u02x1ff389re, 5nhideyjwp2347ryi1n9wfq50, 1s6yn52hlqtmmz4lerscf457u, dodkgckgbecal0vivr1jf0hzo, c3akpx5mnexpkslo0sqqezsru, 2n5747kdxok0ifg5o37336plg, ah3d8xugrx3pqaqxcmg06iyok, 8r3k1iuul274c0ha0vy90jys, enyk37znns1ie2djrh4y3uck4, c2d9oidweb7cj1g39jwuugro4, deb7ysp5fwiouttlarstuxgyc, asvxbmdd5j5tlz2fo1jpcrrx0, 4xw53nccs5e36es4045pnuvis, 55nra47i364xh4jpkmo93rzai, 4lsj3yc6adimhltkab6tzfj84, cvobl9pqqtj7hrgtu28grvdre",3916988533,194,ed5sclhs7op7a2mdvetub4dwq,3916988529,130,8,3916988527,59,"1, 2, 5, 6, 3, 14, 11, 8, 10, 7, 9, 23, 17, 21, 18, 16, 15, 31, 24, 19, 12",3917042473,197,2842,3916988525,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3916988535,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3916988531,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485835661,1,34,16,0,0,bqm1bnp1bh2apyudlz1o1whr3,1,0,0,2022-11-14T18:16:31.097Z,2022-11-14T19:04:41Z,3917043083,197,8970,3916993905,194,7d9x6ojih9obktxl3fnrjskk4,3916993901,130,8,3916993887,30,"rgspixypiwxuenf1yaukrrop, bk7742h8fac9g6e6wh7nnugkq, gmu8p51rp6bjzs0bss5jupzo, 88m6s6m8ep0p3fropim4ttcoa, axbyqn4r430cilb6lbnzpbuvo, 7d9x6ojih9obktxl3fnrjskk4, 2kdavfzjymb8uhgjj3c97e2uh, epkss1rj7z6duqd3axbcm8l0q, 2072f0p9ful9u577gdvo89yw9, 2gwigr63tgo2jw460msz2qgwk, avv12sgcucblnbfb790xovf8, 54bf7p613bf3n0gefid4tt0r8, eog43l8hrs7pbza9bmwu0p2sq, 3usiruyhxf6p9lkiz5qeytze2, er8v2eo4vlak5ftjetqhinfv8, e4k6t8tld877pq2s0e1vo5p4a, eke044f5xni8gdztggk6x4a1h, 1dljhkcvmodqq9u1w8iv145m2, 1b409f4dv852le376vbcjdmhg, 966zp0zv6513cnn3q2t6xvtyi",3916993903,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3916993895,59,"12, 32, 5, 31, 2, 4, 7, 8, 10, 16, 14, 23, 1, 9, 15, 17, 21, 22, 24, 28",3916993891,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3916993907,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485845481,2,32,1,0,0,bqm1bnp1bh2apyudlz1o1whr3,1,0,0,2022-11-14T19:01:51.448Z,2022-11-14T19:01:51Z,3917044683,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485845485,2,32,1,0,0,ch82doz9w9t1sw9ae3a4ffh0j,1,0,0,2022-11-14T19:01:51.448Z,2022-11-14T19:01:54Z,3917044697,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485845489,3,1,1,0,0,ch82doz9w9t1sw9ae3a4ffh0j,1,50.1,50.3,2022-11-14T19:01:51.548Z,2022-11-14T19:19:09Z,3917044731,279,S,3917044725,141,58.8,3917044727,212,19.9,3917044721,56,Back,3917044729,213,2.8,3917044723,140,32.0,,,,,,,dodkgckgbecal0vivr1jf0hzo,M. Rijks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485845513,4,1,1,0,5,ch82doz9w9t1sw9ae3a4ffh0j,1,34.4,58.7,2022-11-14T19:01:56.477Z,2022-11-14T19:01:59Z,3917044853,213,0.6,3917044845,56,Left,3917044849,141,96.0,3917044847,140,70.3,3917044851,212,45.4,3917044855,1,,3917044843,155,,,,,ed5sclhs7op7a2mdvetub4dwq,Y. Ikeshita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485845515,5,50,1,0,7,ch82doz9w9t1sw9ae3a4ffh0j,1,68,94.6,2022-11-14T19:01:59.021Z,2022-11-14T19:02:01Z,3917044929,233,3,3917044863,286,,3917044861,56,Left,,,,,,,,,,,,,,,,2n5747kdxok0ifg5o37336plg,L. Edhart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485845523,3,7,1,0,7,bqm1bnp1bh2apyudlz1o1whr3,1,32,5.4,2022-11-14T19:01:59.022Z,2022-11-14T19:02:00Z,3917044901,285,,3917044899,56,Back,3917044909,233,5,,,,,,,,,,,,,,,,bk7742h8fac9g6e6wh7nnugkq,T. Zeegers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485845525,4,49,1,0,8,bqm1bnp1bh2apyudlz1o1whr3,1,39.3,9.4,2022-11-14T19:02:00.202Z,2022-11-14T19:02:21Z,,,,,,,,,,,,,,,,,,,,,,,,,2kdavfzjymb8uhgjj3c97e2uh,S. Blummel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485845529,5,1,1,0,8,bqm1bnp1bh2apyudlz1o1whr3,1,39.3,9.4,2022-11-14T19:02:00.361Z,2022-11-14T19:02:19Z,3917044933,140,33.0,3917044939,213,2.1,3917044937,212,14.2,3917044931,56,Back,3917044935,141,27.9,,,,,,,,,,2kdavfzjymb8uhgjj3c97e2uh,S. Blummel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
