id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/9/value,qualifier/10/value,assist,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId
2459283771,1,34,16,0,0,59t7flioj4w4mpwnrwbm0m8ck,1,0,0,2022-09-12T17:23:02.128Z,2022-09-12T18:10:23Z,3776407365,30,"8jml2tgzk1am30cy4gkgx0wd1, bdb33nwcpd2jufn9ggtl7gvzd, 1falkoydwxoiazskcoalwll62, 89plvrt8pzppcclh4axvii0ru, d5g7rl9a83vu3cyyzvu5yveqy, 4mhahoh3a6rir882ug9hdb5nu, ekur9x1kzp8wq0lwfwev0b0bu, 3xza88l7s8dlki9kleqwz2puy, 2an4s7uuqa9a6sl7vutznc7o5, 4j9ug0ng9dhx6xwhdwx6fafx0, 6nd0ifv6ljza9nauxcpejqzft, 5gunbyh0bjzutryox97ihxot1, 36u3tovqdi3885wk3139wczfu, 41es2x265ddlzqjqa6wb9vey2, emaf4mjxn2255qlcn1pcxn36x, 4shkxwb3ujuajna3gdg34cxjp, 9urh0cy0a8ni61fuxmiqosnis, 7oo6h3pq8wv5rgp1dkaolrhg4, f48jetdaq8dttcdo11mugaxnt, 8gkh6rsfo2tsrsiirv05bm1yi",3776407375,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3776407371,59,"1, 2, 5, 6, 3, 24, 11, 18, 9, 8, 10, 16, 12, 14, 19, 21, 23, 25, 27, 36",3776407373,130,8,3776407379,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3776480773,197,491,3776407369,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3776407377,194,89plvrt8pzppcclh4axvii0ru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459283811,1,34,16,0,0,6lzy9iiqoysvtdsgx719fng9n,1,0,0,2022-09-12T17:23:12.324Z,2022-09-12T18:02:19Z,3776407587,194,f593mnttzie8gicqlig2zvzvu,3776407589,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3776407579,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3776407583,130,4,3776407577,30,"ed0pwegj0n6iwb6oa52obcsgk, a7vlgirln231n3dqjhb72o0es, 7d8a2cp7xza48arxctlpqrvh0, cxu054j55uj2s3p34rqfthch6, 3z9bdfblis9tl3e1uo7e72h62, 4gso82x236c4xe0eovfr50sfd, dlgqk5qe96gaxeq8vu4dozyms, b8ixf31bdyfqqcwoy4ulai73e, 80i3boeh7f1ghu4ka7r66izje, alfx6xxo38q6hmydbcr0rw67e, f593mnttzie8gicqlig2zvzvu, 6m0pdqqontm1tfxayxku0kv3e, 5hkkwzs8wgjj94vfe922nvthw, 13k94iyejsdn4e51jx32rb23u, baghnvel8qsn5k9s79jiyldnu, 68hoounwudpjrr2wmovkyvswk, 9uuauzry847hfrj712j7bugic, cczptju66ofuymrlsol11fpxw",3776457847,197,2828,3776407581,59,"1, 2, 5, 6, 3, 4, 10, 8, 9, 7, 11, 16, 15, 18, 17, 12, 19, 20",3776407585,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459292563,2,32,1,0,0,6lzy9iiqoysvtdsgx719fng9n,1,0,0,2022-09-12T18:02:02.512Z,2022-09-12T18:02:03Z,3776458513,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459292555,2,32,1,0,0,59t7flioj4w4mpwnrwbm0m8ck,1,0,0,2022-09-12T18:02:02.512Z,2022-09-12T18:02:02Z,3776458479,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459292571,3,1,1,0,0,59t7flioj4w4mpwnrwbm0m8ck,1,49.9,50.6,2022-09-12T18:02:02.612Z,2022-09-12T18:02:06Z,3776458567,213,3.4,3776458559,56,Back,3776458569,279,S,3776458563,141,39.4,3776458561,140,26.9,3776458565,212,25.3,,,,,,,4j9ug0ng9dhx6xwhdwx6fafx0,E. Banzuzi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459292577,4,1,1,0,4,59t7flioj4w4mpwnrwbm0m8ck,1,27.9,37.4,2022-09-12T18:02:06.797Z,2022-09-12T18:02:09Z,3776458603,155,,3776458613,213,0.6,3776458607,140,69.1,3776458609,141,77.6,3776458611,212,51.2,3776458605,56,Center,3776458615,1,,,,,d5g7rl9a83vu3cyyzvu5yveqy,A. MacNulty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459292581,5,44,1,0,7,59t7flioj4w4mpwnrwbm0m8ck,1,70.6,79.5,2022-09-12T18:02:09.627Z,2022-09-12T18:02:10Z,3776458639,233,3,3776458625,286,,3776458623,56,Left,,,,,,,,,,,,,,,,2an4s7uuqa9a6sl7vutznc7o5,J. van der Sande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459292579,3,44,1,0,7,6lzy9iiqoysvtdsgx719fng9n,0,29.4,20.5,2022-09-12T18:02:09.628Z,2022-09-12T18:02:10Z,3776458619,56,Back,3776458621,285,,3776458651,233,5,,,,,,,,,,,,,,,,alfx6xxo38q6hmydbcr0rw67e,S. Hansen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459292591,6,1,1,0,7,59t7flioj4w4mpwnrwbm0m8ck,1,69.1,77.3,2022-09-12T18:02:10.157Z,2022-09-12T18:02:12Z,3776458695,56,Left,3776458701,212,2.2,3776458703,213,1.6,3776458693,3,,3776458697,140,69.1,3776458699,141,80.6,,,,,,,2an4s7uuqa9a6sl7vutznc7o5,J. van der Sande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459292609,7,1,1,0,10,59t7flioj4w4mpwnrwbm0m8ck,1,68.7,92.3,2022-09-12T18:02:12.812Z,2022-09-12T18:02:15Z,3776458769,56,Left,3776458771,140,56.9,3776458777,213,2.9,3776458775,212,12.6,3776458773,141,96.0,,,,,,,,,,6nd0ifv6ljza9nauxcpejqzft,O. Velanas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459292629,8,1,1,0,12,59t7flioj4w4mpwnrwbm0m8ck,1,55.3,95.9,2022-09-12T18:02:15.308Z,2022-09-12T18:02:18Z,3776458879,56,Back,3776458883,141,85.4,3776458885,212,24.1,3776458881,140,33.4,3776458887,213,3.4,,,,,,,,,,1falkoydwxoiazskcoalwll62,F. Di Michele Sanchez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459292643,9,1,1,0,16,59t7flioj4w4mpwnrwbm0m8ck,1,34.2,82.9,2022-09-12T18:02:18.861Z,2022-09-12T18:02:24Z,3776458969,140,12.5,3776458967,56,Back,3776458973,212,30.4,3776458971,141,53.3,3776458975,213,3.9,,,,,,,,,,4mhahoh3a6rir882ug9hdb5nu,T. Velthuis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459292659,10,1,1,0,21,59t7flioj4w4mpwnrwbm0m8ck,1,10.1,51.8,2022-09-12T18:02:24.125Z,2022-09-12T18:02:26Z,3776459057,213,5.2,3776459051,140,18.0,3776459053,141,31.0,3776459055,212,16.4,3776459049,56,Back,,,,,,,,,,8jml2tgzk1am30cy4gkgx0wd1,R. Kortsmit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459292705,11,1,1,0,24,59t7flioj4w4mpwnrwbm0m8ck,1,18.5,29.7,2022-09-12T18:02:26.605Z,2022-09-12T18:02:32Z,3776459277,141,51.9,3776459279,212,20.9,3776459275,140,4.7,3776459273,56,Back,3776459281,213,2.3,,,,,,,,,,d5g7rl9a83vu3cyyzvu5yveqy,A. MacNulty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
