id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,assist,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/13/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/14/value
2529859615,1,34,16,0,0,1fttb31hnskynpku8qd09yhm8,1,0,0,2023-04-07T17:16:31.288Z,2023-04-07T19:34:25Z,4170346417,197,16350,4170257295,30,"6q72mpmc478hlf4f7ths9ez56, dolfy51fw3jycb0cfhoecbo16, 9jofs3271wn4cwlkj9hfay7vu, d1dq7upxtawnps3wljz6wf9jo, cx3fqj7odbuc6i0kppcie4jmy, 6ylzm57bvpufg3cenadtv7qhh, dmtsvsqvdoqqtmrset0uz0and, a49001euf7xwpx5wodembjbo5, 48sqqhgtmfmpqb3602iirspd6, ccmmsnrfn58gwi1petlp08f3e, c46xp363o8m76eswzfmlsel4a, bs14utcyx2am6s46cuv52nf56, bdtti3sckhcppilsisgu7well, 673zq55hik8gvoj5ednuemg2x, 124bbojic7k5medlvgvxmcm39, 4lnhhxtl72v8wlss3xgrrbr2t, 9vu68zcajmrqmkkchmpdrebu2, 2ylw573o2rkvuczi9nm5t7hed, bd4rr8l425ard803x39ju1ppm, 88e3xx835uqx9x850y6u0dbai, 5b7rnpnnllz8qdc6fx2c5mzje, a59aos4xq3vklv2joqa09axre, evz953s9rvki1w9c3hsljss7p",4170257305,194,6ylzm57bvpufg3cenadtv7qhh,4170257303,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4170257299,59,"1, 20, 22, 28, 3, 4, 14, 18, 17, 10, 5, 9, 11, 21, 23, 25, 26, 27, 32, 35, 36, 46, 40",4170257297,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4170257301,130,8,4170257307,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529861751,1,34,16,0,0,1wyg1tunyt7go9tnjea1hjqxb,1,0,0,2023-04-07T17:23:58.469Z,2023-04-07T18:00:58Z,4170269353,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4170349421,197,18074,4170269355,194,19wuvqpmewphgvsfzi4yjl756,4170269345,30,"7wrulbqqdeecd5vegsbb1905w, b8k8uynw043b6q9xm0lfzszmy, 7s2zxbtepa7dgr8yl0s48afpw, cs49ec8y6cubrlo5nmu3j3jtg, b1h2eiqxic31ioxbs1zjd709g, b4vrfh7z9qt9e5gdpkajrqolw, 19wuvqpmewphgvsfzi4yjl756, cwu5itv65s8p6zsalk3np4ic, 51f3vubki4or5vaft5tromn3e, 9v7zwguzazofzafwg3qevdo4q, 8i6cjao5lwxzaomilei61kbxm, a33sy9bstlsfq023oiym5qk9g, 8o2iv0qhfft5pgzm75ckuo0es, 4oyjji4wqmuu3uia6htj0q1hw, wuh8s4gfo9ro3nel3rormg44, 842wr3ptcycwsg44mgt0zp7o4, 9bgq1tfyfzc3wg9pfr8q510k4, 3u0yfnfs6jqx0xv2epsynesd0, 35zljca9f38wwue7geei62xw4",4170269349,59,"1, 2, 5, 8, 3, 4, 7, 6, 9, 10, 11, 12, 18, 19, 20, 17, 14, 16, 15",4170269351,130,8,4170269357,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4170269347,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529876793,2,32,1,0,0,1fttb31hnskynpku8qd09yhm8,1,0,0,2023-04-07T18:02:04.013Z,2023-04-07T18:02:04Z,4170352631,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529876803,2,32,1,0,0,1wyg1tunyt7go9tnjea1hjqxb,1,0,0,2023-04-07T18:02:04.013Z,2023-04-07T18:02:06Z,4170352697,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529876811,3,1,1,0,0,1wyg1tunyt7go9tnjea1hjqxb,1,50,49.5,2023-04-07T18:02:04.365Z,2023-04-07T18:56:58Z,4170352737,140,39.3,4170352743,212,13.6,4170352745,213,3.7,4170352733,56,Back,4170352747,279,S,4170352741,141,38.2,,,,,,,19wuvqpmewphgvsfzi4yjl756,I. Griffith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529876845,4,1,1,0,3,1wyg1tunyt7go9tnjea1hjqxb,1,30,36.5,2023-04-07T18:02:07.950Z,2023-04-07T18:02:09Z,4170352957,213,0.7,4170352951,140,69.1,4170352947,56,Left,4170352959,1,,4170352955,212,52.9,4170352945,155,,4170352953,141,85.5,,,,b1h2eiqxic31ioxbs1zjd709g,L. Postma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529876851,5,61,1,0,5,1wyg1tunyt7go9tnjea1hjqxb,0,69.1,85.5,2023-04-07T18:02:09.422Z,2023-04-07T18:02:09Z,4170352983,56,Left,,,,,,,,,,,,,,,,,,,,,,8i6cjao5lwxzaomilei61kbxm,R. Kewal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529876857,3,1,1,0,5,1fttb31hnskynpku8qd09yhm8,0,34.5,34.8,2023-04-07T18:02:09.950Z,2023-04-07T18:02:10Z,4170353013,140,29.1,4170353019,141,43.9,4170353009,56,Back,4170353021,212,8.4,4170353023,213,2.3,,,,,,,,,,dmtsvsqvdoqqtmrset0uz0and,Pascu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529876941,6,1,1,0,8,1wyg1tunyt7go9tnjea1hjqxb,1,69.8,47.6,2023-04-07T18:02:12.957Z,2023-04-07T18:02:18Z,4170353439,213,4.5,4170353433,140,66.0,4170353437,212,22.8,4170353435,141,14.6,4170353431,56,Right,,,,,,,,,,51f3vubki4or5vaft5tromn3e,Y. Barası,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529876969,7,1,1,0,14,1wyg1tunyt7go9tnjea1hjqxb,1,64.6,14,2023-04-07T18:02:18.685Z,2023-04-07T18:02:20Z,4170353601,141,32.0,4170353603,212,31.0,4170353597,56,Back,4170353605,213,2.7,4170353599,140,37.5,,,,,,,,,,b8k8uynw043b6q9xm0lfzszmy,J. van Aken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
