id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,keyPass,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,assist,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2521050695,1,34,16,0,0,dac758ef858jbq7pcb3gfwite,1,0,0,2023-03-17T18:12:46.483Z,2023-03-17T18:58:40Z,4102741509,59,"1, 5, 12, 17, 6, 21, 11, 15, 33, 10, 29, 2, 4, 7, 8, 9, 18, 22, 23, 26, 28, 34, 39",4102741515,194,ip62fljz9ng6sil4krcq8dm1,4102741511,130,8,4102741507,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4102741505,30,"dmsmbn9a1qucwf100o3v77nbp, 4dk7h575fifmw2lhslevhmhux, e8si4ph9te020gpicg3k2k3u2, f2snk84xy67ergwrwoblgt2ad, afdwdm1rkz1ir3c0tukfh3jhm, ip62fljz9ng6sil4krcq8dm1, etwawuknprhxhmjk1tyq38e6t, sbxnlkg50itbqkpuh8wnwk45, azt0ll196snbxy38eqw7mtln9, bzf3k4wvqvx1tl1mx960wjv85, 6p6sdikmka45csxfw0i0q0l3p, 1o51op6w576yo6t585wkwistm, akfbttkeqfd8pzhe93ra674kp, 8loz5cz4zynb8plfusi3ewd79, bmbzc4jvazdiuddsbnceyauei, dqey55v1t24jngquk81aii8lw, arrbpgnwbguhyumc8c1u4jsut, 5r73kuy4vdv1epvmzrhb6nskq, 1jeb7li66vn913oub7t7l7x79, we5jzu2ad4z3wxaerwe6sdex, awokzor2tv5ro47ea34at1gx5, e5c8wtame01unosnz4zchwljo, 49zitlyt01houmqy6hk04x36y",4102903817,197,487,4102741513,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4102741517,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521051497,1,34,16,0,0,dnzj0iv5qtaemm9kthh9pos8q,1,0,0,2023-03-17T18:13:48.661Z,2023-03-17T19:02:39Z,4102745613,194,7cetznpb0tnu6kdz7bvm8gyxh,4102745605,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4102745615,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4102745609,130,8,4102745603,30,"alzgg0nxnnex3nkzr6lgmt1ey, dcdvet7azx1a59xm2ke7qi2cq, 5ffbqf6o50173uqvaefnce4gk, 8uw9w30592omb8acpnssgdlh, 7cetznpb0tnu6kdz7bvm8gyxh, cexuwvet4xiruf1jitkjjp7qi, f1as17wqpj44gihtvw936lofd, bquqyyfz4lj0xrerbhbtj1jze, au91rqig6uyyi1zdmlxydk38q, 1g9raiu2poutpdgjq7dmk4oru, 6dpxvfpnaua6y4gevop02qc8a, 5dppoogob8jwl8n3884uqm4iy, 93qm711l519orc2jhlywfk19m, b61yiz3lait78xmlbyzr2vd62, 4zow18ykkg1gvw40r7jsrzkl, 4z8o35izc3gx6i2bt4mcs1fjd, 5chl0qcvbbkd0yeogurw1fz6x, 9nrajqcpld6bcowgarf1zr0iy, dzehnxim5noolef8c7j4d8a5m, 1mroid71v9bwpx0iaospei9gq, b950jt347chmq9whlkgl6fxpm",4102903857,197,2848,4102745607,59,"1, 2, 21, 19, 15, 3, 17, 18, 6, 22, 7, 27, 30, 11, 12, 16, 23, 24, 26, 28, 39",4102745611,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521083965,2,32,1,0,0,dac758ef858jbq7pcb3gfwite,1,0,0,2023-03-17T19:01:17.556Z,2023-03-17T19:01:17Z,4102913025,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521083967,2,32,1,0,0,dnzj0iv5qtaemm9kthh9pos8q,1,0,0,2023-03-17T19:01:17.556Z,2023-03-17T19:01:20Z,4102913027,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521083985,3,1,1,0,0,dac758ef858jbq7pcb3gfwite,1,50,50,2023-03-17T19:01:17.656Z,2023-03-17T20:51:34Z,4102913139,213,4.1,4102913133,140,46.0,4102913137,212,7.6,4102913135,141,40.6,4102913131,56,Back,4102913141,279,S,,,,,,,bzf3k4wvqvx1tl1mx960wjv85,A. Ouahim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521083999,4,1,1,0,2,dac758ef858jbq7pcb3gfwite,1,46,41,2023-03-17T19:01:20.041Z,2023-03-17T19:02:15Z,4102913223,212,36.6,4102913227,1,,4102913219,140,55.8,4102913225,213,1.3,4102913221,141,92.6,4102913217,56,Left,,,,,,,f2snk84xy67ergwrwoblgt2ad,T. Bruns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521084033,5,1,1,0,4,dac758ef858jbq7pcb3gfwite,0,55.8,92.6,2023-03-17T19:01:22.105Z,2023-03-17T19:01:26Z,4102913441,1,,4102913431,56,Center,4102913435,141,56.7,4102913429,155,,4102913437,212,41.3,4102913439,213,5.7,4102913433,140,87.5,,,,6p6sdikmka45csxfw0i0q0l3p,E. Hansson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521084051,3,52,1,0,8,dnzj0iv5qtaemm9kthh9pos8q,1,9.3,41.2,2023-03-17T19:01:25.818Z,2023-03-17T19:01:26Z,,,,,,,,,,,,,,,,,,,,,,,,,alzgg0nxnnex3nkzr6lgmt1ey,T. Jansen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521084149,4,1,1,0,11,dnzj0iv5qtaemm9kthh9pos8q,1,9.2,40.1,2023-03-17T19:01:29.447Z,2023-03-17T19:01:32Z,4102914029,123,,4102914037,140,17.2,4102914051,213,5.4,4102914047,212,13.1,4102914033,56,Back,4102914041,141,25.4,,,,,,,alzgg0nxnnex3nkzr6lgmt1ey,T. Jansen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521084187,5,1,1,0,14,dnzj0iv5qtaemm9kthh9pos8q,0,19,16.1,2023-03-17T19:01:32.552Z,2023-03-17T19:01:35Z,4102914219,213,0.1,4102914213,140,70.8,4102914221,1,,4102914217,212,54.7,4102914215,141,24.6,4102914209,155,,4102914211,56,Center,,,,7cetznpb0tnu6kdz7bvm8gyxh,L. Piqué,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
