id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/9/value,qualifier/10/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/11/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist
2536649963,1,34,16,0,0,xcevba75jfkrg4s6tl89zl3y,1,0,0,2023-04-21T17:20:53.458Z,2023-04-21T18:22:10Z,4206417185,197,2124,4206321447,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4206321451,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4206321439,30,"cf70r39m2wgbijtw0co5t6yfp, abgzge9xy445z8rdwa2mcapqt, 3yq9brnhlfinrzrfbzcv99nmd, 7flz5rsy2e31gbd8udiqg14gl, 92mkw4rtoho0gkf3wr19c9iad, 969cpy2geokwer9gjapk7zj3e, 1j33nixshgkkdwjjnuafknahh, 7b4jmfu1ejoeci2zmvwuejnys, 3h7rkufywz6c2aye1l5b0ihp0, 5curv1gquatwkxsin86fghvkk, ds0hd4ezvb5rw6l95rhbxtq1g, 440ry78r7c0ntspgph192c0r9, 1chxk7d4i11x2f16igblexgyc, cglskkkycbja9rjybhui9hdrd, 117h1l06g6f9osjp3pbb4tvro, 8eribncmewk65x40tn7pvqymt, 56i6rp74me1bdnqz1hzilzyfo, dphyw1e1tt610xaviusz662vo, g16sstb2lz1ru2hsba2ml6ju, vp0ugvtvnm7d72lyd3gsixhw, cipmd3k2nfv0ddic0l8go14gl, 6ekdeo3kocwds8ctbjoa4dhjo, ck7e2h6thujvs1j9663xsy6ms",4206321443,59,"1, 22, 28, 6, 3, 20, 11, 23, 17, 14, 33, 10, 16, 24, 25, 27, 29, 30, 32, 34, 35, 36, 37",4206321445,130,8,4206321449,194,abgzge9xy445z8rdwa2mcapqt,4206321441,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536651021,1,34,16,0,0,e8hiwrw6ocxm5iht6sp7jiv19,1,0,0,2023-04-21T17:23:51.240Z,2023-04-21T17:59:25Z,4206327621,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4206327611,59,"39, 45, 4, 21, 5, 25, 35, 17, 9, 42, 26, 6, 8, 10, 11, 15, 23, 24, 28, 30, 33, 34",4206327619,194,8z4wdv767cv7ddqgrkz5txsrt,4206327607,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4206327615,130,15,4206327603,30,"a8fr8gzw2n7gyl4kb58xjtknp, 1hpmrfb0mbmevf9edj0o0bv56, 8z4wdv767cv7ddqgrkz5txsrt, 7fhe8ij85yc4gz6v3zuq62l05, b1zeqxuwoyzx1eukf18ptdgq, 9oajgqqc9gkgbcz090it0tlhw, eybrr6zz7x6d1ftc7u4vphn85, b4a2wu8fdbrh5sirpv34hoewa, b1yxo0olp9c2ufh1l1qxsef9x, 9tru2a7pof2r37s8ro29uv3dh, 12y6tmd1yr04c0ed2klslpwb9, 9knokmhy9zckjq0gv7txx9zsa, cp732f8tqz91xeahijtd35rd, bdpso3uk915bg1tr1d7s0p7je, 5l4fkm9a0pvfi9qiy6gipf71m, dbku5mn74cqjzu7o91vzrlbtg, axhjtqfa2xxud2tdle8zfxrkl, dineetneurorxpx1yv0v8tega, 17oeipaq6y7pvs42fpx9oy9uy, 7c58hgy3g9gntpuqf5w5hpvu2, 5n5otf2ldw9w4nbm8zjabnd1x, 9l5hp0tmizix8z6h5b5vqvhm1",4206416741,197,451,4206327617,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536668657,2,32,1,0,0,e8hiwrw6ocxm5iht6sp7jiv19,1,0,0,2023-04-21T18:01:44.628Z,2023-04-21T18:01:44Z,4206423477,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536668719,3,32,1,0,0,xcevba75jfkrg4s6tl89zl3y,1,0,0,2023-04-21T18:01:44.628Z,2023-04-21T18:01:49Z,4206423801,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536668687,3,1,1,0,0,e8hiwrw6ocxm5iht6sp7jiv19,1,49.9,49.7,2023-04-21T18:01:44.728Z,2023-04-21T18:01:47Z,4206423641,279,S,4206423633,140,38.6,4206423631,56,Back,4206423639,213,3.6,4206423635,141,41.9,4206423637,212,13.0,,,,,,,b1yxo0olp9c2ufh1l1qxsef9x,T. Verheydt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536668725,4,1,1,0,2,e8hiwrw6ocxm5iht6sp7jiv19,1,38.7,42.2,2023-04-21T18:01:46.992Z,2023-04-21T18:01:50Z,4206423813,140,26.3,4206423815,141,28.6,4206423819,213,3.8,4206423811,56,Back,4206423817,212,16.0,,,,,,,,,,eybrr6zz7x6d1ftc7u4vphn85,R. Kishna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536668741,5,1,1,0,5,e8hiwrw6ocxm5iht6sp7jiv19,1,26.3,28.6,2023-04-21T18:01:50.048Z,2023-04-21T18:01:51Z,4206423889,56,Back,4206423893,141,51.6,4206423895,212,25.7,4206423897,213,2.5,4206423891,140,6.9,,,,,,,,,,b1zeqxuwoyzx1eukf18ptdgq,D. Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536668789,6,2,1,0,7,e8hiwrw6ocxm5iht6sp7jiv19,1,8.8,51.3,2023-04-21T18:01:51.648Z,2023-04-21T18:02:02Z,4206424115,140,61.2,4206424621,7,b1yxo0olp9c2ufh1l1qxsef9x,4206424117,141,34.0,4206424125,1,,4206424113,56,Center,,,,,,,,,,a8fr8gzw2n7gyl4kb58xjtknp,S. Stevens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536668893,4,55,1,0,7,xcevba75jfkrg4s6tl89zl3y,1,44.8,69.4,2023-04-21T18:01:51.649Z,2023-04-21T19:00:11Z,4206661133,189,,,,,,,,,,,,,,,,,,,,,,,969cpy2geokwer9gjapk7zj3e,R. Hillen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536669031,5,1,1,0,23,xcevba75jfkrg4s6tl89zl3y,1,35.4,65.4,2023-04-21T18:02:08.250Z,2023-04-21T18:02:14Z,4206425305,56,Back,4206425309,141,91.4,4206425301,5,,4206425303,241,,4206425311,212,19.3,4206425307,140,42.7,4206425313,213,1.2,,,,969cpy2geokwer9gjapk7zj3e,R. Hillen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
