id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,assist,qualifier/11/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/15/value
2517895603,1,34,16,0,0,b94pf87be9ojdgnrs5mst80un,1,0,0,2023-03-10T18:15:06.716Z,2023-03-10T18:59:34Z,4086029995,194,2psxvq4l1g9fzgt00cfks96fp,4086029985,30,"2psxvq4l1g9fzgt00cfks96fp, 2pzdedlktluxyj6sq2cd19e51, 1icurh5jrnw1e6jdgqxjnhdnu, egmubn4rsudpbk05qfv2qlvit, 94h1esmbnvlcvdeq9ohs11boq, zihddqvp0sjni8stcio8bgmh, 42lgdybjew0zrd18mmwwcpbhm, 9s22h996z2zpktwsx96cnz40k, 8im7pgnph2au11blma5pewe09, 45rrtsz9hmxxqasj8jgi3g0oa, 63ox7kqo9rl36cvk4joqh9soa, 2rlckdzkm4d6dsqwutkvhm95h, 3hax3hy9n2wyp1ovvhd6zdk6i, 2gfp8pe55n7oa0mcu5ygi54a, 6qjbfua7nynaxrs5t8tygedp1, ewcd2lz99d7klo9sh24zt8nl6, 98wf7lrkbzi5f1l26hyxbph7u, 3mcj3wypzq3lno1ehc0vif1sl, 8hjakiipmhtwr07v6h0d414gl, 4ks7mvr9terrodhjx8pg9qtt6, 9rzd3uofuq9ck2n5ihs576z56, 1xblfsj8ec5jp17vnhibrk2jt",4086029993,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4086172199,197,2844,4086029997,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4086029989,59,"1, 2, 30, 22, 28, 3, 10, 27, 9, 19, 25, 4, 5, 7, 11, 14, 15, 18, 20, 21, 23, 33",4086029991,130,8,4086029987,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517895715,1,34,16,0,0,2xlnfgrl6r18ftv38unwp7h4s,1,0,0,2023-03-10T18:15:16.141Z,2023-03-10T19:02:30Z,4086030579,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4086030571,30,"4u12cln8rmtkwlu5q36ypjl2i, 47yvsnwrehtn4mwsjcqk4ewyy, 8mkrj5bnkyhx8kutc4656cy96, cla6c6izphee9prb80c15baei, d9ewnngnsfc0s4hcs282hayhg, 7b0vbfxlv3uiozb19fcj2vsyy, 8tukt8jsmzkblxxs5w85x4dii, 8npu0cbqjrhwv5km1w29kh016, 7uwe0kxpzg271d8ocms7l2kno, d785q9rpqlyuyswv8f9fx4cno, 1jr23fmrmezgiaq7k63pro07o, pxaq5i4ce7ccg0x04msi0b8, wlltloe6hbe8hin3hix0366s, vrkanoideipif70wo4adb5lg, cbai2262b47qtezzmkt5ctslw, eola3wwbcxl6yeigrj16a3otm, cvbasfoccmz0tijnkxyf57n8q, eukc9fng5jfasmr9i814nq8t0, 3bepi58wwope38a478y7jwlxw",4086030577,130,8,4086030583,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4086180453,197,18583,4086030573,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",4086030581,194,cla6c6izphee9prb80c15baei,4086030575,59,"1, 2, 5, 6, 3, 4, 7, 8, 9, 10, 11, 21, 15, 16, 14, 23, 20, 18, 19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517923405,2,32,1,0,0,2xlnfgrl6r18ftv38unwp7h4s,1,0,0,2023-03-10T19:01:49.391Z,2023-03-10T19:01:51Z,4086178173,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517923395,2,32,1,0,0,b94pf87be9ojdgnrs5mst80un,1,0,0,2023-03-10T19:01:49.391Z,2023-03-10T19:01:49Z,4086178143,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517923419,3,1,1,0,0,b94pf87be9ojdgnrs5mst80un,1,50.7,49,2023-03-10T19:01:49.491Z,2023-03-10T19:01:52Z,4086178243,213,3.5,4086178237,140,35.4,4086178245,279,S,4086178239,141,41.3,4086178235,56,Back,4086178241,212,16.9,,,,,,,8im7pgnph2au11blma5pewe09,M. Kaars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517923455,4,1,1,0,3,b94pf87be9ojdgnrs5mst80un,1,37.3,44.3,2023-03-10T19:01:52.422Z,2023-03-10T19:01:55Z,4086178417,212,21.3,4086178415,141,14.0,4086178413,140,32.0,4086178419,213,4.4,4086178411,56,Back,,,,,,,,,,9s22h996z2zpktwsx96cnz40k,L. Vankerkhoven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517923485,5,1,1,0,5,b94pf87be9ojdgnrs5mst80un,1,30.4,10.1,2023-03-10T19:01:54.950Z,2023-03-10T19:01:57Z,4086178593,56,Back,4086178601,213,1.7,4086178599,212,20.5,4086178595,140,28.4,4086178597,141,40.1,,,,,,,,,,2pzdedlktluxyj6sq2cd19e51,B. van Vlerken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517923499,6,1,1,0,8,b94pf87be9ojdgnrs5mst80un,1,28.7,41.8,2023-03-10T19:01:57.462Z,2023-03-10T19:02:00Z,4086178669,140,29.0,4086178673,212,17.5,4086178671,141,67.5,4086178667,56,Back,4086178675,213,1.6,,,,,,,,,,94h1esmbnvlcvdeq9ohs11boq,M. Kreekels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517923521,7,1,1,0,10,b94pf87be9ojdgnrs5mst80un,1,29.1,68.2,2023-03-10T19:01:59.542Z,2023-03-10T19:02:02Z,4086178835,56,Back,4086178847,213,0.1,4086178843,141,71.5,4086178845,212,16.1,4086178839,140,44.3,,,,,,,,,,zihddqvp0sjni8stcio8bgmh,F. Van Den Eynden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517923525,8,1,1,0,13,b94pf87be9ojdgnrs5mst80un,1,44.3,71.5,2023-03-10T19:02:02.406Z,2023-03-10T19:02:04Z,4086178881,140,44.4,4086178887,213,1.6,4086178883,141,95.0,4086178879,56,Back,4086178885,212,16.0,,,,,,,,,,45rrtsz9hmxxqasj8jgi3g0oa,J. Goselink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
