id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/10/value,qualifier/15/value,qualifier/14/value,assist,qualifier/16/value
2514628779,1,34,16,0,0,bqm1bnp1bh2apyudlz1o1whr3,1,0,0,2023-03-03T18:24:51.208Z,2023-03-03T18:58:16Z,4068727859,194,7d9x6ojih9obktxl3fnrjskk4,4068727861,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4068727853,59,"12, 32, 21, 11, 2, 4, 7, 31, 10, 16, 14, 27, 40, 1, 5, 6, 9, 17, 22, 24, 28",4068727851,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4068727849,30,"rgspixypiwxuenf1yaukrrop, bk7742h8fac9g6e6wh7nnugkq, eke044f5xni8gdztggk6x4a1h, 6clycir6laxvycsr4yjh9iwa1, axbyqn4r430cilb6lbnzpbuvo, 7d9x6ojih9obktxl3fnrjskk4, 2kdavfzjymb8uhgjj3c97e2uh, 88m6s6m8ep0p3fropim4ttcoa, 2072f0p9ful9u577gdvo89yw9, 2gwigr63tgo2jw460msz2qgwk, avv12sgcucblnbfb790xovf8, 2qauglcsvubya2tlxn44fx46i, d2cynimupgko6ekp78iv3kxlg, eog43l8hrs7pbza9bmwu0p2sq, gmu8p51rp6bjzs0bss5jupzo, 3y42dpjrp17dr2gzktbrmudbd, 3usiruyhxf6p9lkiz5qeytze2, e4k6t8tld877pq2s0e1vo5p4a, 1dljhkcvmodqq9u1w8iv145m2, 1b409f4dv852le376vbcjdmhg, 966zp0zv6513cnn3q2t6xvtyi",4068727855,130,8,4068830379,197,4032,4068727857,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514629315,1,34,16,0,0,cv5ftekuejf0ryxvd5h2my47r,1,0,0,2023-03-03T18:26:24.212Z,2023-03-03T18:58:23Z,4068731157,30,"1du03mqsc0o6i4e64n7pzr6ui, 72d57i3mfqxtbsmm196kdv0fd, 5pg02unrm16jaa8vt5ego9z6y, aasoq3euk6e6zqhh08n0wocet, b3gyml6d5i3lqxsnh072nhuqd, 7i9hjqjogg1iowfo4fu5zpcyd, 8j8encc4aqkh07ydce6hiaokp, 3p95pudljhqzrnegmko7z56uh, d6rg9ntx9qa2eh8yiflbke1ux, qgusrrldd48qxku8yna03ap5, a3pwwwba6td400zwqjpbf6pnu, 3khifxt41tsdr25ea7w5n1mcq, 40l3vtezw1ofwk2occi4z5w45, alimpjocr7xtxu21sumg3b2l1, zhnev5uetomme6rpisaa7wiy, e74wy7br5zhkds5s73ip0tg4, 30uqa3kfm23ickjssfhmwgdm1, 5et3jsqqhg08ykfqgdniq8fhm, 4o1150mpv9nz55cwj9b0vblk9, a69sa0h7lgpmlav961cpejbe2, 8z868vetpqyeatv2rtfwpsbje, dzet4aycjrqmpv1lzp9ekqzje, dhb6r3msmmayy7v0b1gb40445",4068777001,194,b3gyml6d5i3lqxsnh072nhuqd,4068731163,130,8,4068830811,197,917,4068731161,59,"1, 17, 5, 16, 4, 2, 27, 13, 10, 8, 34, 3, 7, 9, 12, 14, 18, 19, 21, 23, 29, 30, 38",4068731165,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4068731159,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4068731167,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514651003,2,32,1,0,0,cv5ftekuejf0ryxvd5h2my47r,1,0,0,2023-03-03T19:01:33.695Z,2023-03-03T19:01:34Z,4068842149,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514651011,2,32,1,0,0,bqm1bnp1bh2apyudlz1o1whr3,1,0,0,2023-03-03T19:01:33.695Z,2023-03-03T19:01:36Z,4068842185,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514651031,3,1,1,0,0,bqm1bnp1bh2apyudlz1o1whr3,1,49.9,49.7,2023-03-03T19:01:33.795Z,2023-03-03T21:31:21Z,4068842287,212,18.8,4068842285,141,49.7,4068842281,56,Center,4068842283,140,67.8,4068842291,279,S,4068842289,213,0,,,,,,,2072f0p9ful9u577gdvo89yw9,K. Kostons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514651077,4,1,1,0,2,bqm1bnp1bh2apyudlz1o1whr3,1,24.6,67.2,2023-03-03T19:01:36.686Z,2023-03-03T19:01:40Z,4068842537,212,64.8,4068842529,155,,4068842535,141,14.1,4068842531,56,Right,4068842541,1,,4068842533,140,75.9,4068842539,213,5.7,,,,7d9x6ojih9obktxl3fnrjskk4,M. Waem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514651089,5,44,1,0,5,bqm1bnp1bh2apyudlz1o1whr3,1,77.2,11.2,2023-03-03T19:01:39.650Z,2023-03-03T20:03:11Z,4068842645,233,3,4068842601,286,,4068842599,56,Right,,,,,,,,,,,,,,,,2kdavfzjymb8uhgjj3c97e2uh,S. Blummel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514651067,3,44,1,0,5,cv5ftekuejf0ryxvd5h2my47r,0,22.8,88.8,2023-03-03T19:01:39.651Z,2023-03-03T19:01:41Z,4068842497,56,Back,4068842499,285,,4068842657,233,5,,,,,,,,,,,,,,,,5pg02unrm16jaa8vt5ego9z6y,S. Janssen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514651125,6,1,1,0,6,bqm1bnp1bh2apyudlz1o1whr3,1,75.9,14.1,2023-03-03T19:01:40.574Z,2023-03-03T19:01:43Z,4068842795,56,Center,4068842803,212,23.0,4068842797,140,59.3,4068842799,141,36.1,4068842807,213,2.4,4068842793,3,,,,,,,,2kdavfzjymb8uhgjj3c97e2uh,S. Blummel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514651147,7,1,1,0,10,bqm1bnp1bh2apyudlz1o1whr3,0,59.3,36.1,2023-03-03T19:01:43.710Z,2023-03-03T20:03:09Z,4068842905,56,Center,4068842907,140,100.0,4068842911,212,43.8,4068842915,1,,4068842913,213,6.2,4068842909,141,28.0,4068842903,155,,,,,88m6s6m8ep0p3fropim4ttcoa,M. Kleinen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514651151,4,5,1,0,11,cv5ftekuejf0ryxvd5h2my47r,1,-1.2,74.6,2023-03-03T19:01:45.569Z,2023-03-03T21:26:31Z,4068842985,233,8,4068842929,56,Back,4068842931,346,,,,,,,,,,,,,,,,,5pg02unrm16jaa8vt5ego9z6y,S. Janssen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514651155,8,5,1,0,11,bqm1bnp1bh2apyudlz1o1whr3,0,101.2,25.4,2023-03-03T19:01:45.569Z,2023-03-03T19:01:46Z,4068842951,346,,4068842949,56,Center,4068843005,233,4,,,,,,,,,,,,,,,,88m6s6m8ep0p3fropim4ttcoa,M. Kleinen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514651303,5,1,1,0,23,cv5ftekuejf0ryxvd5h2my47r,1,4.8,58.7,2023-03-03T19:01:57.185Z,2023-03-03T19:02:10Z,4068843761,141,50.1,4068843765,213,4.4,4068843759,140,3.3,4068843769,237,,4068843757,56,Back,4068843755,124,,4068843763,212,6.1,,,,7i9hjqjogg1iowfo4fu5zpcyd,B. Koglin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514651335,6,1,1,0,25,cv5ftekuejf0ryxvd5h2my47r,1,3.3,50.1,2023-03-03T19:01:58.786Z,2023-03-03T19:02:01Z,4068843941,212,20.0,4068843937,140,10.4,4068843943,213,5.1,4068843939,141,22.8,4068843935,56,Back,,,,,,,,,,1du03mqsc0o6i4e64n7pzr6ui,E. van der Gouw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514651351,7,1,1,0,27,cv5ftekuejf0ryxvd5h2my47r,1,13.4,19.4,2023-03-03T19:02:01.298Z,2023-03-03T19:02:03Z,4068844007,141,3.2,4068844011,213,5.4,4068844005,140,21.8,4068844003,56,Back,4068844009,212,14.1,,,,,,,,,,b3gyml6d5i3lqxsnh072nhuqd,R. Ketting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514651383,8,1,1,0,29,cv5ftekuejf0ryxvd5h2my47r,0,21.8,3.2,2023-03-03T19:02:03.345Z,2023-03-03T19:02:05Z,4068844177,141,4.6,4068844173,56,Back,4068844181,213,0.0,4068844175,140,41.5,4068844179,212,20.7,,,,,,,,,,72d57i3mfqxtbsmm196kdv0fd,T. Dekker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514651419,9,3,1,0,33,bqm1bnp1bh2apyudlz1o1whr3,1,51.3,93.4,2023-03-03T19:02:07.119Z,2023-03-03T19:02:08Z,4068844417,233,9,4068844409,56,Left,4068844411,286,,,,,,,,,,,,,,,,,eke044f5xni8gdztggk6x4a1h,L. Labylle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514651407,9,45,1,0,33,cv5ftekuejf0ryxvd5h2my47r,0,48.7,6.6,2023-03-03T19:02:07.119Z,2023-03-03T19:02:27Z,4068844325,285,,4068844445,233,9,4068844323,56,Back,,,,,,,,,,,,,,,,3p95pudljhqzrnegmko7z56uh,R. Sedláček,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514651431,10,1,1,0,34,bqm1bnp1bh2apyudlz1o1whr3,1,53.2,93.3,2023-03-03T19:02:08.255Z,2023-03-03T19:02:10Z,4068844493,141,82.0,4068844489,56,Left,4068844497,213,5.1,4068844491,140,55.9,4068844495,212,8.2,,,,,,,,,,eke044f5xni8gdztggk6x4a1h,L. Labylle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514651437,11,49,1,0,36,bqm1bnp1bh2apyudlz1o1whr3,1,55.9,82,2023-03-03T19:02:09.887Z,2023-03-03T19:02:10Z,,,,,,,,,,,,,,,,,,,,,,,,,6clycir6laxvycsr4yjh9iwa1,O. Džepar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514651455,12,1,1,0,36,bqm1bnp1bh2apyudlz1o1whr3,1,55.9,82,2023-03-03T19:02:10.143Z,2023-03-03T19:02:11Z,4068844601,212,6.4,4068844597,140,57.2,4068844595,56,Left,4068844603,213,1.4,4068844599,141,91.2,,,,,,,,,,6clycir6laxvycsr4yjh9iwa1,O. Džepar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514651473,13,1,1,0,37,bqm1bnp1bh2apyudlz1o1whr3,0,57.2,91.2,2023-03-03T19:02:11.454Z,2023-03-03T19:02:13Z,4068844797,233,10,4068844677,141,89.4,4068844675,140,60.0,4068844795,236,,4068844673,56,Left,4068844801,286,,4068844679,212,3.2,4068844683,213,5.9,eke044f5xni8gdztggk6x4a1h,L. Labylle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514651491,10,74,1,0,37,cv5ftekuejf0ryxvd5h2my47r,1,38.4,1.6,2023-03-03T19:02:11.455Z,2023-03-03T21:20:50Z,4068844817,233,13,4068844739,56,Back,4068844741,285,,,,,,,,,,,,,,,,,8j8encc4aqkh07ydce6hiaokp,M. Berden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514651507,11,5,1,0,39,cv5ftekuejf0ryxvd5h2my47r,0,40.5,-1.6,2023-03-03T19:02:13.380Z,2023-03-03T21:26:32Z,4068844823,347,,4068845117,233,14,4068844821,56,Back,,,,,,,,,,,,,,,,8j8encc4aqkh07ydce6hiaokp,M. Berden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514651555,14,5,1,0,39,bqm1bnp1bh2apyudlz1o1whr3,1,59.5,101.6,2023-03-03T19:02:13.380Z,2023-03-03T19:02:18Z,4068845065,347,,4068845091,233,11,4068845063,56,Left,,,,,,,,,,,,,,,,eke044f5xni8gdztggk6x4a1h,L. Labylle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514651597,15,1,1,0,44,bqm1bnp1bh2apyudlz1o1whr3,0,56.7,100,2023-03-03T19:02:18.398Z,2023-03-03T19:02:20Z,4068845281,140,74.4,4068845285,212,20.6,4068845277,107,,4068845279,56,Left,4068845287,213,5.8,4068845283,141,88.4,,,,,,,eke044f5xni8gdztggk6x4a1h,L. Labylle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514651619,12,8,1,0,48,cv5ftekuejf0ryxvd5h2my47r,1,27.4,2,2023-03-03T19:02:21.970Z,2023-03-03T19:02:22Z,4068845377,56,Back,,,,,,,,,,,,,,,,,,,,,,3p95pudljhqzrnegmko7z56uh,R. Sedláček,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514651643,16,1,1,0,49,bqm1bnp1bh2apyudlz1o1whr3,1,65.5,89.6,2023-03-03T19:02:22.702Z,2023-03-03T19:02:23Z,4068845493,212,5.6,4068845489,140,65.9,4068845487,56,Left,4068845495,213,1.5,4068845491,141,97.8,,,,,,,,,,2gwigr63tgo2jw460msz2qgwk,J. Steuckers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514651729,17,1,1,0,50,bqm1bnp1bh2apyudlz1o1whr3,1,65.9,97.8,2023-03-03T19:02:23.839Z,2023-03-03T19:02:28Z,4068845953,141,97.1,4068845957,213,6.3,4068845955,212,28.1,4068845949,56,Left,4068845951,140,92.7,,,,,,,,,,eke044f5xni8gdztggk6x4a1h,L. Labylle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514651743,18,1,1,0,55,bqm1bnp1bh2apyudlz1o1whr3,0,92.5,96.5,2023-03-03T19:02:28.863Z,2023-03-03T19:02:31Z,4068846029,155,,4068846037,141,93.2,4068846177,236,,4068846043,213,5.4,4068846031,56,Left,4068846183,286,,4068846179,233,13,4068846033,140,94.4,2072f0p9ful9u577gdvo89yw9,K. Kostons,4068846039,212,3.0,4068846027,2,,,,,,,,,,,,,,,,,,,,,,,,
2514651765,13,12,1,0,55,cv5ftekuejf0ryxvd5h2my47r,1,1.2,4.3,2023-03-03T19:02:28.963Z,2023-03-03T19:02:31Z,4068846125,185,,4068846127,56,Back,4068846211,233,18,,,,,,,,,,,,,,,,b3gyml6d5i3lqxsnh072nhuqd,R. Ketting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514651947,14,5,1,0,56,cv5ftekuejf0ryxvd5h2my47r,0,1.9,-1.1,2023-03-03T19:02:29.743Z,2023-03-03T21:26:32Z,4068847135,56,Back,4069111853,233,19,4068847137,347,,,,,,,,,,,,,,,,,b3gyml6d5i3lqxsnh072nhuqd,R. Ketting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514652017,19,5,1,0,56,bqm1bnp1bh2apyudlz1o1whr3,1,98.1,101.1,2023-03-03T19:02:29.743Z,2023-03-03T20:02:51Z,4068847489,233,14,4068847473,56,Left,4068847475,347,,,,,,,,,,,,,,,,,2072f0p9ful9u577gdvo89yw9,K. Kostons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
