id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,assist
2442191601,1,34,16,0,0,eh54mfvjtrttgsg1wbjnvxcqz,1,0,0,2022-08-05T17:27:18.453Z,2022-08-05T20:51:41Z,3685531117,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3685531113,59,"1, 18, 5, 8, 3, 4, 11, 6, 10, 7, 23, 2, 14, 15, 19, 20, 21, 24, 28, 31",3685587253,194,4jvk1ex8dsjj498vqzqhfmqxh,3685531109,30,"4jvk1ex8dsjj498vqzqhfmqxh, 36d4zodjdvtc8w1q4p940cx2i, a83amzm380uy1fi3zuyqu82j9, 46wxtiry28k7j3y6gacgf7x4a, a5j0tndc5032lgmuv1vqd2cix, a2ws6j60xd12ng844vlhgq2cq, 74x54r0698ug6gzk9jwd86pxx, alzxtazwzkp6cy4igin4ht2vp, 7afaygi7b8fmxr885zaezaay1, 8mq0q8ebkt20p1pm35z3qma22, 4jx9sjbj9s8q2qeknsqhyozqh, 7wa5hbk41axn5lybd2b7v2978, 7eq1j570gbj6tzw9d1btzwnis, abgkpku77iidahswqpvce5gtm, 97i465n07uip7fnpw82v554b8, aynwkpiteltfei3x5txm84opg, balcshp8sostjtslygqqixu5l, 8zj8e6ovo1bt0d67klra3yh3o, bbhhmcny4xidhz7i8gr74v0us, a8nrm0flhc6mak2kvjksdlzx0",3685531111,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3685531115,130,8,3685587255,197,2850,3685531119,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442195925,1,34,16,0,0,dvmw7d6jb38qvv7e6ziwu0vyr,1,0,0,2022-08-05T17:40:04.210Z,2022-08-05T18:11:19Z,3685554521,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3685587525,194,eu901b75l2ly5p48jdw6kwmad,3685554515,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3685554519,130,13,3685554523,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3685554517,59,"1, 33, 7, 32, 4, 3, 8, 17, 10, 22, 26, 27, 2, 5, 9, 12, 14, 21, 23, 28, 31, 77, 99",3685589353,197,16347,3685554513,30,"3oduk9niyqml47z7wramkxhw5, 7hsyytjjg6zw5knvav9xybbh1, bnkzwpd607re6s01oa77wcodm, coxuin3vr6nkynlvcsvzphjl6, 9e70uun80bdi4hedu45mo5vxl, eu901b75l2ly5p48jdw6kwmad, 3j368501ogr8mt2jdb7mby8h6, e0mrzdikm67yw88563zgovb6y, ar47jfq139xyic4pvdhefduga, 6mn57wdtnexqlumwsg8qyil90, 5f8ajd8cgyvmmdzr0lzi1gtii, 1r67co8q0ktlqe5209xm6sxec, d4z4gdds9hajylsy2hh5b78q, ak5exy1iztbo0mqloqdwiag6i, db32f79l8p19q2g45g885t7xm, 2v12tmspdosmwic2h6itfz0x6, b0yxbu9af1b0jc1odpwzvd7je, 47wgrchutkdy62665jc79dy0a, 8o2hk1hy097osczjijmq4bsh5, bitv8dp51g02iyf6o3elxnoix, byfk0abaxu0ha7w01vpmreb1m, 6plxmzzrxmkhogrob8fdeunkl, 97p6b1r72br3soq4k7fpjnrl6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442202593,2,32,1,0,0,eh54mfvjtrttgsg1wbjnvxcqz,1,0,0,2022-08-05T18:00:33.250Z,2022-08-05T18:00:36Z,3685589439,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442202585,2,32,1,0,0,dvmw7d6jb38qvv7e6ziwu0vyr,1,0,0,2022-08-05T18:00:33.250Z,2022-08-05T18:00:33Z,3685589403,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442202605,3,1,1,0,0,dvmw7d6jb38qvv7e6ziwu0vyr,1,50,50,2022-08-05T18:00:33.350Z,2022-08-05T18:00:37Z,3685589485,212,18.1,3685589489,279,S,3685589483,141,60.9,3685589487,213,2.7,3685589481,140,34.3,3685589479,56,Back,,,,,,,ar47jfq139xyic4pvdhefduga,N. Bannis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442202617,4,1,1,0,4,dvmw7d6jb38qvv7e6ziwu0vyr,1,34.3,60.9,2022-08-05T18:00:37.311Z,2022-08-05T18:00:39Z,3685589549,213,2.1,3685589541,56,Back,3685589547,212,14.1,3685589543,140,27.6,3685589545,141,78.8,,,,,,,,,,e0mrzdikm67yw88563zgovb6y,B. De Keersmaecker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442202631,5,1,1,0,5,dvmw7d6jb38qvv7e6ziwu0vyr,1,27.6,78.8,2022-08-05T18:00:39.215Z,2022-08-05T18:54:18Z,3685589623,212,14.1,3685589625,213,0.8,3685589619,140,36.8,3685589617,56,Back,3685589621,141,93.9,,,,,,,,,,coxuin3vr6nkynlvcsvzphjl6,Rodrigo Rêgo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442202669,6,1,1,0,7,dvmw7d6jb38qvv7e6ziwu0vyr,1,37.2,94.1,2022-08-05T18:00:41.183Z,2022-08-05T18:54:24Z,3685589785,213,5.2,3685589783,212,10.1,3685589777,56,Back,3685589779,140,41.9,3685589781,141,81.2,,,,,,,,,,bnkzwpd607re6s01oa77wcodm,J. Dahlhaus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442202693,7,1,1,0,11,dvmw7d6jb38qvv7e6ziwu0vyr,1,63.1,77.6,2022-08-05T18:00:44.399Z,2022-08-05T18:54:46Z,3685589903,141,81.1,3685589907,213,0.7,3685589901,140,66.0,3685589905,212,3.9,3685589897,56,Left,3685590381,210,15,,,,,,,5f8ajd8cgyvmmdzr0lzi1gtii,E. Rottier,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442202699,8,15,1,0,18,dvmw7d6jb38qvv7e6ziwu0vyr,1,92,67.9,2022-08-05T18:00:51.267Z,2022-08-05T18:01:07Z,3685590383,76,,3685590259,72,,3685590435,233,8,3685589929,56,Center,3685590387,55,7,3685589925,22,,3685590385,29,,3685590409,147,54.7,bnkzwpd607re6s01oa77wcodm,J. Dahlhaus,,3685590395,102,52.3,3685590399,103,11.4,3685589927,64,3685590405,146,98.5,,,,,,,,,,,,,,,,,,,,,,
