id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/9/value,assist,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/13/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,keyPass,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2533128385,1,34,16,0,0,dnzj0iv5qtaemm9kthh9pos8q,1,0,0,2023-04-14T17:15:40.042Z,2023-04-14T18:06:33Z,4187646427,194,7cetznpb0tnu6kdz7bvm8gyxh,4187646423,130,8,4187646421,59,"1, 13, 12, 19, 15, 4, 7, 17, 14, 22, 10, 2, 3, 6, 11, 16, 18, 21, 23, 24, 26, 39",4187646429,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4187646419,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4187646425,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4187646417,30,"alzgg0nxnnex3nkzr6lgmt1ey, 5e9ek4qs1dnp69oojzpvrltrd, 4zow18ykkg1gvw40r7jsrzkl, 8uw9w30592omb8acpnssgdlh, 7cetznpb0tnu6kdz7bvm8gyxh, 1jn9jog8ou8uxnmypneksizxm, 6dpxvfpnaua6y4gevop02qc8a, f1as17wqpj44gihtvw936lofd, 6k6qt155b79yf36833pamwbxm, 1g9raiu2poutpdgjq7dmk4oru, a9233dwa5vm9qv2lncq3kawut, dcdvet7azx1a59xm2ke7qi2cq, cexuwvet4xiruf1jitkjjp7qi, au91rqig6uyyi1zdmlxydk38q, b61yiz3lait78xmlbyzr2vd62, 4z8o35izc3gx6i2bt4mcs1fjd, bquqyyfz4lj0xrerbhbtj1jze, 5ffbqf6o50173uqvaefnce4gk, 5chl0qcvbbkd0yeogurw1fz6x, 9nrajqcpld6bcowgarf1zr0iy, dzehnxim5noolef8c7j4d8a5m, b950jt347chmq9whlkgl6fxpm",4187747577,197,2848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533128395,1,34,16,0,0,xcevba75jfkrg4s6tl89zl3y,1,0,0,2023-04-14T17:15:43.501Z,2023-04-14T18:05:26Z,4187646465,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4187646459,59,"1, 22, 28, 6, 4, 20, 11, 23, 17, 14, 33, 3, 10, 16, 18, 24, 25, 27, 32, 35, 36, 37, 44",4187646461,130,8,4187646457,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4187765521,197,18983,4187646455,30,"cf70r39m2wgbijtw0co5t6yfp, abgzge9xy445z8rdwa2mcapqt, 3yq9brnhlfinrzrfbzcv99nmd, 7flz5rsy2e31gbd8udiqg14gl, 62ft9dfhds3wn0dv650d4gkph, 969cpy2geokwer9gjapk7zj3e, 1j33nixshgkkdwjjnuafknahh, 7b4jmfu1ejoeci2zmvwuejnys, 3h7rkufywz6c2aye1l5b0ihp0, 5curv1gquatwkxsin86fghvkk, ds0hd4ezvb5rw6l95rhbxtq1g, 92mkw4rtoho0gkf3wr19c9iad, 440ry78r7c0ntspgph192c0r9, 1chxk7d4i11x2f16igblexgyc, 96j7klvrblmkwsprx0wk81b10, cglskkkycbja9rjybhui9hdrd, 117h1l06g6f9osjp3pbb4tvro, 8eribncmewk65x40tn7pvqymt, g16sstb2lz1ru2hsba2ml6ju, cipmd3k2nfv0ddic0l8go14gl, 6ekdeo3kocwds8ctbjoa4dhjo, ck7e2h6thujvs1j9663xsy6ms, 8jm8a7w3a5b5nzikcom7cvf2s",4187646463,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4187748161,194,abgzge9xy445z8rdwa2mcapqt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533148285,2,32,1,0,0,xcevba75jfkrg4s6tl89zl3y,1,0,0,2023-04-14T18:02:02.065Z,2023-04-14T18:02:04Z,4187751169,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533148279,2,32,1,0,0,dnzj0iv5qtaemm9kthh9pos8q,1,0,0,2023-04-14T18:02:02.065Z,2023-04-14T18:02:02Z,4187751133,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533148319,3,1,1,0,0,dnzj0iv5qtaemm9kthh9pos8q,1,49.9,50.1,2023-04-14T18:02:02.165Z,2023-04-14T18:02:06Z,4187751417,140,24.3,4187751425,279,S,4187751421,212,28.0,4187751415,56,Back,4187751419,141,61.8,4187751423,213,2.9,,,,,,,6k6qt155b79yf36833pamwbxm,K. Tejan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533148339,4,1,1,0,4,dnzj0iv5qtaemm9kthh9pos8q,1,28,58.5,2023-04-14T18:02:06.172Z,2023-04-14T18:02:07Z,4187751503,56,Back,4187751511,213,4.6,4187751509,212,11.8,4187751505,140,26.5,4187751507,141,41.3,,,,,,,,,,1jn9jog8ou8uxnmypneksizxm,R. van Eijma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533148423,5,1,1,0,5,dnzj0iv5qtaemm9kthh9pos8q,1,25.6,38.9,2023-04-14T18:02:07.280Z,2023-04-14T18:02:16Z,4187751927,213,1.4,4187751921,140,28.1,4187751923,141,56.4,4187751919,56,Back,4187751925,212,12.2,,,,,,,,,,7cetznpb0tnu6kdz7bvm8gyxh,L. Piqué,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533148377,3,43,1,0,9,xcevba75jfkrg4s6tl89zl3y,1,0,0,2023-04-14T18:02:12.016Z,2023-04-14T18:58:23Z,4187751681,285,0,4187967425,144,45,4187751679,56,Center,,,,,,,,,,,,,,,,3h7rkufywz6c2aye1l5b0ihp0,D. Haen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533148425,6,50,1,0,13,dnzj0iv5qtaemm9kthh9pos8q,1,46.2,54.8,2023-04-14T18:02:15.678Z,2023-04-14T18:02:18Z,4187751933,286,,4187751931,56,Back,4187751999,233,4,,,,,,,,,,,,,,,,1jn9jog8ou8uxnmypneksizxm,R. van Eijma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533148433,4,7,1,0,13,xcevba75jfkrg4s6tl89zl3y,1,53.8,45.2,2023-04-14T18:02:15.679Z,2023-04-14T18:02:18Z,4187751993,233,6,4187751967,56,Center,4187751971,285,,,,,,,,,,,,,,,,,3h7rkufywz6c2aye1l5b0ihp0,D. Haen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
