id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/10/value,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/12/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2448062357,1,34,16,0,0,dnzj0iv5qtaemm9kthh9pos8q,1,0,0,2022-08-19T17:08:11.646Z,2022-08-19T17:59:07Z,3716753691,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3716753687,59,"1, 13, 12, 10, 15, 4, 8, 19, 9, 20, 7, 30, 3, 5, 6, 11, 14, 16, 17, 18, 22, 31, 39",3716843259,194,dh3ksith5iat573zuhdhv91w5,3716753683,30,"89dofd1p8ftdgy1u8jlyi58lx, 5e9ek4qs1dnp69oojzpvrltrd, 4zow18ykkg1gvw40r7jsrzkl, a9233dwa5vm9qv2lncq3kawut, 7cetznpb0tnu6kdz7bvm8gyxh, 1jn9jog8ou8uxnmypneksizxm, dh3ksith5iat573zuhdhv91w5, 8uw9w30592omb8acpnssgdlh, 5c5quyl7qxptstbge87w2eqqx, dhxpfe8e618lavr0915m9y2ju, 6dpxvfpnaua6y4gevop02qc8a, alzgg0nxnnex3nkzr6lgmt1ey, cexuwvet4xiruf1jitkjjp7qi, 2mz4zjaxr4rz219q08h97yn6d, au91rqig6uyyi1zdmlxydk38q, b61yiz3lait78xmlbyzr2vd62, 50grkc6r635d7bjqgwrasi8rt, 4z8o35izc3gx6i2bt4mcs1fjd, 49xt4lsf38z9yjlg32652zg4q, bquqyyfz4lj0xrerbhbtj1jze, fjistzkvlbsa2v7xsnu0uy95, ebj7cl31vlr8nrltm42ydrdka, b950jt347chmq9whlkgl6fxpm",3716753693,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3716753689,130,4,3716843263,197,2848,3716753685,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448063381,1,34,16,0,0,59t7flioj4w4mpwnrwbm0m8ck,1,0,0,2022-08-19T17:10:46.172Z,2022-08-19T18:08:39Z,3716758629,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3716758631,59,"1, 2, 5, 6, 3, 24, 11, 18, 19, 8, 10, 7, 9, 14, 21, 23, 25, 26, 27, 29, 36",3716758637,194,89plvrt8pzppcclh4axvii0ru,3716842033,197,490,3716758633,130,8,3716758627,30,"8jml2tgzk1am30cy4gkgx0wd1, bdb33nwcpd2jufn9ggtl7gvzd, 1falkoydwxoiazskcoalwll62, 89plvrt8pzppcclh4axvii0ru, d5g7rl9a83vu3cyyzvu5yveqy, 4mhahoh3a6rir882ug9hdb5nu, ekur9x1kzp8wq0lwfwev0b0bu, 3xza88l7s8dlki9kleqwz2puy, emaf4mjxn2255qlcn1pcxn36x, 4j9ug0ng9dhx6xwhdwx6fafx0, 6nd0ifv6ljza9nauxcpejqzft, 6djx23ctpkopwbtavfr8ov8id, 2an4s7uuqa9a6sl7vutznc7o5, 41es2x265ddlzqjqa6wb9vey2, 4shkxwb3ujuajna3gdg34cxjp, 9urh0cy0a8ni61fuxmiqosnis, 7oo6h3pq8wv5rgp1dkaolrhg4, ea51n4frv2z8lr3snexhv2ay, f48jetdaq8dttcdo11mugaxnt, f07j2ge60cbdp3bcys4cx18iy, 8gkh6rsfo2tsrsiirv05bm1yi",3716758639,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3716758635,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448081251,2,32,1,0,0,59t7flioj4w4mpwnrwbm0m8ck,1,0,0,2022-08-19T18:02:08.219Z,2022-08-19T18:02:11Z,3716852145,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448081239,2,32,1,0,0,dnzj0iv5qtaemm9kthh9pos8q,1,0,0,2022-08-19T18:02:08.219Z,2022-08-19T18:02:08Z,3716852089,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448081295,3,1,1,0,0,dnzj0iv5qtaemm9kthh9pos8q,1,50.1,50,2022-08-19T18:02:08.319Z,2022-08-19T18:02:12Z,3716852337,141,43.4,3716852343,279,S,3716852333,56,Back,3716852335,140,30.1,3716852341,213,3.4,3716852339,212,21.5,,,,,,,a9233dwa5vm9qv2lncq3kawut,J. Mathieu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448081315,4,1,1,0,3,dnzj0iv5qtaemm9kthh9pos8q,0,27.8,41.9,2022-08-19T18:02:11.848Z,2022-08-19T18:02:14Z,3716852433,140,68.9,3716852439,213,0.3,3716852435,141,64.6,3716852441,1,,3716852429,155,,3716852431,56,Center,3716852437,212,45.8,,,,7cetznpb0tnu6kdz7bvm8gyxh,L. Piqué,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448081353,5,1,1,0,5,dnzj0iv5qtaemm9kthh9pos8q,0,56.2,72.1,2022-08-19T18:02:13.895Z,2022-08-19T18:58:50Z,3716852679,213,3.4,3716852677,212,13.7,3716852675,141,66.1,3716852673,140,43.7,3716852671,56,Back,3716852669,3,,,,,,,,dh3ksith5iat573zuhdhv91w5,R. Stuy van den Herik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448081363,3,1,1,0,6,59t7flioj4w4mpwnrwbm0m8ck,1,33.3,36.7,2022-08-19T18:02:14.836Z,2022-08-19T18:02:17Z,3716852737,141,45.8,3716852733,56,Center,3716852727,3,,3716852739,212,24.6,3716852741,213,0.3,3716852735,140,56.0,,,,,,,4j9ug0ng9dhx6xwhdwx6fafx0,E. Banzuzi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448081367,4,49,1,0,9,59t7flioj4w4mpwnrwbm0m8ck,1,56.1,46,2022-08-19T18:02:17.300Z,2022-08-19T18:02:17Z,,,,,,,,,,,,,,,,,,,,,,,,,emaf4mjxn2255qlcn1pcxn36x,J. Herrmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448081393,5,1,1,0,9,59t7flioj4w4mpwnrwbm0m8ck,1,56.1,46,2022-08-19T18:02:17.587Z,2022-08-19T18:02:19Z,3716852867,212,18.4,3716852865,141,24.5,3716852869,213,4.1,3716852861,56,Back,3716852863,140,45.5,,,,,,,,,,emaf4mjxn2255qlcn1pcxn36x,J. Herrmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
