id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,assist,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,keyPass,qualifier/10/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/12/value,qualifier/11/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/14/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2478285383,1,34,16,0,0,2xlnfgrl6r18ftv38unwp7h4s,1,0,0,2022-10-28T17:03:06.614Z,2022-10-28T18:00:59Z,3877356689,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3877356681,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3877356687,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3877356683,59,"1, 2, 5, 6, 3, 4, 10, 9, 8, 7, 11, 19, 22, 14, 20, 21, 24, 15, 23, 17, 18, 25, 16",3877356679,30,"4u12cln8rmtkwlu5q36ypjl2i, d9ewnngnsfc0s4hcs282hayhg, cm78w42nflwgvshpnok680mlm, cla6c6izphee9prb80c15baei, e1islmeew98wa2ge0dicloay2, 4iurx3g3hajlatv5gcxsqwm7e, 5yt3hbvzpaqv8lrjgt4ahb78q, 7uwe0kxpzg271d8ocms7l2kno, 8npu0cbqjrhwv5km1w29kh016, bx6j2y1hnu63lawn3rdoep1m2, 6nwn2522yescgrx57wkcxjhwq, 2x8ywg6gxd17rqfo5a3iharfu, 2x0hbry9gpcq5cbujdee5u904, 7b0vbfxlv3uiozb19fcj2vsyy, d785q9rpqlyuyswv8f9fx4cno, ix6hcbfujuw3mgefzpsnp2zu, 8mkrj5bnkyhx8kutc4656cy96, a7eyujeyux7nj68ifa7nnndas, amz65a6dp1pwwql1dkonktfys, 8tukt8jsmzkblxxs5w85x4dii, cvbasfoccmz0tijnkxyf57n8q, 1jr23fmrmezgiaq7k63pro07o, eola3wwbcxl6yeigrj16a3otm",3877357107,194,4iurx3g3hajlatv5gcxsqwm7e,3877474885,197,17500,3877356685,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478287263,1,34,16,0,0,dvmw7d6jb38qvv7e6ziwu0vyr,1,0,0,2022-10-28T17:07:24.534Z,2022-10-28T18:14:17Z,3877366305,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3877472279,194,eu901b75l2ly5p48jdw6kwmad,3877480215,197,2671,3877366319,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3877366313,130,17,3877366309,59,"1, 99, 7, 33, 4, 3, 8, 45, 10, 25, 20, 2, 5, 9, 12, 14, 21, 23, 22, 27, 28, 31, 32",3877366301,30,"3oduk9niyqml47z7wramkxhw5, 97p6b1r72br3soq4k7fpjnrl6, bnkzwpd607re6s01oa77wcodm, 7hsyytjjg6zw5knvav9xybbh1, 9e70uun80bdi4hedu45mo5vxl, eu901b75l2ly5p48jdw6kwmad, 3j368501ogr8mt2jdb7mby8h6, 3v2grfhuisr456ibcvqjfx4yy, ar47jfq139xyic4pvdhefduga, c3j7ddqg0yzporam6gieibgiy, dej8tywq0npvbm25sfgtqur1m, d4z4gdds9hajylsy2hh5b78q, ak5exy1iztbo0mqloqdwiag6i, db32f79l8p19q2g45g885t7xm, 2v12tmspdosmwic2h6itfz0x6, b0yxbu9af1b0jc1odpwzvd7je, 47wgrchutkdy62665jc79dy0a, 8o2hk1hy097osczjijmq4bsh5, 5f8ajd8cgyvmmdzr0lzi1gtii, 1r67co8q0ktlqe5209xm6sxec, bitv8dp51g02iyf6o3elxnoix, byfk0abaxu0ha7w01vpmreb1m, coxuin3vr6nkynlvcsvzphjl6",3877366315,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478308689,2,32,1,0,0,2xlnfgrl6r18ftv38unwp7h4s,1,0,0,2022-10-28T18:01:34.719Z,2022-10-28T18:01:37Z,3877475895,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478308679,2,32,1,0,0,dvmw7d6jb38qvv7e6ziwu0vyr,1,0,0,2022-10-28T18:01:34.719Z,2022-10-28T18:01:34Z,3877475849,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478308727,3,1,1,0,0,dvmw7d6jb38qvv7e6ziwu0vyr,1,50,50,2022-10-28T18:01:34.819Z,2022-10-28T18:05:25Z,3877476039,279,S,3877476031,140,25.4,3877476037,213,3.3,3877476033,141,44.3,3877476029,56,Back,3877476035,212,26.1,,,,,,,ar47jfq139xyic4pvdhefduga,N. Bannis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478308781,4,1,1,0,4,dvmw7d6jb38qvv7e6ziwu0vyr,1,24.7,48.1,2022-10-28T18:01:39.124Z,2022-10-28T18:01:44Z,3877476305,212,19.9,3877476307,213,1.4,3877476299,140,28.8,3877476297,56,Back,3877476301,141,76.7,,,,,,,,,,9e70uun80bdi4hedu45mo5vxl,M. Peijnenburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478308833,5,1,1,0,9,dvmw7d6jb38qvv7e6ziwu0vyr,1,28.5,79.3,2022-10-28T18:01:44.404Z,2022-10-28T18:01:48Z,3877476539,141,41.3,3877476537,140,26.7,3877476543,212,25.9,3877476535,56,Back,3877476547,213,4.6,,,,,,,,,,7hsyytjjg6zw5knvav9xybbh1,C. Seedorf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478308869,6,1,1,0,13,dvmw7d6jb38qvv7e6ziwu0vyr,1,26.2,30.1,2022-10-28T18:01:48.500Z,2022-10-28T18:01:51Z,3877476703,56,Back,3877476707,141,45.8,3877476709,212,17.9,3877476705,140,12.5,3877476711,213,2.5,,,,,,,,,,9e70uun80bdi4hedu45mo5vxl,M. Peijnenburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478308953,7,1,1,0,16,dvmw7d6jb38qvv7e6ziwu0vyr,1,12.5,45.8,2022-10-28T18:01:51.125Z,2022-10-28T18:01:58Z,3877477027,56,Back,3877477031,141,73.9,3877477035,213,1.1,3877477033,212,21.5,3877477029,140,21.8,,,,,,,,,,3oduk9niyqml47z7wramkxhw5,N. Bertrams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478309011,8,1,1,0,23,dvmw7d6jb38qvv7e6ziwu0vyr,1,30.6,83.3,2022-10-28T18:01:58.276Z,2022-10-28T18:02:03Z,3877477339,212,34.7,3877477341,213,4.6,3877477343,1,,3877477335,140,28.3,3877477337,141,32.4,3877477333,56,Back,,,,,,,7hsyytjjg6zw5knvav9xybbh1,C. Seedorf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
