id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/11/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/13/value,assist,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2540197101,1,34,16,0,0,e8hiwrw6ocxm5iht6sp7jiv19,1,0,0,2023-04-28T17:15:27.001Z,2023-04-28T18:00:13Z,4232208633,59,"39, 45, 24, 30, 5, 25, 7, 17, 9, 35, 11, 2, 6, 8, 10, 15, 21, 23, 26, 28, 33, 34, 42",4232208639,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4232325645,197,451,4232208629,30,"a8fr8gzw2n7gyl4kb58xjtknp, 1hpmrfb0mbmevf9edj0o0bv56, dineetneurorxpx1yv0v8tega, 7c58hgy3g9gntpuqf5w5hpvu2, b1zeqxuwoyzx1eukf18ptdgq, 9oajgqqc9gkgbcz090it0tlhw, 4nz928h6p0nl8p161dxg55pn8, b4a2wu8fdbrh5sirpv34hoewa, b1yxo0olp9c2ufh1l1qxsef9x, eybrr6zz7x6d1ftc7u4vphn85, 5l4fkm9a0pvfi9qiy6gipf71m, 5dxleurgfe6483pe7qvyc00es, 9knokmhy9zckjq0gv7txx9zsa, cp732f8tqz91xeahijtd35rd, bdpso3uk915bg1tr1d7s0p7je, dbku5mn74cqjzu7o91vzrlbtg, 7fhe8ij85yc4gz6v3zuq62l05, axhjtqfa2xxud2tdle8zfxrkl, 12y6tmd1yr04c0ed2klslpwb9, 17oeipaq6y7pvs42fpx9oy9uy, 5n5otf2ldw9w4nbm8zjabnd1x, 9l5hp0tmizix8z6h5b5vqvhm1, 9tru2a7pof2r37s8ro29uv3dh",4232208631,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4232208637,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4232208635,130,8,4232325643,194,b1yxo0olp9c2ufh1l1qxsef9x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540200285,1,34,16,0,0,b94pf87be9ojdgnrs5mst80un,1,0,0,2023-04-28T17:22:45.742Z,2023-04-28T18:01:00Z,4232227091,130,2,4232327859,194,2psxvq4l1g9fzgt00cfks96fp,4232227087,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4232227085,30,"2psxvq4l1g9fzgt00cfks96fp, cyquj9h6hjwbyp0b68b149qfo, 1icurh5jrnw1e6jdgqxjnhdnu, 9s22h996z2zpktwsx96cnz40k, 94h1esmbnvlcvdeq9ohs11boq, zihddqvp0sjni8stcio8bgmh, 63ox7kqo9rl36cvk4joqh9soa, 11ngumxajbizagbzpm5kompxx, 8im7pgnph2au11blma5pewe09, 45rrtsz9hmxxqasj8jgi3g0oa, 42lgdybjew0zrd18mmwwcpbhm, 3hax3hy9n2wyp1ovvhd6zdk6i, 2gfp8pe55n7oa0mcu5ygi54a, 6qjbfua7nynaxrs5t8tygedp1, ewcd2lz99d7klo9sh24zt8nl6, 98wf7lrkbzi5f1l26hyxbph7u, 3mcj3wypzq3lno1ehc0vif1sl, 4ks7mvr9terrodhjx8pg9qtt6, 9rzd3uofuq9ck2n5ihs576z56, 1xblfsj8ec5jp17vnhibrk2jt",4232227095,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4232327861,197,17171,4232227089,59,"1, 6, 30, 27, 28, 3, 25, 29, 9, 19, 10, 5, 7, 11, 14, 15, 18, 21, 23, 33",4232227093,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540220989,2,32,1,0,0,b94pf87be9ojdgnrs5mst80un,1,0,0,2023-04-28T18:02:25.378Z,2023-04-28T18:02:28Z,4232332155,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540220973,2,32,1,0,0,e8hiwrw6ocxm5iht6sp7jiv19,1,0,0,2023-04-28T18:02:25.378Z,2023-04-28T18:02:25Z,4232332081,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540220997,3,1,1,0,0,b94pf87be9ojdgnrs5mst80un,1,49.7,50.3,2023-04-28T18:02:25.518Z,2023-04-28T18:41:10Z,4232332189,279,S,4232490421,278,,4232332177,56,Back,4232332183,212,7.8,4232332181,141,48.9,4232332179,140,42.3,4232332187,213,3.3,,,,45rrtsz9hmxxqasj8jgi3g0oa,J. Goselink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540221075,4,1,1,0,5,b94pf87be9ojdgnrs5mst80un,1,26.2,50.7,2023-04-28T18:02:30.413Z,2023-04-28T18:02:32Z,4232332599,212,18.6,4232332593,56,Back,4232332595,140,29.0,4232332597,141,77.7,4232332601,213,1.4,,,,,,,,,,zihddqvp0sjni8stcio8bgmh,F. Van Den Eynden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540221121,5,1,1,0,6,b94pf87be9ojdgnrs5mst80un,1,29,77.7,2023-04-28T18:02:32.302Z,2023-04-28T18:02:36Z,4232332823,56,Back,4232332829,212,21.9,4232332825,140,27.0,4232332831,213,4.6,4232332827,141,45.7,,,,,,,,,,1icurh5jrnw1e6jdgqxjnhdnu,G. Çulhacı,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540221169,6,1,1,0,10,b94pf87be9ojdgnrs5mst80un,1,26.1,44,2023-04-28T18:02:36.173Z,2023-04-28T18:02:40Z,4232333105,213,5.0,4232333101,141,20.5,4232333103,212,16.5,4232333097,56,Back,4232333099,140,30.2,,,,,,,,,,zihddqvp0sjni8stcio8bgmh,F. Van Den Eynden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540221207,7,1,1,0,14,b94pf87be9ojdgnrs5mst80un,1,28.8,16.6,2023-04-28T18:02:40.189Z,2023-04-28T18:02:42Z,4232333287,140,7.9,4232333291,212,31.9,4232333285,56,Back,4232333289,141,50.7,4232333293,213,2.3,,,,,,,,,,cyquj9h6hjwbyp0b68b149qfo,J. Lion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540221219,8,1,1,0,16,b94pf87be9ojdgnrs5mst80un,1,7.9,50.3,2023-04-28T18:02:41.967Z,2023-04-28T18:02:44Z,4232333367,1,,4232333361,141,39.7,4232333365,213,6.2,4232333359,140,62.4,4232333355,157,,4232333363,212,57.7,4232333357,56,Center,,,,2psxvq4l1g9fzgt00cfks96fp,M. Havekotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
