id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,keyPass,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/9/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,assist
2448059893,1,34,16,0,0,bk5ltsueqmeng29eovd8m2tml,1,0,0,2022-08-19T17:01:02.200Z,2022-08-19T18:44:44Z,3716741119,130,8,3716741113,30,"ckx9rplhgmncmcxs0a1z7n6qd, e42jh6bbwn4aybdnysonrvutx, daz1m0r5u8f0085jv25bdnoid, 1l34qvjvar8qec3kbrg4rew2d, 9hz7j1p4f0d2hxyz2bdkbyk0l, 7isjog4r71ahzypnhq3ki9xp1, 57kp9bepwqf9u7fuu8fgvi9rd, 75o7fx1uwk6pavxbnqqx28y51, 5i0e7e59vav8ynqzt7qrvitt6, 47autoxmcbr5z7o6d8998esph, 88csh50wwpanzfdvu7ia3x1ih, etvamcwttnlg4sfxfulgzm7yt, bw7s1zgz97p8szhn4shwkx2w9, amasl6wz90pv9kkbx3kihj7bp, 35uvcvkv4nd0jbsov3xosjsut, b9apqidquztaojf6e3my6v7bp, bhn0paq89a5keakgitoyn2hw4, 8dnmp33ergo6zwzb6ubiyvl6, ewnmiv6ew1d5cnuul715x4dzp, eimwdeabp96ttxf8zywuiu8ve, 7dw3mexdcnel375y16vfl0g2y, 3sia1dbtocrv5i7zv76esmaga, 39f4hnokkp81ucrkx5bo5sjdg",3716741121,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3716741123,194,1l34qvjvar8qec3kbrg4rew2d,3716741117,59,"21, 13, 5, 8, 3, 4, 37, 10, 9, 23, 11, 1, 7, 14, 18, 19, 22, 24, 25, 27, 32, 35, 36",3716741125,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3716845293,197,1504,3716741115,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448061099,1,34,16,0,0,zjawy6qdzk3y69v5pa3zl2cb,1,0,0,2022-08-19T17:04:40.954Z,2022-08-19T18:07:38Z,3716747265,194,c78t1bgro2lh7gvw8rwi6p239,3716747259,59,"1, 2, 27, 24, 6, 3, 7, 8, 9, 17, 21, 11, 19, 5, 12, 14, 16, 18, 20, 23, 25, 28, 29",3716747257,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3716747267,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3716747261,130,12,3716747255,30,"8l31bne12p5cp51o46h92zjrp, ag4gnhbvomc0q9ohvkyroftas, da3d2iu2j4yb7q1ag063mu44q, 5wg2ysvwk3q67osv2nnbav4yx, 61wt62anweh75oguqg0vbozu2, 476jyuzjm08o0d5g3t4nh1cyd, 4j7mtyvi7jg9e4ontiyt9vwbu, 9tmi00hx820vuwghg30jhzidx, c78t1bgro2lh7gvw8rwi6p239, blu3rrhzier5ivp5p9u78448a, m10ml783dkbr4i0fpb06cm3t, 5t2yht2zjn4g7otqpaer3ia22, 7o8auo4uu5mzh7f4a44ucdf8q, 46oot98163lb6atyes4j0mup5, a49duk4f5m5zmyvwht0ikal05, e7vke1zwf6w6xvxtsi2b8f9m2, 88vryegnhss2q5xz8aoj2phey, 9jx0oun9o3zqncgu9axt2qxka, 53c63f5ekinmj6bquc3rbsbxm, dh8jo5uq1oq0qv7gpu5rrbwx6, ajt9gf8zqsc3m6z4kof5m99ii, 9fb368ot1vtjx63e4l4y0ss9g, adp5a6klr2nygqjmdd1ekc8kq",3716847045,197,16428,3716747263,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448081639,2,32,1,0,0,bk5ltsueqmeng29eovd8m2tml,1,0,0,2022-08-19T18:02:39.049Z,2022-08-19T18:02:39Z,3716854183,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448081647,2,32,1,0,0,zjawy6qdzk3y69v5pa3zl2cb,1,0,0,2022-08-19T18:02:39.049Z,2022-08-19T18:02:41Z,3716854189,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448081699,3,1,1,0,0,bk5ltsueqmeng29eovd8m2tml,1,50,50,2022-08-19T18:02:39.149Z,2022-08-19T18:02:43Z,3716854485,140,26.6,3716854491,213,3.5,3716854487,141,36.7,3716854489,212,26.2,3716854483,56,Back,3716854493,279,S,,,,,,,5i0e7e59vav8ynqzt7qrvitt6,J. Hornkamp,,,,,,,,,,,,,,,,,,,,,,,,,,
2448081751,4,1,1,0,4,bk5ltsueqmeng29eovd8m2tml,0,27.6,37.6,2022-08-19T18:02:43.252Z,2022-08-19T18:02:49Z,3716854737,213,0.2,3716854735,212,49.8,3716854731,140,73.9,3716854729,56,Center,3716854727,155,,3716854733,141,53.7,3716854739,1,,,,,9hz7j1p4f0d2hxyz2bdkbyk0l,F. Heerkens,,,,,,,,,,,,,,,,,,,,,,,,,,
2448081749,3,44,1,0,7,zjawy6qdzk3y69v5pa3zl2cb,1,27,49,2022-08-19T18:02:46.126Z,2022-08-19T18:02:48Z,3716854723,56,Back,3716854873,233,5,3716854725,285,,,,,,,,,,,,,,,,,61wt62anweh75oguqg0vbozu2,A. Bensabouh,,,,,,,,,,,,,,,,,,,,,,,,,,
2448081759,5,44,1,0,7,bk5ltsueqmeng29eovd8m2tml,0,73,51,2022-08-19T18:02:46.127Z,2022-08-19T18:49:22Z,3716854773,56,Center,3716854897,233,3,3716854775,286,,,,,,,,,,,,,,,,,47autoxmcbr5z7o6d8998esph,M. de Leeuw,,,,,,,,,,,,,,,,,,,,,,,,,,
2448081757,4,1,1,0,7,zjawy6qdzk3y69v5pa3zl2cb,0,27.7,51.8,2022-08-19T18:02:46.885Z,2022-08-19T18:02:48Z,3716854767,141,39.6,3716854761,3,,3716854771,213,5.6,3716854763,56,Back,3716854769,212,13.9,3716854765,140,38.3,,,,,,,61wt62anweh75oguqg0vbozu2,A. Bensabouh,,,,,,,,,,,,,,,,,,,,,,,,,,
2448081803,5,49,1,0,8,zjawy6qdzk3y69v5pa3zl2cb,1,31.3,39.6,2022-08-19T18:02:48.028Z,2022-08-19T18:49:31Z,,,,,,,,,,,,,,,,,,,,,,,,,9tmi00hx820vuwghg30jhzidx,M. Ainsalu,,,,,,,,,,,,,,,,,,,,,,,,,,
