id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/8/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/11/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2503342515,1,34,16,0,0,zjawy6qdzk3y69v5pa3zl2cb,1,0,0,2023-02-03T18:08:46.913Z,2023-02-03T19:05:51Z,4009242205,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4009242213,194,c78t1bgro2lh7gvw8rwi6p239,4009242209,130,12,4009242211,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4009242207,59,"1, 16, 50, 24, 4, 3, 6, 12, 19, 9, 10, 8, 37, 5, 7, 11, 18, 20, 21, 25, 27, 28, 29",4009242203,30,"8l31bne12p5cp51o46h92zjrp, 88vryegnhss2q5xz8aoj2phey, 3h8gqv4l0lrls9day28t1sw0k, 5wg2ysvwk3q67osv2nnbav4yx, 1qqqigufis9zdf4mdqt6mgfl5, 476jyuzjm08o0d5g3t4nh1cyd, 61wt62anweh75oguqg0vbozu2, a49duk4f5m5zmyvwht0ikal05, 7o8auo4uu5mzh7f4a44ucdf8q, c78t1bgro2lh7gvw8rwi6p239, 2pva2d9if0phol0efqnur68a2, dhit8k74wcmlin09vs2nk8m7e, dltjumosk5kv9xw8yju2e1hqs, 46oot98163lb6atyes4j0mup5, 4j7mtyvi7jg9e4ontiyt9vwbu, 5t2yht2zjn4g7otqpaer3ia22, 9jx0oun9o3zqncgu9axt2qxka, 53c63f5ekinmj6bquc3rbsbxm, m10ml783dkbr4i0fpb06cm3t, ajt9gf8zqsc3m6z4kof5m99ii, da3d2iu2j4yb7q1ag063mu44q, 9fb368ot1vtjx63e4l4y0ss9g, adp5a6klr2nygqjmdd1ekc8kq",4009312101,197,16428,4009242215,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503345303,1,34,16,0,0,xcevba75jfkrg4s6tl89zl3y,1,0,0,2023-02-03T18:17:11.274Z,2023-02-03T18:58:43Z,4009256257,59,"1, 27, 28, 6, 22, 20, 14, 23, 35, 24, 33, 4, 11, 16, 17, 18, 21, 25, 31, 32, 45",4009256253,30,"cf70r39m2wgbijtw0co5t6yfp, 8eribncmewk65x40tn7pvqymt, 3yq9brnhlfinrzrfbzcv99nmd, 7flz5rsy2e31gbd8udiqg14gl, abgzge9xy445z8rdwa2mcapqt, 969cpy2geokwer9gjapk7zj3e, 5curv1gquatwkxsin86fghvkk, 7b4jmfu1ejoeci2zmvwuejnys, cipmd3k2nfv0ddic0l8go14gl, cglskkkycbja9rjybhui9hdrd, ds0hd4ezvb5rw6l95rhbxtq1g, 62ft9dfhds3wn0dv650d4gkph, 1j33nixshgkkdwjjnuafknahh, 1chxk7d4i11x2f16igblexgyc, 3h7rkufywz6c2aye1l5b0ihp0, 96j7klvrblmkwsprx0wk81b10, 1n0syrrxf9x7neh3tn19sc89h, 117h1l06g6f9osjp3pbb4tvro, es1ohgwfiwq5f9mx2887zul90, g16sstb2lz1ru2hsba2ml6ju, 7dj1tr37jtrr32cyw6r1dukus",4009256261,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4009256255,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4009256263,194,abgzge9xy445z8rdwa2mcapqt,4009311711,197,2124,4009256259,130,8,4009256265,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503357365,2,32,1,0,0,zjawy6qdzk3y69v5pa3zl2cb,1,0,0,2023-02-03T19:01:22.106Z,2023-02-03T19:01:22Z,4009316907,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503357369,2,32,1,0,0,xcevba75jfkrg4s6tl89zl3y,1,0,0,2023-02-03T19:01:22.106Z,2023-02-03T19:01:24Z,4009316923,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503357395,3,1,1,0,0,zjawy6qdzk3y69v5pa3zl2cb,1,50,50,2023-02-03T19:01:22.206Z,2023-02-03T19:01:25Z,4009317045,141,57.1,4009317051,279,S,4009317049,213,2.7,4009317041,56,Back,4009317043,140,39.1,4009317047,212,12.4,,,,,,,2pva2d9if0phol0efqnur68a2,C. Giousis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503357407,4,1,1,0,3,zjawy6qdzk3y69v5pa3zl2cb,1,39.1,57.1,2023-02-03T19:01:25.798Z,2023-02-03T19:01:26Z,4009317133,213,4.1,4009317129,141,27.0,4009317127,140,26.8,4009317131,212,24.2,4009317125,56,Back,,,,,,,,,,88vryegnhss2q5xz8aoj2phey,J. Kruiver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503357423,5,1,1,0,4,zjawy6qdzk3y69v5pa3zl2cb,1,26.8,27,2023-02-03T19:01:26.885Z,2023-02-03T19:01:28Z,4009317203,213,2.5,4009317199,141,46.8,4009317197,140,9.5,4009317201,212,22.6,4009317195,56,Back,,,,,,,,,,476jyuzjm08o0d5g3t4nh1cyd,M. Apau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503357439,6,1,1,0,6,zjawy6qdzk3y69v5pa3zl2cb,1,7,48.4,2023-02-03T19:01:28.788Z,2023-02-03T19:01:31Z,4009317297,141,68.6,4009317293,56,Back,4009317301,213,0.4,4009317295,140,42.2,4009317303,1,,4009317299,212,39.4,4009317291,157,,,,,8l31bne12p5cp51o46h92zjrp,R. Koeman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503357479,7,1,1,0,9,zjawy6qdzk3y69v5pa3zl2cb,1,42.2,68.6,2023-02-03T19:01:31.109Z,2023-02-03T19:01:35Z,4009317451,213,1.3,4009317443,56,Back,4009317447,141,90.8,4009317445,140,46.2,4009317449,212,15.7,,,,,,,,,,c78t1bgro2lh7gvw8rwi6p239,G. Plet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503357499,8,1,1,0,12,zjawy6qdzk3y69v5pa3zl2cb,0,46.2,90.8,2023-02-03T19:01:34.918Z,2023-02-03T19:01:36Z,4009317541,140,86.8,4009317539,56,Center,4009317549,1,,4009317543,141,72.5,4009317547,213,6.0,4009317545,212,44.4,4009317537,155,,,,,3h8gqv4l0lrls9day28t1sw0k,J. Turfkruier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
