id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,assist,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,keyPass,qualifier/13/value,qualifier/8/value,qualifier/11/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2446733781,1,34,16,0,0,ch82doz9w9t1sw9ae3a4ffh0j,1,0,0,2022-08-15T17:03:48.270Z,2022-08-15T18:01:00Z,3709763249,59,"1, 2, 11, 6, 3, 5, 14, 8, 9, 7, 10, 23, 22, 18, 15, 16, 17, 19, 20, 31",3709867763,197,2842,3709763251,130,4,3709763257,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3709763245,30,"c1krps0yssh477m8umrruiqjt, cvobl9pqqtj7hrgtu28grvdre, ealh7n21gctxxw5ol3l3yxzze, ed5sclhs7op7a2mdvetub4dwq, c6i4usq34m3389rtbqptahrai, 1kuswan9lk455u02x1ff389re, btrg844mxkl6kbn89s7aecj8q, 1s6yn52hlqtmmz4lerscf457u, dodkgckgbecal0vivr1jf0hzo, enyk37znns1ie2djrh4y3uck4, 5nhideyjwp2347ryi1n9wfq50, cnajg4djcd0enb5rsrluwzms4, bmegw740jz7qramlatlpmv4h6, ah3d8xugrx3pqaqxcmg06iyok, asvxbmdd5j5tlz2fo1jpcrrx0, deb7ysp5fwiouttlarstuxgyc, 8r3k1iuul274c0ha0vy90jys, 4lsj3yc6adimhltkab6tzfj84, 2n5747kdxok0ifg5o37336plg, et56bifus2obkmtcwzhqpzxn8",3709763255,194,ed5sclhs7op7a2mdvetub4dwq,3709763247,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3709763253,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446735775,1,34,16,0,0,dac758ef858jbq7pcb3gfwite,1,0,0,2022-08-15T17:09:37.869Z,2022-08-15T17:58:15Z,3709774407,194,ip62fljz9ng6sil4krcq8dm1,3709863727,197,487,3709774403,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3709774411,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3709774395,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3709774393,30,"dmsmbn9a1qucwf100o3v77nbp, armxucjqaulvwfxyufovg3je1, e8si4ph9te020gpicg3k2k3u2, arrbpgnwbguhyumc8c1u4jsut, akfbttkeqfd8pzhe93ra674kp, ip62fljz9ng6sil4krcq8dm1, etwawuknprhxhmjk1tyq38e6t, sbxnlkg50itbqkpuh8wnwk45, azt0ll196snbxy38eqw7mtln9, bzf3k4wvqvx1tl1mx960wjv85, 6p6sdikmka45csxfw0i0q0l3p, 1o51op6w576yo6t585wkwistm, 4dk7h575fifmw2lhslevhmhux, dldx0lpfwxc7eb0bc092m48a1, bmbzc4jvazdiuddsbnceyauei, g0s22zvneqmryewunetlsbje, f2snk84xy67ergwrwoblgt2ad, 6zxcmzp7w6esj54g05tvk7ai1, 5r73kuy4vdv1epvmzrhb6nskq, 1jeb7li66vn913oub7t7l7x79, we5jzu2ad4z3wxaerwe6sdex, awokzor2tv5ro47ea34at1gx5, 80dk8iv6p0202z10qcqy8bfca",3709774397,59,"1, 19, 12, 18, 4, 21, 11, 15, 33, 10, 29, 2, 5, 6, 8, 14, 17, 20, 22, 23, 26, 28, 32",3709774401,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446752253,2,32,1,0,0,ch82doz9w9t1sw9ae3a4ffh0j,1,0,0,2022-08-15T18:01:29.824Z,2022-08-15T18:01:30Z,3709868559,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446752259,2,32,1,0,0,dac758ef858jbq7pcb3gfwite,1,0,0,2022-08-15T18:01:29.824Z,2022-08-15T18:01:33Z,3709868591,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446752279,3,1,1,0,0,ch82doz9w9t1sw9ae3a4ffh0j,1,50.1,49.9,2022-08-15T18:01:29.924Z,2022-08-15T18:01:34Z,3709868673,212,12.0,3709868671,141,36.6,3709868667,56,Back,3709868675,213,4.0,3709868669,140,42.6,3709868677,279,S,,,,,,,dodkgckgbecal0vivr1jf0hzo,M. Rijks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446752295,4,1,1,0,3,ch82doz9w9t1sw9ae3a4ffh0j,1,42.6,36.6,2022-08-15T18:01:33.740Z,2022-08-15T18:01:36Z,3709868757,56,Back,3709868765,213,3.7,3709868763,212,15.9,3709868759,140,29.5,3709868761,141,25.0,,,,,,,,,,btrg844mxkl6kbn89s7aecj8q,G. Yah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446752299,5,1,1,0,6,ch82doz9w9t1sw9ae3a4ffh0j,0,29.5,25,2022-08-15T18:01:36.237Z,2022-08-15T18:01:36Z,3709868791,213,0.5,3709868789,212,37.6,3709868781,155,,3709868787,141,50.0,3709868785,140,61.4,3709868793,1,,3709868783,56,Center,,,,c6i4usq34m3389rtbqptahrai,R. Meissen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446752309,3,1,1,0,7,dac758ef858jbq7pcb3gfwite,0,35.7,49.3,2022-08-15T18:01:37.355Z,2022-08-15T18:01:59Z,3709868851,140,49.1,3709868853,141,54.9,3709868855,212,14.6,3709868849,56,Back,3709868857,213,0.3,3709869355,3,,,,,,,,sbxnlkg50itbqkpuh8wnwk45,L. Schoofs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446752313,6,1,1,0,8,ch82doz9w9t1sw9ae3a4ffh0j,0,48.3,51.3,2022-08-15T18:01:38.493Z,2022-08-15T18:01:39Z,3709868871,141,53.4,3709868873,212,31.3,3709868875,213,0.0,3709868867,56,Center,3709868869,140,78.1,3709868865,3,,,,,,,,btrg844mxkl6kbn89s7aecj8q,G. Yah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446752323,4,1,1,0,10,dac758ef858jbq7pcb3gfwite,0,24.5,50.6,2022-08-15T18:01:40.587Z,2022-08-15T18:01:41Z,3709868937,141,41.5,3709868935,140,35.0,3709868933,56,Back,3709868931,3,,3709868939,212,12.6,3709868941,213,5.8,,,,,,,ip62fljz9ng6sil4krcq8dm1,J. Hoogma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
