id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist
2511553943,1,34,16,0,0,dvmw7d6jb38qvv7e6ziwu0vyr,1,0,0,2023-02-24T18:21:27.741Z,2023-02-24T19:08:46Z,4052468977,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4052468975,130,17,4052468969,30,"3oduk9niyqml47z7wramkxhw5, 97p6b1r72br3soq4k7fpjnrl6, bnkzwpd607re6s01oa77wcodm, bitv8dp51g02iyf6o3elxnoix, 7hsyytjjg6zw5knvav9xybbh1, 1r67co8q0ktlqe5209xm6sxec, 3j368501ogr8mt2jdb7mby8h6, e0mrzdikm67yw88563zgovb6y, 5f8ajd8cgyvmmdzr0lzi1gtii, c3j7ddqg0yzporam6gieibgiy, dej8tywq0npvbm25sfgtqur1m, d4z4gdds9hajylsy2hh5b78q, ak5exy1iztbo0mqloqdwiag6i, ar47jfq139xyic4pvdhefduga, 2v12tmspdosmwic2h6itfz0x6, 8o2hk1hy097osczjijmq4bsh5, byfk0abaxu0ha7w01vpmreb1m, coxuin3vr6nkynlvcsvzphjl6, 3v2grfhuisr456ibcvqjfx4yy, 6plxmzzrxmkhogrob8fdeunkl",4052564217,194,e0mrzdikm67yw88563zgovb6y,4052468971,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4052468973,59,"1, 99, 7, 28, 33, 27, 8, 17, 22, 25, 20, 2, 5, 10, 12, 23, 31, 32, 45, 77",4052468979,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4052564219,197,2671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511555489,1,34,16,0,0,xcevba75jfkrg4s6tl89zl3y,1,0,0,2023-02-24T18:26:41.876Z,2023-02-24T19:17:29Z,4052478831,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4052478833,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4052478823,30,"cf70r39m2wgbijtw0co5t6yfp, abgzge9xy445z8rdwa2mcapqt, 3yq9brnhlfinrzrfbzcv99nmd, 7flz5rsy2e31gbd8udiqg14gl, 62ft9dfhds3wn0dv650d4gkph, 969cpy2geokwer9gjapk7zj3e, 1j33nixshgkkdwjjnuafknahh, 7b4jmfu1ejoeci2zmvwuejnys, 3h7rkufywz6c2aye1l5b0ihp0, 5curv1gquatwkxsin86fghvkk, ds0hd4ezvb5rw6l95rhbxtq1g, 1chxk7d4i11x2f16igblexgyc, 96j7klvrblmkwsprx0wk81b10, 117h1l06g6f9osjp3pbb4tvro, 8eribncmewk65x40tn7pvqymt, 56i6rp74me1bdnqz1hzilzyfo, es1ohgwfiwq5f9mx2887zul90, g16sstb2lz1ru2hsba2ml6ju, vp0ugvtvnm7d72lyd3gsixhw, ck7e2h6thujvs1j9663xsy6ms, 8jm8a7w3a5b5nzikcom7cvf2s, 7dj1tr37jtrr32cyw6r1dukus",4052478829,130,8,4052521409,194,abgzge9xy445z8rdwa2mcapqt,4052478825,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4052562187,197,2124,4052478827,59,"1, 22, 28, 6, 4, 20, 11, 23, 17, 14, 33, 16, 18, 25, 27, 29, 31, 32, 34, 37, 44, 45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511574603,2,32,1,0,0,xcevba75jfkrg4s6tl89zl3y,1,0,0,2023-02-24T19:05:42.082Z,2023-02-24T19:05:42Z,4052581009,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511574611,2,32,1,0,0,dvmw7d6jb38qvv7e6ziwu0vyr,1,0,0,2023-02-24T19:05:42.082Z,2023-02-24T19:05:49Z,4052581021,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511574719,3,1,1,0,0,dvmw7d6jb38qvv7e6ziwu0vyr,1,49.8,50.3,2023-02-24T19:05:42.182Z,2023-02-24T20:07:26Z,4052581635,212,3.0,4052581637,213,2.0,4052581631,140,48.5,4052581633,141,54.3,4052581629,56,Back,4052581639,279,S,,,,,,,c3j7ddqg0yzporam6gieibgiy,C. Brym,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511574727,4,1,1,0,2,dvmw7d6jb38qvv7e6ziwu0vyr,1,48.5,54.3,2023-02-24T19:05:44.663Z,2023-02-24T19:05:50Z,4052581671,212,23.6,4052581673,213,3.1,4052581665,56,Back,4052581667,140,26.1,4052581669,141,56.6,,,,,,,,,,5f8ajd8cgyvmmdzr0lzi1gtii,E. Rottier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511574735,5,1,1,0,4,dvmw7d6jb38qvv7e6ziwu0vyr,0,25.4,48.5,2023-02-24T19:05:46.744Z,2023-02-24T19:05:50Z,4052581719,213,0.8,4052581721,1,,4052581711,56,Left,4052581713,140,61.0,4052581717,212,51.7,4052581715,141,100.0,4052581707,155,,,,,7hsyytjjg6zw5knvav9xybbh1,C. Seedorf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511575039,3,5,1,0,7,xcevba75jfkrg4s6tl89zl3y,1,39.4,-1.1,2023-02-24T19:05:49.964Z,2023-02-24T19:06:09Z,4052583233,56,Back,4052583235,347,,4052583241,233,6,,,,,,,,,,,,,,,,5curv1gquatwkxsin86fghvkk,C. Neghli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511574741,6,5,1,0,7,dvmw7d6jb38qvv7e6ziwu0vyr,0,60.6,101.1,2023-02-24T19:05:49.964Z,2023-02-24T19:50:55Z,4052581729,347,,4052581727,56,Left,4052583269,233,3,,,,,,,,,,,,,,,,7hsyytjjg6zw5knvav9xybbh1,C. Seedorf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511575081,4,1,1,0,27,xcevba75jfkrg4s6tl89zl3y,1,39.8,0,2023-02-24T19:06:09.139Z,2023-02-24T19:06:12Z,4052583475,1,,4052583469,141,3.4,4052583463,107,,4052583465,56,Right,4052583467,140,67.3,4052583473,213,0.1,4052583471,212,29.0,,,,abgzge9xy445z8rdwa2mcapqt,Jeffry Fortes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
