id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,assist,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,keyPass,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/10/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2442188443,1,34,16,0,0,dnzj0iv5qtaemm9kthh9pos8q,1,0,0,2022-08-05T17:15:12.073Z,2022-08-05T18:10:49Z,3685513179,130,8,3685513177,59,"1, 13, 12, 19, 3, 4, 20, 8, 11, 10, 7, 14, 5, 6, 15, 16, 17, 22, 23, 31",3685513181,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3685590425,197,2848,3685513185,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3685513173,30,"89dofd1p8ftdgy1u8jlyi58lx, 5e9ek4qs1dnp69oojzpvrltrd, 4zow18ykkg1gvw40r7jsrzkl, 8uw9w30592omb8acpnssgdlh, cexuwvet4xiruf1jitkjjp7qi, 1jn9jog8ou8uxnmypneksizxm, dhxpfe8e618lavr0915m9y2ju, dh3ksith5iat573zuhdhv91w5, 5c5quyl7qxptstbge87w2eqqx, a9233dwa5vm9qv2lncq3kawut, 6dpxvfpnaua6y4gevop02qc8a, 50grkc6r635d7bjqgwrasi8rt, 2mz4zjaxr4rz219q08h97yn6d, au91rqig6uyyi1zdmlxydk38q, 7cetznpb0tnu6kdz7bvm8gyxh, 4z8o35izc3gx6i2bt4mcs1fjd, 49xt4lsf38z9yjlg32652zg4q, fjistzkvlbsa2v7xsnu0uy95, 5chl0qcvbbkd0yeogurw1fz6x, ebj7cl31vlr8nrltm42ydrdka",3685513183,194,dh3ksith5iat573zuhdhv91w5,3685513175,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442192411,1,34,16,0,0,ch82doz9w9t1sw9ae3a4ffh0j,1,0,0,2022-08-05T17:30:44.212Z,2022-08-05T18:01:43Z,3685535625,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3685535621,59,"1, 2, 5, 6, 3, 14, 7, 8, 9, 10, 11, 15, 17, 20, 16, 24, 18, 19, 31, 12",3685535623,130,8,3685591501,197,2843,3685535619,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3685535617,30,"790v7fu7f2s40e160mlrb6dt6, 84isfq4ix06ebaf7a7jcvd9wq, ealh7n21gctxxw5ol3l3yxzze, btrg844mxkl6kbn89s7aecj8q, c6i4usq34m3389rtbqptahrai, ah3d8xugrx3pqaqxcmg06iyok, enyk37znns1ie2djrh4y3uck4, ed5sclhs7op7a2mdvetub4dwq, dodkgckgbecal0vivr1jf0hzo, bmegw740jz7qramlatlpmv4h6, 5nhideyjwp2347ryi1n9wfq50, asvxbmdd5j5tlz2fo1jpcrrx0, 8r3k1iuul274c0ha0vy90jys, 2n5747kdxok0ifg5o37336plg, deb7ysp5fwiouttlarstuxgyc, 1kuswan9lk455u02x1ff389re, 5q6qsh7qw0f9y754i3ylqfl04, 4lsj3yc6adimhltkab6tzfj84, et56bifus2obkmtcwzhqpzxn8, cvobl9pqqtj7hrgtu28grvdre",3685535629,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3685535627,194,ed5sclhs7op7a2mdvetub4dwq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442203235,2,32,1,0,0,dnzj0iv5qtaemm9kthh9pos8q,1,0,0,2022-08-05T18:02:07.058Z,2022-08-05T18:02:08Z,3685592509,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442203217,2,32,1,0,0,ch82doz9w9t1sw9ae3a4ffh0j,1,0,0,2022-08-05T18:02:07.058Z,2022-08-05T18:02:07Z,3685592423,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442203289,3,1,1,0,0,ch82doz9w9t1sw9ae3a4ffh0j,1,50.1,50.1,2022-08-05T18:02:07.158Z,2022-08-05T18:29:59Z,3685592787,279,S,3685592783,212,0.5,3685592785,213,4.7,3685592781,141,49.3,3685592777,56,Center,3685592779,140,50.1,,,,,,,dodkgckgbecal0vivr1jf0hzo,M. Rijks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442203297,4,43,1,0,7,ch82doz9w9t1sw9ae3a4ffh0j,1,0,0,2022-08-05T18:02:14.497Z,2022-08-05T18:02:28Z,3685592829,285,0,3685593263,144,7,3685592827,56,Center,,,,,,,,,,,,,,,,dodkgckgbecal0vivr1jf0hzo,M. Rijks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442203319,5,43,1,0,8,ch82doz9w9t1sw9ae3a4ffh0j,1,0,0,2022-08-05T18:02:15.352Z,2022-08-05T18:32:35Z,3685592933,141,42.2,3685592937,213,3.4,3685684953,144,1,3685592931,140,35.4,3685592935,212,16.2,3685592929,56,Back,,,,,,,dodkgckgbecal0vivr1jf0hzo,M. Rijks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442203335,6,1,1,0,11,ch82doz9w9t1sw9ae3a4ffh0j,1,35.1,41.3,2022-08-05T18:02:18.219Z,2022-08-05T18:02:20Z,3685592999,56,Back,3685593005,212,28.0,3685593001,140,8.5,3685593003,141,44.3,3685593007,213,3.1,,,,,,,,,,ed5sclhs7op7a2mdvetub4dwq,Y. Ikeshita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442203355,7,1,1,0,12,ch82doz9w9t1sw9ae3a4ffh0j,0,8.5,44.3,2022-08-05T18:02:19.931Z,2022-08-05T18:02:25Z,3685593139,141,45.7,3685593137,140,68.3,3685593133,157,,3685593143,213,0.0,3685593135,56,Center,3685593145,1,,3685593141,212,62.8,,,,790v7fu7f2s40e160mlrb6dt6,C. Raatsie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442203359,3,1,1,0,15,dnzj0iv5qtaemm9kthh9pos8q,1,38.2,59.3,2022-08-05T18:02:23.002Z,2022-08-05T18:49:05Z,3685593167,212,10.8,3685593159,3,,3685593169,213,5.6,3685593163,140,46.0,3685593161,56,Back,3685593165,141,49.0,,,,,,,1jn9jog8ou8uxnmypneksizxm,R. van Eijma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
