id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/10/value,qualifier/11/value,qualifier/8/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/13/value,qualifier/16/value,assist
2468398599,1,34,16,0,0,e8hiwrw6ocxm5iht6sp7jiv19,1,0,0,2022-10-07T16:46:43.757Z,2022-10-07T18:00:04Z,3825087157,197,451,3824896529,59,"1, 45, 24, 21, 2, 20, 34, 6, 9, 10, 42, 23, 7, 8, 11, 35, 14, 17, 25, 26, 28, 30, 33",3824896535,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3824896533,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3824972307,194,b1yxo0olp9c2ufh1l1qxsef9x,3824896525,30,"4xjwsmhvtnq3f2bgyd4mjqq96, 1hpmrfb0mbmevf9edj0o0bv56, dineetneurorxpx1yv0v8tega, 7fhe8ij85yc4gz6v3zuq62l05, 5dxleurgfe6483pe7qvyc00es, f49vqdy6topqx2b3ku5cixd2i, 9l5hp0tmizix8z6h5b5vqvhm1, 9knokmhy9zckjq0gv7txx9zsa, b1yxo0olp9c2ufh1l1qxsef9x, bdpso3uk915bg1tr1d7s0p7je, 9tru2a7pof2r37s8ro29uv3dh, axhjtqfa2xxud2tdle8zfxrkl, 4nz928h6p0nl8p161dxg55pn8, cp732f8tqz91xeahijtd35rd, 5l4fkm9a0pvfi9qiy6gipf71m, eybrr6zz7x6d1ftc7u4vphn85, 7a1f6wedz8jtcvn58d5pomm8k, b4a2wu8fdbrh5sirpv34hoewa, 9oajgqqc9gkgbcz090it0tlhw, 408icqrc0uwh4ln5e3xl7fbe2, 17oeipaq6y7pvs42fpx9oy9uy, 7c58hgy3g9gntpuqf5w5hpvu2, 5n5otf2ldw9w4nbm8zjabnd1x",3824896527,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3824896531,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468404005,1,34,16,0,0,dvmw7d6jb38qvv7e6ziwu0vyr,1,0,0,2022-10-07T16:59:09.254Z,2022-10-07T18:05:19Z,3824924215,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3824924217,59,"1, 99, 7, 33, 4, 3, 8, 23, 22, 25, 20, 2, 5, 9, 12, 21, 19, 27, 28, 31, 32, 45",3825101905,194,eu901b75l2ly5p48jdw6kwmad,3824924213,30,"3oduk9niyqml47z7wramkxhw5, 97p6b1r72br3soq4k7fpjnrl6, bnkzwpd607re6s01oa77wcodm, 7hsyytjjg6zw5knvav9xybbh1, 9e70uun80bdi4hedu45mo5vxl, eu901b75l2ly5p48jdw6kwmad, 3j368501ogr8mt2jdb7mby8h6, 8o2hk1hy097osczjijmq4bsh5, 5f8ajd8cgyvmmdzr0lzi1gtii, c3j7ddqg0yzporam6gieibgiy, dej8tywq0npvbm25sfgtqur1m, d4z4gdds9hajylsy2hh5b78q, ak5exy1iztbo0mqloqdwiag6i, db32f79l8p19q2g45g885t7xm, 2v12tmspdosmwic2h6itfz0x6, 47wgrchutkdy62665jc79dy0a, 6mn57wdtnexqlumwsg8qyil90, 1r67co8q0ktlqe5209xm6sxec, bitv8dp51g02iyf6o3elxnoix, byfk0abaxu0ha7w01vpmreb1m, coxuin3vr6nkynlvcsvzphjl6, 3v2grfhuisr456ibcvqjfx4yy",3825088081,197,13165,3824924221,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3824924219,130,17,3824924223,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468435741,2,43,1,0,0,e8hiwrw6ocxm5iht6sp7jiv19,1,0,0,2022-10-07T18:02:04.145Z,2022-10-07T18:02:27Z,3825093349,144,32,3825091865,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468436071,2,32,1,0,0,dvmw7d6jb38qvv7e6ziwu0vyr,1,0,0,2022-10-07T18:02:36.119Z,2022-10-07T18:03:03Z,3825093633,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468436077,4,32,1,0,0,e8hiwrw6ocxm5iht6sp7jiv19,1,0,0,2022-10-07T18:02:36.119Z,2022-10-07T18:03:01Z,3825093671,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468436103,3,1,1,0,1,dvmw7d6jb38qvv7e6ziwu0vyr,1,49.7,50,2022-10-07T18:02:37.930Z,2022-10-07T18:08:57Z,3825093803,140,25.6,3825093807,212,25.9,3825093805,141,58.1,3825113453,279,S,3825093801,56,Back,3825093809,213,2.9,,,,,,,5f8ajd8cgyvmmdzr0lzi1gtii,E. Rottier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468436127,4,1,1,0,2,dvmw7d6jb38qvv7e6ziwu0vyr,1,27.1,62,2022-10-07T18:02:38.375Z,2022-10-07T18:06:35Z,3825093957,56,Back,3825093959,140,32.0,3825093965,213,1.2,3825093961,141,83.8,3825093963,212,15.7,,,,,,,,,,9e70uun80bdi4hedu45mo5vxl,M. Peijnenburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468436185,5,1,1,0,3,dvmw7d6jb38qvv7e6ziwu0vyr,1,32.3,70.9,2022-10-07T18:02:39.383Z,2022-10-07T18:06:38Z,3825094293,213,4.1,3825094291,212,10.9,3825094289,141,58.2,3825094287,140,25.9,3825094285,56,Back,,,,,,,,,,eu901b75l2ly5p48jdw6kwmad,M. Amevor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468436243,6,1,1,0,4,dvmw7d6jb38qvv7e6ziwu0vyr,1,30,62.6,2022-10-07T18:02:40.303Z,2022-10-07T18:05:18Z,3825094611,140,33.0,3825094609,56,Back,3825094613,141,79.6,3825094617,213,1.3,3825094615,212,12.0,,,,,,,,,,9e70uun80bdi4hedu45mo5vxl,M. Peijnenburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468435813,3,43,1,0,5,e8hiwrw6ocxm5iht6sp7jiv19,1,0,0,2022-10-07T18:02:10.136Z,2022-10-07T18:02:29Z,3825092237,277,1,3825093467,144,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
