id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,assist,qualifier/12/value,qualifier/11/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/16/value,qualifier/17/value
2444914721,1,34,16,0,0,zjawy6qdzk3y69v5pa3zl2cb,1,0,0,2022-08-12T17:18:37.845Z,2022-08-12T18:29:54Z,3700023851,30,"8l31bne12p5cp51o46h92zjrp, 88vryegnhss2q5xz8aoj2phey, da3d2iu2j4yb7q1ag063mu44q, 5wg2ysvwk3q67osv2nnbav4yx, 61wt62anweh75oguqg0vbozu2, 476jyuzjm08o0d5g3t4nh1cyd, 9tmi00hx820vuwghg30jhzidx, a49duk4f5m5zmyvwht0ikal05, c78t1bgro2lh7gvw8rwi6p239, blu3rrhzier5ivp5p9u78448a, m10ml783dkbr4i0fpb06cm3t, 5t2yht2zjn4g7otqpaer3ia22, ag4gnhbvomc0q9ohvkyroftas, 46oot98163lb6atyes4j0mup5, 4j7mtyvi7jg9e4ontiyt9vwbu, e7vke1zwf6w6xvxtsi2b8f9m2, 9jx0oun9o3zqncgu9axt2qxka, 53c63f5ekinmj6bquc3rbsbxm, dh8jo5uq1oq0qv7gpu5rrbwx6, ajt9gf8zqsc3m6z4kof5m99ii, 9fb368ot1vtjx63e4l4y0ss9g, adp5a6klr2nygqjmdd1ekc8kq",3700023861,194,c78t1bgro2lh7gvw8rwi6p239,3700096567,197,4034,3700023853,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3700023863,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3700023855,59,"1, 16, 27, 24, 6, 3, 8, 12, 9, 17, 21, 11, 2, 5, 7, 14, 18, 20, 23, 25, 28, 29",3700023857,130,12,3700023859,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2444919895,1,34,16,0,0,2uuh2bir8ktof0uxfo06lb4ox,1,0,0,2022-08-12T17:38:08.195Z,2022-08-12T18:16:06Z,3700052229,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3700098947,197,498,3700052227,194,bspl2le99ugt2ug4tcqsvp1w5,3700052225,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3700052223,130,18,3700052217,30,"cetavjue5femoxid9fmcd0zjd, 8fqnvz74z901a2h0kgk1zezje, bjf602cvxm1ln8ekwboesqbu2, dse1rndtog4qn2mwv966vp6mt, dmrznrol8qp7yk53r6ajhnkt0, bspl2le99ugt2ug4tcqsvp1w5, by85t8ssyumcjcks1jx3v96vo, a339o11ut8s1o9odm6ybc4pka, a4dg6hmhim8bhpl5d7me85al1, asn8og4yn5gj4it0qe6vulhat, 6ferzqtsot04cucvdh1cjex62, 5mqcwgg1cjj38k4adpnbkbvv8, eds7hz8z52qf06c3oug7nivv9, b77p0um20y057708bx6on4d4a, 2esbyi3i7rtsdkxe6a917rsnp, 29s8wk0a2m66rebsfx1jfuuh, 8dez06qvnnwh13201ki10rtka, 2f3j5qchxzh11u4bi2mb8dslw, c3akpx5mnexpkslo0sqqezsru, e6jkldz6za7ln3jqxaw50i2qy, 7gwm8sjtl2vyfeh6mio8ve9ec, 4jshezco0cyjgre23nm98fetx, sk7z843dcqvmdf1tkoaoysr8",3700052221,59,"1, 3, 47, 5, 36, 2, 20, 6, 10, 14, 45, 17, 4, 8, 9, 11, 19, 22, 23, 25, 33, 40, 41",3700052219,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2444929887,2,32,1,0,0,zjawy6qdzk3y69v5pa3zl2cb,1,0,0,2022-08-12T18:02:10.579Z,2022-08-12T18:02:11Z,3700104739,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2444929869,2,32,1,0,0,2uuh2bir8ktof0uxfo06lb4ox,1,0,0,2022-08-12T18:02:10.579Z,2022-08-12T18:02:10Z,3700104641,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2444929915,3,1,1,0,0,2uuh2bir8ktof0uxfo06lb4ox,1,49.5,48.4,2022-08-12T18:02:10.679Z,2022-08-12T18:02:14Z,3700104905,213,2.7,3700104901,141,64.6,3700104907,279,S,3700104899,140,25.1,3700104903,212,27.9,3700104897,56,Back,,,,,,,asn8og4yn5gj4it0qe6vulhat,A. Vellios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2444929951,4,1,1,0,3,2uuh2bir8ktof0uxfo06lb4ox,0,25.1,64.6,2022-08-12T18:02:14.383Z,2022-08-12T18:02:17Z,3700105103,56,Center,3700105113,1,,3700105101,157,,3700105111,213,6.0,3700105109,212,44.3,3700105107,141,46.3,3700105105,140,65.6,,,,dmrznrol8qp7yk53r6ajhnkt0,T. Beelen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2444929967,3,44,1,0,6,zjawy6qdzk3y69v5pa3zl2cb,1,32.2,41.4,2022-08-12T18:02:17.087Z,2022-08-12T18:02:18Z,3700105229,233,5,3700105185,56,Back,3700105187,285,,,,,,,,,,,,,,,,,476jyuzjm08o0d5g3t4nh1cyd,M. Apau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2444929955,5,44,1,0,6,2uuh2bir8ktof0uxfo06lb4ox,0,67.8,58.6,2022-08-12T18:02:17.088Z,2022-08-12T18:02:19Z,3700105139,56,Center,3700105141,286,,3700105251,233,3,,,,,,,,,,,,,,,,6ferzqtsot04cucvdh1cjex62,C. Landu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2444930009,4,1,1,0,7,zjawy6qdzk3y69v5pa3zl2cb,1,30.9,29.1,2022-08-12T18:02:18.470Z,2022-08-12T18:02:21Z,3700105385,56,Back,3700105387,140,46.8,3700105389,141,42.4,3700105393,213,0.5,3700105383,3,,3700105391,212,19.0,,,,,,,476jyuzjm08o0d5g3t4nh1cyd,M. Apau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2444930017,5,1,1,0,9,zjawy6qdzk3y69v5pa3zl2cb,0,44.6,42.1,2022-08-12T18:02:20.366Z,2022-08-12T18:02:24Z,3700105441,168,,3700105451,213,6.1,3700105445,140,58.3,3700105439,3,,3700105443,56,Center,3700105447,141,37.9,3700105449,212,14.7,,,,blu3rrhzier5ivp5p9u78448a,K. Blommestijn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
