id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,assist,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,keyPass,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2471640787,1,34,16,0,0,xcevba75jfkrg4s6tl89zl3y,1,0,0,2022-10-14T17:13:07.624Z,2022-10-14T18:26:56Z,3842221361,194,440ry78r7c0ntspgph192c0r9,3842316995,197,2124,3842221359,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3842221363,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3842221357,130,8,3842221355,59,"1, 27, 28, 23, 22, 20, 14, 21, 9, 10, 33, 3, 4, 5, 6, 7, 8, 16, 17, 18, 32, 34, 45",3842221351,30,"cf70r39m2wgbijtw0co5t6yfp, 8eribncmewk65x40tn7pvqymt, 3yq9brnhlfinrzrfbzcv99nmd, 7b4jmfu1ejoeci2zmvwuejnys, abgzge9xy445z8rdwa2mcapqt, 969cpy2geokwer9gjapk7zj3e, 5curv1gquatwkxsin86fghvkk, 1n0syrrxf9x7neh3tn19sc89h, 11sxalz1nikiipmp7bxvz33rp, 440ry78r7c0ntspgph192c0r9, ds0hd4ezvb5rw6l95rhbxtq1g, 92mkw4rtoho0gkf3wr19c9iad, 62ft9dfhds3wn0dv650d4gkph, 78t5clx87mnpzn7c5ynoa37x1, 7flz5rsy2e31gbd8udiqg14gl, 3y7w3ngh3kby9mehxe5q7glpl, 85rm5s7x9di62hw3l31y5w8o9, 1chxk7d4i11x2f16igblexgyc, 3h7rkufywz6c2aye1l5b0ihp0, 96j7klvrblmkwsprx0wk81b10, g16sstb2lz1ru2hsba2ml6ju, vp0ugvtvnm7d72lyd3gsixhw, 7dj1tr37jtrr32cyw6r1dukus",3842221353,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471644063,1,34,16,0,0,ch82doz9w9t1sw9ae3a4ffh0j,1,0,0,2022-10-14T17:21:17.635Z,2022-10-14T18:07:54Z,3842239931,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3842239929,194,ed5sclhs7op7a2mdvetub4dwq,3842239923,59,"1, 2, 11, 5, 14, 3, 8, 6, 10, 7, 9, 23, 21, 20, 19, 17, 16, 15, 18, 31, 24",3842239919,30,"790v7fu7f2s40e160mlrb6dt6, cvobl9pqqtj7hrgtu28grvdre, ealh7n21gctxxw5ol3l3yxzze, 1kuswan9lk455u02x1ff389re, 55nra47i364xh4jpkmo93rzai, c6i4usq34m3389rtbqptahrai, c2d9oidweb7cj1g39jwuugro4, ed5sclhs7op7a2mdvetub4dwq, dodkgckgbecal0vivr1jf0hzo, c3akpx5mnexpkslo0sqqezsru, 4lsj3yc6adimhltkab6tzfj84, ah3d8xugrx3pqaqxcmg06iyok, 8r3k1iuul274c0ha0vy90jys, 2n5747kdxok0ifg5o37336plg, 6h42yb9i7kxszd3udw7ccxus4, enyk37znns1ie2djrh4y3uck4, deb7ysp5fwiouttlarstuxgyc, asvxbmdd5j5tlz2fo1jpcrrx0, 5q6qsh7qw0f9y754i3ylqfl04, 4xw53nccs5e36es4045pnuvis, 9wo8twcbs1jnqzdy0c6y8adey",3842239925,130,13,3842239921,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3842239927,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3842317247,197,16352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471660217,2,32,1,0,0,ch82doz9w9t1sw9ae3a4ffh0j,1,0,0,2022-10-14T18:04:23.921Z,2022-10-14T18:04:25Z,3842330371,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471660223,2,32,1,0,0,xcevba75jfkrg4s6tl89zl3y,1,0,0,2022-10-14T18:04:23.921Z,2022-10-14T18:04:24Z,3842330397,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471660273,3,1,1,0,0,xcevba75jfkrg4s6tl89zl3y,1,49.9,50.1,2022-10-14T18:04:24.033Z,2022-10-14T18:04:28Z,3842330683,213,3.5,3842330679,141,39.8,3842330685,279,S,3842330681,212,19.8,3842330677,140,32.3,3842330675,56,Back,,,,,,,1n0syrrxf9x7neh3tn19sc89h,J. Valencia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471660329,4,1,1,0,4,xcevba75jfkrg4s6tl89zl3y,1,32.3,39.8,2022-10-14T18:04:28.781Z,2022-10-14T18:04:33Z,3842331063,213,0.5,3842331059,141,71.4,3842331065,1,,3842331061,212,43.4,3842331053,155,,3842331055,56,Center,3842331057,140,68.2,,,,abgzge9xy445z8rdwa2mcapqt,Jeffry Fortes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471661913,13,1,1,0,5,xcevba75jfkrg4s6tl89zl3y,1,74.1,69.7,2022-10-14T18:04:29.036Z,2022-10-14T18:06:49Z,3842341069,141,71.5,3842341067,140,79.9,3842341073,213,0.2,3842341065,56,Center,3842341063,168,,3842341071,212,6.2,,,,,,,11sxalz1nikiipmp7bxvz33rp,D. Gravenberch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471660333,5,1,1,0,9,xcevba75jfkrg4s6tl89zl3y,0,68.2,71.4,2022-10-14T18:04:33.046Z,2022-10-14T18:04:33Z,3842331089,212,9.1,3842331091,213,5.5,3842331087,141,62.4,3842331081,3,,3842331085,140,74.6,3842331083,56,Center,,,,,,,ds0hd4ezvb5rw6l95rhbxtq1g,B. Önal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471660341,3,1,1,0,9,ch82doz9w9t1sw9ae3a4ffh0j,0,22.8,43.7,2022-10-14T18:04:33.723Z,2022-10-14T18:04:34Z,3842331137,213,0.1,3842331129,56,Back,3842331131,140,27.0,3842331135,212,4.4,3842331133,141,44.2,3842331127,3,,,,,,,,ed5sclhs7op7a2mdvetub4dwq,Y. Ikeshita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471660369,4,45,1,0,12,ch82doz9w9t1sw9ae3a4ffh0j,0,18.1,38,2022-10-14T18:04:36.904Z,2022-10-14T18:04:39Z,3842331295,285,,3842331485,233,6,3842331293,56,Back,,,,,,,,,,,,,,,,ed5sclhs7op7a2mdvetub4dwq,Y. Ikeshita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471660393,6,3,1,0,12,xcevba75jfkrg4s6tl89zl3y,1,81.9,62,2022-10-14T18:04:36.904Z,2022-10-14T18:04:39Z,3842331443,56,Center,3842331459,233,4,3842331445,286,,,,,,,,,,,,,,,,,1n0syrrxf9x7neh3tn19sc89h,J. Valencia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471660421,7,1,1,0,15,xcevba75jfkrg4s6tl89zl3y,1,85.8,66.7,2022-10-14T18:04:39.036Z,2022-10-14T18:04:41Z,3842331605,140,91.0,3842331607,141,82.4,3842331611,213,1.1,3842331603,56,Left,3842331609,212,12.0,,,,,,,,,,1n0syrrxf9x7neh3tn19sc89h,J. Valencia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
