id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/11/value,qualifier/12/value,qualifier/15/value,assist,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId
2495328481,1,34,16,0,0,eh54mfvjtrttgsg1wbjnvxcqz,1,0,0,2023-01-06T18:15:15.528Z,2023-01-06T19:12:25Z,3967132095,30,"4jvk1ex8dsjj498vqzqhfmqxh, 36d4zodjdvtc8w1q4p940cx2i, 7eq1j570gbj6tzw9d1btzwnis, 46wxtiry28k7j3y6gacgf7x4a, a5j0tndc5032lgmuv1vqd2cix, abgkpku77iidahswqpvce5gtm, aynwkpiteltfei3x5txm84opg, 8mq0q8ebkt20p1pm35z3qma22, 7afaygi7b8fmxr885zaezaay1, 4lf5375rzyy400rabvwgbcbmx, 8g5ms6uacdkgfcbxt4crlr4ve, 7wa5hbk41axn5lybd2b7v2978, a2ws6j60xd12ng844vlhgq2cq, alzxtazwzkp6cy4igin4ht2vp, 5362zl678ibx1md2kk6t4r47o, 97i465n07uip7fnpw82v554b8, balcshp8sostjtslygqqixu5l, 8zj8e6ovo1bt0d67klra3yh3o, a8nrm0flhc6mak2kvjksdlzx0",3967132105,194,4jvk1ex8dsjj498vqzqhfmqxh,3967185789,197,13167,3967132103,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",3967132101,130,8,3967132107,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3967132097,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",3967132099,59,"1, 18, 14, 8, 3, 15, 20, 7, 10, 22, 42, 2, 4, 6, 9, 19, 21, 24, 31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495329373,1,34,16,0,0,ch82doz9w9t1sw9ae3a4ffh0j,1,0,0,2023-01-06T18:19:01.618Z,2023-01-06T19:03:33Z,3967136407,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3967136409,59,"1, 2, 5, 8, 3, 14, 11, 6, 10, 7, 9, 16, 21, 15, 17, 18, 19, 23, 24, 31, 12",3967136413,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3967136423,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3967136411,130,8,3967136417,194,9wo8twcbs1jnqzdy0c6y8adey,3967136405,30,"790v7fu7f2s40e160mlrb6dt6, cvobl9pqqtj7hrgtu28grvdre, ealh7n21gctxxw5ol3l3yxzze, c2d9oidweb7cj1g39jwuugro4, 9wo8twcbs1jnqzdy0c6y8adey, 1kuswan9lk455u02x1ff389re, 5nhideyjwp2347ryi1n9wfq50, 1s6yn52hlqtmmz4lerscf457u, dodkgckgbecal0vivr1jf0hzo, c3akpx5mnexpkslo0sqqezsru, 2n5747kdxok0ifg5o37336plg, deb7ysp5fwiouttlarstuxgyc, enyk37znns1ie2djrh4y3uck4, asvxbmdd5j5tlz2fo1jpcrrx0, 8r3k1iuul274c0ha0vy90jys, 1s1c0w7we8oouklrwshie0iz8, 4lsj3yc6adimhltkab6tzfj84, c6i4usq34m3389rtbqptahrai, 55nra47i364xh4jpkmo93rzai, et56bifus2obkmtcwzhqpzxn8, 81lcssd0e5g5rerdpyjlrkkyc",3967192577,197,2842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495339555,2,32,1,0,0,eh54mfvjtrttgsg1wbjnvxcqz,1,0,0,2023-01-06T19:03:36.537Z,2023-01-06T19:03:36Z,3967192747,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495339565,2,32,1,0,0,ch82doz9w9t1sw9ae3a4ffh0j,1,0,0,2023-01-06T19:03:36.537Z,2023-01-06T19:03:38Z,3967192811,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495339619,3,1,1,0,0,eh54mfvjtrttgsg1wbjnvxcqz,1,49.7,50.1,2023-01-06T19:03:36.854Z,2023-01-06T19:52:00Z,3967193067,213,3.3,3967193069,279,S,3967193061,140,30.3,3967193065,212,20.6,3967193059,56,Back,3967193063,141,46.1,,,,,,,aynwkpiteltfei3x5txm84opg,R. Leijten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495339655,4,1,1,0,4,eh54mfvjtrttgsg1wbjnvxcqz,1,31.6,56.4,2023-01-06T19:03:41.383Z,2023-01-06T19:52:11Z,3967193259,1,,3967193257,213,0.6,3967193249,56,Left,3967193247,157,,3967193253,141,95.0,3967193255,212,46.2,3967193251,140,67.8,,,,a5j0tndc5032lgmuv1vqd2cix,V. van den Bogert,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495339673,5,1,1,0,8,eh54mfvjtrttgsg1wbjnvxcqz,1,67.8,95,2023-01-06T19:03:45.334Z,2023-01-06T19:03:47Z,3967193355,56,Left,3967193353,3,,3967193363,213,4.9,3967193357,140,69.2,3967193359,141,84.1,3967193361,212,7.6,,,,,,,7afaygi7b8fmxr885zaezaay1,J. Konings,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495339679,6,44,1,0,9,eh54mfvjtrttgsg1wbjnvxcqz,1,64.9,83,2023-01-06T19:03:45.654Z,2023-01-06T19:52:29Z,3967193403,233,3,3967193389,56,Left,3967193391,286,,,,,,,,,,,,,,,,,4lf5375rzyy400rabvwgbcbmx,F. Hammouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495339659,3,44,1,0,9,ch82doz9w9t1sw9ae3a4ffh0j,0,35.1,17,2023-01-06T19:03:45.655Z,2023-01-06T19:03:48Z,3967193267,56,Back,3967193417,233,6,3967193271,285,,,,,,,,,,,,,,,,,1s6yn52hlqtmmz4lerscf457u,R. Shein,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495339693,7,1,1,0,9,eh54mfvjtrttgsg1wbjnvxcqz,1,69.2,84.1,2023-01-06T19:03:45.959Z,2023-01-06T19:53:01Z,3967193435,3,,3967193445,213,5.5,3967193443,212,3.4,3967193441,141,80.6,3967193439,140,71.5,3967193437,56,Left,,,,,,,4lf5375rzyy400rabvwgbcbmx,F. Hammouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
