id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,assist,qualifier/9/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/15/value
2529859759,1,34,16,0,0,2uuh2bir8ktof0uxfo06lb4ox,1,0,0,2023-04-07T17:17:04.600Z,2023-04-07T17:45:30Z,4170258157,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4170258147,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4170258153,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4170258149,59,"1, 3, 11, 5, 36, 2, 8, 30, 6, 4, 9, 16, 7, 14, 15, 17, 20, 22, 23, 24, 31, 33, 40",4170258155,194,bspl2le99ugt2ug4tcqsvp1w5,4170258145,30,"cetavjue5femoxid9fmcd0zjd, 8fqnvz74z901a2h0kgk1zezje, 29s8wk0a2m66rebsfx1jfuuh, dse1rndtog4qn2mwv966vp6mt, dmrznrol8qp7yk53r6ajhnkt0, bspl2le99ugt2ug4tcqsvp1w5, b77p0um20y057708bx6on4d4a, 1rd0zzpp3dn0y7qtxwc57g7h1, a339o11ut8s1o9odm6ybc4pka, eds7hz8z52qf06c3oug7nivv9, 2esbyi3i7rtsdkxe6a917rsnp, 9ktfzp9jbzxod3116b4xql6ju, 3a89nlkh1p3l3qi6o70uzp5ud, asn8og4yn5gj4it0qe6vulhat, idvh0ac1f8wv39640pyl4esp, cnqxbvy77blk2ulx06t65it49, by85t8ssyumcjcks1jx3v96vo, 2f3j5qchxzh11u4bi2mb8dslw, 3y7w3ngh3kby9mehxe5q7glpl, 73wkaux439sdodxdjhn1152sq, ebr52ne9bo6xyh2vhr6nhfhbe, 7gwm8sjtl2vyfeh6mio8ve9ec, 4jshezco0cyjgre23nm98fetx",4170258151,130,18,4170315657,197,498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529860153,1,34,16,0,0,dvmw7d6jb38qvv7e6ziwu0vyr,1,0,0,2023-04-07T17:18:15.558Z,2023-04-07T18:09:53Z,4170260431,194,eu901b75l2ly5p48jdw6kwmad,4170260427,130,13,4170260429,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4170260423,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4170260433,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4170347343,197,13165,4170260425,59,"1, 99, 7, 33, 3, 27, 17, 8, 25, 10, 14, 2, 5, 11, 12, 20, 23, 22, 28, 31, 32, 45, 77",4170260421,30,"3oduk9niyqml47z7wramkxhw5, 97p6b1r72br3soq4k7fpjnrl6, bnkzwpd607re6s01oa77wcodm, 7hsyytjjg6zw5knvav9xybbh1, eu901b75l2ly5p48jdw6kwmad, 1r67co8q0ktlqe5209xm6sxec, e0mrzdikm67yw88563zgovb6y, 3j368501ogr8mt2jdb7mby8h6, c3j7ddqg0yzporam6gieibgiy, ar47jfq139xyic4pvdhefduga, b0yxbu9af1b0jc1odpwzvd7je, d4z4gdds9hajylsy2hh5b78q, ak5exy1iztbo0mqloqdwiag6i, csqt518tes7ct8ht2yryes9g5, 2v12tmspdosmwic2h6itfz0x6, dej8tywq0npvbm25sfgtqur1m, 8o2hk1hy097osczjijmq4bsh5, 5f8ajd8cgyvmmdzr0lzi1gtii, bitv8dp51g02iyf6o3elxnoix, byfk0abaxu0ha7w01vpmreb1m, coxuin3vr6nkynlvcsvzphjl6, 3v2grfhuisr456ibcvqjfx4yy, 6plxmzzrxmkhogrob8fdeunkl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529877043,2,32,1,0,0,dvmw7d6jb38qvv7e6ziwu0vyr,1,0,0,2023-04-07T18:02:28.541Z,2023-04-07T18:02:28Z,4170354003,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529877053,2,32,1,0,0,2uuh2bir8ktof0uxfo06lb4ox,1,0,0,2023-04-07T18:02:28.541Z,2023-04-07T18:02:31Z,4170354045,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529877075,3,1,1,0,0,dvmw7d6jb38qvv7e6ziwu0vyr,1,49.8,49.9,2023-04-07T18:02:28.641Z,2023-04-07T18:02:31Z,4170354173,212,21.2,4170354177,279,S,4170354169,140,29.7,4170354167,56,Back,4170354171,141,46.3,4170354175,213,3.3,,,,,,,e0mrzdikm67yw88563zgovb6y,B. De Keersmaecker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529877115,4,1,1,0,2,dvmw7d6jb38qvv7e6ziwu0vyr,1,29.7,46.3,2023-04-07T18:02:31.440Z,2023-04-07T18:02:33Z,4170354405,141,45.2,4170354411,213,6.2,4170354399,140,48.3,4170354397,56,Back,4170354409,212,19.5,,,,,,,,,,3j368501ogr8mt2jdb7mby8h6,S. van Doorm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529877173,5,1,1,0,5,dvmw7d6jb38qvv7e6ziwu0vyr,1,48.3,45.2,2023-04-07T18:02:33.632Z,2023-04-07T18:02:39Z,4170354755,140,26.7,4170354761,213,2.6,4170354757,141,66.7,4170354759,212,27.0,4170354753,56,Back,,,,,,,,,,e0mrzdikm67yw88563zgovb6y,B. De Keersmaecker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529877191,6,1,1,0,10,dvmw7d6jb38qvv7e6ziwu0vyr,1,26.7,66.7,2023-04-07T18:02:39.152Z,2023-04-07T18:02:40Z,4170354857,56,Back,4170354865,141,47.6,4170354873,213,4.1,4170354869,212,15.8,4170354863,140,18.2,,,,,,,,,,1r67co8q0ktlqe5209xm6sxec,D. Dorenbosch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529877229,7,1,1,0,11,dvmw7d6jb38qvv7e6ziwu0vyr,1,18.2,47.6,2023-04-07T18:02:40.480Z,2023-04-07T18:02:42Z,4170355025,141,38.2,4170355021,56,Back,4170355029,213,5.9,4170355023,140,34.5,4170355027,212,18.3,,,,,,,,,,eu901b75l2ly5p48jdw6kwmad,M. Amevor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529877251,8,1,1,0,14,dvmw7d6jb38qvv7e6ziwu0vyr,1,34.5,38.2,2023-04-07T18:02:42.736Z,2023-04-07T18:02:44Z,4170355133,141,21.2,4170355137,213,4.3,4170355129,56,Back,4170355135,212,12.5,4170355131,140,30.0,,,,,,,,,,3j368501ogr8mt2jdb7mby8h6,S. van Doorm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
