id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/9/value,qualifier/10/value,qualifier/11/value,assist
2495327331,1,34,16,0,0,xcevba75jfkrg4s6tl89zl3y,1,0,0,2023-01-06T18:11:27.279Z,2023-01-06T19:27:22Z,3967125855,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3967125843,30,"cf70r39m2wgbijtw0co5t6yfp, 8eribncmewk65x40tn7pvqymt, 3yq9brnhlfinrzrfbzcv99nmd, 7flz5rsy2e31gbd8udiqg14gl, abgzge9xy445z8rdwa2mcapqt, 969cpy2geokwer9gjapk7zj3e, 5curv1gquatwkxsin86fghvkk, 7b4jmfu1ejoeci2zmvwuejnys, cipmd3k2nfv0ddic0l8go14gl, cglskkkycbja9rjybhui9hdrd, ds0hd4ezvb5rw6l95rhbxtq1g, 62ft9dfhds3wn0dv650d4gkph, 78t5clx87mnpzn7c5ynoa37x1, 3y7w3ngh3kby9mehxe5q7glpl, 85rm5s7x9di62hw3l31y5w8o9, 11sxalz1nikiipmp7bxvz33rp, 440ry78r7c0ntspgph192c0r9, 1j33nixshgkkdwjjnuafknahh, 1chxk7d4i11x2f16igblexgyc, 3h7rkufywz6c2aye1l5b0ihp0, 96j7klvrblmkwsprx0wk81b10, es1ohgwfiwq5f9mx2887zul90, g16sstb2lz1ru2hsba2ml6ju",3967125847,59,"1, 27, 28, 6, 22, 20, 14, 23, 35, 24, 33, 4, 5, 7, 8, 9, 10, 11, 16, 17, 18, 31, 32",3967276607,197,2125,3967125853,194,abgzge9xy445z8rdwa2mcapqt,3967125845,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3967125851,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3967125849,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495328011,1,34,16,0,0,bqm1bnp1bh2apyudlz1o1whr3,1,0,0,2023-01-06T18:13:47.772Z,2023-01-06T19:14:58Z,3967129699,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3967129703,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3967234571,197,4032,3967129701,194,7d9x6ojih9obktxl3fnrjskk4,3967129695,59,"12, 21, 5, 11, 2, 4, 7, 8, 10, 16, 14, 1, 6, 9, 22, 23, 24, 28, 30, 31",3967129691,30,"rgspixypiwxuenf1yaukrrop, eke044f5xni8gdztggk6x4a1h, gmu8p51rp6bjzs0bss5jupzo, 6clycir6laxvycsr4yjh9iwa1, axbyqn4r430cilb6lbnzpbuvo, 7d9x6ojih9obktxl3fnrjskk4, 2kdavfzjymb8uhgjj3c97e2uh, epkss1rj7z6duqd3axbcm8l0q, 2072f0p9ful9u577gdvo89yw9, 2gwigr63tgo2jw460msz2qgwk, avv12sgcucblnbfb790xovf8, eog43l8hrs7pbza9bmwu0p2sq, 3y42dpjrp17dr2gzktbrmudbd, 3usiruyhxf6p9lkiz5qeytze2, 1dljhkcvmodqq9u1w8iv145m2, d2cynimupgko6ekp78iv3kxlg, 1b409f4dv852le376vbcjdmhg, 966zp0zv6513cnn3q2t6xvtyi, 50ecz4x9j0zfudh34l7f2ecr8, 88m6s6m8ep0p3fropim4ttcoa",3967129693,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3967129697,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495339127,2,32,1,0,0,bqm1bnp1bh2apyudlz1o1whr3,1,0,0,2023-01-06T19:02:38.088Z,2023-01-06T19:02:38Z,3967190469,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495339131,2,32,1,0,0,xcevba75jfkrg4s6tl89zl3y,1,0,0,2023-01-06T19:02:38.088Z,2023-01-06T19:02:40Z,3967190485,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495339157,3,1,1,0,0,bqm1bnp1bh2apyudlz1o1whr3,1,50,50,2023-01-06T19:02:38.188Z,2023-01-06T19:02:41Z,3967190635,141,46.9,3967190639,213,3.2,3967190633,140,29.4,3967190641,279,S,3967190631,56,Back,3967190637,212,21.7,,,,,,,2gwigr63tgo2jw460msz2qgwk,J. Steuckers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495339195,4,1,1,0,3,bqm1bnp1bh2apyudlz1o1whr3,0,31.7,45.1,2023-01-06T19:02:41.703Z,2023-01-06T19:02:44Z,3967190835,56,Left,3967190845,1,,3967190839,141,100.0,3967190837,140,66.2,3967190843,213,0.8,3967190833,155,,3967190841,212,53.0,,,,axbyqn4r430cilb6lbnzpbuvo,R. Van Helden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495339253,3,5,1,0,6,xcevba75jfkrg4s6tl89zl3y,1,31.4,-2,2023-01-06T19:02:44.671Z,2023-01-06T19:14:47Z,3967191147,347,,3967191167,233,5,3967191145,56,Back,,,,,,,,,,,,,,,,8eribncmewk65x40tn7pvqymt,R. Schouten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495339201,5,5,1,0,6,bqm1bnp1bh2apyudlz1o1whr3,0,68.6,102,2023-01-06T19:02:44.671Z,2023-01-06T19:02:59Z,3967191189,233,3,3967190861,56,Left,3967190863,347,,,,,,,,,,,,,,,,,axbyqn4r430cilb6lbnzpbuvo,R. Van Helden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495339267,4,1,1,0,19,xcevba75jfkrg4s6tl89zl3y,1,29.8,0,2023-01-06T19:02:58.043Z,2023-01-06T19:02:59Z,3967191209,141,5.3,3967191205,56,Back,3967191203,107,,3967191207,140,25.1,3967191211,212,6.6,3967191213,213,2.4,,,,,,,8eribncmewk65x40tn7pvqymt,R. Schouten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495339291,5,1,1,0,21,xcevba75jfkrg4s6tl89zl3y,1,25,5.5,2023-01-06T19:02:59.371Z,2023-01-06T19:03:03Z,3967191339,140,68.5,3967191345,213,0.2,3967191335,157,,3967191337,56,Right,3967191347,1,,3967191343,212,46.6,3967191341,141,18.9,,,,abgzge9xy445z8rdwa2mcapqt,Jeffry Fortes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
