id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,assist,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/13/value,qualifier/16/value,qualifier/12/value,qualifier/17/value
2491880681,1,34,16,0,0,dac758ef858jbq7pcb3gfwite,1,0,0,2022-12-16T18:10:17.853Z,2022-12-16T18:58:16Z,3948884627,194,ip62fljz9ng6sil4krcq8dm1,3948884619,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3948944599,197,486,3948884617,30,"dmsmbn9a1qucwf100o3v77nbp, 4dk7h575fifmw2lhslevhmhux, e8si4ph9te020gpicg3k2k3u2, arrbpgnwbguhyumc8c1u4jsut, akfbttkeqfd8pzhe93ra674kp, ip62fljz9ng6sil4krcq8dm1, sbxnlkg50itbqkpuh8wnwk45, f2snk84xy67ergwrwoblgt2ad, azt0ll196snbxy38eqw7mtln9, etwawuknprhxhmjk1tyq38e6t, 6p6sdikmka45csxfw0i0q0l3p, 1o51op6w576yo6t585wkwistm, 8loz5cz4zynb8plfusi3ewd79, bmbzc4jvazdiuddsbnceyauei, armxucjqaulvwfxyufovg3je1, 5r73kuy4vdv1epvmzrhb6nskq, 1jeb7li66vn913oub7t7l7x79, 1rm3t48auz1wqya7tanmjyjje, we5jzu2ad4z3wxaerwe6sdex, 2sxmpaw4khmgyym320oiwu3u, awokzor2tv5ro47ea34at1gx5, 80dk8iv6p0202z10qcqy8bfca, 49zitlyt01houmqy6hk04x36y",3948884623,130,4,3948884625,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3948884621,59,"1, 5, 12, 18, 4, 21, 15, 17, 33, 11, 29, 2, 7, 8, 19, 22, 23, 24, 26, 27, 28, 32, 39",3948884629,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491881903,1,34,16,0,0,z9phg19papi9f5fd6qxzr836,1,0,0,2022-12-16T18:13:19.188Z,2022-12-16T18:58:35Z,3948891377,194,1tmihr54maqj0h7785cg9ez56,3948891379,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3948891371,59,"1, 5, 28, 14, 6, 3, 10, 4, 20, 9, 22, 7, 8, 11, 17, 18, 19, 23, 24, 25, 31",3948891367,30,"7j7stqaomy8pnmzangrsyfahh, 9pqchkq64o53knk75ruq5g3x1, cjuzhcgsj4mwwr4evn823hivp, 31u2tk3aha04kwphoucf4ze5m, 4d9yng69t6qbzfukdhcp0j1ii, f5pgdha5h37xytbk1zq8q710, 6gzpefxqcz2v4z95bnecilfpx, di46dv5smxql2bg7cw4a06wkq, 1tmihr54maqj0h7785cg9ez56, 70qjuubp69zw3d3p0hvunmi8l, 1amx0jc0ey5w1z9g3f3nb9t2i, 7kntrrc80dcadt8umvqf6qfe2, dsgea9ruo8blm2ppu19y1vod0, cktdin60q1omaa4gmjp08o76y, 6smqledi9xrrhifu9yi87kf6x, 1id5av4i7p6tmhf1vuigvlmvo, 7plnzzirl3q10vucy37p7b6ui, dgrs9km0fikc46xchm02hbdka, 2ppvf1ywd1mxum1lgnn2pubdg, 27lnkbiy8l5008e6792mp4qy2, 1evsz02au0pu4a1tmzn5s27hm",3948891375,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3948891373,130,18,3948891369,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3948944879,197,1696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491893411,2,32,1,0,0,z9phg19papi9f5fd6qxzr836,1,0,0,2022-12-16T19:04:02.084Z,2022-12-16T19:04:02Z,3948953627,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491893417,2,32,1,0,0,dac758ef858jbq7pcb3gfwite,1,0,0,2022-12-16T19:04:02.084Z,2022-12-16T19:04:04Z,3948953661,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491893443,3,1,1,0,0,z9phg19papi9f5fd6qxzr836,1,49.9,50.1,2022-12-16T19:04:02.184Z,2022-12-16T19:04:05Z,3948953797,279,S,3948953783,56,Back,3948953791,141,28.3,3948953787,140,34.4,3948953795,213,3.9,3948953793,212,22.0,,,,,,,6gzpefxqcz2v4z95bnecilfpx,J. Schuurman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491893469,4,1,1,0,2,z9phg19papi9f5fd6qxzr836,0,35,31.8,2022-12-16T19:04:04.793Z,2022-12-16T19:04:08Z,3948953937,155,,3948953947,213,0.4,3948953943,141,57.0,3948953945,212,44.3,3948953941,140,73.9,3948953939,56,Center,3948953949,1,,,,,f5pgdha5h37xytbk1zq8q710,D. Koswal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491893493,3,1,1,0,5,dac758ef858jbq7pcb3gfwite,0,28.4,41.3,2022-12-16T19:04:07.935Z,2022-12-16T19:05:35Z,3948954097,140,51.8,3948954101,212,25.7,3948954093,3,,3948954095,56,Center,3948954103,213,6.0,3948954099,141,30.0,,,,,,,akfbttkeqfd8pzhe93ra674kp,S. Sonnenberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491893501,5,1,1,0,9,z9phg19papi9f5fd6qxzr836,0,51.3,69.9,2022-12-16T19:04:11.514Z,2022-12-16T19:04:13Z,3948954151,140,67.8,3948954145,3,,3948954155,212,17.6,3948954153,141,65.5,3948954149,56,Center,3948954157,213,6.1,,,,,,,31u2tk3aha04kwphoucf4ze5m,J. van der Avert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491893511,4,1,1,0,10,dac758ef858jbq7pcb3gfwite,0,37.2,35.8,2022-12-16T19:04:12.979Z,2022-12-16T19:05:58Z,3948954197,212,10.1,3948954193,140,46.6,3948954189,3,,3948954195,141,38.6,3948954191,56,Back,3948954199,213,0.2,,,,,,,akfbttkeqfd8pzhe93ra674kp,S. Sonnenberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491893521,6,2,1,0,12,z9phg19papi9f5fd6qxzr836,1,56.9,64.2,2022-12-16T19:04:14.506Z,2022-12-16T19:06:58Z,3948954251,140,71.4,3948961341,7,70qjuubp69zw3d3p0hvunmi8l,3948954249,56,Center,3948954253,141,56.7,,,,,,,,,,,,,di46dv5smxql2bg7cw4a06wkq,A. Miceli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
