id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/12/value,qualifier/15/value,qualifier/13/value,assist
2454243591,1,34,16,0,0,xcevba75jfkrg4s6tl89zl3y,1,0,0,2022-09-01T17:09:30.039Z,2022-09-01T19:54:23Z,3749645933,197,2125,3749612485,194,440ry78r7c0ntspgph192c0r9,3749612471,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3749612479,130,8,3749612475,59,"1, 27, 28, 18, 22, 20, 33, 23, 35, 10, 11, 3, 4, 5, 6, 7, 8, 9, 16, 17, 24, 32, 45",3749612469,30,"cf70r39m2wgbijtw0co5t6yfp, 8eribncmewk65x40tn7pvqymt, 3yq9brnhlfinrzrfbzcv99nmd, 96j7klvrblmkwsprx0wk81b10, abgzge9xy445z8rdwa2mcapqt, 969cpy2geokwer9gjapk7zj3e, ds0hd4ezvb5rw6l95rhbxtq1g, 7b4jmfu1ejoeci2zmvwuejnys, cipmd3k2nfv0ddic0l8go14gl, 440ry78r7c0ntspgph192c0r9, 1j33nixshgkkdwjjnuafknahh, 92mkw4rtoho0gkf3wr19c9iad, 62ft9dfhds3wn0dv650d4gkph, 78t5clx87mnpzn7c5ynoa37x1, 7flz5rsy2e31gbd8udiqg14gl, 3y7w3ngh3kby9mehxe5q7glpl, 85rm5s7x9di62hw3l31y5w8o9, 11sxalz1nikiipmp7bxvz33rp, 1chxk7d4i11x2f16igblexgyc, 3h7rkufywz6c2aye1l5b0ihp0, cglskkkycbja9rjybhui9hdrd, g16sstb2lz1ru2hsba2ml6ju, 7dj1tr37jtrr32cyw6r1dukus",3749612489,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3749612481,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454243659,1,34,16,0,0,zjawy6qdzk3y69v5pa3zl2cb,1,0,0,2022-09-01T17:10:08.700Z,2022-09-01T21:40:56Z,3749612909,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3749612915,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3749612917,194,c78t1bgro2lh7gvw8rwi6p239,3749645925,197,4034,3749612911,59,"1, 3, 27, 6, 4, 24, 7, 21, 9, 17, 10, 11, 5, 8, 12, 14, 16, 18, 20, 23, 25, 28, 29",3749612919,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3749612913,130,21,3749612907,30,"8l31bne12p5cp51o46h92zjrp, 476jyuzjm08o0d5g3t4nh1cyd, da3d2iu2j4yb7q1ag063mu44q, 61wt62anweh75oguqg0vbozu2, 1qqqigufis9zdf4mdqt6mgfl5, 5wg2ysvwk3q67osv2nnbav4yx, 4j7mtyvi7jg9e4ontiyt9vwbu, m10ml783dkbr4i0fpb06cm3t, c78t1bgro2lh7gvw8rwi6p239, blu3rrhzier5ivp5p9u78448a, 2pva2d9if0phol0efqnur68a2, 5t2yht2zjn4g7otqpaer3ia22, 46oot98163lb6atyes4j0mup5, 9tmi00hx820vuwghg30jhzidx, a49duk4f5m5zmyvwht0ikal05, e7vke1zwf6w6xvxtsi2b8f9m2, 88vryegnhss2q5xz8aoj2phey, 9jx0oun9o3zqncgu9axt2qxka, 53c63f5ekinmj6bquc3rbsbxm, dh8jo5uq1oq0qv7gpu5rrbwx6, ajt9gf8zqsc3m6z4kof5m99ii, 9fb368ot1vtjx63e4l4y0ss9g, adp5a6klr2nygqjmdd1ekc8kq",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454249471,2,32,1,0,0,xcevba75jfkrg4s6tl89zl3y,1,0,0,2022-09-01T18:01:43.641Z,2022-09-01T18:01:43Z,3749646605,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454249485,2,32,1,0,0,zjawy6qdzk3y69v5pa3zl2cb,1,0,0,2022-09-01T18:01:43.641Z,2022-09-01T18:01:46Z,3749646657,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454249493,3,1,1,0,0,xcevba75jfkrg4s6tl89zl3y,1,49.9,49.9,2022-09-01T18:01:43.741Z,2022-09-01T18:01:48Z,3749646705,279,S,3749646697,140,32.0,3749646701,212,19.2,3749646695,56,Back,3749646703,213,2.9,3749646699,141,56.0,,,,,,,440ry78r7c0ntspgph192c0r9,S. de Jong,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454249497,4,1,1,0,4,xcevba75jfkrg4s6tl89zl3y,0,33.7,53.9,2022-09-01T18:01:48.355Z,2022-09-01T18:01:51Z,3749646737,1,,3749646729,140,78.0,3749646735,213,5.9,3749646725,157,,3749646733,212,50.0,3749646727,56,Center,3749646731,141,27.0,,,,969cpy2geokwer9gjapk7zj3e,R. Hillen,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454249523,3,1,1,0,8,zjawy6qdzk3y69v5pa3zl2cb,1,23.7,71.9,2022-09-01T18:01:51.737Z,2022-09-01T18:01:57Z,3749646899,140,33.7,3749646907,213,0.2,3749646903,212,10.7,3749646895,3,,3749646901,141,74.6,3749646897,56,Back,,,,,,,da3d2iu2j4yb7q1ag063mu44q,J. Mulder,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454249527,4,4,1,0,12,zjawy6qdzk3y69v5pa3zl2cb,1,31.9,75.8,2022-09-01T18:01:55.850Z,2022-09-01T18:02:13Z,3749646923,56,Back,3749646921,13,,3749646929,285,,3749646931,233,5,3749647335,294,,3749646925,152,,,,,,,,blu3rrhzier5ivp5p9u78448a,K. Blommestijn,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454249521,5,4,1,0,12,xcevba75jfkrg4s6tl89zl3y,0,68.1,24.2,2022-09-01T18:01:55.851Z,2022-09-01T18:02:26Z,3749646885,152,,3749647269,294,,3749646889,286,,3749646881,13,,3749646949,233,4,3749646883,56,Center,,,,,,,8eribncmewk65x40tn7pvqymt,R. Schouten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454249671,5,1,1,0,46,zjawy6qdzk3y69v5pa3zl2cb,1,29.9,86.6,2022-09-01T18:02:29.946Z,2022-09-01T18:02:32Z,3749647655,152,,3749647675,189,,3749647661,141,66.8,3749647657,56,Back,3749647663,212,13.5,3749647659,140,28.6,3749647667,213,4.6,3749647653,5,,5wg2ysvwk3q67osv2nnbav4yx,T. Oude Kotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,
