id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,assist,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/12/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/15/value
2446736565,1,34,16,0,0,59t7flioj4w4mpwnrwbm0m8ck,1,0,0,2022-08-15T17:11:48.784Z,2022-08-15T18:00:16Z,3709866627,197,491,3709778957,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3709778947,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3709778951,130,4,3709778955,194,89plvrt8pzppcclh4axvii0ru,3709778945,30,"8jml2tgzk1am30cy4gkgx0wd1, bdb33nwcpd2jufn9ggtl7gvzd, 1falkoydwxoiazskcoalwll62, 89plvrt8pzppcclh4axvii0ru, d5g7rl9a83vu3cyyzvu5yveqy, 4mhahoh3a6rir882ug9hdb5nu, 3xza88l7s8dlki9kleqwz2puy, 4j9ug0ng9dhx6xwhdwx6fafx0, emaf4mjxn2255qlcn1pcxn36x, 41es2x265ddlzqjqa6wb9vey2, 6nd0ifv6ljza9nauxcpejqzft, 6djx23ctpkopwbtavfr8ov8id, 2an4s7uuqa9a6sl7vutznc7o5, 5v3sd56kh9pmvzk6wczhs9o4q, 4shkxwb3ujuajna3gdg34cxjp, 9urh0cy0a8ni61fuxmiqosnis, 7oo6h3pq8wv5rgp1dkaolrhg4, ea51n4frv2z8lr3snexhv2ay, f07j2ge60cbdp3bcys4cx18iy, 35aq5jmkry8lty15lgctgfpey",3709778949,59,"1, 2, 5, 6, 3, 24, 18, 8, 19, 14, 10, 7, 9, 17, 21, 23, 25, 26, 29, 37",3709778953,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446737765,1,34,16,0,0,bqm1bnp1bh2apyudlz1o1whr3,1,0,0,2022-08-15T17:14:58.157Z,2022-08-15T18:08:37Z,3709785719,30,"rgspixypiwxuenf1yaukrrop, bk7742h8fac9g6e6wh7nnugkq, eke044f5xni8gdztggk6x4a1h, 6clycir6laxvycsr4yjh9iwa1, 90rgtmdx8g43vz2pvp0hxotwq, 7d9x6ojih9obktxl3fnrjskk4, 2kdavfzjymb8uhgjj3c97e2uh, epkss1rj7z6duqd3axbcm8l0q, 2gwigr63tgo2jw460msz2qgwk, 2072f0p9ful9u577gdvo89yw9, 3usiruyhxf6p9lkiz5qeytze2, eog43l8hrs7pbza9bmwu0p2sq, gmu8p51rp6bjzs0bss5jupzo, avv12sgcucblnbfb790xovf8, 54bf7p613bf3n0gefid4tt0r8, 1b409f4dv852le376vbcjdmhg, 1dljhkcvmodqq9u1w8iv145m2, 4tykt5bdc57s72muk46dfaq6s, 966zp0zv6513cnn3q2t6xvtyi, 50ecz4x9j0zfudh34l7f2ecr8, 88m6s6m8ep0p3fropim4ttcoa",3709785727,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3709785721,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3709785729,194,7d9x6ojih9obktxl3fnrjskk4,3709785731,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3709785725,130,2,3709785723,59,"12, 32, 21, 11, 3, 4, 7, 8, 16, 10, 9, 1, 5, 14, 23, 24, 22, 26, 28, 30, 31",3709865765,197,4032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446752597,2,32,1,0,0,bqm1bnp1bh2apyudlz1o1whr3,1,0,0,2022-08-15T18:02:31.367Z,2022-08-15T18:02:31Z,3709870323,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446752601,2,32,1,0,0,59t7flioj4w4mpwnrwbm0m8ck,1,0,0,2022-08-15T18:02:31.367Z,2022-08-15T18:02:34Z,3709870339,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446752613,3,1,1,0,0,bqm1bnp1bh2apyudlz1o1whr3,1,50.1,50.6,2022-08-15T18:02:31.467Z,2022-08-15T18:02:35Z,3709870397,56,Back,3709870405,213,2.6,3709870403,212,18.9,3709870399,140,35.0,3709870407,279,S,3709870401,141,65.8,,,,,,,3usiruyhxf6p9lkiz5qeytze2,M. Remans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446752623,4,1,1,0,3,bqm1bnp1bh2apyudlz1o1whr3,0,35,65.8,2022-08-15T18:02:34.373Z,2022-08-15T18:02:37Z,3709870455,213,5.8,3709870445,155,,3709870449,140,71.3,3709870453,212,42.4,3709870447,56,Center,3709870457,1,,3709870451,141,38.5,,,,7d9x6ojih9obktxl3fnrjskk4,M. Waem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446752629,3,1,1,0,5,59t7flioj4w4mpwnrwbm0m8ck,0,29.5,45.1,2022-08-15T18:02:37.107Z,2022-08-15T18:02:39Z,3709870499,56,Back,3709870505,212,23.2,3709870503,141,65.5,3709870507,213,0.6,3709870497,3,,3709870501,140,47.2,,,,,,,89plvrt8pzppcclh4axvii0ru,A. Plat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446752633,5,1,1,0,8,bqm1bnp1bh2apyudlz1o1whr3,0,52.9,32.4,2022-08-15T18:02:39.917Z,2022-08-15T18:02:40Z,3709870517,140,63.2,3709870523,213,6.2,3709870515,56,Center,3709870519,141,31.8,3709870521,212,10.8,3709870513,3,,,,,,,,epkss1rj7z6duqd3axbcm8l0q,N. Souren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446752637,4,49,1,0,9,59t7flioj4w4mpwnrwbm0m8ck,1,42.7,69.6,2022-08-15T18:02:40.674Z,2022-08-15T18:02:40Z,,,,,,,,,,,,,,,,,,,,,,,,,4j9ug0ng9dhx6xwhdwx6fafx0,E. Banzuzi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446752641,5,1,1,0,9,59t7flioj4w4mpwnrwbm0m8ck,0,42.7,69.6,2022-08-15T18:02:40.803Z,2022-08-15T18:02:42Z,3709870565,212,5.8,3709870567,213,5.7,3709870559,56,Back,3709870561,140,47.4,3709870563,141,65.2,,,,,,,,,,4j9ug0ng9dhx6xwhdwx6fafx0,E. Banzuzi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
