id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,assist,qualifier/8/value,qualifier/9/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/10/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId
2536646113,1,34,16,0,0,bk5ltsueqmeng29eovd8m2tml,1,0,0,2023-04-21T17:10:50.025Z,2023-04-21T18:05:29Z,4206438415,197,1504,4206301027,59,"21, 13, 25, 4, 10, 6, 32, 29, 9, 7, 16, 1, 8, 11, 18, 20, 22, 23, 24, 27, 36, 44",4206301031,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4206301035,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4206301029,130,10,4206301025,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4206301033,194,8cox96ikk1k4c24f0y5ef45x,4206301023,30,"ckx9rplhgmncmcxs0a1z7n6qd, e42jh6bbwn4aybdnysonrvutx, ewnmiv6ew1d5cnuul715x4dzp, 7isjog4r71ahzypnhq3ki9xp1, 75o7fx1uwk6pavxbnqqx28y51, 8cox96ikk1k4c24f0y5ef45x, 7dw3mexdcnel375y16vfl0g2y, 684nd3xjli51z43pbla0mwa21, 5i0e7e59vav8ynqzt7qrvitt6, bw7s1zgz97p8szhn4shwkx2w9, 9najgqcaamqj0qtiicuq9hey, etvamcwttnlg4sfxfulgzm7yt, 1l34qvjvar8qec3kbrg4rew2d, 88csh50wwpanzfdvu7ia3x1ih, 35uvcvkv4nd0jbsov3xosjsut, eqkwzp959s8q71lwaoygv9eui, bhn0paq89a5keakgitoyn2hw4, 47autoxmcbr5z7o6d8998esph, 8dnmp33ergo6zwzb6ubiyvl6, eimwdeabp96ttxf8zywuiu8ve, 39f4hnokkp81ucrkx5bo5sjdg, 1g092dgjsahqacxxzf5f20wh6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536648243,1,34,16,0,0,dnzj0iv5qtaemm9kthh9pos8q,1,0,0,2023-04-21T17:15:56.173Z,2023-04-21T18:20:09Z,4206312315,59,"1, 13, 12, 18, 15, 4, 17, 22, 14, 10, 7, 2, 3, 6, 11, 16, 21, 23, 24, 26, 31, 39",4206312319,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4206312311,30,"alzgg0nxnnex3nkzr6lgmt1ey, 5e9ek4qs1dnp69oojzpvrltrd, 4zow18ykkg1gvw40r7jsrzkl, bquqyyfz4lj0xrerbhbtj1jze, 7cetznpb0tnu6kdz7bvm8gyxh, 1jn9jog8ou8uxnmypneksizxm, f1as17wqpj44gihtvw936lofd, 1g9raiu2poutpdgjq7dmk4oru, 6k6qt155b79yf36833pamwbxm, a9233dwa5vm9qv2lncq3kawut, 6dpxvfpnaua6y4gevop02qc8a, dcdvet7azx1a59xm2ke7qi2cq, cexuwvet4xiruf1jitkjjp7qi, au91rqig6uyyi1zdmlxydk38q, b61yiz3lait78xmlbyzr2vd62, 4z8o35izc3gx6i2bt4mcs1fjd, 5ffbqf6o50173uqvaefnce4gk, 5chl0qcvbbkd0yeogurw1fz6x, 9nrajqcpld6bcowgarf1zr0iy, dzehnxim5noolef8c7j4d8a5m, ebj7cl31vlr8nrltm42ydrdka, b950jt347chmq9whlkgl6fxpm",4206312323,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4206312317,130,8,4206497367,197,16934,4206312321,194,7cetznpb0tnu6kdz7bvm8gyxh,4206312313,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536674571,2,32,1,0,0,dnzj0iv5qtaemm9kthh9pos8q,1,0,0,2023-04-21T18:09:33.518Z,2023-04-21T18:09:33Z,4206455287,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536674585,2,32,1,0,0,bk5ltsueqmeng29eovd8m2tml,1,0,0,2023-04-21T18:09:33.518Z,2023-04-21T18:09:36Z,4206455337,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536674615,3,1,1,0,0,dnzj0iv5qtaemm9kthh9pos8q,1,50.1,50,2023-04-21T18:09:33.618Z,2023-04-21T18:09:37Z,4206455509,141,43.9,4206455505,56,Back,4206455513,213,3.4,4206455507,140,36.1,4206455515,279,S,4206455511,212,15.3,,,,,,,a9233dwa5vm9qv2lncq3kawut,J. Mathieu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536674657,4,1,1,0,3,dnzj0iv5qtaemm9kthh9pos8q,1,36.2,43.7,2023-04-21T18:09:37.210Z,2023-04-21T18:09:41Z,4206455717,56,Left,4206455723,212,49.1,4206455715,155,,4206455719,140,72.2,4206455721,141,89.7,4206455727,1,,4206455725,213,0.7,,,,7cetznpb0tnu6kdz7bvm8gyxh,L. Piqué,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536674661,5,61,1,0,7,dnzj0iv5qtaemm9kthh9pos8q,1,72.2,89.7,2023-04-21T18:09:40.937Z,2023-04-21T18:09:41Z,4206455743,56,Left,,,,,,,,,,,,,,,,,,,,,,6k6qt155b79yf36833pamwbxm,K. Tejan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536674717,6,1,1,0,9,dnzj0iv5qtaemm9kthh9pos8q,1,63.3,93.8,2023-04-21T18:09:42.537Z,2023-04-21T18:09:45Z,4206455995,212,7.2,4206455989,56,Left,4206455993,141,95.1,4206455991,140,56.5,4206455997,213,3.0,,,,,,,,,,6dpxvfpnaua6y4gevop02qc8a,J. Margaritha,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536674741,7,1,1,0,11,dnzj0iv5qtaemm9kthh9pos8q,1,61.4,95.6,2023-04-21T18:09:45.001Z,2023-04-21T18:09:47Z,4206456139,140,69.5,4206456145,213,5.5,4206456141,141,83.9,4206456137,56,Left,4206456143,212,11.6,,,,,,,,,,a9233dwa5vm9qv2lncq3kawut,J. Mathieu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536674747,8,43,1,0,13,dnzj0iv5qtaemm9kthh9pos8q,1,0,0,2023-04-21T18:09:47.242Z,2023-04-21T18:09:51Z,4206456181,286,0,4206456351,144,45,4206456179,56,Left,,,,,,,,,,,,,,,,1g9raiu2poutpdgjq7dmk4oru,T. van Leeuwen,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536674753,9,61,1,0,13,dnzj0iv5qtaemm9kthh9pos8q,0,69.5,83.9,2023-04-21T18:09:47.277Z,2023-04-21T18:09:47Z,4206456189,56,Left,,,,,,,,,,,,,,,,,,,,,,1g9raiu2poutpdgjq7dmk4oru,T. van Leeuwen,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536674759,3,49,1,0,14,bk5ltsueqmeng29eovd8m2tml,1,21.4,23.9,2023-04-21T18:09:47.764Z,2023-04-21T18:09:48Z,,,,,,,,,,,,,,,,,,,,,,,,,75o7fx1uwk6pavxbnqqx28y51,M. Verreth,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536674765,4,43,1,0,14,bk5ltsueqmeng29eovd8m2tml,1,0,0,2023-04-21T18:09:47.972Z,2023-04-21T20:14:18Z,4206967889,144,49,,,,,,,,,,,,,,,,,,,,,,75o7fx1uwk6pavxbnqqx28y51,M. Verreth,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536674801,5,1,1,0,15,bk5ltsueqmeng29eovd8m2tml,1,21.4,23.9,2023-04-21T18:09:48.660Z,2023-04-21T18:09:51Z,4206456389,213,0.4,4206456385,141,37.4,4206456383,140,40.6,4206456381,56,Back,4206456387,212,22.2,,,,,,,,,,75o7fx1uwk6pavxbnqqx28y51,M. Verreth,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536674877,6,1,1,0,17,bk5ltsueqmeng29eovd8m2tml,0,40.6,37.4,2023-04-21T18:09:51.492Z,2023-04-21T18:59:52Z,4206456831,213,5.4,4206456823,56,Right,4206456827,141,7.1,4206456825,140,56.4,4206456829,212,26.5,,,,,,,,,,bw7s1zgz97p8szhn4shwkx2w9,E. Kabangu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536674845,10,61,1,0,21,dnzj0iv5qtaemm9kthh9pos8q,1,29.9,96.2,2023-04-21T18:09:54.886Z,2023-04-21T18:09:55Z,4206456647,56,Back,,,,,,,,,,,,,,,,,,,,,,4zow18ykkg1gvw40r7jsrzkl,D. van der Sluys,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536674889,7,5,1,0,22,bk5ltsueqmeng29eovd8m2tml,1,63.2,-0.8,2023-04-21T18:09:55.849Z,2023-04-21T18:19:08Z,4206456915,56,Right,4206456917,347,,4206456947,233,11,,,,,,,,,,,,,,,,5i0e7e59vav8ynqzt7qrvitt6,J. Hornkamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
