id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,assist,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/16/value
2483078187,1,34,16,0,0,1wyg1tunyt7go9tnjea1hjqxb,1,0,0,2022-11-07T17:58:42.815Z,2022-11-07T18:59:52Z,3902621341,59,"1, 2, 5, 10, 3, 4, 6, 8, 9, 7, 11, 17, 19, 14, 20, 16, 12, 15, 18, 21",3902621339,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3902621349,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3902621345,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3902621343,130,4,3902621337,30,"b7owk879trwk2tu8ud574xq3u, 30uqa3kfm23ickjssfhmwgdm1, 4nchc9z4464uhu3vveo0p73f8, 9v7zwguzazofzafwg3qevdo4q, 9lixevzo8exxiia17altfw8ic, b4vrfh7z9qt9e5gdpkajrqolw, 3dx91sb6ktg8z1xmoti25kru, d29ahwtvs7ls75wdtkf7xr8tm, 51f3vubki4or5vaft5tromn3e, 4cegvsj3s6t0o1l5xap6jypuy, 1hmy5uxiyr8g915tngl9l8twq, 19wuvqpmewphgvsfzi4yjl756, 8o2iv0qhfft5pgzm75ckuo0es, 7s2zxbtepa7dgr8yl0s48afpw, 280wxf8wp6bjwgjwt9fy03nmy, 7ug3a0z74dj7qlq4jbtn1kutw, b8k8uynw043b6q9xm0lfzszmy, b1h2eiqxic31ioxbs1zjd709g, cs49ec8y6cubrlo5nmu3j3jtg, a3pwwwba6td400zwqjpbf6pnu",3902621347,194,b7owk879trwk2tu8ud574xq3u,3902692267,197,8653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483078871,1,34,16,0,0,7rmv5ns2rj7bn4otpkur0mx0x,1,0,0,2022-11-07T18:06:05.174Z,2022-11-07T19:00:00Z,3902625381,59,"21, 44, 20, 8, 4, 3, 26, 11, 9, 29, 7, 1, 6, 10, 14, 15, 17, 23, 27, 31, 36",3902625377,30,"1ljgis575ujto4361ed15w0r9, dsi2wezhn07auutl4wzckh6uh, c9pmoa9m23jh5emy6w4olm3xm, 4qj88r9cjfbu05ly92vfhpi39, 8tepha2kd43sp9jtafxuf209h, 7f7zwd6c14rr59u9al3naenkl, 3epda2hg43s8uxvf9xno74d4a, btm3mtkmwofz1dgcdsew1kmp5, c9shc6t28oroqthopifjvg9ux, bgzkdepav40x6focwuaf9qxre, bzsoq42nf6sgdh9oe64n7rnfu, cul6phe87idi5dn1hsfywxhwp, 49xsd6e4oyjrhtwsdbdm4rj84, 7to5mb4x91kjhbd9tb0nqz74l, 7797kpi7lkhc9dasfxuv9h7f9, 3apsq2r6q8lzdat7sy5h6tmqy, 49vbyk5qvhihphrqfnmmz8woa, 1s50ua48peo4wd0o7unmps06h, 2wuprdfbbn9mo0paqr5tm7bop, 2ngb4008t58dvor5qnh1nj6ga, 6eccwl9cpgmq7pp6d90lbi6wa",3902625385,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3902625389,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3902625379,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3902625383,130,4,3902692365,197,536,3902625387,194,c9shc6t28oroqthopifjvg9ux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483090813,2,32,1,0,0,1wyg1tunyt7go9tnjea1hjqxb,1,0,0,2022-11-07T19:02:05.784Z,2022-11-07T19:02:10Z,3902693677,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483090799,2,32,1,0,0,7rmv5ns2rj7bn4otpkur0mx0x,1,0,0,2022-11-07T19:02:05.784Z,2022-11-07T19:02:05Z,3902693595,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483090807,3,1,1,0,0,7rmv5ns2rj7bn4otpkur0mx0x,1,49.9,50.3,2022-11-07T19:02:05.884Z,2022-11-07T19:02:09Z,3902693641,212,33.1,3902693645,1,,3902693639,141,72.4,3902693635,56,Back,3902693647,279,S,3902693643,213,2.7,3902693637,140,21.8,,,,c9shc6t28oroqthopifjvg9ux,D. Vente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483090817,4,1,1,0,3,7rmv5ns2rj7bn4otpkur0mx0x,1,21.9,74.2,2022-11-07T19:02:09.229Z,2022-11-07T19:02:11Z,3902693693,212,15.6,3902693687,56,Back,3902693691,141,95.7,3902693689,140,27.0,3902693695,213,1.2,,,,,,,,,,7f7zwd6c14rr59u9al3naenkl,T. van de Pavert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483090819,5,1,1,0,5,7rmv5ns2rj7bn4otpkur0mx0x,0,27.5,93.2,2022-11-07T19:02:11.454Z,2022-11-07T19:02:12Z,3902693703,141,87.2,3902693701,140,26.5,3902693699,56,Back,3902693707,213,4.5,3902693705,212,4.2,,,,,,,,,,c9pmoa9m23jh5emy6w4olm3xm,X. Lambrix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483090833,3,61,1,0,7,1wyg1tunyt7go9tnjea1hjqxb,1,70.9,7.3,2022-11-07T19:02:13.043Z,2022-11-07T19:09:49Z,3902693757,56,Right,,,,,,,,,,,,,,,,,,,,,,51f3vubki4or5vaft5tromn3e,Y. Barası,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483090837,6,1,1,0,8,7rmv5ns2rj7bn4otpkur0mx0x,1,11,85,2022-11-07T19:02:14.381Z,2022-11-07T19:02:17Z,3902693777,140,5.9,3902693783,213,4.5,3902693781,212,23.7,3902693775,56,Back,3902693779,141,51.0,,,,,,,,,,7f7zwd6c14rr59u9al3naenkl,T. van de Pavert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483090855,7,1,1,0,11,7rmv5ns2rj7bn4otpkur0mx0x,1,5.6,49.6,2022-11-07T19:02:17.614Z,2022-11-07T19:02:25Z,3902693911,56,Back,3902693909,155,,3902693921,1,,3902693919,213,5.2,3902693915,141,6.5,3902693913,140,20.8,3902693917,212,33.4,,,,1ljgis575ujto4361ed15w0r9,M. Nicolas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
