id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,keyPass,qualifier/13/value,qualifier/9/value,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId
2448062143,1,34,16,0,0,dvmw7d6jb38qvv7e6ziwu0vyr,1,0,0,2022-08-19T17:07:41.132Z,2022-08-19T17:58:23Z,3716752611,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3716752617,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3716752609,30,"3oduk9niyqml47z7wramkxhw5, 7hsyytjjg6zw5knvav9xybbh1, bnkzwpd607re6s01oa77wcodm, ak5exy1iztbo0mqloqdwiag6i, 9e70uun80bdi4hedu45mo5vxl, eu901b75l2ly5p48jdw6kwmad, 3j368501ogr8mt2jdb7mby8h6, e0mrzdikm67yw88563zgovb6y, ar47jfq139xyic4pvdhefduga, 5f8ajd8cgyvmmdzr0lzi1gtii, dej8tywq0npvbm25sfgtqur1m, d4z4gdds9hajylsy2hh5b78q, db32f79l8p19q2g45g885t7xm, 2v12tmspdosmwic2h6itfz0x6, b0yxbu9af1b0jc1odpwzvd7je, 47wgrchutkdy62665jc79dy0a, 6mn57wdtnexqlumwsg8qyil90, 8o2hk1hy097osczjijmq4bsh5, 1r67co8q0ktlqe5209xm6sxec, bitv8dp51g02iyf6o3elxnoix, byfk0abaxu0ha7w01vpmreb1m, coxuin3vr6nkynlvcsvzphjl6, 3v2grfhuisr456ibcvqjfx4yy",3716842021,194,eu901b75l2ly5p48jdw6kwmad,3716842023,197,13165,3716752619,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3716752615,130,13,3716752613,59,"1, 33, 7, 5, 4, 3, 8, 17, 10, 22, 20, 2, 9, 12, 14, 21, 19, 23, 27, 28, 31, 32, 45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448063521,1,34,16,0,0,b94pf87be9ojdgnrs5mst80un,1,0,0,2022-08-19T17:11:15.569Z,2022-08-19T18:04:00Z,3716759347,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3716759341,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3716759349,194,2rlckdzkm4d6dsqwutkvhm95h,3716759345,130,13,3716759351,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3716759339,30,"2psxvq4l1g9fzgt00cfks96fp, 2pzdedlktluxyj6sq2cd19e51, 5517jd2zp30rsts1hwz6p71uc, 2rlckdzkm4d6dsqwutkvhm95h, zihddqvp0sjni8stcio8bgmh, cyquj9h6hjwbyp0b68b149qfo, egmubn4rsudpbk05qfv2qlvit, 1xblfsj8ec5jp17vnhibrk2jt, 8im7pgnph2au11blma5pewe09, 6qjbfua7nynaxrs5t8tygedp1, 48wvdjjo0z1j2bac42n9t5jv9, 3hax3hy9n2wyp1ovvhd6zdk6i, 2gfp8pe55n7oa0mcu5ygi54a, 42lgdybjew0zrd18mmwwcpbhm, ewcd2lz99d7klo9sh24zt8nl6, 98wf7lrkbzi5f1l26hyxbph7u, 45rrtsz9hmxxqasj8jgi3g0oa, 74c5xmju2kvausnr3h9kjijh0, 4ks7mvr9terrodhjx8pg9qtt6, 9rzd3uofuq9ck2n5ihs576z56, 63ox7kqo9rl36cvk4joqh9soa, etpc8k38ycdxrq9pox7w6az2s",3716843269,197,2844,3716759343,59,"1, 2, 28, 4, 3, 6, 23, 33, 9, 11, 14, 5, 7, 10, 8, 15, 19, 20, 21, 22, 25, 44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448080013,2,32,1,0,0,dvmw7d6jb38qvv7e6ziwu0vyr,1,0,0,2022-08-19T18:00:22.537Z,2022-08-19T18:00:25Z,3716845879,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448080003,2,32,1,0,0,b94pf87be9ojdgnrs5mst80un,1,0,0,2022-08-19T18:00:22.537Z,2022-08-19T18:00:22Z,3716845839,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448080049,3,1,1,0,0,dvmw7d6jb38qvv7e6ziwu0vyr,1,50,50,2022-08-19T18:00:22.637Z,2022-08-19T18:00:26Z,3716846021,212,19.4,3716846025,279,S,3716846015,56,Back,3716846019,141,63.7,3716846023,213,2.6,3716846017,140,33.8,,,,,,,ar47jfq139xyic4pvdhefduga,N. Bannis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448080061,4,1,1,0,4,dvmw7d6jb38qvv7e6ziwu0vyr,1,33.8,63.7,2022-08-19T18:00:26.836Z,2022-08-19T18:00:28Z,3716846101,141,25.9,3716846105,213,4.4,3716846099,140,25.2,3716846103,212,27.2,3716846097,56,Back,,,,,,,,,,e0mrzdikm67yw88563zgovb6y,B. De Keersmaecker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448080109,5,1,1,0,5,dvmw7d6jb38qvv7e6ziwu0vyr,1,25.2,25.9,2022-08-19T18:00:28.324Z,2022-08-19T18:00:31Z,3716846315,140,31.8,3716846313,56,Back,3716846321,213,5.2,3716846319,212,16.0,3716846317,141,4.7,,,,,,,,,,eu901b75l2ly5p48jdw6kwmad,M. Amevor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448080115,6,1,1,0,8,dvmw7d6jb38qvv7e6ziwu0vyr,0,31.8,4.7,2022-08-19T18:00:31.348Z,2022-08-19T18:00:43Z,3716846365,213,0.4,3716846355,140,33.7,3716846907,236,,3716846357,141,5.8,3716846909,233,3,3716846361,212,2.1,3716846913,286,,3716846353,56,Back,7hsyytjjg6zw5knvav9xybbh1,C. Seedorf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448080175,3,74,1,0,8,b94pf87be9ojdgnrs5mst80un,1,66.2,97.1,2022-08-19T18:00:31.349Z,2022-08-19T18:07:29Z,3716846915,233,6,3716846609,56,Left,3716846611,285,,,,,,,,,,,,,,,,,5517jd2zp30rsts1hwz6p71uc,B. Van Hove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448080183,4,5,1,0,11,b94pf87be9ojdgnrs5mst80un,0,66.8,101.4,2022-08-19T18:00:34.276Z,2022-08-19T18:07:22Z,3716846643,56,Left,3716846645,347,,3716846985,233,7,,,,,,,,,,,,,,,,5517jd2zp30rsts1hwz6p71uc,B. Van Hove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448080239,7,5,1,0,11,dvmw7d6jb38qvv7e6ziwu0vyr,1,33.2,-1.4,2022-08-19T18:00:34.276Z,2022-08-19T18:00:44Z,3716846951,56,Back,3716846953,347,,3716846969,233,4,,,,,,,,,,,,,,,,7hsyytjjg6zw5knvav9xybbh1,C. Seedorf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448080261,8,1,1,0,21,dvmw7d6jb38qvv7e6ziwu0vyr,0,33.6,0,2022-08-19T18:00:44.356Z,2022-08-19T18:00:46Z,3716847071,1,,3716847067,212,27.8,3716847061,56,Right,3716847063,140,59.8,3716847065,141,4.3,3716847069,213,0.2,3716847059,107,,,,,7hsyytjjg6zw5knvav9xybbh1,C. Seedorf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
