id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/9/value,qualifier/12/value,qualifier/10/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/11/value,assist,qualifier/17/value
2530904145,1,34,16,0,0,bk5ltsueqmeng29eovd8m2tml,1,0,0,2023-04-09T09:21:39.307Z,2023-04-09T10:13:42Z,4175757717,30,"ckx9rplhgmncmcxs0a1z7n6qd, e42jh6bbwn4aybdnysonrvutx, ewnmiv6ew1d5cnuul715x4dzp, 7isjog4r71ahzypnhq3ki9xp1, 75o7fx1uwk6pavxbnqqx28y51, 8cox96ikk1k4c24f0y5ef45x, 7dw3mexdcnel375y16vfl0g2y, 684nd3xjli51z43pbla0mwa21, bw7s1zgz97p8szhn4shwkx2w9, 5i0e7e59vav8ynqzt7qrvitt6, 88csh50wwpanzfdvu7ia3x1ih, etvamcwttnlg4sfxfulgzm7yt, amasl6wz90pv9kkbx3kihj7bp, 9najgqcaamqj0qtiicuq9hey, eqkwzp959s8q71lwaoygv9eui, bhn0paq89a5keakgitoyn2hw4, 47autoxmcbr5z7o6d8998esph, 8dnmp33ergo6zwzb6ubiyvl6, 39f4hnokkp81ucrkx5bo5sjdg, f4rb3nes422yxsznjzwx0kwlw, 1g092dgjsahqacxxzf5f20wh6",4175757719,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4175757727,194,8cox96ikk1k4c24f0y5ef45x,4175757729,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4175757725,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4175757723,130,10,4175873171,197,1504,4175757721,59,"21, 13, 25, 4, 10, 6, 32, 29, 7, 9, 11, 1, 14, 16, 20, 22, 23, 24, 36, 42, 44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530904479,1,34,16,0,0,cv5ftekuejf0ryxvd5h2my47r,1,0,0,2023-04-09T09:22:44.921Z,2023-04-09T10:32:40Z,4175759995,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4175759999,130,13,4175760005,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4175759993,30,"1du03mqsc0o6i4e64n7pzr6ui, 30uqa3kfm23ickjssfhmwgdm1, 5pg02unrm16jaa8vt5ego9z6y, 7i9hjqjogg1iowfo4fu5zpcyd, zhnev5uetomme6rpisaa7wiy, b3gyml6d5i3lqxsnh072nhuqd, 3p95pudljhqzrnegmko7z56uh, 8qc6u3zsblb62it6519a4b6cp, alimpjocr7xtxu21sumg3b2l1, qgusrrldd48qxku8yna03ap5, 8j8encc4aqkh07ydce6hiaokp, 3khifxt41tsdr25ea7w5n1mcq, d6rg9ntx9qa2eh8yiflbke1ux, e74wy7br5zhkds5s73ip0tg4, 72d57i3mfqxtbsmm196kdv0fd, 5et3jsqqhg08ykfqgdniq8fhm, 4o1150mpv9nz55cwj9b0vblk9, 4fcmk1x7n95o7owons6mc5a1g, 8z868vetpqyeatv2rtfwpsbje, dzet4aycjrqmpv1lzp9ekqzje, a3pwwwba6td400zwqjpbf6pnu, dhb6r3msmmayy7v0b1gb40445",4175760001,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4175868373,197,917,4175759997,59,"1, 18, 5, 2, 12, 4, 13, 6, 9, 8, 27, 3, 10, 14, 17, 19, 21, 25, 29, 30, 34, 38",4175760003,194,alimpjocr7xtxu21sumg3b2l1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530928563,2,32,1,0,0,cv5ftekuejf0ryxvd5h2my47r,1,0,0,2023-04-09T10:17:36.332Z,2023-04-09T10:17:36Z,4175883763,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530928569,2,32,1,0,0,bk5ltsueqmeng29eovd8m2tml,1,0,0,2023-04-09T10:17:36.332Z,2023-04-09T10:17:39Z,4175883785,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530928603,3,1,1,0,0,cv5ftekuejf0ryxvd5h2my47r,1,50.1,49.7,2023-04-09T10:17:36.432Z,2023-04-09T10:17:39Z,4175883941,212,15.3,4175883939,141,38.2,4175883937,140,37.6,4175883943,213,3.7,4175883945,279,S,4175883935,56,Back,,,,,,,alimpjocr7xtxu21sumg3b2l1,S. Braken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530928617,4,1,1,0,2,cv5ftekuejf0ryxvd5h2my47r,1,37.5,37.1,2023-04-09T10:17:38.878Z,2023-04-09T10:17:40Z,4175884013,141,44.3,4175884015,212,6.1,4175884011,140,34.0,4175884009,56,Back,4175884017,213,2.2,,,,,,,,,,qgusrrldd48qxku8yna03ap5,K. de Boer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530928635,5,1,1,0,4,cv5ftekuejf0ryxvd5h2my47r,1,35.1,41.9,2023-04-09T10:17:40.878Z,2023-04-09T10:17:43Z,4175884127,213,3.9,4175884117,56,Back,4175884121,140,25.6,4175884123,141,28.0,4175884125,212,13.7,,,,,,,,,,3p95pudljhqzrnegmko7z56uh,R. Sedláček,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530928675,6,1,1,0,6,cv5ftekuejf0ryxvd5h2my47r,1,26.5,28.6,2023-04-09T10:17:43.198Z,2023-04-09T10:17:47Z,4175884333,141,43.6,4175884331,140,3.5,4175884329,56,Back,4175884337,213,2.7,4175884335,212,26.2,,,,,,,,,,b3gyml6d5i3lqxsnh072nhuqd,R. Ketting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530928701,7,1,1,0,11,cv5ftekuejf0ryxvd5h2my47r,1,4.3,43.4,2023-04-09T10:17:47.518Z,2023-04-09T10:17:49Z,4175884519,212,15.9,4175884517,141,25.3,4175884521,213,5.4,4175884513,56,Back,4175884515,140,13.9,,,,,,,,,,1du03mqsc0o6i4e64n7pzr6ui,E. van der Gouw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530928745,8,1,1,0,13,cv5ftekuejf0ryxvd5h2my47r,1,14.3,25.5,2023-04-09T10:17:49.534Z,2023-04-09T10:17:54Z,4175884771,140,4.2,4175884775,212,17.0,4175884769,56,Back,4175884773,141,45.1,4175884777,213,2.2,,,,,,,,,,b3gyml6d5i3lqxsnh072nhuqd,R. Ketting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
