id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/9/value,qualifier/11/value,qualifier/12/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist
2505907017,1,34,16,0,0,bqm1bnp1bh2apyudlz1o1whr3,1,0,0,2023-02-10T18:28:15.714Z,2023-02-10T18:58:26Z,4022691909,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4022691897,30,"rgspixypiwxuenf1yaukrrop, 3y42dpjrp17dr2gzktbrmudbd, gmu8p51rp6bjzs0bss5jupzo, 6clycir6laxvycsr4yjh9iwa1, axbyqn4r430cilb6lbnzpbuvo, 7d9x6ojih9obktxl3fnrjskk4, 2kdavfzjymb8uhgjj3c97e2uh, epkss1rj7z6duqd3axbcm8l0q, 2072f0p9ful9u577gdvo89yw9, 2gwigr63tgo2jw460msz2qgwk, avv12sgcucblnbfb790xovf8, 2qauglcsvubya2tlxn44fx46i, eog43l8hrs7pbza9bmwu0p2sq, 90rgtmdx8g43vz2pvp0hxotwq, 3usiruyhxf6p9lkiz5qeytze2, e4k6t8tld877pq2s0e1vo5p4a, eke044f5xni8gdztggk6x4a1h, 1dljhkcvmodqq9u1w8iv145m2, d2cynimupgko6ekp78iv3kxlg, 1b409f4dv852le376vbcjdmhg, 50ecz4x9j0zfudh34l7f2ecr8, 88m6s6m8ep0p3fropim4ttcoa, bk7742h8fac9g6e6wh7nnugkq",4022691905,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4022691903,130,8,4022691901,59,"12, 6, 5, 11, 2, 4, 7, 8, 10, 16, 14, 27, 1, 3, 9, 17, 21, 22, 40, 24, 30, 31, 32",4022691899,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4022691907,194,7d9x6ojih9obktxl3fnrjskk4,4022732505,197,4033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2505907175,1,34,16,0,0,dnzj0iv5qtaemm9kthh9pos8q,1,0,0,2023-02-10T18:30:34.949Z,2023-02-10T19:00:06Z,4022692763,194,dh3ksith5iat573zuhdhv91w5,4022692765,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4022692755,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4022692753,30,"alzgg0nxnnex3nkzr6lgmt1ey, dcdvet7azx1a59xm2ke7qi2cq, 4zow18ykkg1gvw40r7jsrzkl, dh3ksith5iat573zuhdhv91w5, 7cetznpb0tnu6kdz7bvm8gyxh, 1jn9jog8ou8uxnmypneksizxm, f1as17wqpj44gihtvw936lofd, 8uw9w30592omb8acpnssgdlh, 6k6qt155b79yf36833pamwbxm, 1g9raiu2poutpdgjq7dmk4oru, 1mroid71v9bwpx0iaospei9gq, 93qm711l519orc2jhlywfk19m, 5dppoogob8jwl8n3884uqm4iy, cexuwvet4xiruf1jitkjjp7qi, au91rqig6uyyi1zdmlxydk38q, 6dpxvfpnaua6y4gevop02qc8a, b61yiz3lait78xmlbyzr2vd62, 4z8o35izc3gx6i2bt4mcs1fjd, bquqyyfz4lj0xrerbhbtj1jze, 5ffbqf6o50173uqvaefnce4gk, 5chl0qcvbbkd0yeogurw1fz6x, 9nrajqcpld6bcowgarf1zr0iy, b950jt347chmq9whlkgl6fxpm",4022692761,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4022692759,130,8,4022692757,59,"1, 2, 12, 8, 15, 4, 17, 19, 14, 22, 28, 30, 27, 3, 6, 7, 11, 16, 18, 21, 23, 24, 39",4022732519,197,16934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2505917961,2,32,1,0,0,bqm1bnp1bh2apyudlz1o1whr3,1,0,0,2023-02-10T19:04:13.014Z,2023-02-10T19:04:14Z,4022744641,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2505917945,3,32,1,0,0,dnzj0iv5qtaemm9kthh9pos8q,1,0,0,2023-02-10T19:04:13.014Z,2023-02-10T19:04:13Z,4022744569,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2505918019,4,1,1,0,0,dnzj0iv5qtaemm9kthh9pos8q,1,49.8,50.3,2023-02-10T19:04:13.114Z,2023-02-10T19:04:20Z,4022744889,140,26.5,4022744891,141,62.6,4022744897,279,S,4022744895,213,2.8,4022744893,212,25.9,4022744887,56,Back,,,,,,,6k6qt155b79yf36833pamwbxm,K. Tejan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2505918039,5,1,1,0,6,dnzj0iv5qtaemm9kthh9pos8q,0,27.3,65.5,2023-02-10T19:04:19.898Z,2023-02-10T19:04:20Z,4022744999,140,55.4,4022745007,1,,4022744991,155,,4022744995,56,Center,4022745005,213,5.6,4022745003,212,38.6,4022745001,141,28.8,,,,1jn9jog8ou8uxnmypneksizxm,R. van Eijma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2505918047,3,49,1,0,8,bqm1bnp1bh2apyudlz1o1whr3,1,40.4,89.3,2023-02-10T19:04:21.031Z,2023-02-10T19:04:21Z,,,,,,,,,,,,,,,,,,,,,,,,,gmu8p51rp6bjzs0bss5jupzo,L. Schenk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2505918099,4,1,1,0,8,bqm1bnp1bh2apyudlz1o1whr3,1,40.4,89.3,2023-02-10T19:04:21.415Z,2023-02-10T19:04:24Z,4022745297,1,,4022745287,56,Left,4022745291,141,85.0,4022745289,140,65.3,4022745295,213,6.2,4022745293,212,26.3,4022745285,157,,,,,gmu8p51rp6bjzs0bss5jupzo,L. Schenk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2505918101,5,1,1,0,10,bqm1bnp1bh2apyudlz1o1whr3,0,65.4,84.8,2023-02-10T19:04:23.942Z,2023-02-10T19:04:25Z,4022745311,213,1.8,4022745351,156,,4022745309,212,5.3,4022745305,140,64.2,4022745303,56,Left,4022745307,141,92.4,,,,,,,2072f0p9ful9u577gdvo89yw9,K. Kostons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2505918161,6,1,1,0,11,dnzj0iv5qtaemm9kthh9pos8q,1,31.1,21.6,2023-02-10T19:04:24.889Z,2023-02-10T19:04:28Z,4022745587,56,Back,4022745597,1,,4022745585,157,,4022745589,140,49.8,4022745591,141,14.7,4022745595,213,6.0,4022745593,212,20.2,,,,dcdvet7azx1a59xm2ke7qi2cq,I. Pata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
