id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/9/value,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,assist
2442188195,1,34,16,0,0,bk5ltsueqmeng29eovd8m2tml,1,0,0,2022-08-05T17:14:32.411Z,2022-08-05T18:21:39Z,3685511839,194,1l34qvjvar8qec3kbrg4rew2d,3685511831,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3685511833,59,"21, 13, 25, 8, 3, 4, 10, 19, 9, 37, 11, 1, 5, 14, 18, 22, 24, 27, 30, 32, 35, 36",3685511829,30,"ckx9rplhgmncmcxs0a1z7n6qd, e42jh6bbwn4aybdnysonrvutx, ewnmiv6ew1d5cnuul715x4dzp, 1l34qvjvar8qec3kbrg4rew2d, 9hz7j1p4f0d2hxyz2bdkbyk0l, 7isjog4r71ahzypnhq3ki9xp1, 75o7fx1uwk6pavxbnqqx28y51, b9apqidquztaojf6e3my6v7bp, 5i0e7e59vav8ynqzt7qrvitt6, 57kp9bepwqf9u7fuu8fgvi9rd, 88csh50wwpanzfdvu7ia3x1ih, etvamcwttnlg4sfxfulgzm7yt, daz1m0r5u8f0085jv25bdnoid, amasl6wz90pv9kkbx3kihj7bp, 35uvcvkv4nd0jbsov3xosjsut, bhn0paq89a5keakgitoyn2hw4, 8dnmp33ergo6zwzb6ubiyvl6, eimwdeabp96ttxf8zywuiu8ve, cuankpsdzbi11930kepfm5pii, 7dw3mexdcnel375y16vfl0g2y, 3sia1dbtocrv5i7zv76esmaga, 39f4hnokkp81ucrkx5bo5sjdg",3685511837,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3685511835,130,4,3685511841,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3685589835,197,1504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442190787,1,34,16,0,0,2xlnfgrl6r18ftv38unwp7h4s,1,0,0,2022-08-05T17:23:30.958Z,2022-08-05T18:01:22Z,3685526393,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3685590859,197,7233,3685526379,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3685526377,30,"1otm71j1169bt3ivgo2vlj2tw, d9ewnngnsfc0s4hcs282hayhg, 4iurx3g3hajlatv5gcxsqwm7e, cvbasfoccmz0tijnkxyf57n8q, e1islmeew98wa2ge0dicloay2, 1ph4g125dfsijfjzjpcvpcmlm, 8npu0cbqjrhwv5km1w29kh016, cla6c6izphee9prb80c15baei, 7uwe0kxpzg271d8ocms7l2kno, 6nwn2522yescgrx57wkcxjhwq, 8tukt8jsmzkblxxs5w85x4dii, 1jr23fmrmezgiaq7k63pro07o, 7b0vbfxlv3uiozb19fcj2vsyy, pxaq5i4ce7ccg0x04msi0b8, 4u12cln8rmtkwlu5q36ypjl2i, d785q9rpqlyuyswv8f9fx4cno, 549as6x09k4w89o2y8mj00bh0, a7eyujeyux7nj68ifa7nnndas, eola3wwbcxl6yeigrj16a3otm, 94h1esmbnvlcvdeq9ohs11boq, 47yvsnwrehtn4mwsjcqk4ewyy, yvkg7uyb2bxtqxvsyy41nthw",3685526391,194,4iurx3g3hajlatv5gcxsqwm7e,3685526389,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3685526383,59,"1, 2, 5, 6, 3, 4, 8, 10, 9, 7, 11, 18, 24, 19, 16, 20, 21, 15, 23, 14, 22, 25",3685526387,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442203579,2,32,1,0,0,bk5ltsueqmeng29eovd8m2tml,1,0,0,2022-08-05T18:02:47.126Z,2022-08-05T18:02:49Z,3685594359,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442203557,2,32,1,0,0,2xlnfgrl6r18ftv38unwp7h4s,1,0,0,2022-08-05T18:02:47.126Z,2022-08-05T18:02:47Z,3685594259,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442203607,3,1,1,0,0,2xlnfgrl6r18ftv38unwp7h4s,1,49.9,49.4,2022-08-05T18:02:47.226Z,2022-08-05T18:02:51Z,3685594491,56,Back,3685594499,213,3.5,3685594497,212,24.9,3685594493,140,27.8,3685594495,141,36.3,3685594501,279,S,,,,,,,cla6c6izphee9prb80c15baei,M. Tielemans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442203645,4,1,1,0,4,2xlnfgrl6r18ftv38unwp7h4s,1,27.8,36.3,2022-08-05T18:02:51.306Z,2022-08-05T18:54:24Z,3685594687,1,,3685594683,212,61.2,3685594677,56,Left,3685594679,140,75.2,3685594681,141,88.7,3685594675,155,,3685594685,213,0.6,,,,e1islmeew98wa2ge0dicloay2,J. Seelt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442203649,5,44,1,0,8,2xlnfgrl6r18ftv38unwp7h4s,1,77.2,88.8,2022-08-05T18:02:55.278Z,2022-08-05T18:02:56Z,3685594703,56,Left,3685594705,286,,3685594737,233,3,,,,,,,,,,,,,,,,8tukt8jsmzkblxxs5w85x4dii,D. Sealy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442203651,3,44,1,0,8,bk5ltsueqmeng29eovd8m2tml,0,22.8,11.2,2022-08-05T18:02:55.279Z,2022-08-05T18:02:56Z,3685594707,56,Back,3685594709,285,,3685594747,233,5,,,,,,,,,,,,,,,,e42jh6bbwn4aybdnysonrvutx,L. Owusu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442203669,6,1,1,0,8,2xlnfgrl6r18ftv38unwp7h4s,1,74.7,88.1,2022-08-05T18:02:55.617Z,2022-08-05T18:02:57Z,3685594815,140,78.7,3685594821,213,5.4,3685594811,3,,3685594819,212,6.6,3685594817,141,80.6,3685594813,56,Left,,,,,,,8tukt8jsmzkblxxs5w85x4dii,D. Sealy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442203671,7,61,1,0,10,2xlnfgrl6r18ftv38unwp7h4s,0,73.1,74.5,2022-08-05T18:02:57.383Z,2022-08-05T18:02:57Z,3685594825,56,Center,,,,,,,,,,,,,,,,,,,,,,7uwe0kxpzg271d8ocms7l2kno,J. van Duiven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
