id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/10/value,assist,qualifier/8/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,keyPass,qualifier/13/value,qualifier/15/value,qualifier/14/value
2478289981,1,34,16,0,0,1fttb31hnskynpku8qd09yhm8,1,0,0,2022-10-28T17:13:15.038Z,2022-10-28T18:00:27Z,3877380023,194,6ylzm57bvpufg3cenadtv7qhh,3877380017,59,"1, 3, 23, 18, 4, 22, 14, 10, 9, 7, 5, 6, 8, 11, 19, 21, 26, 28, 39, 46, 40",3877474099,197,16350,3877380013,30,"6q72mpmc478hlf4f7ths9ez56, cx3fqj7odbuc6i0kppcie4jmy, 124bbojic7k5medlvgvxmcm39, a49001euf7xwpx5wodembjbo5, 6ylzm57bvpufg3cenadtv7qhh, 9jofs3271wn4cwlkj9hfay7vu, dmtsvsqvdoqqtmrset0uz0and, ccmmsnrfn58gwi1petlp08f3e, bs14utcyx2am6s46cuv52nf56, ebnm8xj9pggemio5qay9pcc0l, c46xp363o8m76eswzfmlsel4a, ab8p14hbfeph28j3ig36nzob9, dgio69i8qj7x1dzd7q6y7168l, bdtti3sckhcppilsisgu7well, 2c8alz6gmphvy6aqpgykva0yy, f1as17wqpj44gihtvw936lofd, 9vu68zcajmrqmkkchmpdrebu2, d1dq7upxtawnps3wljz6wf9jo, 14csdlb8p0tnj6zqrs148ct1w, a59aos4xq3vklv2joqa09axre, evz953s9rvki1w9c3hsljss7p",3877380015,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3877380021,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3877380025,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3877380019,130,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478291565,1,34,16,0,0,dac758ef858jbq7pcb3gfwite,1,0,0,2022-10-28T17:16:18.899Z,2022-10-28T18:13:39Z,3877387877,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3877387887,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3877387883,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3877473107,197,486,3877387875,30,"dmsmbn9a1qucwf100o3v77nbp, f2snk84xy67ergwrwoblgt2ad, e8si4ph9te020gpicg3k2k3u2, 5r73kuy4vdv1epvmzrhb6nskq, ip62fljz9ng6sil4krcq8dm1, 4dk7h575fifmw2lhslevhmhux, etwawuknprhxhmjk1tyq38e6t, arrbpgnwbguhyumc8c1u4jsut, bzf3k4wvqvx1tl1mx960wjv85, azt0ll196snbxy38eqw7mtln9, 6p6sdikmka45csxfw0i0q0l3p, 1o51op6w576yo6t585wkwistm, akfbttkeqfd8pzhe93ra674kp, bmbzc4jvazdiuddsbnceyauei, g0s22zvneqmryewunetlsbje, sbxnlkg50itbqkpuh8wnwk45, armxucjqaulvwfxyufovg3je1, 1jeb7li66vn913oub7t7l7x79, we5jzu2ad4z3wxaerwe6sdex, 2sxmpaw4khmgyym320oiwu3u, awokzor2tv5ro47ea34at1gx5, 80dk8iv6p0202z10qcqy8bfca, 49zitlyt01houmqy6hk04x36y",3877387885,194,ip62fljz9ng6sil4krcq8dm1,3877387881,130,12,3877387879,59,"1, 17, 12, 22, 21, 5, 11, 18, 10, 33, 29, 2, 4, 8, 14, 15, 19, 23, 26, 27, 28, 32, 39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478309073,2,32,1,0,0,1fttb31hnskynpku8qd09yhm8,1,0,0,2022-10-28T18:02:08.153Z,2022-10-28T18:02:08Z,3877477609,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478309077,2,32,1,0,0,dac758ef858jbq7pcb3gfwite,1,0,0,2022-10-28T18:02:08.153Z,2022-10-28T18:02:10Z,3877477613,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478309149,3,1,1,0,0,dac758ef858jbq7pcb3gfwite,1,49.9,50.6,2022-10-28T18:02:08.253Z,2022-10-28T18:52:44Z,3877477983,141,58.8,3877477987,213,2.9,3877477979,56,Back,3877477989,279,S,3877477981,140,26.6,3877477985,212,25.1,,,,,,,f2snk84xy67ergwrwoblgt2ad,T. Bruns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478309161,4,1,1,0,5,dac758ef858jbq7pcb3gfwite,0,26.3,63.3,2022-10-28T18:02:13.341Z,2022-10-28T18:02:23Z,3877478045,212,47.6,3877478041,140,68.1,3877478039,56,Center,3877478049,1,,3877478037,157,,3877478047,213,5.9,3877478043,141,36.1,,,,5r73kuy4vdv1epvmzrhb6nskq,M. Leš,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478309195,3,49,1,0,8,1fttb31hnskynpku8qd09yhm8,1,36.6,57,2022-10-28T18:02:16.849Z,2022-10-28T18:02:16Z,,,,,,,,,,,,,,,,,,,,,,,,,a49001euf7xwpx5wodembjbo5,Álvaro Peña,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478309213,4,1,1,0,9,1fttb31hnskynpku8qd09yhm8,1,36.6,57,2022-10-28T18:02:17.359Z,2022-10-28T18:02:19Z,3877478333,141,67.5,3877478337,213,0.4,3877478327,157,,3877478329,56,Center,3877478339,1,,3877478331,140,55.1,3877478335,212,20.7,,,,a49001euf7xwpx5wodembjbo5,Álvaro Peña,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478309217,5,61,1,0,10,1fttb31hnskynpku8qd09yhm8,1,55.1,67.5,2022-10-28T18:02:19.084Z,2022-10-28T18:02:19Z,3877478345,56,Center,,,,,,,,,,,,,,,,,,,,,,ebnm8xj9pggemio5qay9pcc0l,A. Limbombe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478309303,6,1,1,0,16,1fttb31hnskynpku8qd09yhm8,1,64.3,95.3,2022-10-28T18:02:24.238Z,2022-10-28T18:02:30Z,3877478755,213,3.5,3877478751,141,87.2,3877478747,56,Left,3877478753,212,14.4,3877478749,140,51.6,,,,,,,,,,bs14utcyx2am6s46cuv52nf56,J. Hilterman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
