id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,assist,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,keyPass,qualifier/9/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2484288509,1,34,16,0,0,59t7flioj4w4mpwnrwbm0m8ck,1,0,0,2022-11-11T18:08:14.895Z,2022-11-11T18:59:32Z,3908845767,30,"8jml2tgzk1am30cy4gkgx0wd1, bdb33nwcpd2jufn9ggtl7gvzd, 7oo6h3pq8wv5rgp1dkaolrhg4, 89plvrt8pzppcclh4axvii0ru, d5g7rl9a83vu3cyyzvu5yveqy, 4mhahoh3a6rir882ug9hdb5nu, 3xza88l7s8dlki9kleqwz2puy, 4j9ug0ng9dhx6xwhdwx6fafx0, 2an4s7uuqa9a6sl7vutznc7o5, 6nd0ifv6ljza9nauxcpejqzft, ekur9x1kzp8wq0lwfwev0b0bu, 36u3tovqdi3885wk3139wczfu, 41es2x265ddlzqjqa6wb9vey2, 5gunbyh0bjzutryox97ihxot1, emaf4mjxn2255qlcn1pcxn36x, 4shkxwb3ujuajna3gdg34cxjp, cg6es3riwivh8kbgtmi72q0ut, 9urh0cy0a8ni61fuxmiqosnis, f48jetdaq8dttcdo11mugaxnt, f07j2ge60cbdp3bcys4cx18iy, 8gkh6rsfo2tsrsiirv05bm1yi",3908845777,194,89plvrt8pzppcclh4axvii0ru,3908845773,130,4,3908927595,197,490,3908845779,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3908845775,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3908845769,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3908845771,59,"1, 2, 25, 6, 3, 24, 18, 8, 9, 10, 11, 12, 14, 16, 19, 21, 22, 23, 27, 29, 36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484291795,1,34,16,0,0,dac758ef858jbq7pcb3gfwite,1,0,0,2022-11-11T18:16:52.967Z,2022-11-11T19:04:26Z,3908862071,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3908862065,130,4,3908862069,194,ip62fljz9ng6sil4krcq8dm1,3908862061,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3908927207,197,486,3908862063,59,"1, 5, 12, 18, 4, 21, 15, 29, 33, 11, 17, 2, 8, 14, 19, 20, 22, 23, 26, 27, 28, 32, 39",3908862067,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3908862059,30,"dmsmbn9a1qucwf100o3v77nbp, 4dk7h575fifmw2lhslevhmhux, e8si4ph9te020gpicg3k2k3u2, arrbpgnwbguhyumc8c1u4jsut, akfbttkeqfd8pzhe93ra674kp, ip62fljz9ng6sil4krcq8dm1, sbxnlkg50itbqkpuh8wnwk45, 6p6sdikmka45csxfw0i0q0l3p, azt0ll196snbxy38eqw7mtln9, etwawuknprhxhmjk1tyq38e6t, f2snk84xy67ergwrwoblgt2ad, 1o51op6w576yo6t585wkwistm, bmbzc4jvazdiuddsbnceyauei, g0s22zvneqmryewunetlsbje, armxucjqaulvwfxyufovg3je1, 6zxcmzp7w6esj54g05tvk7ai1, 5r73kuy4vdv1epvmzrhb6nskq, 1jeb7li66vn913oub7t7l7x79, we5jzu2ad4z3wxaerwe6sdex, 2sxmpaw4khmgyym320oiwu3u, awokzor2tv5ro47ea34at1gx5, 80dk8iv6p0202z10qcqy8bfca, 49zitlyt01houmqy6hk04x36y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484305087,2,32,1,0,0,59t7flioj4w4mpwnrwbm0m8ck,1,0,0,2022-11-11T19:01:36.485Z,2022-11-11T19:01:55Z,3908931511,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484304889,2,32,1,0,0,dac758ef858jbq7pcb3gfwite,1,0,0,2022-11-11T19:01:36.485Z,2022-11-11T19:01:36Z,3908930595,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484304943,3,1,1,0,0,dac758ef858jbq7pcb3gfwite,1,50,50,2022-11-11T19:01:36.585Z,2022-11-11T19:01:41Z,3908930857,213,3.0,3908930851,212,23.9,3908930859,279,S,3908930837,56,Back,3908930841,140,27.5,3908930847,141,55.4,,,,,,,f2snk84xy67ergwrwoblgt2ad,T. Bruns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484304969,4,1,1,0,4,dac758ef858jbq7pcb3gfwite,1,24.4,58.7,2022-11-11T19:01:41.083Z,2022-11-11T19:01:44Z,3908930997,213,5.8,3908930993,141,19.8,3908930987,155,,3908930989,56,Right,3908930991,140,74.1,3908930999,1,,3908930995,212,58.5,,,,ip62fljz9ng6sil4krcq8dm1,J. Hoogma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484304977,5,44,1,0,8,dac758ef858jbq7pcb3gfwite,1,71.7,22.1,2022-11-11T19:01:44.492Z,2022-11-11T19:07:57Z,3908931049,56,Center,3908931051,286,,3908936429,233,3,,,,,,,,,,,,,,,,sbxnlkg50itbqkpuh8wnwk45,L. Schoofs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484305121,3,44,1,0,8,59t7flioj4w4mpwnrwbm0m8ck,0,28.3,77.9,2022-11-11T19:01:44.493Z,2022-11-11T19:03:33Z,3908931679,285,,3908936449,233,5,3908931677,56,Back,,,,,,,,,,,,,,,,7oo6h3pq8wv5rgp1dkaolrhg4,S. de Wijs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484304981,6,1,1,0,8,dac758ef858jbq7pcb3gfwite,0,72.4,24.7,2022-11-11T19:01:44.972Z,2022-11-11T19:07:56Z,3908931067,3,,3908931075,212,10.2,3908931069,56,Center,3908931077,213,6.2,3908931073,141,22.8,3908931071,140,82.0,,,,,,,sbxnlkg50itbqkpuh8wnwk45,L. Schoofs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484306109,22,1,1,0,10,59t7flioj4w4mpwnrwbm0m8ck,0,16.2,85.6,2022-11-11T19:01:46.493Z,2022-11-11T19:03:42Z,3908936759,141,88.7,3908936755,56,Back,3908936763,213,0.4,3908936761,212,5.0,3908936757,140,20.5,3908936753,3,,,,,,,,bdb33nwcpd2jufn9ggtl7gvzd,B. Lucassen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
