id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/12/value,qualifier/11/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/15/value,assist
2503347215,1,34,16,0,0,cv5ftekuejf0ryxvd5h2my47r,1,0,0,2023-02-03T18:29:44.147Z,2023-02-03T18:59:59Z,4009266503,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4009313777,197,917,4009266501,130,8,4009266495,30,"1du03mqsc0o6i4e64n7pzr6ui, 30uqa3kfm23ickjssfhmwgdm1, 3khifxt41tsdr25ea7w5n1mcq, zhnev5uetomme6rpisaa7wiy, b3gyml6d5i3lqxsnh072nhuqd, 7i9hjqjogg1iowfo4fu5zpcyd, 8j8encc4aqkh07ydce6hiaokp, 3p95pudljhqzrnegmko7z56uh, d6rg9ntx9qa2eh8yiflbke1ux, a69sa0h7lgpmlav961cpejbe2, a3pwwwba6td400zwqjpbf6pnu, 8qc6u3zsblb62it6519a4b6cp, 40l3vtezw1ofwk2occi4z5w45, qgusrrldd48qxku8yna03ap5, 5et3jsqqhg08ykfqgdniq8fhm, 4o1150mpv9nz55cwj9b0vblk9, 4fcmk1x7n95o7owons6mc5a1g, 8z868vetpqyeatv2rtfwpsbje, dzet4aycjrqmpv1lzp9ekqzje, dhb6r3msmmayy7v0b1gb40445",4009266505,194,b3gyml6d5i3lqxsnh072nhuqd,4009266499,59,"1, 18, 3, 12, 4, 2, 27, 13, 10, 23, 34, 6, 7, 8, 19, 21, 28, 29, 30, 38",4009266497,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4009266507,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503348317,1,34,16,0,0,1wyg1tunyt7go9tnjea1hjqxb,1,0,0,2023-02-03T18:34:28.214Z,2023-02-03T19:00:00Z,4009271879,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4009313819,197,8656,4009271877,130,4,4009271875,59,"1, 2, 5, 10, 3, 4, 6, 8, 9, 7, 11, 16, 19, 20, 17, 21, 18, 14, 15",4009271883,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4009271881,194,cwu5itv65s8p6zsalk3np4ic,4009271873,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",4009271871,30,"7ug3a0z74dj7qlq4jbtn1kutw, b8k8uynw043b6q9xm0lfzszmy, a33sy9bstlsfq023oiym5qk9g, cs49ec8y6cubrlo5nmu3j3jtg, 7s2zxbtepa7dgr8yl0s48afpw, b4vrfh7z9qt9e5gdpkajrqolw, cwu5itv65s8p6zsalk3np4ic, 9bgq1tfyfzc3wg9pfr8q510k4, ab17bik4y8ilv3ahe50a81ixg, 8i6cjao5lwxzaomilei61kbxm, cdlnfuy9piyga0wud4nrucvtg, 6km9jg1di3kjwknzs1m43c7x0, 8oyvtcgg9cialhwvfadl07190, 19wuvqpmewphgvsfzi4yjl756, 685wka5xc8na423mirotcu238, wuh8s4gfo9ro3nel3rormg44, 8u19xeh9ugvh8f1mh7jnbbhuc, 3kjxnvfmwd4hij1gnjc3xdhck, 35zljca9f38wwue7geei62xw4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503357277,2,32,1,0,0,cv5ftekuejf0ryxvd5h2my47r,1,0,0,2023-02-03T19:01:11.169Z,2023-02-03T19:01:11Z,4009316435,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503357289,2,32,1,0,0,1wyg1tunyt7go9tnjea1hjqxb,1,0,0,2023-02-03T19:01:11.169Z,2023-02-03T19:01:12Z,4009316479,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503357311,3,1,1,0,0,cv5ftekuejf0ryxvd5h2my47r,1,49.8,49.2,2023-02-03T19:01:11.269Z,2023-02-03T19:01:14Z,4009316587,56,Back,4009316589,140,37.7,4009316597,279,S,4009316591,141,33.8,4009316593,212,16.5,4009316595,213,3.8,,,,,,,d6rg9ntx9qa2eh8yiflbke1ux,N. Venema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503357319,4,1,1,0,3,cv5ftekuejf0ryxvd5h2my47r,1,37.7,33.8,2023-02-03T19:01:14.205Z,2023-02-03T19:01:15Z,4009316637,213,2.1,4009316635,212,16.6,4009316629,56,Back,4009316631,140,30.2,4009316633,141,55.3,,,,,,,,,,3p95pudljhqzrnegmko7z56uh,R. Sedláček,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503357343,5,1,1,0,4,cv5ftekuejf0ryxvd5h2my47r,1,30.2,55.3,2023-02-03T19:01:15.757Z,2023-02-03T19:01:18Z,4009316779,141,88.5,4009316775,56,Back,4009316781,212,22.6,4009316783,213,1.6,4009316777,140,29.7,,,,,,,,,,zhnev5uetomme6rpisaa7wiy,J. Kluskens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503357361,6,1,1,0,7,cv5ftekuejf0ryxvd5h2my47r,1,29.7,88.5,2023-02-03T19:01:18.732Z,2023-02-03T19:01:21Z,4009316895,213,4.1,4009316893,212,16.9,4009316889,140,20.3,4009316891,141,68.3,4009316887,56,Back,,,,,,,,,,3khifxt41tsdr25ea7w5n1mcq,S. Dirks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503357391,7,1,1,0,10,cv5ftekuejf0ryxvd5h2my47r,1,20.1,65.5,2023-02-03T19:01:21.661Z,2023-02-03T19:01:25Z,4009317033,1,,4009317029,213,5.2,4009317009,155,,4009317019,141,7.9,4009317011,56,Back,4009317023,212,44.0,4009317015,140,39.2,,,,7i9hjqjogg1iowfo4fu5zpcyd,B. Koglin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503357431,8,1,1,0,14,cv5ftekuejf0ryxvd5h2my47r,1,39.2,7.9,2023-02-03T19:01:25.308Z,2023-02-03T19:01:30Z,4009317241,212,27.1,4009317243,213,0.3,4009317235,56,Right,4009317239,141,19.0,4009317237,140,64.0,,,,,,,,,,30uqa3kfm23ickjssfhmwgdm1,R. Lathouwers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
