id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/8/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/15/value,qualifier/16/value,assist
2491600685,1,34,16,0,0,2xlnfgrl6r18ftv38unwp7h4s,1,0,0,2022-12-15T18:24:06.587Z,2022-12-15T19:05:11Z,3947398299,130,4,3947398295,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",3947398303,194,cla6c6izphee9prb80c15baei,3947398297,59,"1, 2, 5, 6, 3, 4, 8, 10, 9, 7, 11, 21, 20, 22, 14, 18, 16, 23, 17",3947398305,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3947398293,30,"d5v47kueisvcjjz4f69m83sut, d9ewnngnsfc0s4hcs282hayhg, wlltloe6hbe8hin3hix0366s, cla6c6izphee9prb80c15baei, e1islmeew98wa2ge0dicloay2, 7b0vbfxlv3uiozb19fcj2vsyy, cvbasfoccmz0tijnkxyf57n8q, 8npu0cbqjrhwv5km1w29kh016, 3bepi58wwope38a478y7jwlxw, ix6hcbfujuw3mgefzpsnp2zu, 1jr23fmrmezgiaq7k63pro07o, 5ucdhb871lfyiw3qootnby590, e6x3hs6v8cq74ojgluyny72fo, 47yvsnwrehtn4mwsjcqk4ewyy, 4iurx3g3hajlatv5gcxsqwm7e, 8mkrj5bnkyhx8kutc4656cy96, 4u12cln8rmtkwlu5q36ypjl2i, amz65a6dp1pwwql1dkonktfys, 8tukt8jsmzkblxxs5w85x4dii",3947434141,197,2830,3947398301,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491601745,1,34,16,0,0,6lzy9iiqoysvtdsgx719fng9n,1,0,0,2022-12-15T18:29:59.183Z,2022-12-15T19:00:44Z,3947404031,130,4,3947404039,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3947404035,194,b8ixf31bdyfqqcwoy4ulai73e,3947404027,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3947404029,59,"1, 2, 5, 10, 3, 4, 6, 8, 9, 7, 11, 17, 21, 19, 16, 15, 20, 18, 12, 30",3947404033,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3947404025,30,"3e8tsv4mzm75peokuw38d8jmy, 2zkaf848fjcdhuii8783pkm7e, bgydmtsi0ngn9k56apo29v0no, 9nix5y8xcj34ps62r34udtqwa, a7vlgirln231n3dqjhb72o0es, 3z9bdfblis9tl3e1uo7e72h62, 9pox9siobczxr9fv3fvvx3h1w, b8ixf31bdyfqqcwoy4ulai73e, 6w6ewzxircqxk6dsrs1rvc8ru, 80i3boeh7f1ghu4ka7r66izje, 31v89l4k38v1wpisz7xhkq38, dlgqk5qe96gaxeq8vu4dozyms, 1x6fhuy49w4rpnyavwotbf504, alfx6xxo38q6hmydbcr0rw67e, 6m0pdqqontm1tfxayxku0kv3e, cxu054j55uj2s3p34rqfthch6, 13k94iyejsdn4e51jx32rb23u, baghnvel8qsn5k9s79jiyldnu, 68hoounwudpjrr2wmovkyvswk, ed0pwegj0n6iwb6oa52obcsgk",3947436813,197,2829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491608447,2,32,1,0,0,6lzy9iiqoysvtdsgx719fng9n,1,0,0,2022-12-15T19:03:06.033Z,2022-12-15T19:03:06Z,3947440523,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491608445,2,32,1,0,0,2xlnfgrl6r18ftv38unwp7h4s,1,0,0,2022-12-15T19:03:06.033Z,2022-12-15T19:03:06Z,3947440499,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491608461,3,1,1,0,0,2xlnfgrl6r18ftv38unwp7h4s,1,50,50,2022-12-15T19:03:06.133Z,2022-12-15T19:03:10Z,3947440615,213,3.0,3947440611,141,54.0,3947440607,56,Back,3947440617,279,S,3947440609,140,35.6,3947440613,212,15.4,,,,,,,8npu0cbqjrhwv5km1w29kh016,S. Colyn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491608469,4,1,1,0,4,2xlnfgrl6r18ftv38unwp7h4s,1,31.1,51.2,2022-12-15T19:03:10.314Z,2022-12-15T19:03:11Z,3947440667,213,3.8,3947440663,141,41.3,3947440665,212,11.0,3947440659,56,Back,3947440661,140,22.8,,,,,,,,,,cla6c6izphee9prb80c15baei,M. Tielemans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491608473,5,1,1,0,5,2xlnfgrl6r18ftv38unwp7h4s,1,22.8,41.3,2022-12-15T19:03:11.530Z,2022-12-15T19:03:12Z,3947440683,56,Back,3947440687,141,74.7,3947440685,140,13.6,3947440689,212,24.7,3947440691,213,2.0,,,,,,,,,,e1islmeew98wa2ge0dicloay2,J. Seelt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491608497,6,1,1,0,6,2xlnfgrl6r18ftv38unwp7h4s,1,13.7,74.7,2022-12-15T19:03:12.570Z,2022-12-15T19:03:17Z,3947440827,140,20.5,3947440831,212,16.6,3947440833,213,1.1,3947440829,141,96.8,3947440825,56,Back,,,,,,,,,,7b0vbfxlv3uiozb19fcj2vsyy,F. Leysen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491608505,7,1,1,0,10,2xlnfgrl6r18ftv38unwp7h4s,0,31.8,95.6,2022-12-15T19:03:16.987Z,2022-12-15T19:03:18Z,3947440847,56,Left,3947440853,212,28.2,3947440855,213,6.2,3947440849,140,58.5,3947440851,141,91.1,,,,,,,,,,wlltloe6hbe8hin3hix0366s,M. Dams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491608511,3,49,1,0,12,6lzy9iiqoysvtdsgx719fng9n,1,43.9,12.8,2022-12-15T19:03:18.970Z,2022-12-15T19:03:19Z,,,,,,,,,,,,,,,,,,,,,,,,,2zkaf848fjcdhuii8783pkm7e,Y. Regeer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
