id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/10/value,assist,qualifier/9/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId
2460577455,1,34,16,0,0,2xlnfgrl6r18ftv38unwp7h4s,1,0,0,2022-09-16T17:13:57.437Z,2022-09-16T18:04:43Z,3783448457,197,2830,3783340541,59,"1, 2, 5, 6, 3, 4, 8, 10, 9, 7, 11, 17, 19, 18, 22, 14, 16, 15, 23",3783340537,30,"4u12cln8rmtkwlu5q36ypjl2i, d9ewnngnsfc0s4hcs282hayhg, 7b0vbfxlv3uiozb19fcj2vsyy, cla6c6izphee9prb80c15baei, e1islmeew98wa2ge0dicloay2, 4iurx3g3hajlatv5gcxsqwm7e, 8npu0cbqjrhwv5km1w29kh016, d785q9rpqlyuyswv8f9fx4cno, 7uwe0kxpzg271d8ocms7l2kno, ix6hcbfujuw3mgefzpsnp2zu, 1jr23fmrmezgiaq7k63pro07o, 8tukt8jsmzkblxxs5w85x4dii, 3bepi58wwope38a478y7jwlxw, cvbasfoccmz0tijnkxyf57n8q, 94h1esmbnvlcvdeq9ohs11boq, 8mkrj5bnkyhx8kutc4656cy96, eola3wwbcxl6yeigrj16a3otm, a7eyujeyux7nj68ifa7nnndas, amz65a6dp1pwwql1dkonktfys",3783340539,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",3783340545,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",3783340543,130,4,3783340549,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3783340547,194,4iurx3g3hajlatv5gcxsqwm7e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460578307,1,34,16,0,0,cv5ftekuejf0ryxvd5h2my47r,1,0,0,2022-09-16T17:15:11.433Z,2022-09-16T18:09:08Z,3783448917,197,917,3783344821,59,"38, 17, 5, 16, 4, 2, 8, 11, 23, 10, 9, 1, 6, 7, 12, 13, 14, 19, 20, 21, 29, 30",3783344817,30,"dhb6r3msmmayy7v0b1gb40445, 72d57i3mfqxtbsmm196kdv0fd, 5pg02unrm16jaa8vt5ego9z6y, aasoq3euk6e6zqhh08n0wocet, b3gyml6d5i3lqxsnh072nhuqd, 7i9hjqjogg1iowfo4fu5zpcyd, qgusrrldd48qxku8yna03ap5, 3jyb1qtjsf7li8zunui2qpq3u, a69sa0h7lgpmlav961cpejbe2, d6rg9ntx9qa2eh8yiflbke1ux, alimpjocr7xtxu21sumg3b2l1, 1du03mqsc0o6i4e64n7pzr6ui, 8qc6u3zsblb62it6519a4b6cp, 40l3vtezw1ofwk2occi4z5w45, zhnev5uetomme6rpisaa7wiy, 3p95pudljhqzrnegmko7z56uh, e74wy7br5zhkds5s73ip0tg4, 5et3jsqqhg08ykfqgdniq8fhm, a750kxhudgz2pgboao4iw2mfo, 4o1150mpv9nz55cwj9b0vblk9, 8z868vetpqyeatv2rtfwpsbje, dzet4aycjrqmpv1lzp9ekqzje",3783344829,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3783344819,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3783344827,194,alimpjocr7xtxu21sumg3b2l1,3783344825,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3783344823,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460600139,2,32,1,0,0,2xlnfgrl6r18ftv38unwp7h4s,1,0,0,2022-09-16T18:03:13.281Z,2022-09-16T18:03:16Z,3783461889,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460600125,2,32,1,0,0,cv5ftekuejf0ryxvd5h2my47r,1,0,0,2022-09-16T18:03:13.281Z,2022-09-16T18:03:13Z,3783461823,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460600169,3,1,1,0,0,2xlnfgrl6r18ftv38unwp7h4s,1,49.4,49.9,2022-09-16T18:03:13.381Z,2022-09-16T18:50:00Z,3783462037,141,53.6,3783462039,212,18.5,3783462035,140,31.9,3783462041,213,3.0,3783462033,56,Back,3783462043,279,S,,,,,,,d785q9rpqlyuyswv8f9fx4cno,M. Nassoh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460600207,4,1,1,0,3,2xlnfgrl6r18ftv38unwp7h4s,1,28.3,40.4,2022-09-16T18:03:17.169Z,2022-09-16T18:14:46Z,3783462259,213,1.8,3783462247,56,Back,3783462257,212,14.7,3783462251,140,25.0,3783462255,141,61.4,,,,,,,,,,cla6c6izphee9prb80c15baei,M. Tielemans,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460600261,5,1,1,0,5,2xlnfgrl6r18ftv38unwp7h4s,1,25,61.4,2022-09-16T18:03:18.587Z,2022-09-16T18:03:23Z,3783462547,213,5.7,3783462549,1,,3783462545,212,39.0,3783462543,141,27.9,3783462539,56,Center,3783462537,155,,3783462541,140,55.1,,,,4iurx3g3hajlatv5gcxsqwm7e,D. Vos,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460600269,6,61,1,0,9,2xlnfgrl6r18ftv38unwp7h4s,0,56.1,21.8,2022-09-16T18:03:22.912Z,2022-09-16T18:15:02Z,3783462583,56,Center,,,,,,,,,,,,,,,,,,,,,,8npu0cbqjrhwv5km1w29kh016,S. Colyn,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460600307,3,61,1,0,14,cv5ftekuejf0ryxvd5h2my47r,0,23.6,79,2022-09-16T18:03:27.357Z,2022-09-16T18:03:27Z,3783462831,56,Back,,,,,,,,,,,,,,,,,,,,,,3jyb1qtjsf7li8zunui2qpq3u,T. Verheijen,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460600371,7,1,1,0,14,2xlnfgrl6r18ftv38unwp7h4s,1,70.5,12.8,2022-09-16T18:03:28.064Z,2022-09-16T18:15:04Z,3783463181,141,7.9,3783463179,140,88.5,3783463177,56,Right,3783463185,213,6.1,3783463183,212,19.2,,,,,,,,,,8npu0cbqjrhwv5km1w29kh016,S. Colyn,,,,,,,,,,,,,,,,,,,,,,,,,,,,
