id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/9/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2475042173,1,34,16,0,0,7rmv5ns2rj7bn4otpkur0mx0x,1,0,0,2022-10-21T17:00:42.294Z,2022-10-21T18:03:05Z,3860178313,30,"1ljgis575ujto4361ed15w0r9, dsi2wezhn07auutl4wzckh6uh, c9pmoa9m23jh5emy6w4olm3xm, btm3mtkmwofz1dgcdsew1kmp5, 8tepha2kd43sp9jtafxuf209h, 7f7zwd6c14rr59u9al3naenkl, 3epda2hg43s8uxvf9xno74d4a, 4qj88r9cjfbu05ly92vfhpi39, c9shc6t28oroqthopifjvg9ux, bgzkdepav40x6focwuaf9qxre, bzsoq42nf6sgdh9oe64n7rnfu, cul6phe87idi5dn1hsfywxhwp, 49xsd6e4oyjrhtwsdbdm4rj84, 7797kpi7lkhc9dasfxuv9h7f9, 3apsq2r6q8lzdat7sy5h6tmqy, 49vbyk5qvhihphrqfnmmz8woa, 1s50ua48peo4wd0o7unmps06h, 2wuprdfbbn9mo0paqr5tm7bop, 2ngb4008t58dvor5qnh1nj6ga, 6eccwl9cpgmq7pp6d90lbi6wa",3860178317,59,"21, 44, 20, 11, 4, 3, 26, 8, 9, 29, 7, 1, 6, 14, 15, 17, 23, 27, 31, 36",3860178319,130,8,3860178325,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3860178315,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3860291735,197,536,3860178321,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3860178323,194,c9shc6t28oroqthopifjvg9ux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475045435,1,34,16,0,0,dnzj0iv5qtaemm9kthh9pos8q,1,0,0,2022-10-21T17:09:25.782Z,2022-10-21T18:09:04Z,3860195275,130,11,3860195269,30,"alzgg0nxnnex3nkzr6lgmt1ey, 5e9ek4qs1dnp69oojzpvrltrd, 4zow18ykkg1gvw40r7jsrzkl, dh3ksith5iat573zuhdhv91w5, 1jn9jog8ou8uxnmypneksizxm, 7cetznpb0tnu6kdz7bvm8gyxh, ebj7cl31vlr8nrltm42ydrdka, bquqyyfz4lj0xrerbhbtj1jze, 5c5quyl7qxptstbge87w2eqqx, dhxpfe8e618lavr0915m9y2ju, b61yiz3lait78xmlbyzr2vd62, cexuwvet4xiruf1jitkjjp7qi, 6dpxvfpnaua6y4gevop02qc8a, 4z8o35izc3gx6i2bt4mcs1fjd, 49xt4lsf38z9yjlg32652zg4q, 8uw9w30592omb8acpnssgdlh, 5ffbqf6o50173uqvaefnce4gk, fjistzkvlbsa2v7xsnu0uy95, 5chl0qcvbbkd0yeogurw1fz6x, 1mroid71v9bwpx0iaospei9gq, 9tj2yr6ep9hsignf7cjn7wnl6, b950jt347chmq9whlkgl6fxpm, dcdvet7azx1a59xm2ke7qi2cq",3860195279,194,dh3ksith5iat573zuhdhv91w5,3860195271,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3860195281,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3860288383,197,2848,3860195273,59,"1, 13, 12, 8, 4, 15, 31, 18, 9, 20, 11, 3, 7, 16, 17, 19, 21, 22, 23, 28, 30, 39, 2",3860195277,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475064193,2,32,1,0,0,dnzj0iv5qtaemm9kthh9pos8q,1,0,0,2022-10-21T18:02:03.877Z,2022-10-21T18:02:06Z,3860291113,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475064187,2,32,1,0,0,7rmv5ns2rj7bn4otpkur0mx0x,1,0,0,2022-10-21T18:02:03.877Z,2022-10-21T18:02:04Z,3860291091,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475064209,3,1,1,0,0,7rmv5ns2rj7bn4otpkur0mx0x,1,50.1,49.9,2022-10-21T18:02:03.977Z,2022-10-21T18:02:07Z,3860291179,140,37.7,3860291183,212,13.1,3860291187,279,S,3860291185,213,3.3,3860291181,141,47.6,3860291177,56,Back,,,,,,,bgzkdepav40x6focwuaf9qxre,R. Postema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475064215,4,1,1,0,3,7rmv5ns2rj7bn4otpkur0mx0x,1,41,38.8,2022-10-21T18:02:07.426Z,2022-10-21T18:02:09Z,3860291239,212,13.0,3860291243,213,4.3,3860291231,140,36.5,3860291235,141,21.0,3860291227,56,Back,,,,,,,,,,4qj88r9cjfbu05ly92vfhpi39,N. Vossebelt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475064219,5,1,1,0,5,7rmv5ns2rj7bn4otpkur0mx0x,1,34.7,10,2022-10-21T18:02:09.666Z,2022-10-21T18:02:11Z,3860291263,212,17.3,3860291261,141,33.7,3860291259,140,28.7,3860291265,213,1.9,3860291257,56,Back,,,,,,,,,,8tepha2kd43sp9jtafxuf209h,G. Joppen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475064233,6,1,1,0,7,7rmv5ns2rj7bn4otpkur0mx0x,1,27.3,33.7,2022-10-21T18:02:11.314Z,2022-10-21T18:02:16Z,3860291327,56,Back,3860291335,213,1.6,3860291329,140,26.3,3860291331,141,66.3,3860291333,212,22.2,,,,,,,,,,7f7zwd6c14rr59u9al3naenkl,T. van de Pavert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475064235,7,1,1,0,12,7rmv5ns2rj7bn4otpkur0mx0x,0,28.3,71.8,2022-10-21T18:02:16.530Z,2022-10-21T18:02:17Z,3860291343,140,61.1,3860291347,212,34.5,3860291345,141,68.5,3860291339,155,,3860291351,1,,3860291341,56,Center,3860291349,213,6.2,,,,dsi2wezhn07auutl4wzckh6uh,B. Reith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475064345,3,5,1,0,14,dnzj0iv5qtaemm9kthh9pos8q,1,29,-1.8,2022-10-21T18:02:18.467Z,2022-10-21T18:08:44Z,3860291773,56,Back,3860291777,233,8,3860291775,347,,,,,,,,,,,,,,,,,5e9ek4qs1dnp69oojzpvrltrd,T. David,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
