id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,assist,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,keyPass,qualifier/11/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId
2517894313,1,34,16,0,0,dac758ef858jbq7pcb3gfwite,1,0,0,2023-03-10T18:12:48.932Z,2023-03-10T19:50:17Z,4086023359,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4086023363,130,8,4086023365,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4086023357,30,"dmsmbn9a1qucwf100o3v77nbp, sbxnlkg50itbqkpuh8wnwk45, e8si4ph9te020gpicg3k2k3u2, f2snk84xy67ergwrwoblgt2ad, afdwdm1rkz1ir3c0tukfh3jhm, ip62fljz9ng6sil4krcq8dm1, etwawuknprhxhmjk1tyq38e6t, 8loz5cz4zynb8plfusi3ewd79, azt0ll196snbxy38eqw7mtln9, bzf3k4wvqvx1tl1mx960wjv85, 6p6sdikmka45csxfw0i0q0l3p, akfbttkeqfd8pzhe93ra674kp, bmbzc4jvazdiuddsbnceyauei, dqey55v1t24jngquk81aii8lw, arrbpgnwbguhyumc8c1u4jsut, 5r73kuy4vdv1epvmzrhb6nskq, 1jeb7li66vn913oub7t7l7x79, we5jzu2ad4z3wxaerwe6sdex, awokzor2tv5ro47ea34at1gx5, e5c8wtame01unosnz4zchwljo, 49zitlyt01houmqy6hk04x36y",4086023361,59,"1, 15, 12, 17, 6, 21, 11, 7, 33, 10, 29, 4, 8, 9, 18, 22, 23, 26, 28, 34, 39",4086360643,197,486,4086023369,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4086023367,194,ip62fljz9ng6sil4krcq8dm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517895047,1,34,16,0,0,1wyg1tunyt7go9tnjea1hjqxb,1,0,0,2023-03-10T18:13:56.771Z,2023-03-10T19:51:08Z,4086363355,197,8656,4086027015,130,8,4086027011,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",4086027023,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4086027009,30,"7wrulbqqdeecd5vegsbb1905w, b8k8uynw043b6q9xm0lfzszmy, 7s2zxbtepa7dgr8yl0s48afpw, d29ahwtvs7ls75wdtkf7xr8tm, b1h2eiqxic31ioxbs1zjd709g, cs49ec8y6cubrlo5nmu3j3jtg, 4cegvsj3s6t0o1l5xap6jypuy, cwu5itv65s8p6zsalk3np4ic, ab17bik4y8ilv3ahe50a81ixg, 19wuvqpmewphgvsfzi4yjl756, 8i6cjao5lwxzaomilei61kbxm, 4oyjji4wqmuu3uia6htj0q1hw, 8o2iv0qhfft5pgzm75ckuo0es, 2wgv0uye88734itwltg3oajo4, 6km9jg1di3kjwknzs1m43c7x0, 685wka5xc8na423mirotcu238, wuh8s4gfo9ro3nel3rormg44, 842wr3ptcycwsg44mgt0zp7o4, 9bgq1tfyfzc3wg9pfr8q510k4",4086027021,194,19wuvqpmewphgvsfzi4yjl756,4086027013,59,"1, 2, 5, 8, 3, 4, 7, 6, 9, 10, 11, 19, 18, 15, 16, 17, 20, 12, 14",4086027017,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517957049,2,32,1,0,0,dac758ef858jbq7pcb3gfwite,1,0,0,2023-03-10T19:48:24.596Z,2023-03-10T19:48:27Z,4086353843,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517957043,2,32,1,0,0,1wyg1tunyt7go9tnjea1hjqxb,1,0,0,2023-03-10T19:48:24.596Z,2023-03-10T19:48:24Z,4086353811,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517957089,3,1,1,0,0,1wyg1tunyt7go9tnjea1hjqxb,1,50.3,50.1,2023-03-10T19:48:24.708Z,2023-03-10T19:48:28Z,4086354017,279,S,4086354007,56,Back,4086354011,141,64.8,4086354009,140,30.4,4086354015,213,2.7,4086354013,212,23.2,,,,,,,19wuvqpmewphgvsfzi4yjl756,I. Griffith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517957125,4,1,1,0,3,1wyg1tunyt7go9tnjea1hjqxb,1,30.4,64.8,2023-03-10T19:48:28.204Z,2023-03-10T19:48:30Z,4086354217,141,33.4,4086354221,213,5.8,4086354213,56,Center,4086354211,155,,4086354223,1,,4086354219,212,42.4,4086354215,140,65.3,,,,cs49ec8y6cubrlo5nmu3j3jtg,L. Schouten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517957127,5,61,1,0,6,1wyg1tunyt7go9tnjea1hjqxb,0,65.4,33.3,2023-03-10T19:48:30.726Z,2023-03-10T19:48:31Z,4086354231,56,Center,,,,,,,,,,,,,,,,,,,,,,ab17bik4y8ilv3ahe50a81ixg,M. Meerdink,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517957141,3,49,1,0,8,dac758ef858jbq7pcb3gfwite,1,21.1,33.3,2023-03-10T19:48:32.805Z,2023-03-10T20:02:25Z,,,,,,,,,,,,,,,,,,,,,,,,,sbxnlkg50itbqkpuh8wnwk45,L. Schoofs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517957159,4,1,1,0,8,dac758ef858jbq7pcb3gfwite,0,22.8,29.5,2023-03-10T19:48:32.997Z,2023-03-10T20:02:24Z,4086354439,213,0.9,4086354443,1,,4086354435,141,65.5,4086354437,212,31.4,4086354429,157,,4086354431,56,Back,4086354433,140,41.5,,,,sbxnlkg50itbqkpuh8wnwk45,L. Schoofs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517957163,6,49,1,0,10,1wyg1tunyt7go9tnjea1hjqxb,1,56.5,36.3,2023-03-10T19:48:34.824Z,2023-03-10T19:48:35Z,,,,,,,,,,,,,,,,,,,,,,,,,cwu5itv65s8p6zsalk3np4ic,N. Twisk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517957191,7,1,1,0,10,1wyg1tunyt7go9tnjea1hjqxb,1,56.5,36.3,2023-03-10T19:48:35.371Z,2023-03-10T19:48:36Z,4086354621,140,52.5,4086354623,141,46.1,4086354625,212,7.9,4086354627,213,2.1,4086354619,56,Center,,,,,,,,,,cwu5itv65s8p6zsalk3np4ic,N. Twisk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517957217,8,1,1,0,12,1wyg1tunyt7go9tnjea1hjqxb,1,52.5,46.1,2023-03-10T19:48:36.784Z,2023-03-10T19:48:39Z,4086354765,141,27.7,4086354763,140,32.5,4086354761,56,Back,4086354767,212,24.4,4086354769,213,3.7,,,,,,,,,,d29ahwtvs7ls75wdtkf7xr8tm,Z. Buurmeester,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517957281,9,1,1,0,14,1wyg1tunyt7go9tnjea1hjqxb,1,32.5,27.7,2023-03-10T19:48:38.989Z,2023-03-10T19:48:44Z,4086355075,56,Back,4086355079,140,8.2,4086355085,213,2.6,4086355083,212,29.1,4086355081,141,48.2,,,,,,,,,,b1h2eiqxic31ioxbs1zjd709g,L. Postma,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517957339,10,1,1,0,19,1wyg1tunyt7go9tnjea1hjqxb,1,8.2,48.2,2023-03-10T19:48:44.314Z,2023-03-10T19:48:49Z,4086355447,212,20.4,4086355449,213,4.9,4086355441,56,Back,4086355445,141,18.5,4086355443,140,10.9,,,,,,,,,,7wrulbqqdeecd5vegsbb1905w,R. Owusu-Oduro,,,,,,,,,,,,,,,,,,,,,,,,,,,,
