id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/8/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/11/value,assist,qualifier/13/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2443178331,1,34,16,0,0,2uuh2bir8ktof0uxfo06lb4ox,1,0,0,2022-08-07T09:32:10.698Z,2022-08-07T10:31:45Z,3690744839,130,12,3690744841,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3690790407,197,497,3690744845,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3690744837,59,"1, 3, 18, 5, 36, 2, 6, 20, 45, 14, 10, 11, 41, 25, 7, 8, 19, 22, 23, 33, 40, 47",3690744835,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3690744833,30,"cetavjue5femoxid9fmcd0zjd, 8fqnvz74z901a2h0kgk1zezje, amb2qvdnwu0meepj6yu65g72t, dse1rndtog4qn2mwv966vp6mt, dmrznrol8qp7yk53r6ajhnkt0, bspl2le99ugt2ug4tcqsvp1w5, a339o11ut8s1o9odm6ybc4pka, by85t8ssyumcjcks1jx3v96vo, 6ferzqtsot04cucvdh1cjex62, asn8og4yn5gj4it0qe6vulhat, a4dg6hmhim8bhpl5d7me85al1, 29s8wk0a2m66rebsfx1jfuuh, sk7z843dcqvmdf1tkoaoysr8, e6jkldz6za7ln3jqxaw50i2qy, 3a89nlkh1p3l3qi6o70uzp5ud, b77p0um20y057708bx6on4d4a, 8dez06qvnnwh13201ki10rtka, 2f3j5qchxzh11u4bi2mb8dslw, c3akpx5mnexpkslo0sqqezsru, 7gwm8sjtl2vyfeh6mio8ve9ec, 4jshezco0cyjgre23nm98fetx, bjf602cvxm1ln8ekwboesqbu2",3690744843,194,bspl2le99ugt2ug4tcqsvp1w5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443178605,1,34,16,0,0,xcevba75jfkrg4s6tl89zl3y,1,0,0,2022-08-07T09:33:11.176Z,2022-08-07T10:31:47Z,3690746001,59,"1, 27, 28, 18, 22, 20, 23, 8, 17, 14, 11, 32, 35, 3, 4, 5, 7, 10, 16, 24, 30, 33, 45",3690745997,30,"cf70r39m2wgbijtw0co5t6yfp, 8eribncmewk65x40tn7pvqymt, 3yq9brnhlfinrzrfbzcv99nmd, 96j7klvrblmkwsprx0wk81b10, abgzge9xy445z8rdwa2mcapqt, 969cpy2geokwer9gjapk7zj3e, 7b4jmfu1ejoeci2zmvwuejnys, 85rm5s7x9di62hw3l31y5w8o9, 3h7rkufywz6c2aye1l5b0ihp0, 5curv1gquatwkxsin86fghvkk, 1j33nixshgkkdwjjnuafknahh, g16sstb2lz1ru2hsba2ml6ju, cipmd3k2nfv0ddic0l8go14gl, 92mkw4rtoho0gkf3wr19c9iad, 62ft9dfhds3wn0dv650d4gkph, 78t5clx87mnpzn7c5ynoa37x1, 3y7w3ngh3kby9mehxe5q7glpl, 440ry78r7c0ntspgph192c0r9, 1chxk7d4i11x2f16igblexgyc, cglskkkycbja9rjybhui9hdrd, dphyw1e1tt610xaviusz662vo, ds0hd4ezvb5rw6l95rhbxtq1g, 7dj1tr37jtrr32cyw6r1dukus",3690746003,130,4,3690746005,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3690746007,194,abgzge9xy445z8rdwa2mcapqt,3690790397,197,2125,3690746009,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3690745999,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443191699,2,32,1,0,0,xcevba75jfkrg4s6tl89zl3y,1,0,0,2022-08-07T10:15:38.944Z,2022-08-07T10:15:43Z,3690796937,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443191691,2,32,1,0,0,2uuh2bir8ktof0uxfo06lb4ox,1,0,0,2022-08-07T10:15:38.944Z,2022-08-07T10:15:39Z,3690796911,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443191729,3,1,1,0,0,2uuh2bir8ktof0uxfo06lb4ox,1,49.9,50.1,2022-08-07T10:15:39.044Z,2022-08-07T10:15:44Z,3690797059,141,61.8,3690797063,213,2.8,3690797065,279,S,3690797057,140,30.8,3690797055,56,Back,3690797061,212,21.6,,,,,,,6ferzqtsot04cucvdh1cjex62,C. Landu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443191757,4,1,1,0,4,2uuh2bir8ktof0uxfo06lb4ox,0,30.8,65.5,2022-08-07T10:15:43.563Z,2022-08-07T10:15:47Z,3690797177,157,,3690797181,140,74.0,3690797185,212,49.7,3690797187,213,5.9,3690797183,141,35.5,3690797189,1,,3690797179,56,Center,,,,amb2qvdnwu0meepj6yu65g72t,J. Tutuarima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443192125,14,44,1,0,7,xcevba75jfkrg4s6tl89zl3y,1,28,66,2022-08-07T10:15:46.776Z,2022-08-07T10:16:35Z,3690798933,285,,3690798937,233,5,3690798931,56,Back,,,,,,,,,,,,,,,,969cpy2geokwer9gjapk7zj3e,R. Hillen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443191759,5,44,1,0,7,2uuh2bir8ktof0uxfo06lb4ox,0,72,34,2022-08-07T10:15:46.777Z,2022-08-07T10:16:35Z,3690797193,56,Center,3690798943,233,14,3690797195,286,,,,,,,,,,,,,,,,,asn8og4yn5gj4it0qe6vulhat,A. Vellios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443191763,3,1,1,0,8,xcevba75jfkrg4s6tl89zl3y,0,32.1,63.4,2022-08-07T10:15:47.571Z,2022-08-07T10:15:48Z,3690797213,140,41.9,3690797215,141,53.1,3690797217,212,12.4,3690797211,56,Back,3690797219,213,5.7,3690797209,3,,,,,,,,969cpy2geokwer9gjapk7zj3e,R. Hillen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443191773,6,1,1,0,9,2uuh2bir8ktof0uxfo06lb4ox,0,61.1,49.3,2022-08-07T10:15:48.410Z,2022-08-07T10:15:49Z,3690797273,56,Center,3690797275,140,74.5,3690797277,141,48.2,3690797281,213,6.2,3690797271,3,,3690797279,212,14.1,,,,,,,a339o11ut8s1o9odm6ybc4pka,T. van den Belt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
