id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,assist,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/12/value,qualifier/13/value,keyPass,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2519862585,1,34,16,0,0,59t7flioj4w4mpwnrwbm0m8ck,1,0,0,2023-03-13T18:11:00.785Z,2023-03-13T19:00:06Z,4096520607,197,490,4096436031,130,10,4096436037,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4096436025,30,"8jml2tgzk1am30cy4gkgx0wd1, bdb33nwcpd2jufn9ggtl7gvzd, d5g7rl9a83vu3cyyzvu5yveqy, 4mhahoh3a6rir882ug9hdb5nu, 5fcaaack3wbn6nfdx1qoqoafp, 9urh0cy0a8ni61fuxmiqosnis, cjff8fu812lennnunqljgddnu, 4nkd85hpwiiqtieuslhcrc2ga, rxblyjf8pcsdgdvy24zgnefp, 2an4s7uuqa9a6sl7vutznc7o5, 6nd0ifv6ljza9nauxcpejqzft, 4j9ug0ng9dhx6xwhdwx6fafx0, 41es2x265ddlzqjqa6wb9vey2, 5gunbyh0bjzutryox97ihxot1, 3xza88l7s8dlki9kleqwz2puy, emaf4mjxn2255qlcn1pcxn36x, f48jetdaq8dttcdo11mugaxnt, c066582sb3qfs7c0472rw371m, 1olyaqfnnl0sb4vsfxyi7j2z9, 8gkh6rsfo2tsrsiirv05bm1yi, cgsirikez39wlx8lhu1uo00yd, 7axjsuhjx027j0qw89zv6vw2c",4096436029,59,"1, 2, 3, 24, 15, 23, 26, 32, 20, 9, 10, 8, 14, 16, 18, 19, 27, 28, 31, 36, 39, 41",4096436033,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4096436035,194,5fcaaack3wbn6nfdx1qoqoafp,4096436027,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519872773,1,34,16,0,0,6lzy9iiqoysvtdsgx719fng9n,1,0,0,2023-03-13T18:41:21.076Z,2023-03-13T19:01:54Z,4096493293,194,f593mnttzie8gicqlig2zvzvu,4096493295,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4096493283,30,"3e8tsv4mzm75peokuw38d8jmy, 2zkaf848fjcdhuii8783pkm7e, 47l204bkq2qqjhtazusr0019m, 9pox9siobczxr9fv3fvvx3h1w, 3z9bdfblis9tl3e1uo7e72h62, bgydmtsi0ngn9k56apo29v0no, 9nix5y8xcj34ps62r34udtqwa, b8ixf31bdyfqqcwoy4ulai73e, 6w6ewzxircqxk6dsrs1rvc8ru, 2x44f29a52v8kpkkjsuiiywdm, f593mnttzie8gicqlig2zvzvu, 1x6fhuy49w4rpnyavwotbf504, alfx6xxo38q6hmydbcr0rw67e, 31v89l4k38v1wpisz7xhkq38, cxu054j55uj2s3p34rqfthch6, 3icc5dv989p7ay2mif3fixkwk, baghnvel8qsn5k9s79jiyldnu, cx6fxszjvjam6zb3c3p0dd1jo, a7vlgirln231n3dqjhb72o0es, 7d8a2cp7xza48arxctlpqrvh0",4096493285,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4096493291,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4096493289,130,4,4096493287,59,"1, 2, 5, 6, 3, 4, 10, 8, 9, 7, 11, 16, 19, 20, 18, 12, 21, 22, 17, 15",4096521063,197,2829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519878419,2,32,1,0,0,6lzy9iiqoysvtdsgx719fng9n,1,0,0,2023-03-13T19:02:23.871Z,2023-03-13T19:02:26Z,4096524735,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519878413,2,32,1,0,0,59t7flioj4w4mpwnrwbm0m8ck,1,0,0,2023-03-13T19:02:23.871Z,2023-03-13T19:02:24Z,4096524715,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519878453,3,1,1,0,0,59t7flioj4w4mpwnrwbm0m8ck,1,50,50,2023-03-13T19:02:24.425Z,2023-03-13T19:02:28Z,4096524877,141,39.2,4096524881,213,3.6,4096524879,212,16.3,4096524883,279,S,4096524875,140,36.1,4096524873,56,Back,,,,,,,rxblyjf8pcsdgdvy24zgnefp,E. Ómarsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519878471,4,1,1,0,4,59t7flioj4w4mpwnrwbm0m8ck,0,36.2,39.2,2023-03-13T19:02:27.883Z,2023-03-13T19:02:32Z,4096524967,141,86.3,4096524961,155,,4096524973,1,,4096524969,212,46.8,4096524965,140,68.7,4096524963,56,Left,4096524971,213,0.8,,,,9urh0cy0a8ni61fuxmiqosnis,R. Besselink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519878473,3,44,1,0,6,6lzy9iiqoysvtdsgx719fng9n,1,26.7,14.7,2023-03-13T19:02:30.091Z,2023-03-13T19:02:33Z,4096524995,233,5,4096524981,56,Back,4096524983,285,,,,,,,,,,,,,,,,,2zkaf848fjcdhuii8783pkm7e,Y. Regeer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519878475,5,44,1,0,6,59t7flioj4w4mpwnrwbm0m8ck,0,73.3,85.3,2023-03-13T19:02:30.092Z,2023-03-13T19:02:34Z,4096525105,233,3,4096524989,286,,4096524987,56,Left,,,,,,,,,,,,,,,,2an4s7uuqa9a6sl7vutznc7o5,J. van der Sande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519878477,4,1,1,0,6,6lzy9iiqoysvtdsgx719fng9n,0,24.5,22.8,2023-03-13T19:02:30.598Z,2023-03-13T19:02:32Z,4096525009,213,4.8,4096525007,212,16.3,4096524999,3,,4096525001,56,Back,4096525005,141,0.0,4096525003,140,25.3,,,,,,,2zkaf848fjcdhuii8783pkm7e,Y. Regeer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519878487,5,5,1,0,7,6lzy9iiqoysvtdsgx719fng9n,0,22.8,-1.4,2023-03-13T19:02:31.406Z,2023-03-13T19:02:34Z,4096525073,347,,4096525071,56,Back,4096525099,233,6,,,,,,,,,,,,,,,,2zkaf848fjcdhuii8783pkm7e,Y. Regeer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
