id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,assist,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,keyPass,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2498891563,1,34,16,0,0,1fttb31hnskynpku8qd09yhm8,1,0,0,2023-01-20T18:04:41.515Z,2023-01-27T13:43:54Z,3985928291,59,"1, 20, 23, 28, 4, 22, 39, 18, 9, 14, 7, 5, 6, 11, 17, 19, 25, 26, 35, 36, 38, 46, 40",3985928293,130,8,3985928295,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3986006625,197,2357,3985928287,30,"6q72mpmc478hlf4f7ths9ez56, dolfy51fw3jycb0cfhoecbo16, 124bbojic7k5medlvgvxmcm39, d1dq7upxtawnps3wljz6wf9jo, 6ylzm57bvpufg3cenadtv7qhh, 9jofs3271wn4cwlkj9hfay7vu, 14csdlb8p0tnj6zqrs148ct1w, a49001euf7xwpx5wodembjbo5, bs14utcyx2am6s46cuv52nf56, dmtsvsqvdoqqtmrset0uz0and, ebnm8xj9pggemio5qay9pcc0l, c46xp363o8m76eswzfmlsel4a, ab8p14hbfeph28j3ig36nzob9, bdtti3sckhcppilsisgu7well, 48sqqhgtmfmpqb3602iirspd6, 2c8alz6gmphvy6aqpgykva0yy, 4lnhhxtl72v8wlss3xgrrbr2t, 9vu68zcajmrqmkkchmpdrebu2, 88e3xx835uqx9x850y6u0dbai, 5b7rnpnnllz8qdc6fx2c5mzje, 9o41me3111mj3zl4lxqqhvod0, a59aos4xq3vklv2joqa09axre, evz953s9rvki1w9c3hsljss7p",3985928299,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3985928289,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3985928297,194,6ylzm57bvpufg3cenadtv7qhh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498892119,1,34,16,0,0,xcevba75jfkrg4s6tl89zl3y,1,0,0,2023-01-20T18:06:36.145Z,2023-01-20T19:00:38Z,3985930975,59,"1, 27, 28, 6, 22, 20, 14, 23, 35, 24, 11, 4, 5, 8, 9, 10, 12, 16, 18, 31, 44, 45, 48",3985930977,130,8,3985930973,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3985930981,194,abgzge9xy445z8rdwa2mcapqt,3985930979,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3986006673,197,2124,3985930971,30,"cf70r39m2wgbijtw0co5t6yfp, 8eribncmewk65x40tn7pvqymt, 3yq9brnhlfinrzrfbzcv99nmd, 7flz5rsy2e31gbd8udiqg14gl, abgzge9xy445z8rdwa2mcapqt, 969cpy2geokwer9gjapk7zj3e, 5curv1gquatwkxsin86fghvkk, 7b4jmfu1ejoeci2zmvwuejnys, cipmd3k2nfv0ddic0l8go14gl, cglskkkycbja9rjybhui9hdrd, 1j33nixshgkkdwjjnuafknahh, 62ft9dfhds3wn0dv650d4gkph, 78t5clx87mnpzn7c5ynoa37x1, 85rm5s7x9di62hw3l31y5w8o9, 11sxalz1nikiipmp7bxvz33rp, 440ry78r7c0ntspgph192c0r9, 7pk87s9s8if4p6iiu5we0j1g4, 1chxk7d4i11x2f16igblexgyc, 96j7klvrblmkwsprx0wk81b10, es1ohgwfiwq5f9mx2887zul90, 8jm8a7w3a5b5nzikcom7cvf2s, 7dj1tr37jtrr32cyw6r1dukus, deyery8n4pg5glgal4dsp9yzu",3985930983,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498906907,2,32,1,0,0,1fttb31hnskynpku8qd09yhm8,1,0,0,2023-01-20T19:02:31.228Z,2023-01-20T19:02:33Z,3986011639,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498906905,3,32,1,0,0,xcevba75jfkrg4s6tl89zl3y,1,0,0,2023-01-20T19:02:31.228Z,2023-01-20T19:02:31Z,3986011637,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498906929,4,1,1,0,0,xcevba75jfkrg4s6tl89zl3y,1,50,50,2023-01-20T19:02:31.328Z,2023-01-20T19:02:34Z,3986011779,279,S,3986011777,213,2.8,3986011773,141,60.5,3986011775,212,24.7,3986011769,56,Back,3986011771,140,27.5,,,,,,,cglskkkycbja9rjybhui9hdrd,M. Kaandorp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498906951,5,1,1,0,2,xcevba75jfkrg4s6tl89zl3y,0,27.5,60.5,2023-01-20T19:02:34.178Z,2023-01-20T19:02:36Z,3986011899,212,57.2,3986011897,141,0.0,3986011895,140,64.0,3986011893,56,Right,3986011889,155,,3986011901,213,5.4,3986011903,1,,3986011891,196,,969cpy2geokwer9gjapk7zj3e,R. Hillen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498907093,3,5,1,0,5,1fttb31hnskynpku8qd09yhm8,1,36.6,102,2023-01-20T19:02:36.437Z,2023-01-20T19:24:13Z,3986012657,233,6,3986012645,56,Back,3986012647,347,,,,,,,,,,,,,,,,,bs14utcyx2am6s46cuv52nf56,J. Hilterman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498906957,6,5,1,0,5,xcevba75jfkrg4s6tl89zl3y,0,63.4,-2,2023-01-20T19:02:36.437Z,2023-01-20T19:02:49Z,3986012691,233,3,3986011925,347,,3986011923,56,Right,,,,,,,,,,,,,,,,969cpy2geokwer9gjapk7zj3e,R. Hillen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498907113,4,1,1,0,17,1fttb31hnskynpku8qd09yhm8,1,38,100,2023-01-20T19:02:48.435Z,2023-01-20T19:02:50Z,3986012773,141,95.0,3986012775,212,10.7,3986012771,140,47.2,3986012769,56,Back,3986012777,213,5.8,3986012767,107,,,,,,,,124bbojic7k5medlvgvxmcm39,Manel Royo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498907117,5,1,1,0,19,1fttb31hnskynpku8qd09yhm8,0,47.2,95,2023-01-20T19:02:50.307Z,2023-01-20T19:02:53Z,3986012791,168,,3986012801,213,5.8,3986012797,141,83.2,3986012789,3,,3986012795,140,60.2,3986012793,56,Left,3986012799,212,15.8,,,,bs14utcyx2am6s46cuv52nf56,J. Hilterman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
