id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,assist,qualifier/9/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/12/value,qualifier/13/value,qualifier/16/value
2460577115,1,34,16,0,0,xcevba75jfkrg4s6tl89zl3y,1,0,0,2022-09-16T17:13:23.216Z,2022-09-19T14:08:36Z,3783338919,59,"1, 22, 28, 18, 3, 4, 33, 23, 35, 10, 11, 5, 6, 7, 8, 9, 16, 17, 21, 27, 32, 44, 45",3783338921,130,8,3783338923,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3783338915,30,"cf70r39m2wgbijtw0co5t6yfp, abgzge9xy445z8rdwa2mcapqt, 3yq9brnhlfinrzrfbzcv99nmd, 96j7klvrblmkwsprx0wk81b10, 92mkw4rtoho0gkf3wr19c9iad, 62ft9dfhds3wn0dv650d4gkph, ds0hd4ezvb5rw6l95rhbxtq1g, 7b4jmfu1ejoeci2zmvwuejnys, cipmd3k2nfv0ddic0l8go14gl, 440ry78r7c0ntspgph192c0r9, 1j33nixshgkkdwjjnuafknahh, 78t5clx87mnpzn7c5ynoa37x1, 7flz5rsy2e31gbd8udiqg14gl, 3y7w3ngh3kby9mehxe5q7glpl, 85rm5s7x9di62hw3l31y5w8o9, 11sxalz1nikiipmp7bxvz33rp, 1chxk7d4i11x2f16igblexgyc, 3h7rkufywz6c2aye1l5b0ihp0, 1n0syrrxf9x7neh3tn19sc89h, 8eribncmewk65x40tn7pvqymt, g16sstb2lz1ru2hsba2ml6ju, 8jm8a7w3a5b5nzikcom7cvf2s, 7dj1tr37jtrr32cyw6r1dukus",3783338929,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3783338917,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3783482323,197,2124,3783338925,194,440ry78r7c0ntspgph192c0r9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460579323,1,34,16,0,0,1fttb31hnskynpku8qd09yhm8,1,0,0,2022-09-16T17:17:07.798Z,2022-09-16T18:09:04Z,3783350367,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3783350361,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3783350363,59,"1, 46, 22, 18, 3, 4, 14, 28, 10, 9, 5, 6, 7, 11, 19, 21, 23, 26, 32, 34, 36, 38, 40",3783350359,30,"6q72mpmc478hlf4f7ths9ez56, a59aos4xq3vklv2joqa09axre, 9jofs3271wn4cwlkj9hfay7vu, a49001euf7xwpx5wodembjbo5, cx3fqj7odbuc6i0kppcie4jmy, 6ylzm57bvpufg3cenadtv7qhh, dmtsvsqvdoqqtmrset0uz0and, d1dq7upxtawnps3wljz6wf9jo, ccmmsnrfn58gwi1petlp08f3e, bs14utcyx2am6s46cuv52nf56, c46xp363o8m76eswzfmlsel4a, ab8p14hbfeph28j3ig36nzob9, ebnm8xj9pggemio5qay9pcc0l, bdtti3sckhcppilsisgu7well, 2c8alz6gmphvy6aqpgykva0yy, f1as17wqpj44gihtvw936lofd, 124bbojic7k5medlvgvxmcm39, 9vu68zcajmrqmkkchmpdrebu2, bd4rr8l425ard803x39ju1ppm, 4qcx1ql4jxov8vncghnqud5d6, 5b7rnpnnllz8qdc6fx2c5mzje, 9o41me3111mj3zl4lxqqhvod0, evz953s9rvki1w9c3hsljss7p",3783350369,194,6ylzm57bvpufg3cenadtv7qhh,3783455613,197,16350,3783350365,130,2,3783350371,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460600929,2,32,1,0,0,1fttb31hnskynpku8qd09yhm8,1,0,0,2022-09-16T18:04:05.074Z,2022-09-16T18:04:05Z,3783466017,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460600947,2,32,1,0,0,xcevba75jfkrg4s6tl89zl3y,1,0,0,2022-09-16T18:04:05.074Z,2022-09-16T18:04:08Z,3783466077,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460600963,3,1,1,0,0,xcevba75jfkrg4s6tl89zl3y,1,50,50,2022-09-16T18:04:05.174Z,2022-09-16T18:04:40Z,3783466169,141,33.8,3783466173,213,3.6,3783466165,56,Back,3783466171,212,23.9,3783466167,140,29.8,3783466175,279,S,,,,,,,440ry78r7c0ntspgph192c0r9,S. de Jong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460601147,4,1,1,0,4,xcevba75jfkrg4s6tl89zl3y,0,30.1,34.3,2022-09-16T18:04:09.212Z,2022-09-16T18:04:36Z,3783467029,213,0.4,3783467025,141,69.2,3783467031,1,,3783467027,212,55.6,3783467021,56,Center,3783467019,155,,3783467023,140,78.0,,,,92mkw4rtoho0gkf3wr19c9iad,J. Lammers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460601159,5,44,1,0,8,xcevba75jfkrg4s6tl89zl3y,1,76.3,69.4,2022-09-16T18:04:13.091Z,2022-09-16T18:04:21Z,3783467719,233,3,3783467057,56,Center,3783467063,286,,,,,,,,,,,,,,,,,cipmd3k2nfv0ddic0l8go14gl,C. Benschop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460601253,3,44,1,0,8,1fttb31hnskynpku8qd09yhm8,0,23.7,30.6,2022-09-16T18:04:13.092Z,2022-09-16T18:04:22Z,3783467815,233,5,3783467559,285,,3783467557,56,Back,,,,,,,,,,,,,,,,cx3fqj7odbuc6i0kppcie4jmy,J. Jacobs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460601359,7,1,1,0,9,xcevba75jfkrg4s6tl89zl3y,0,77.4,67.2,2022-09-16T18:04:14.687Z,2022-09-16T18:04:30Z,3783468219,213,0.6,3783468207,3,,3783468215,141,91.7,3783468211,56,Left,3783468217,212,30.4,3783468209,168,,3783468213,140,100.0,,,,cipmd3k2nfv0ddic0l8go14gl,C. Benschop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460601283,4,5,1,0,14,1fttb31hnskynpku8qd09yhm8,1,-0.9,24.4,2022-09-16T18:04:19.132Z,2022-09-16T18:35:32Z,3783467773,233,6,3783467713,346,,3783467711,56,Back,,,,,,,,,,,,,,,,cx3fqj7odbuc6i0kppcie4jmy,J. Jacobs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460601223,6,5,1,0,14,xcevba75jfkrg4s6tl89zl3y,0,100.9,75.6,2022-09-16T18:04:19.132Z,2022-09-16T18:04:22Z,3783467417,346,,3783467823,233,4,3783467415,56,Center,,,,,,,,,,,,,,,,cipmd3k2nfv0ddic0l8go14gl,C. Benschop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460601425,5,1,1,0,18,1fttb31hnskynpku8qd09yhm8,1,4,49.9,2022-09-16T18:04:23.125Z,2022-09-16T18:09:34Z,3783468587,213,1.2,3783468581,140,14.8,3783468579,56,Back,3783468583,141,87.4,3783468577,124,,3783468591,237,,3783468585,212,27.9,,,,6q72mpmc478hlf4f7ths9ez56,N. Bakker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
