id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/9/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/11/value,assist,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/16/value
2485838953,1,34,16,0,0,6lzy9iiqoysvtdsgx719fng9n,1,0,0,2022-11-14T18:28:22.602Z,2022-11-14T19:03:41Z,3917009701,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3917042485,197,2828,3917009699,194,b8ixf31bdyfqqcwoy4ulai73e,3917009691,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3917009687,30,"68hoounwudpjrr2wmovkyvswk, 1x6fhuy49w4rpnyavwotbf504, 4gso82x236c4xe0eovfr50sfd, 9pox9siobczxr9fv3fvvx3h1w, a7vlgirln231n3dqjhb72o0es, 3z9bdfblis9tl3e1uo7e72h62, b8ixf31bdyfqqcwoy4ulai73e, 2zkaf848fjcdhuii8783pkm7e, 80i3boeh7f1ghu4ka7r66izje, alfx6xxo38q6hmydbcr0rw67e, 9nix5y8xcj34ps62r34udtqwa, 6m0pdqqontm1tfxayxku0kv3e, dlgqk5qe96gaxeq8vu4dozyms, 31v89l4k38v1wpisz7xhkq38, 5hkkwzs8wgjj94vfe922nvthw, 13k94iyejsdn4e51jx32rb23u, baghnvel8qsn5k9s79jiyldnu, ed0pwegj0n6iwb6oa52obcsgk, bgydmtsi0ngn9k56apo29v0no, cz1z8lwylayy1u7ixprtnubu2",3917009695,130,4,3917009693,59,"1, 2, 5, 6, 3, 4, 8, 10, 9, 7, 11, 17, 16, 18, 15, 20, 19, 12, 22, 21",3917009697,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485840205,1,34,16,0,0,eh54mfvjtrttgsg1wbjnvxcqz,1,0,0,2022-11-14T18:33:16.720Z,2022-11-14T19:00:28Z,3917015615,59,"1, 18, 14, 7, 15, 24, 11, 8, 9, 22, 10, 2, 4, 6, 19, 20, 21, 23, 28, 31, 42",3917015609,30,"4jvk1ex8dsjj498vqzqhfmqxh, 36d4zodjdvtc8w1q4p940cx2i, 7eq1j570gbj6tzw9d1btzwnis, 8mq0q8ebkt20p1pm35z3qma22, abgkpku77iidahswqpvce5gtm, 8zj8e6ovo1bt0d67klra3yh3o, 74x54r0698ug6gzk9jwd86pxx, 46wxtiry28k7j3y6gacgf7x4a, 5362zl678ibx1md2kk6t4r47o, 4lf5375rzyy400rabvwgbcbmx, 7afaygi7b8fmxr885zaezaay1, 7wa5hbk41axn5lybd2b7v2978, a2ws6j60xd12ng844vlhgq2cq, alzxtazwzkp6cy4igin4ht2vp, 97i465n07uip7fnpw82v554b8, aynwkpiteltfei3x5txm84opg, balcshp8sostjtslygqqixu5l, 4jx9sjbj9s8q2qeknsqhyozqh, bbhhmcny4xidhz7i8gr74v0us, a8nrm0flhc6mak2kvjksdlzx0, 8g5ms6uacdkgfcbxt4crlr4ve",3917015625,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3917015623,194,4jvk1ex8dsjj498vqzqhfmqxh,3917015621,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3917015611,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3917015619,130,8,3917042737,197,16838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485845441,2,32,1,0,0,eh54mfvjtrttgsg1wbjnvxcqz,1,0,0,2022-11-14T19:01:41.161Z,2022-11-14T19:01:41Z,3917044425,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485845449,2,32,1,0,0,6lzy9iiqoysvtdsgx719fng9n,1,0,0,2022-11-14T19:01:41.161Z,2022-11-14T19:01:42Z,3917044473,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485845455,3,1,1,0,0,eh54mfvjtrttgsg1wbjnvxcqz,1,49.8,49.9,2022-11-14T19:01:41.261Z,2022-11-14T19:01:44Z,3917044523,141,65.1,3917044525,212,25.4,3917044527,213,2.7,3917044529,279,S,3917044521,140,27.7,3917044519,56,Back,,,,,,,5362zl678ibx1md2kk6t4r47o,N. Möller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485845463,4,1,1,0,3,eh54mfvjtrttgsg1wbjnvxcqz,0,27.7,65.1,2022-11-14T19:01:44.870Z,2022-11-14T19:55:52Z,3917044577,212,40.8,3917044575,141,90.8,3917044573,140,62.8,3917044569,157,,3917044581,1,,3917044571,56,Left,3917044579,213,0.4,,,,abgkpku77iidahswqpvce5gtm,T. van Grunsven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485845471,3,1,1,0,8,6lzy9iiqoysvtdsgx719fng9n,0,36.7,8.7,2022-11-14T19:01:49.644Z,2022-11-14T19:04:50Z,3917044635,213,0.1,3917044633,212,23.5,3917044629,140,59.0,3917044625,3,,3917044627,56,Right,3917044631,141,11.0,,,,,,,alfx6xxo38q6hmydbcr0rw67e,S. Hansen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485845507,5,1,1,0,11,eh54mfvjtrttgsg1wbjnvxcqz,0,43,90.6,2022-11-14T19:01:52.534Z,2022-11-14T19:02:03Z,3917044819,1,,3917044809,56,Center,3917044811,140,81.6,3917044815,212,47.2,3917044813,141,54.9,3917044807,157,,3917044817,213,5.7,,,,8zj8e6ovo1bt0d67klra3yh3o,S. Maas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485845537,4,1,1,0,18,6lzy9iiqoysvtdsgx719fng9n,0,17.8,38.8,2022-11-14T19:01:59.595Z,2022-11-14T19:49:37Z,3917044961,141,33.8,3917044957,56,Back,3917044955,157,,3917044965,213,6.0,3917044963,212,14.3,3917044967,1,,3917044959,140,31.0,,,,a7vlgirln231n3dqjhb72o0es,O. Aertssen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485845543,6,61,1,0,22,eh54mfvjtrttgsg1wbjnvxcqz,1,72.9,69.3,2022-11-14T19:02:04.133Z,2022-11-14T19:02:04Z,3917044987,56,Center,,,,,,,,,,,,,,,,,,,,,,4lf5375rzyy400rabvwgbcbmx,F. Hammouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485845575,7,1,1,0,26,eh54mfvjtrttgsg1wbjnvxcqz,1,62.8,73.5,2022-11-14T19:02:07.445Z,2022-11-14T19:02:10Z,3917045155,56,Back,3917045157,140,48.0,3917045161,212,15.7,3917045159,141,76.8,3917045163,213,3.0,,,,,,,,,,46wxtiry28k7j3y6gacgf7x4a,S. van der Heijden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485845595,8,1,1,0,29,eh54mfvjtrttgsg1wbjnvxcqz,1,48,76.8,2022-11-14T19:02:10.422Z,2022-11-14T19:02:14Z,3917045287,141,53.6,3917045291,213,4.0,3917045285,140,34.8,3917045283,56,Back,3917045289,212,21.0,,,,,,,,,,8zj8e6ovo1bt0d67klra3yh3o,S. Maas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
