id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/8/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/12/value,assist,qualifier/14/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId
2451057759,1,34,16,0,0,dvmw7d6jb38qvv7e6ziwu0vyr,1,0,0,2022-08-26T17:15:26.902Z,2022-08-26T19:19:08Z,3732610845,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3732610833,30,"3oduk9niyqml47z7wramkxhw5, 7hsyytjjg6zw5knvav9xybbh1, bnkzwpd607re6s01oa77wcodm, ak5exy1iztbo0mqloqdwiag6i, 9e70uun80bdi4hedu45mo5vxl, eu901b75l2ly5p48jdw6kwmad, 3j368501ogr8mt2jdb7mby8h6, e0mrzdikm67yw88563zgovb6y, ar47jfq139xyic4pvdhefduga, d4z4gdds9hajylsy2hh5b78q, dej8tywq0npvbm25sfgtqur1m, 2v12tmspdosmwic2h6itfz0x6, b0yxbu9af1b0jc1odpwzvd7je, 47wgrchutkdy62665jc79dy0a, 6mn57wdtnexqlumwsg8qyil90, 8o2hk1hy097osczjijmq4bsh5, 5f8ajd8cgyvmmdzr0lzi1gtii, 1r67co8q0ktlqe5209xm6sxec, bitv8dp51g02iyf6o3elxnoix, byfk0abaxu0ha7w01vpmreb1m, coxuin3vr6nkynlvcsvzphjl6, 3v2grfhuisr456ibcvqjfx4yy",3732610841,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3732708267,197,2671,3732610837,59,"1, 33, 7, 5, 4, 3, 8, 17, 10, 2, 20, 12, 14, 21, 19, 23, 22, 27, 28, 31, 32, 45",3732610843,194,eu901b75l2ly5p48jdw6kwmad,3732610835,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3732610839,130,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451060099,1,34,16,0,0,1wyg1tunyt7go9tnjea1hjqxb,1,0,0,2022-08-26T17:20:48.068Z,2022-08-26T17:59:39Z,3732623379,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3732623383,130,4,3732623377,30,"7wrulbqqdeecd5vegsbb1905w, 30uqa3kfm23ickjssfhmwgdm1, b4vrfh7z9qt9e5gdpkajrqolw, cs49ec8y6cubrlo5nmu3j3jtg, 9lixevzo8exxiia17altfw8ic, 6zzcoo9k4ebqtlux49rbb5fro, 9v7zwguzazofzafwg3qevdo4q, d29ahwtvs7ls75wdtkf7xr8tm, 8o2iv0qhfft5pgzm75ckuo0es, 19wuvqpmewphgvsfzi4yjl756, a3pwwwba6td400zwqjpbf6pnu, cdlnfuy9piyga0wud4nrucvtg, 7s2zxbtepa7dgr8yl0s48afpw, 4oyjji4wqmuu3uia6htj0q1hw, 685wka5xc8na423mirotcu238, 7ug3a0z74dj7qlq4jbtn1kutw, wuh8s4gfo9ro3nel3rormg44, cwu5itv65s8p6zsalk3np4ic, b1h2eiqxic31ioxbs1zjd709g, 4nchc9z4464uhu3vveo0p73f8",3732708157,197,8653,3732623385,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3732623387,194,19wuvqpmewphgvsfzi4yjl756,3732623381,59,"1, 2, 5, 6, 3, 4, 10, 8, 9, 7, 11, 19, 14, 20, 17, 16, 21, 18, 12, 15",3732623389,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451077503,2,32,1,0,0,1wyg1tunyt7go9tnjea1hjqxb,1,0,0,2022-08-26T18:01:57.431Z,2022-08-26T18:01:57Z,3732714841,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451077509,2,32,1,0,0,dvmw7d6jb38qvv7e6ziwu0vyr,1,0,0,2022-08-26T18:01:57.431Z,2022-08-26T18:02:00Z,3732714853,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451077521,3,1,1,0,0,dvmw7d6jb38qvv7e6ziwu0vyr,1,50,49.9,2022-08-26T18:01:57.531Z,2022-08-26T18:33:06Z,3732714909,279,S,3732714901,140,36.9,3732714907,213,2.5,3732714899,56,Back,3732714905,212,17.6,3732714903,141,66.0,,,,,,,ar47jfq139xyic4pvdhefduga,N. Bannis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451077575,4,1,1,0,4,dvmw7d6jb38qvv7e6ziwu0vyr,1,33.2,62.5,2022-08-26T18:02:01.490Z,2022-08-26T18:18:55Z,3732715247,56,Back,3732715253,212,24.3,3732715249,140,45.1,3732715255,213,1.0,3732715251,141,93.1,,,,,,,,,,e0mrzdikm67yw88563zgovb6y,B. De Keersmaecker,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451077611,5,1,1,0,6,dvmw7d6jb38qvv7e6ziwu0vyr,1,42.5,95.7,2022-08-26T18:02:04.083Z,2022-08-26T18:18:57Z,3732715433,140,19.5,3732715435,141,87.6,3732715437,212,24.8,3732715439,213,3.4,3732715431,56,Back,,,,,,,,,,bnkzwpd607re6s01oa77wcodm,J. Dahlhaus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451077679,6,1,1,0,9,dvmw7d6jb38qvv7e6ziwu0vyr,1,16.9,84.7,2022-08-26T18:02:06.850Z,2022-08-26T18:59:00Z,3732715797,140,13.9,3732715795,56,Back,3732715805,1,,3732715799,141,37.4,3732715801,212,32.3,3732715803,213,4.6,,,,,,,ak5exy1iztbo0mqloqdwiag6i,P. Bogaers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451077717,7,1,1,0,15,dvmw7d6jb38qvv7e6ziwu0vyr,1,14.5,32,2022-08-26T18:02:12.963Z,2022-08-26T18:19:17Z,3732715987,56,Back,3732715995,213,2.4,3732715989,140,4.7,3732715991,141,46.8,3732715993,212,14.4,,,,,,,,,,9e70uun80bdi4hedu45mo5vxl,M. Peijnenburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451077739,8,1,1,0,17,dvmw7d6jb38qvv7e6ziwu0vyr,0,5.2,46.8,2022-08-26T18:02:14.659Z,2022-08-26T18:02:15Z,3732716093,141,24.5,3732716089,56,Back,3732716091,140,48.3,3732716099,1,,3732716085,157,,3732716095,212,47.7,3732716097,213,6.0,,,,3oduk9niyqml47z7wramkxhw5,N. Bertrams,,,,,,,,,,,,,,,,,,,,,,,,,,,,
