id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,keyPass,qualifier/11/value,qualifier/13/value,assist,qualifier/16/value
2540193819,1,34,16,0,0,2uuh2bir8ktof0uxfo06lb4ox,1,0,0,2023-04-28T17:10:32.344Z,2023-04-28T18:16:01Z,4232190669,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4232190677,194,bspl2le99ugt2ug4tcqsvp1w5,4232190671,59,"1, 8, 5, 15, 36, 2, 6, 30, 9, 20, 4, 16, 3, 7, 14, 17, 19, 22, 24, 31, 33, 40, 47",4232190675,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4232324627,197,497,4232190673,130,13,4232190679,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4232190667,30,"cetavjue5femoxid9fmcd0zjd, b77p0um20y057708bx6on4d4a, dse1rndtog4qn2mwv966vp6mt, idvh0ac1f8wv39640pyl4esp, dmrznrol8qp7yk53r6ajhnkt0, bspl2le99ugt2ug4tcqsvp1w5, a339o11ut8s1o9odm6ybc4pka, 1rd0zzpp3dn0y7qtxwc57g7h1, 2esbyi3i7rtsdkxe6a917rsnp, by85t8ssyumcjcks1jx3v96vo, eds7hz8z52qf06c3oug7nivv9, 9ktfzp9jbzxod3116b4xql6ju, 8fqnvz74z901a2h0kgk1zezje, 3a89nlkh1p3l3qi6o70uzp5ud, asn8og4yn5gj4it0qe6vulhat, cnqxbvy77blk2ulx06t65it49, 8dez06qvnnwh13201ki10rtka, 2f3j5qchxzh11u4bi2mb8dslw, 73wkaux439sdodxdjhn1152sq, ebr52ne9bo6xyh2vhr6nhfhbe, 7gwm8sjtl2vyfeh6mio8ve9ec, 4jshezco0cyjgre23nm98fetx, bjf602cvxm1ln8ekwboesqbu2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540197261,1,34,16,0,0,z9phg19papi9f5fd6qxzr836,1,0,0,2023-04-28T17:15:43.798Z,2023-04-28T17:59:24Z,4232324035,197,14419,4232209553,59,"1, 16, 14, 15, 24, 6, 17, 10, 9, 20, 8, 26, 25, 4, 7, 19, 21, 31",4232209549,30,"7j7stqaomy8pnmzangrsyfahh, 7e78647fbcn7noga5qlz46xux, 31u2tk3aha04kwphoucf4ze5m, ab8p14hbfeph28j3ig36nzob9, 2ppvf1ywd1mxum1lgnn2pubdg, 4d9yng69t6qbzfukdhcp0j1ii, 6smqledi9xrrhifu9yi87kf6x, 6gzpefxqcz2v4z95bnecilfpx, 70qjuubp69zw3d3p0hvunmi8l, 1tmihr54maqj0h7785cg9ez56, dsgea9ruo8blm2ppu19y1vod0, 20ib1q65ul2h570xl6jpcx1jo, 1ufzkfjcl53jun67ctdkxv3tg, di46dv5smxql2bg7cw4a06wkq, 7kntrrc80dcadt8umvqf6qfe2, 7plnzzirl3q10vucy37p7b6ui, 8zsx2ykxkcusmsvbj8bsjk445, 1evsz02au0pu4a1tmzn5s27hm",4232209565,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4232209563,194,1tmihr54maqj0h7785cg9ez56,4232209551,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4232209557,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4232209555,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540220299,2,32,1,0,0,2uuh2bir8ktof0uxfo06lb4ox,1,0,0,2023-04-28T18:01:33.638Z,2023-04-28T18:01:36Z,4232329107,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540220291,2,32,1,0,0,z9phg19papi9f5fd6qxzr836,1,0,0,2023-04-28T18:01:33.638Z,2023-04-28T18:01:33Z,4232329071,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540220333,3,1,1,0,0,z9phg19papi9f5fd6qxzr836,1,50,50,2023-04-28T18:01:33.738Z,2023-04-28T18:01:37Z,4232329259,56,Back,4232329267,213,2.9,4232329261,140,32.3,4232329265,212,19.2,4232329269,279,S,4232329263,141,57.2,,,,,,,6gzpefxqcz2v4z95bnecilfpx,J. Schuurman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540220397,4,1,1,0,3,z9phg19papi9f5fd6qxzr836,0,32.7,58.4,2023-04-28T18:01:37.282Z,2023-04-28T18:01:42Z,4232329461,213,0.4,4232329453,56,Left,4232329459,212,48.7,4232329455,140,75.7,4232329451,155,,4232329457,141,85.1,4232329463,1,,,,,2ppvf1ywd1mxum1lgnn2pubdg,B. Smolarczyk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540220401,3,44,1,0,7,2uuh2bir8ktof0uxfo06lb4ox,1,27.1,17.8,2023-04-28T18:01:40.857Z,2023-04-28T18:01:42Z,4232329515,233,5,4232329471,56,Back,4232329473,285,,,,,,,,,,,,,,,,,bspl2le99ugt2ug4tcqsvp1w5,B. van Polen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540220405,5,44,1,0,7,z9phg19papi9f5fd6qxzr836,0,72.9,82.2,2023-04-28T18:01:40.858Z,2023-04-28T18:01:42Z,4232329477,286,,4232329531,233,3,4232329475,56,Left,,,,,,,,,,,,,,,,70qjuubp69zw3d3p0hvunmi8l,S. Longo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540220411,4,1,1,0,7,2uuh2bir8ktof0uxfo06lb4ox,0,29.9,20.6,2023-04-28T18:01:40.966Z,2023-04-28T18:01:41Z,4232329501,141,21.5,4232329505,213,0.1,4232329499,140,34.8,4232329497,56,Back,4232329495,3,,4232329503,212,5.2,,,,,,,bspl2le99ugt2ug4tcqsvp1w5,B. van Polen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540220433,6,1,1,0,9,z9phg19papi9f5fd6qxzr836,1,69.9,84.6,2023-04-28T18:01:42.673Z,2023-04-28T18:01:44Z,4232329593,212,13.1,4232329589,140,80.9,4232329587,56,Left,4232329595,213,0.5,4232329591,141,93.8,,,,,,,,,,dsgea9ruo8blm2ppu19y1vod0,B. Reemst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
