id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,keyPass,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/12/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/17/value,assist
2475705779,1,34,16,0,0,z9phg19papi9f5fd6qxzr836,1,0,0,2022-10-22T17:16:22.252Z,2022-10-22T20:30:44Z,3863877129,197,1696,3863666811,130,13,3863666807,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",3863666815,194,8zsx2ykxkcusmsvbj8bsjk445,3863666809,59,"1, 12, 28, 14, 21, 25, 10, 20, 9, 8, 7, 3, 4, 5, 6, 18, 19, 24, 31",3863666805,30,"7j7stqaomy8pnmzangrsyfahh, c3dzl73x1uypbb71x5dwf98iy, cjuzhcgsj4mwwr4evn823hivp, 31u2tk3aha04kwphoucf4ze5m, 8zsx2ykxkcusmsvbj8bsjk445, 27lnkbiy8l5008e6792mp4qy2, 6gzpefxqcz2v4z95bnecilfpx, 1tmihr54maqj0h7785cg9ez56, 70qjuubp69zw3d3p0hvunmi8l, dsgea9ruo8blm2ppu19y1vod0, 7kntrrc80dcadt8umvqf6qfe2, f5pgdha5h37xytbk1zq8q710, di46dv5smxql2bg7cw4a06wkq, 9pqchkq64o53knk75ruq5g3x1, 4d9yng69t6qbzfukdhcp0j1ii, 1id5av4i7p6tmhf1vuigvlmvo, 7plnzzirl3q10vucy37p7b6ui, 2ppvf1ywd1mxum1lgnn2pubdg, 1evsz02au0pu4a1tmzn5s27hm",3863666817,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3863666813,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475706607,1,34,16,0,0,59t7flioj4w4mpwnrwbm0m8ck,1,0,0,2022-10-22T17:17:13.185Z,2022-10-22T18:09:07Z,3863671493,130,11,3863671487,30,"8jml2tgzk1am30cy4gkgx0wd1, bdb33nwcpd2jufn9ggtl7gvzd, 7oo6h3pq8wv5rgp1dkaolrhg4, d5g7rl9a83vu3cyyzvu5yveqy, 4mhahoh3a6rir882ug9hdb5nu, 9urh0cy0a8ni61fuxmiqosnis, 4j9ug0ng9dhx6xwhdwx6fafx0, 5gunbyh0bjzutryox97ihxot1, 2an4s7uuqa9a6sl7vutznc7o5, 89plvrt8pzppcclh4axvii0ru, 6nd0ifv6ljza9nauxcpejqzft, 36u3tovqdi3885wk3139wczfu, 41es2x265ddlzqjqa6wb9vey2, 5v3sd56kh9pmvzk6wczhs9o4q, emaf4mjxn2255qlcn1pcxn36x, cg6es3riwivh8kbgtmi72q0ut, ea51n4frv2z8lr3snexhv2ay, f48jetdaq8dttcdo11mugaxnt, f07j2ge60cbdp3bcys4cx18iy, 8gkh6rsfo2tsrsiirv05bm1yi",3863880793,197,491,3863671497,194,89plvrt8pzppcclh4axvii0ru,3863671495,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3863671499,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3863671489,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3863671491,59,"1, 2, 25, 3, 24, 23, 8, 16, 9, 6, 10, 12, 14, 17, 19, 22, 26, 27, 29, 36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475745649,2,32,1,0,0,59t7flioj4w4mpwnrwbm0m8ck,1,0,0,2022-10-22T18:01:11.210Z,2022-10-22T18:01:12Z,3863882769,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475745639,2,32,1,0,0,z9phg19papi9f5fd6qxzr836,1,0,0,2022-10-22T18:01:11.210Z,2022-10-22T18:01:11Z,3863882739,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475745721,3,1,1,0,0,z9phg19papi9f5fd6qxzr836,1,50,50,2022-10-22T18:01:11.310Z,2022-10-22T18:01:17Z,3863883047,279,S,3863883037,56,Back,3863883043,212,26.1,3863883041,141,35.2,3863883045,213,3.5,3863883039,140,27.1,,,,,,,1tmihr54maqj0h7785cg9ez56,M. Suray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475745757,4,1,1,0,5,z9phg19papi9f5fd6qxzr836,0,27.5,35.4,2022-10-22T18:01:17.121Z,2022-10-22T18:01:21Z,3863883237,140,75.1,3863883233,155,,3863883243,213,0.3,3863883241,212,53.1,3863883239,141,61.8,3863883245,1,,3863883235,56,Center,,,,8zsx2ykxkcusmsvbj8bsjk445,T. van Huizen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475745763,3,1,1,0,8,59t7flioj4w4mpwnrwbm0m8ck,1,27.3,23.4,2022-10-22T18:01:19.933Z,2022-10-22T18:01:21Z,3863883273,213,0.9,3863883269,141,35.8,3863883265,56,Back,3863883267,140,33.9,3863883263,3,,3863883271,212,10.9,,,,,,,d5g7rl9a83vu3cyyzvu5yveqy,A. MacNulty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475745771,4,1,1,0,10,59t7flioj4w4mpwnrwbm0m8ck,0,33.9,35.8,2022-10-22T18:01:21.787Z,2022-10-22T18:01:22Z,3863883329,1,,3863883325,212,22.2,3863883319,56,Back,3863883321,140,43.1,3863883323,141,65.2,3863883327,213,1.1,3863883317,157,,,,,89plvrt8pzppcclh4axvii0ru,A. Plat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475745815,5,49,1,0,15,59t7flioj4w4mpwnrwbm0m8ck,1,20.5,87.5,2022-10-22T18:01:26.442Z,2022-10-22T18:01:26Z,,,,,,,,,,,,,,,,,,,,,,,,,d5g7rl9a83vu3cyyzvu5yveqy,A. MacNulty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475745819,5,3,1,0,15,z9phg19papi9f5fd6qxzr836,0,67.9,17.9,2022-10-22T18:01:26.478Z,2022-10-22T18:01:27Z,3863883609,286,,3863883625,211,,3863883607,56,Right,,,,,,,,,,,,,,,,c3dzl73x1uypbb71x5dwf98iy,V. Schippers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
