id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/8/value,keyPass,qualifier/9/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,assist
2486534165,1,34,16,0,0,dvmw7d6jb38qvv7e6ziwu0vyr,1,0,0,2022-11-18T16:56:58.962Z,2022-11-18T17:44:00Z,3920579399,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3920579395,59,"1, 99, 7, 28, 3, 33, 8, 17, 9, 22, 14, 2, 5, 12, 21, 19, 23, 27, 31, 32",3920579401,194,eu901b75l2ly5p48jdw6kwmad,3920579391,30,"3oduk9niyqml47z7wramkxhw5, 97p6b1r72br3soq4k7fpjnrl6, bnkzwpd607re6s01oa77wcodm, bitv8dp51g02iyf6o3elxnoix, eu901b75l2ly5p48jdw6kwmad, 7hsyytjjg6zw5knvav9xybbh1, 3j368501ogr8mt2jdb7mby8h6, e0mrzdikm67yw88563zgovb6y, db32f79l8p19q2g45g885t7xm, 5f8ajd8cgyvmmdzr0lzi1gtii, b0yxbu9af1b0jc1odpwzvd7je, d4z4gdds9hajylsy2hh5b78q, ak5exy1iztbo0mqloqdwiag6i, 2v12tmspdosmwic2h6itfz0x6, 47wgrchutkdy62665jc79dy0a, 6mn57wdtnexqlumwsg8qyil90, 8o2hk1hy097osczjijmq4bsh5, 1r67co8q0ktlqe5209xm6sxec, byfk0abaxu0ha7w01vpmreb1m, coxuin3vr6nkynlvcsvzphjl6",3920579403,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3920579397,130,17,3920579393,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3920590109,197,2671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486534253,1,34,16,0,0,zjawy6qdzk3y69v5pa3zl2cb,1,0,0,2022-11-18T16:58:29.721Z,2022-11-18T18:05:49Z,3920579809,59,"1, 3, 5, 24, 4, 6, 21, 12, 9, 19, 10, 7, 8, 14, 16, 18, 20, 23, 25, 27, 28, 29, 50",3920579815,194,c78t1bgro2lh7gvw8rwi6p239,3920579805,30,"8l31bne12p5cp51o46h92zjrp, 476jyuzjm08o0d5g3t4nh1cyd, 46oot98163lb6atyes4j0mup5, 5wg2ysvwk3q67osv2nnbav4yx, 1qqqigufis9zdf4mdqt6mgfl5, 61wt62anweh75oguqg0vbozu2, m10ml783dkbr4i0fpb06cm3t, a49duk4f5m5zmyvwht0ikal05, c78t1bgro2lh7gvw8rwi6p239, 7o8auo4uu5mzh7f4a44ucdf8q, 2pva2d9if0phol0efqnur68a2, 4j7mtyvi7jg9e4ontiyt9vwbu, 9tmi00hx820vuwghg30jhzidx, e7vke1zwf6w6xvxtsi2b8f9m2, 88vryegnhss2q5xz8aoj2phey, 9jx0oun9o3zqncgu9axt2qxka, 53c63f5ekinmj6bquc3rbsbxm, dh8jo5uq1oq0qv7gpu5rrbwx6, ajt9gf8zqsc3m6z4kof5m99ii, da3d2iu2j4yb7q1ag063mu44q, 9fb368ot1vtjx63e4l4y0ss9g, adp5a6klr2nygqjmdd1ekc8kq, 3h8gqv4l0lrls9day28t1sw0k",3920579811,130,17,3920579817,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3920579813,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3920579807,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3920590137,197,16428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486536079,2,32,1,0,0,zjawy6qdzk3y69v5pa3zl2cb,1,0,0,2022-11-18T17:46:19.883Z,2022-11-18T17:46:20Z,3920590537,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486536101,2,32,1,0,0,dvmw7d6jb38qvv7e6ziwu0vyr,1,0,0,2022-11-18T17:46:19.883Z,2022-11-18T17:46:37Z,3920590639,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486536089,3,1,1,0,0,zjawy6qdzk3y69v5pa3zl2cb,1,50,50,2022-11-18T17:46:19.983Z,2022-11-18T17:46:23Z,3920590571,279,S,3920590569,213,2.9,3920590561,56,Back,3920590567,212,13.6,3920590563,140,37.4,3920590565,141,54.5,,,,,,,c78t1bgro2lh7gvw8rwi6p239,G. Plet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486536091,4,1,1,0,3,zjawy6qdzk3y69v5pa3zl2cb,1,37.4,54.5,2022-11-18T17:46:23.273Z,2022-11-18T17:46:25Z,3920590585,141,17.8,3920590589,213,4.2,3920590587,212,28.7,3920590583,140,23.9,3920590581,56,Back,,,,,,,,,,a49duk4f5m5zmyvwht0ikal05,T. Overtoom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486536093,5,1,1,0,5,zjawy6qdzk3y69v5pa3zl2cb,1,23.9,17.8,2022-11-18T17:46:25.136Z,2022-11-18T17:46:28Z,3920590605,213,2.3,3920590599,140,7.9,3920590603,212,25.8,3920590597,56,Back,3920590601,141,46.6,,,,,,,,,,61wt62anweh75oguqg0vbozu2,A. Bensabouh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486536097,6,1,1,0,8,zjawy6qdzk3y69v5pa3zl2cb,0,7.9,46.6,2022-11-18T17:46:28.792Z,2022-11-18T17:46:31Z,3920590611,155,,3920590617,141,14.5,3920590613,56,Back,3920590619,212,43.0,3920590623,1,,3920590621,213,5.8,3920590615,140,43.2,,,,8l31bne12p5cp51o46h92zjrp,R. Koeman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486536105,3,49,1,0,19,dvmw7d6jb38qvv7e6ziwu0vyr,1,11.7,75.9,2022-11-18T17:46:39.285Z,2022-11-18T17:46:38Z,,,,,,,,,,,,,,,,,,,,,,,,,3oduk9niyqml47z7wramkxhw5,N. Bertrams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486536113,4,1,1,0,19,dvmw7d6jb38qvv7e6ziwu0vyr,1,11.6,76.3,2022-11-18T17:46:39.793Z,2022-11-18T17:46:41Z,3920590681,213,0.8,3920590675,140,25.0,3920590679,212,20.7,3920590677,141,98.6,3920590673,56,Back,,,,,,,,,,3oduk9niyqml47z7wramkxhw5,N. Bertrams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486536115,5,1,1,0,22,dvmw7d6jb38qvv7e6ziwu0vyr,0,25,98.4,2022-11-18T17:46:42.322Z,2022-11-18T17:46:43Z,3920590695,213,6.2,3920590687,56,Left,3920590689,140,56.0,3920590693,212,32.8,3920590697,1,,3920590691,141,92.6,3920590685,155,,,,,bnkzwpd607re6s01oa77wcodm,J. Dahlhaus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486536119,7,1,1,0,24,zjawy6qdzk3y69v5pa3zl2cb,0,34.7,11.9,2022-11-18T17:46:44.600Z,2022-11-18T17:46:45Z,3920590719,213,6.1,3920590711,56,Back,3920590717,212,8.0,3920590715,141,10.1,3920590713,140,42.2,,,,,,,,,,5wg2ysvwk3q67osv2nnbav4yx,T. Oude Kotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
