id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,assist,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/11/value,qualifier/12/value,keyPass,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/13/value,qualifier/16/value
2484286705,1,34,16,0,0,2uuh2bir8ktof0uxfo06lb4ox,1,0,0,2022-11-11T18:01:52.704Z,2022-11-11T19:10:39Z,3908836831,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3908836833,194,bspl2le99ugt2ug4tcqsvp1w5,3908927205,197,497,3908836835,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3908836829,130,17,3908836823,30,"cetavjue5femoxid9fmcd0zjd, 8fqnvz74z901a2h0kgk1zezje, amb2qvdnwu0meepj6yu65g72t, dse1rndtog4qn2mwv966vp6mt, 7gwm8sjtl2vyfeh6mio8ve9ec, bspl2le99ugt2ug4tcqsvp1w5, 29s8wk0a2m66rebsfx1jfuuh, a339o11ut8s1o9odm6ybc4pka, 2esbyi3i7rtsdkxe6a917rsnp, a4dg6hmhim8bhpl5d7me85al1, by85t8ssyumcjcks1jx3v96vo, eds7hz8z52qf06c3oug7nivv9, 3a89nlkh1p3l3qi6o70uzp5ud, asn8og4yn5gj4it0qe6vulhat, idvh0ac1f8wv39640pyl4esp, 5mqcwgg1cjj38k4adpnbkbvv8, csecbdlw3sxstnebpiw91ezxm, 2f3j5qchxzh11u4bi2mb8dslw, 73wkaux439sdodxdjhn1152sq, e6jkldz6za7ln3jqxaw50i2qy, 4jshezco0cyjgre23nm98fetx, 6ferzqtsot04cucvdh1cjex62, ebr52ne9bo6xyh2vhr6nhfhbe",3908836827,59,"1, 3, 18, 5, 33, 2, 11, 6, 9, 10, 20, 4, 7, 14, 15, 17, 21, 22, 24, 25, 40, 45, 31",3908836825,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484288953,1,34,16,0,0,dvmw7d6jb38qvv7e6ziwu0vyr,1,0,0,2022-11-11T18:09:28.110Z,2022-11-11T18:59:13Z,3908847885,30,"3oduk9niyqml47z7wramkxhw5, 97p6b1r72br3soq4k7fpjnrl6, bnkzwpd607re6s01oa77wcodm, ak5exy1iztbo0mqloqdwiag6i, 9e70uun80bdi4hedu45mo5vxl, eu901b75l2ly5p48jdw6kwmad, 3j368501ogr8mt2jdb7mby8h6, e0mrzdikm67yw88563zgovb6y, 5f8ajd8cgyvmmdzr0lzi1gtii, c3j7ddqg0yzporam6gieibgiy, db32f79l8p19q2g45g885t7xm, d4z4gdds9hajylsy2hh5b78q, ar47jfq139xyic4pvdhefduga, 2v12tmspdosmwic2h6itfz0x6, b0yxbu9af1b0jc1odpwzvd7je, dej8tywq0npvbm25sfgtqur1m, 47wgrchutkdy62665jc79dy0a, 8o2hk1hy097osczjijmq4bsh5, 1r67co8q0ktlqe5209xm6sxec, bitv8dp51g02iyf6o3elxnoix, byfk0abaxu0ha7w01vpmreb1m, coxuin3vr6nkynlvcsvzphjl6, 3v2grfhuisr456ibcvqjfx4yy",3908847887,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3908927121,197,17406,3908847897,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3908847891,130,13,3908847889,59,"1, 99, 7, 5, 4, 3, 8, 17, 22, 25, 9, 2, 10, 12, 14, 20, 21, 23, 27, 28, 31, 32, 45",3908847893,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3908847895,194,eu901b75l2ly5p48jdw6kwmad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484304767,2,32,1,0,0,2uuh2bir8ktof0uxfo06lb4ox,1,0,0,2022-11-11T19:01:19.288Z,2022-11-11T19:01:20Z,3908930017,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484304761,2,32,1,0,0,dvmw7d6jb38qvv7e6ziwu0vyr,1,0,0,2022-11-11T19:01:19.288Z,2022-11-11T19:01:19Z,3908929989,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484304787,3,1,1,0,0,dvmw7d6jb38qvv7e6ziwu0vyr,1,50,50,2022-11-11T19:01:19.388Z,2022-11-11T19:01:23Z,3908930125,279,S,3908930115,56,Back,3908930121,212,12.6,3908930117,140,39.2,3908930123,213,2.7,3908930119,141,58.0,,,,,,,db32f79l8p19q2g45g885t7xm,L. Diaby-Fadiga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484304799,4,1,1,0,3,dvmw7d6jb38qvv7e6ziwu0vyr,1,43.8,62.7,2022-11-11T19:01:22.966Z,2022-11-11T19:01:25Z,3908930189,56,Back,3908930197,213,2.0,3908930191,140,34.7,3908930193,141,90.3,3908930195,212,21.1,,,,,,,,,,e0mrzdikm67yw88563zgovb6y,B. De Keersmaecker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484304823,5,1,1,0,5,dvmw7d6jb38qvv7e6ziwu0vyr,1,34.7,90.3,2022-11-11T19:01:25.134Z,2022-11-11T19:01:28Z,3908930299,141,51.3,3908930301,212,28.0,3908930303,213,4.4,3908930295,56,Back,3908930297,140,26.2,,,,,,,,,,ak5exy1iztbo0mqloqdwiag6i,P. Bogaers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484304845,6,1,1,0,9,dvmw7d6jb38qvv7e6ziwu0vyr,1,24.3,50.7,2022-11-11T19:01:28.494Z,2022-11-11T19:01:30Z,3908930389,213,4.8,3908930385,141,20.7,3908930383,140,26.9,3908930387,212,20.6,3908930381,56,Back,,,,,,,,,,9e70uun80bdi4hedu45mo5vxl,M. Peijnenburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484304901,7,1,1,0,11,dvmw7d6jb38qvv7e6ziwu0vyr,1,28.6,11.1,2022-11-11T19:01:30.582Z,2022-11-11T19:01:37Z,3908930645,213,6.2,3908930639,140,72.6,3908930643,212,46.5,3908930647,1,,3908930641,141,2.8,3908930635,155,,3908930637,56,Right,,,,eu901b75l2ly5p48jdw6kwmad,M. Amevor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484304907,8,61,1,0,16,dvmw7d6jb38qvv7e6ziwu0vyr,0,73.6,2.4,2022-11-11T19:01:35.630Z,2022-11-11T19:01:40Z,3908930679,56,Right,,,,,,,,,,,,,,,,,,,,,,db32f79l8p19q2g45g885t7xm,L. Diaby-Fadiga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
