id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/10/value,qualifier/14/value,assist,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2471636955,1,34,16,0,0,2uuh2bir8ktof0uxfo06lb4ox,1,0,0,2022-10-14T17:05:08.935Z,2022-10-14T18:21:03Z,3842316453,197,497,3842199881,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3842199879,30,"cetavjue5femoxid9fmcd0zjd, 8fqnvz74z901a2h0kgk1zezje, 29s8wk0a2m66rebsfx1jfuuh, dse1rndtog4qn2mwv966vp6mt, 7gwm8sjtl2vyfeh6mio8ve9ec, bspl2le99ugt2ug4tcqsvp1w5, eds7hz8z52qf06c3oug7nivv9, a339o11ut8s1o9odm6ybc4pka, by85t8ssyumcjcks1jx3v96vo, 3a89nlkh1p3l3qi6o70uzp5ud, 2esbyi3i7rtsdkxe6a917rsnp, a4dg6hmhim8bhpl5d7me85al1, asn8og4yn5gj4it0qe6vulhat, idvh0ac1f8wv39640pyl4esp, 5mqcwgg1cjj38k4adpnbkbvv8, amb2qvdnwu0meepj6yu65g72t, 8dez06qvnnwh13201ki10rtka, 2f3j5qchxzh11u4bi2mb8dslw, 73wkaux439sdodxdjhn1152sq, e6jkldz6za7ln3jqxaw50i2qy, 4jshezco0cyjgre23nm98fetx, 6ferzqtsot04cucvdh1cjex62, ebr52ne9bo6xyh2vhr6nhfhbe",3842199883,59,"1, 3, 11, 5, 33, 2, 4, 6, 20, 7, 9, 10, 14, 15, 17, 18, 19, 22, 24, 25, 40, 45, 31",3842199885,130,18,3842199891,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3842199887,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3842199889,194,bspl2le99ugt2ug4tcqsvp1w5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471639333,1,34,16,0,0,dac758ef858jbq7pcb3gfwite,1,0,0,2022-10-14T17:10:12.110Z,2022-10-14T17:59:31Z,3842317037,197,9879,3842213317,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3842213327,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3842213319,59,"1, 19, 12, 18, 5, 21, 15, 17, 33, 11, 29, 2, 4, 8, 14, 22, 23, 26, 27, 28, 32, 39",3842213315,30,"dmsmbn9a1qucwf100o3v77nbp, armxucjqaulvwfxyufovg3je1, e8si4ph9te020gpicg3k2k3u2, arrbpgnwbguhyumc8c1u4jsut, 4dk7h575fifmw2lhslevhmhux, ip62fljz9ng6sil4krcq8dm1, sbxnlkg50itbqkpuh8wnwk45, f2snk84xy67ergwrwoblgt2ad, azt0ll196snbxy38eqw7mtln9, etwawuknprhxhmjk1tyq38e6t, 6p6sdikmka45csxfw0i0q0l3p, 1o51op6w576yo6t585wkwistm, akfbttkeqfd8pzhe93ra674kp, bmbzc4jvazdiuddsbnceyauei, g0s22zvneqmryewunetlsbje, 5r73kuy4vdv1epvmzrhb6nskq, 1jeb7li66vn913oub7t7l7x79, we5jzu2ad4z3wxaerwe6sdex, 2sxmpaw4khmgyym320oiwu3u, awokzor2tv5ro47ea34at1gx5, 80dk8iv6p0202z10qcqy8bfca, 49zitlyt01houmqy6hk04x36y",3842213321,130,4,3842213323,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3842213325,194,ip62fljz9ng6sil4krcq8dm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471658897,2,32,1,0,0,2uuh2bir8ktof0uxfo06lb4ox,1,0,0,2022-10-14T18:02:23.139Z,2022-10-14T18:02:25Z,3842323153,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471658891,2,32,1,0,0,dac758ef858jbq7pcb3gfwite,1,0,0,2022-10-14T18:02:23.139Z,2022-10-14T18:02:23Z,3842323123,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471658919,3,1,1,0,0,dac758ef858jbq7pcb3gfwite,1,49.9,50.3,2022-10-14T18:02:23.239Z,2022-10-14T18:02:26Z,3842323257,140,23.5,3842323259,141,64.5,3842323265,279,S,3842323263,213,2.8,3842323255,56,Back,3842323261,212,29.4,,,,,,,f2snk84xy67ergwrwoblgt2ad,T. Bruns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471658985,4,1,1,0,3,dac758ef858jbq7pcb3gfwite,0,24.8,63.7,2022-10-14T18:02:26.752Z,2022-10-14T18:02:33Z,3842323651,141,20.3,3842323647,56,Right,3842323657,1,,3842323649,140,100.0,3842323655,213,5.9,3842323645,155,,3842323653,212,85.3,,,,ip62fljz9ng6sil4krcq8dm1,J. Hoogma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471658995,3,5,1,0,10,2uuh2bir8ktof0uxfo06lb4ox,1,-1,79.6,2022-10-14T18:02:33.279Z,2022-10-14T18:15:01Z,3842323701,56,Back,3842323713,233,5,3842323703,346,,,,,,,,,,,,,,,,,dse1rndtog4qn2mwv966vp6mt,B. van Hintum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471658991,5,5,1,0,10,dac758ef858jbq7pcb3gfwite,0,101,20.4,2022-10-14T18:02:33.279Z,2022-10-14T18:02:34Z,3842323681,346,,3842323679,56,Right,3842323761,233,3,,,,,,,,,,,,,,,,ip62fljz9ng6sil4krcq8dm1,J. Hoogma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471659095,4,1,1,0,18,2uuh2bir8ktof0uxfo06lb4ox,1,4.9,59.9,2022-10-14T18:02:41.991Z,2022-10-14T18:02:44Z,3842324291,140,7.2,3842324289,56,Back,3842324287,124,,3842324293,141,30.1,3842324295,212,20.4,3842324297,213,4.8,3842324301,237,,,,,cetavjue5femoxid9fmcd0zjd,J. Schendelaar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471659105,5,1,1,0,21,2uuh2bir8ktof0uxfo06lb4ox,1,8,27.5,2022-10-14T18:02:44.728Z,2022-10-14T18:02:45Z,3842324361,213,6.2,3842324353,56,Back,3842324355,140,21.5,3842324359,212,14.2,3842324357,141,26.8,,,,,,,,,,bspl2le99ugt2ug4tcqsvp1w5,B. van Polen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
