id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/8/value,keyPass,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2508721107,1,34,16,0,0,1fttb31hnskynpku8qd09yhm8,1,0,0,2023-02-17T18:12:24.463Z,2023-02-17T19:01:34Z,4037630703,197,16350,4037547489,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4037547481,59,"1, 20, 5, 25, 4, 22, 39, 28, 10, 14, 7, 3, 9, 11, 17, 21, 26, 32, 35, 36, 46, 40",4037547477,30,"6q72mpmc478hlf4f7ths9ez56, dolfy51fw3jycb0cfhoecbo16, c46xp363o8m76eswzfmlsel4a, 4lnhhxtl72v8wlss3xgrrbr2t, 6ylzm57bvpufg3cenadtv7qhh, 9jofs3271wn4cwlkj9hfay7vu, 14csdlb8p0tnj6zqrs148ct1w, d1dq7upxtawnps3wljz6wf9jo, ccmmsnrfn58gwi1petlp08f3e, dmtsvsqvdoqqtmrset0uz0and, ebnm8xj9pggemio5qay9pcc0l, cx3fqj7odbuc6i0kppcie4jmy, bs14utcyx2am6s46cuv52nf56, bdtti3sckhcppilsisgu7well, 48sqqhgtmfmpqb3602iirspd6, 673zq55hik8gvoj5ednuemg2x, 9vu68zcajmrqmkkchmpdrebu2, bd4rr8l425ard803x39ju1ppm, 88e3xx835uqx9x850y6u0dbai, 5b7rnpnnllz8qdc6fx2c5mzje, a59aos4xq3vklv2joqa09axre, evz953s9rvki1w9c3hsljss7p",4037547479,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4037547485,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4037547483,130,8,4037547487,194,6ylzm57bvpufg3cenadtv7qhh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508723441,1,34,16,0,0,b94pf87be9ojdgnrs5mst80un,1,0,0,2023-02-17T18:17:42.118Z,2023-02-17T19:08:42Z,4037559519,130,8,4037630669,197,11954,4037559521,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4037559515,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4037559525,194,2psxvq4l1g9fzgt00cfks96fp,4037559517,59,"1, 2, 30, 5, 28, 4, 25, 22, 9, 11, 10, 3, 7, 12, 14, 15, 18, 19, 21, 23",4037559513,30,"2psxvq4l1g9fzgt00cfks96fp, 2pzdedlktluxyj6sq2cd19e51, 1icurh5jrnw1e6jdgqxjnhdnu, 3hax3hy9n2wyp1ovvhd6zdk6i, 94h1esmbnvlcvdeq9ohs11boq, 2rlckdzkm4d6dsqwutkvhm95h, 63ox7kqo9rl36cvk4joqh9soa, egmubn4rsudpbk05qfv2qlvit, 8im7pgnph2au11blma5pewe09, 6qjbfua7nynaxrs5t8tygedp1, 42lgdybjew0zrd18mmwwcpbhm, zihddqvp0sjni8stcio8bgmh, 2gfp8pe55n7oa0mcu5ygi54a, 9s22h996z2zpktwsx96cnz40k, ewcd2lz99d7klo9sh24zt8nl6, 98wf7lrkbzi5f1l26hyxbph7u, 3mcj3wypzq3lno1ehc0vif1sl, 45rrtsz9hmxxqasj8jgi3g0oa, 4ks7mvr9terrodhjx8pg9qtt6, 9rzd3uofuq9ck2n5ihs576z56",4037559527,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508737475,2,32,1,0,0,b94pf87be9ojdgnrs5mst80un,1,0,0,2023-02-17T19:00:48.327Z,2023-02-17T19:00:51Z,4037633167,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508737471,2,32,1,0,0,1fttb31hnskynpku8qd09yhm8,1,0,0,2023-02-17T19:00:48.327Z,2023-02-17T19:00:48Z,4037633137,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508737489,3,1,1,0,0,b94pf87be9ojdgnrs5mst80un,1,50.1,49.3,2023-02-17T19:00:48.427Z,2023-02-17T19:09:41Z,4037633209,141,55.7,4037633211,212,24.3,4037633205,56,Back,4037633215,279,S,4037633213,213,3.0,4037633207,140,27.3,,,,,,,8im7pgnph2au11blma5pewe09,M. Kaars,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508737523,4,1,1,0,4,b94pf87be9ojdgnrs5mst80un,0,27.7,46.9,2023-02-17T19:00:52.848Z,2023-02-17T19:09:35Z,4037633355,213,5.9,4037633347,56,Right,4037633357,1,,4037633345,155,,4037633353,212,54.6,4037633351,141,17.5,4037633349,140,76.1,,,,2rlckdzkm4d6dsqwutkvhm95h,R. van der Meer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508737543,3,1,1,0,5,1fttb31hnskynpku8qd09yhm8,0,22.3,67.5,2023-02-17T19:00:53.544Z,2023-02-17T19:09:34Z,4037633421,3,,4037633427,141,50.8,4037633423,56,Back,4037633425,140,47.5,4037633429,212,28.8,4037633431,213,5.9,,,,,,,9jofs3271wn4cwlkj9hfay7vu,T. Barbet,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508737607,5,1,1,0,8,b94pf87be9ojdgnrs5mst80un,1,57.8,52.4,2023-02-17T19:00:57.129Z,2023-02-17T19:01:03Z,4037633653,213,3.8,4037633645,56,Back,4037633649,141,28.3,4037633651,212,28.2,4037633647,140,36.0,4037633643,3,,,,,,,,3hax3hy9n2wyp1ovvhd6zdk6i,D. Mistrafović,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508737615,6,1,1,0,14,b94pf87be9ojdgnrs5mst80un,1,30.7,25.4,2023-02-17T19:01:03.080Z,2023-02-17T19:01:04Z,4037633685,212,12.6,4037633673,56,Back,4037633681,141,26.0,4037633677,140,42.7,4037633689,213,0.0,,,,,,,,,,94h1esmbnvlcvdeq9ohs11boq,M. Kreekels,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508737627,7,1,1,0,16,b94pf87be9ojdgnrs5mst80un,1,41.5,27.8,2023-02-17T19:01:04.712Z,2023-02-17T19:01:06Z,4037633743,213,3.1,4037633737,140,28.7,4037633741,212,13.4,4037633739,141,28.3,4037633735,56,Back,,,,,,,,,,egmubn4rsudpbk05qfv2qlvit,E. Lieftink,,,,,,,,,,,,,,,,,,,,,,,,,,,,
