id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,keyPass,qualifier/8/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/12/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/10/value,assist
2500078613,2,34,16,0,0,2xlnfgrl6r18ftv38unwp7h4s,1,0,0,2023-01-23T18:15:20.197Z,2023-01-23T20:00:52Z,3992174227,59,"1, 2, 5, 6, 3, 4, 7, 8, 9, 10, 11, 21, 22, 25, 15, 23, 14, 18, 16, 17, 19, 20",3992174225,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3992174223,30,"1otm71j1169bt3ivgo2vlj2tw, 47yvsnwrehtn4mwsjcqk4ewyy, 7b0vbfxlv3uiozb19fcj2vsyy, cla6c6izphee9prb80c15baei, d9ewnngnsfc0s4hcs282hayhg, 4iurx3g3hajlatv5gcxsqwm7e, 8npu0cbqjrhwv5km1w29kh016, ch4mwwdzqiksjm5kfda3f3klw, 7uwe0kxpzg271d8ocms7l2kno, d785q9rpqlyuyswv8f9fx4cno, 1jr23fmrmezgiaq7k63pro07o, pxaq5i4ce7ccg0x04msi0b8, 2x0hbry9gpcq5cbujdee5u904, 9yvaqepplk8s4cjqjbtyb24gk, wlltloe6hbe8hin3hix0366s, vrkanoideipif70wo4adb5lg, e1islmeew98wa2ge0dicloay2, 8mkrj5bnkyhx8kutc4656cy96, 4u12cln8rmtkwlu5q36ypjl2i, 8tukt8jsmzkblxxs5w85x4dii, 3bepi58wwope38a478y7jwlxw, eukc9fng5jfasmr9i814nq8t0",3992174229,130,8,3992174231,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3992240239,197,2830,3992174235,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3992174233,194,4iurx3g3hajlatv5gcxsqwm7e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500080767,1,34,16,0,0,cv5ftekuejf0ryxvd5h2my47r,1,0,0,2023-01-23T18:22:48.163Z,2023-01-23T18:58:32Z,3992186319,130,8,3992240353,194,b3gyml6d5i3lqxsnh072nhuqd,3992186317,59,"1, 18, 5, 16, 4, 2, 8, 13, 21, 23, 10, 3, 6, 7, 12, 14, 17, 19, 29, 30, 38",3992186323,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3992186321,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3992239867,197,917,3992186313,30,"1du03mqsc0o6i4e64n7pzr6ui, 30uqa3kfm23ickjssfhmwgdm1, 5pg02unrm16jaa8vt5ego9z6y, aasoq3euk6e6zqhh08n0wocet, b3gyml6d5i3lqxsnh072nhuqd, 7i9hjqjogg1iowfo4fu5zpcyd, qgusrrldd48qxku8yna03ap5, 3p95pudljhqzrnegmko7z56uh, 4o1150mpv9nz55cwj9b0vblk9, a69sa0h7lgpmlav961cpejbe2, d6rg9ntx9qa2eh8yiflbke1ux, 3khifxt41tsdr25ea7w5n1mcq, 8qc6u3zsblb62it6519a4b6cp, 40l3vtezw1ofwk2occi4z5w45, zhnev5uetomme6rpisaa7wiy, e74wy7br5zhkds5s73ip0tg4, 72d57i3mfqxtbsmm196kdv0fd, 5et3jsqqhg08ykfqgdniq8fhm, 8z868vetpqyeatv2rtfwpsbje, dzet4aycjrqmpv1lzp9ekqzje, dhb6r3msmmayy7v0b1gb40445",3992186315,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500089785,2,32,1,0,0,cv5ftekuejf0ryxvd5h2my47r,1,0,0,2023-01-23T19:00:07.944Z,2023-01-23T19:00:09Z,3992242437,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500089771,3,32,1,0,0,2xlnfgrl6r18ftv38unwp7h4s,1,0,0,2023-01-23T19:00:07.944Z,2023-01-23T19:00:08Z,3992242379,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500089791,4,1,1,0,0,2xlnfgrl6r18ftv38unwp7h4s,1,50,50,2023-01-23T19:00:08.044Z,2023-01-23T19:00:10Z,3992242475,213,3.0,3992242473,212,22.9,3992242471,141,56.0,3992242469,140,28.5,3992242467,56,Back,3992242477,279,S,,,,,,,d785q9rpqlyuyswv8f9fx4cno,M. Nassoh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500089797,5,1,1,0,2,2xlnfgrl6r18ftv38unwp7h4s,0,32,57.3,2023-01-23T19:00:10.869Z,2023-01-23T19:00:12Z,3992242503,56,Back,3992242505,140,32.5,3992242511,213,1.4,3992242509,212,3.2,3992242507,141,62.0,,,,,,,,,,cla6c6izphee9prb80c15baei,M. Tielemans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500089819,6,1,1,0,5,2xlnfgrl6r18ftv38unwp7h4s,0,27.7,68.9,2023-01-23T19:00:13.942Z,2023-01-23T19:00:16Z,3992242609,56,Center,3992242619,1,,3992242617,213,6.0,3992242611,140,67.1,3992242603,157,,3992242613,141,49.9,3992242615,212,43.3,,,,7b0vbfxlv3uiozb19fcj2vsyy,F. Leysen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500089807,3,61,1,0,6,cv5ftekuejf0ryxvd5h2my47r,0,71.7,34.3,2023-01-23T19:00:13.948Z,2023-01-23T19:00:14Z,3992242559,56,Center,,,,,,,,,,,,,,,,,,,,,,4o1150mpv9nz55cwj9b0vblk9,K. Kristinsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500089835,4,49,1,0,10,cv5ftekuejf0ryxvd5h2my47r,1,32.5,53.3,2023-01-23T19:00:18.780Z,2023-01-23T19:00:18Z,,,,,,,,,,,,,,,,,,,,,,,,,7i9hjqjogg1iowfo4fu5zpcyd,B. Koglin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500089851,5,1,1,0,10,cv5ftekuejf0ryxvd5h2my47r,1,32.5,53.3,2023-01-23T19:00:18.803Z,2023-01-23T19:00:20Z,3992242789,141,25.5,3992242787,140,33.5,3992242785,56,Back,3992242783,3,,3992242793,213,4.8,3992242791,212,18.9,,,,,,,7i9hjqjogg1iowfo4fu5zpcyd,B. Koglin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500089871,6,1,1,0,12,cv5ftekuejf0ryxvd5h2my47r,1,35.1,17.3,2023-01-23T19:00:20.540Z,2023-01-23T19:00:26Z,3992242941,213,1.9,3992242935,140,24.8,3992242933,56,Back,3992242937,141,61.4,3992242939,212,31.9,,,,,,,,,,b3gyml6d5i3lqxsnh072nhuqd,R. Ketting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500089887,7,1,1,0,18,cv5ftekuejf0ryxvd5h2my47r,1,27.9,73.6,2023-01-23T19:00:26.349Z,2023-01-23T19:00:30Z,3992243029,213,3.6,3992243027,212,20.9,3992243023,140,10.3,3992243025,141,59.3,3992243021,56,Back,,,,,,,,,,7i9hjqjogg1iowfo4fu5zpcyd,B. Koglin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500089905,8,1,1,0,21,cv5ftekuejf0ryxvd5h2my47r,1,10.6,56.1,2023-01-23T19:00:29.916Z,2023-01-23T19:00:34Z,3992243139,141,86.8,3992243143,213,1.5,3992243141,212,20.9,3992243135,56,Back,3992243137,140,12.1,,,,,,,,,,1du03mqsc0o6i4e64n7pzr6ui,E. van der Gouw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500089921,9,1,1,0,26,cv5ftekuejf0ryxvd5h2my47r,0,28,90.9,2023-01-23T19:00:34.797Z,2023-01-23T19:00:37Z,3992243251,140,76.9,3992243247,155,,3992243249,56,Left,3992243253,141,87.2,3992243255,212,51.4,3992243257,213,6.2,3992243259,1,,,,,7i9hjqjogg1iowfo4fu5zpcyd,B. Koglin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500089927,7,1,1,0,29,2xlnfgrl6r18ftv38unwp7h4s,1,28.2,15.8,2023-01-23T19:00:37.717Z,2023-01-23T19:00:39Z,3992243311,141,6.8,3992243313,212,12.0,3992243315,213,5.7,3992243305,3,,3992243307,56,Back,3992243309,140,38.0,,,,,,,d9ewnngnsfc0s4hcs282hayhg,L. Comenencia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500089933,8,1,1,0,31,2xlnfgrl6r18ftv38unwp7h4s,1,38,6.8,2023-01-23T19:00:39.110Z,2023-01-23T19:00:41Z,3992243357,141,25.3,3992243361,213,2.1,3992243359,212,14.4,3992243351,3,,3992243353,56,Back,3992243355,140,31.3,,,,,,,8npu0cbqjrhwv5km1w29kh016,S. Colyn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500089949,9,1,1,0,33,2xlnfgrl6r18ftv38unwp7h4s,1,31.3,25.3,2023-01-23T19:00:41.349Z,2023-01-23T19:00:42Z,3992243473,212,6.8,3992243475,213,3.0,3992243471,141,26.5,3992243469,140,24.9,3992243467,56,Back,,,,,,,,,,cla6c6izphee9prb80c15baei,M. Tielemans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500089953,10,61,1,0,34,2xlnfgrl6r18ftv38unwp7h4s,1,24.9,26.5,2023-01-23T19:00:42.751Z,2023-01-23T19:04:26Z,3992243485,56,Back,,,,,,,,,,,,,,,,,,,,,,d9ewnngnsfc0s4hcs282hayhg,L. Comenencia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500089957,10,49,1,0,35,cv5ftekuejf0ryxvd5h2my47r,1,73.1,72.6,2023-01-23T19:00:43.228Z,2023-01-23T19:00:43Z,,,,,,,,,,,,,,,,,,,,,,,,,4o1150mpv9nz55cwj9b0vblk9,K. Kristinsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
