id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/8/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/9/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/13/value,qualifier/12/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2499163769,1,34,16,0,0,zjawy6qdzk3y69v5pa3zl2cb,1,0,0,2023-01-21T14:55:33.783Z,2023-01-21T18:21:17Z,3987355083,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3987355077,59,"20, 25, 50, 5, 4, 3, 12, 24, 10, 9, 6, 37, 1, 7, 14, 16, 18, 19, 27, 28, 29",3987603739,197,16428,3987355075,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3987355073,30,"53c63f5ekinmj6bquc3rbsbxm, ajt9gf8zqsc3m6z4kof5m99ii, 3h8gqv4l0lrls9day28t1sw0k, 46oot98163lb6atyes4j0mup5, 1qqqigufis9zdf4mdqt6mgfl5, 476jyuzjm08o0d5g3t4nh1cyd, a49duk4f5m5zmyvwht0ikal05, 5wg2ysvwk3q67osv2nnbav4yx, 2pva2d9if0phol0efqnur68a2, c78t1bgro2lh7gvw8rwi6p239, 61wt62anweh75oguqg0vbozu2, dltjumosk5kv9xw8yju2e1hqs, f5am20z0q4vgcu9434o9wy904, 4j7mtyvi7jg9e4ontiyt9vwbu, e7vke1zwf6w6xvxtsi2b8f9m2, 88vryegnhss2q5xz8aoj2phey, 9jx0oun9o3zqncgu9axt2qxka, 7o8auo4uu5mzh7f4a44ucdf8q, da3d2iu2j4yb7q1ag063mu44q, 9fb368ot1vtjx63e4l4y0ss9g, adp5a6klr2nygqjmdd1ekc8kq",3987355079,130,12,3987355081,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3987356157,194,c78t1bgro2lh7gvw8rwi6p239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499164023,1,34,16,0,0,z9phg19papi9f5fd6qxzr836,1,0,0,2023-01-21T14:55:56.482Z,2023-01-21T15:36:17Z,3987356359,130,13,3987356353,30,"7j7stqaomy8pnmzangrsyfahh, 7e78647fbcn7noga5qlz46xux, cjuzhcgsj4mwwr4evn823hivp, 31u2tk3aha04kwphoucf4ze5m, 8zsx2ykxkcusmsvbj8bsjk445, 4d9yng69t6qbzfukdhcp0j1ii, awxjnhn762q09xe59hozfjsa1, dsgea9ruo8blm2ppu19y1vod0, 70qjuubp69zw3d3p0hvunmi8l, cktdin60q1omaa4gmjp08o76y, 1amx0jc0ey5w1z9g3f3nb9t2i, f5pgdha5h37xytbk1zq8q710, di46dv5smxql2bg7cw4a06wkq, 9pqchkq64o53knk75ruq5g3x1, 7kntrrc80dcadt8umvqf6qfe2, 7plnzzirl3q10vucy37p7b6ui, dgrs9km0fikc46xchm02hbdka, 2ppvf1ywd1mxum1lgnn2pubdg, 1evsz02au0pu4a1tmzn5s27hm",3987356355,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",3987356361,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",3987356357,59,"1, 16, 28, 14, 21, 6, 27, 8, 9, 11, 22, 3, 4, 5, 7, 19, 23, 24, 31",3987624911,197,1696,3987356363,194,8zsx2ykxkcusmsvbj8bsjk445,3987356365,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499215461,2,32,1,0,0,zjawy6qdzk3y69v5pa3zl2cb,1,0,0,2023-01-21T15:32:40.722Z,2023-01-21T15:32:43Z,3987621917,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499215445,2,32,1,0,0,z9phg19papi9f5fd6qxzr836,1,0,0,2023-01-21T15:32:40.722Z,2023-01-25T14:33:49Z,3987621813,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499215567,3,1,1,0,0,z9phg19papi9f5fd6qxzr836,1,50,50,2023-01-21T15:32:40.822Z,2023-01-25T14:41:54Z,3987622503,279,S,3987622499,212,25.4,3987622495,140,26.5,3987622493,56,Back,3987622501,213,3.4,3987622497,141,41.0,,,,,,,dsgea9ruo8blm2ppu19y1vod0,B. Reemst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499215663,4,1,1,0,4,z9phg19papi9f5fd6qxzr836,0,29.7,41.6,2023-01-21T15:32:45.415Z,2023-01-21T15:32:49Z,3987623017,141,73.2,3987623023,1,,3987623011,155,,3987623019,212,49.2,3987623015,140,71.9,3987623013,56,Center,3987623021,213,0.5,,,,8zsx2ykxkcusmsvbj8bsjk445,T. van Huizen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499215695,3,1,1,0,8,zjawy6qdzk3y69v5pa3zl2cb,0,32.9,43.9,2023-01-21T15:32:49.420Z,2023-01-21T16:31:33Z,3987623183,213,6.0,3987623177,140,52.7,3987623181,212,21.6,3987623179,141,35.5,3987623173,3,,3987623175,56,Center,,,,,,,1qqqigufis9zdf4mdqt6mgfl5,Ö. Aktaş,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499215847,4,61,1,0,16,zjawy6qdzk3y69v5pa3zl2cb,1,58.1,14,2023-01-21T15:32:57.440Z,2023-01-21T15:32:57Z,3987623941,56,Right,,,,,,,,,,,,,,,,,,,,,,c78t1bgro2lh7gvw8rwi6p239,G. Plet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499215883,5,5,1,0,17,zjawy6qdzk3y69v5pa3zl2cb,0,60.6,-1.6,2023-01-21T15:32:58.554Z,2023-01-21T15:33:05Z,3987624131,347,,3987624129,56,Right,3987625085,233,5,,,,,,,,,,,,,,,,c78t1bgro2lh7gvw8rwi6p239,G. Plet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499215991,5,5,1,0,17,z9phg19papi9f5fd6qxzr836,1,39.4,101.6,2023-01-21T15:32:58.554Z,2023-01-21T16:21:33Z,3987624809,347,,3987624957,233,5,3987624807,56,Back,,,,,,,,,,,,,,,,31u2tk3aha04kwphoucf4ze5m,J. van der Avert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
