id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,assist,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,keyPass,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/14/value,qualifier/10/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2529854915,1,34,16,0,0,xcevba75jfkrg4s6tl89zl3y,1,0,0,2023-04-07T17:01:40.177Z,2023-04-07T18:13:02Z,4170231229,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4170234461,194,abgzge9xy445z8rdwa2mcapqt,4170231221,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4170231227,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4170346313,197,2124,4170231225,130,8,4170231219,30,"cf70r39m2wgbijtw0co5t6yfp, abgzge9xy445z8rdwa2mcapqt, 3yq9brnhlfinrzrfbzcv99nmd, 7flz5rsy2e31gbd8udiqg14gl, 62ft9dfhds3wn0dv650d4gkph, 969cpy2geokwer9gjapk7zj3e, 1j33nixshgkkdwjjnuafknahh, 7b4jmfu1ejoeci2zmvwuejnys, 3h7rkufywz6c2aye1l5b0ihp0, 5curv1gquatwkxsin86fghvkk, ds0hd4ezvb5rw6l95rhbxtq1g, 440ry78r7c0ntspgph192c0r9, 1chxk7d4i11x2f16igblexgyc, 96j7klvrblmkwsprx0wk81b10, cglskkkycbja9rjybhui9hdrd, 117h1l06g6f9osjp3pbb4tvro, 8eribncmewk65x40tn7pvqymt, 56i6rp74me1bdnqz1hzilzyfo, g16sstb2lz1ru2hsba2ml6ju, cipmd3k2nfv0ddic0l8go14gl, 6ekdeo3kocwds8ctbjoa4dhjo, ck7e2h6thujvs1j9663xsy6ms, 8jm8a7w3a5b5nzikcom7cvf2s",4170231223,59,"1, 22, 28, 6, 4, 20, 11, 23, 17, 14, 33, 10, 16, 18, 24, 25, 27, 29, 32, 35, 36, 37, 44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529862357,1,34,16,0,0,dac758ef858jbq7pcb3gfwite,1,0,0,2023-04-07T17:26:01.986Z,2023-04-07T18:09:15Z,4170272835,130,2,4170272829,30,"dmsmbn9a1qucwf100o3v77nbp, 4dk7h575fifmw2lhslevhmhux, 5r73kuy4vdv1epvmzrhb6nskq, bzf3k4wvqvx1tl1mx960wjv85, ip62fljz9ng6sil4krcq8dm1, akfbttkeqfd8pzhe93ra674kp, sbxnlkg50itbqkpuh8wnwk45, arrbpgnwbguhyumc8c1u4jsut, azt0ll196snbxy38eqw7mtln9, 1jeb7li66vn913oub7t7l7x79, e8si4ph9te020gpicg3k2k3u2, 1o51op6w576yo6t585wkwistm, bmbzc4jvazdiuddsbnceyauei, we5jzu2ad4z3wxaerwe6sdex, awokzor2tv5ro47ea34at1gx5, g2e3oq7zuglwqsf7vqcs055g, a1w1gpxney5d485cc5bikc9as, 80dk8iv6p0202z10qcqy8bfca, e5c8wtame01unosnz4zchwljo, 4umvca76vxg5904ytudgeeqc, 49zitlyt01houmqy6hk04x36y",4170272833,59,"1, 5, 22, 10, 21, 4, 15, 18, 33, 23, 12, 2, 8, 26, 28, 30, 31, 32, 34, 35, 39",4170272841,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4170272837,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4170272831,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4170342511,197,9879,4170272839,194,ip62fljz9ng6sil4krcq8dm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529877583,2,32,1,0,0,dac758ef858jbq7pcb3gfwite,1,0,0,2023-04-07T18:03:05.631Z,2023-04-07T18:03:05Z,4170356807,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529877599,3,32,1,0,0,xcevba75jfkrg4s6tl89zl3y,1,0,0,2023-04-07T18:03:05.631Z,2023-04-07T18:03:08Z,4170356879,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529877659,3,1,1,0,0,dac758ef858jbq7pcb3gfwite,1,50.1,49.9,2023-04-07T18:03:05.731Z,2023-04-07T18:03:09Z,4170357165,141,59.6,4170357167,212,22.5,4170357161,56,Back,4170357169,213,2.8,4170357163,140,29.6,4170357173,279,S,,,,,,,arrbpgnwbguhyumc8c1u4jsut,M. Vejinović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529877715,4,1,1,0,5,dac758ef858jbq7pcb3gfwite,1,29.7,57.6,2023-04-07T18:03:11.570Z,2023-04-07T18:03:13Z,4170357493,56,Back,4170357495,140,31.7,4170357505,212,15.0,4170357509,213,4.9,4170357499,141,35.8,,,,,,,,,,ip62fljz9ng6sil4krcq8dm1,J. Hoogma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529877737,5,1,1,0,7,dac758ef858jbq7pcb3gfwite,1,31.7,33.3,2023-04-07T18:03:13.051Z,2023-04-07T18:03:14Z,4170357611,140,38.5,4170357615,212,19.8,4170357613,141,6.1,4170357609,56,Back,4170357617,213,5.1,,,,,,,,,,akfbttkeqfd8pzhe93ra674kp,S. Sonnenberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529877783,6,1,1,0,8,dac758ef858jbq7pcb3gfwite,1,38.1,6.1,2023-04-07T18:03:14.499Z,2023-04-07T18:03:17Z,4170357865,140,55.4,4170357863,56,Right,4170357871,213,0.4,4170357867,141,17.4,4170357869,212,19.7,,,,,,,,,,4dk7h575fifmw2lhslevhmhux,M. Rente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529877797,7,1,1,0,11,dac758ef858jbq7pcb3gfwite,1,55.4,17.4,2023-04-07T18:03:16.994Z,2023-04-07T20:05:19Z,4170357951,212,10.3,4170357953,213,0.5,4170357949,141,24.0,4170357945,56,Center,4170357947,140,64.2,,,,,,,,,,bzf3k4wvqvx1tl1mx960wjv85,A. Ouahim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529877823,8,1,1,0,12,dac758ef858jbq7pcb3gfwite,1,64.2,24,2023-04-07T18:03:18.171Z,2023-04-07T18:03:20Z,4170358109,212,10.1,4170358113,213,2.2,4170358101,140,58.5,4170358097,56,Center,4170358105,141,36.0,,,,,,,,,,azt0ll196snbxy38eqw7mtln9,S. Armenteros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
